,mse,rmse,mae,mape
STE,0.22669008554319517,0.47611982267407765,0.43670561099888777,0.37913402633469456
REG,0.11956362699482341,0.34577973768690295,0.30571642293957063,0.2777374246212268
WFC,0.15544104817511178,0.3942601275492004,0.3375641329092833,0.2918759062812964
JBHT,0.04327345341050319,0.20802272330325644,0.19000807148426155,0.19136817147166912
SJM,0.0012209384107107661,0.03494192912119716,0.0302170763866212,0.033313644511682464
PFE,0.017303336417040564,0.13154214692272803,0.1064134963284879,0.11001231633734984
EQR,0.11259520006894934,0.3355520824983051,0.2930145004989458,0.2417544770902299
TSN,0.07230998592489737,0.2689051615809882,0.24252596038064136,0.20526860304535754
TDY,0.13962935483381908,0.3736701149862256,0.32597456301173444,0.31084093002052016
GOOG,0.19912939077662237,0.44623916320357,0.3739309819947284,0.37902395669367334
CMCSA,0.4677375165474307,0.6839133838048724,0.5956311655673847,0.5683735400859519
MRK,0.02137586757240441,0.14620488217704772,0.10785866992749142,0.09071651786677969
TXN,0.006506258906955936,0.0806613842365474,0.061298568219575904,0.056882180234036246
XRX,0.9869022938368105,0.9934295615879419,0.9018012117478721,0.8531027539704475
HRL,0.036925803943439334,0.19216088036704904,0.1633684873555759,0.146847995911453
BSX,0.2202938064170255,0.4693546701770693,0.39363270665902417,0.38323909870981054
EMN,0.5151859744426355,0.7177645675586358,0.6083160015488303,0.6050926798170595
LVS,0.23957643378674767,0.48946545719462947,0.4014766705979864,0.4786622195348221
ADI,0.23039277142273773,0.47999247017295776,0.4124605620378689,0.40384674215732635
NTAP,0.006279950165191559,0.07924613659473602,0.06501318471778056,0.07326221715170447
NWSA,0.05607807341846066,0.23680809407294479,0.2032239604779865,0.2242239915016923
CAH,0.09066267679437774,0.30110243571644807,0.26577491818740534,0.2396417827737645
MGM,1.6939387919348656,1.3015140383164776,1.0905823272232862,1.10271353547089
ADM,0.34118687289985733,0.5841120379686223,0.5207169394103942,0.4727532945999886
MSFT,0.16574425878965987,0.40711700872066237,0.34479333409569873,0.29295762302713296
V,0.828982781785721,0.910484915737609,0.7999465537734707,0.7911339744561745
FMC,0.12453283893983665,0.35289210665561316,0.2879935549166034,0.3511046020014434
CDW,0.01658887983353054,0.12879782542236706,0.1108751951401751,0.08346715236936687
GS,0.32936392753625443,0.5739023675994501,0.5194996881610827,0.518018456883198
TPR,0.26225503526051935,0.5121084213919151,0.47028038812915657,0.7013086309325897
MA,0.6311390512210711,0.794442604107478,0.7077828655295191,0.7575091702242831
SNA,0.13659732661304239,0.3695907555838517,0.33047268269679647,0.29072705212065225
IPG,0.1050180694684364,0.3240649155160682,0.29035893681349073,0.2728002413889554
COP,0.00991449583130941,0.09957156135819811,0.08910506547618004,0.08762542224269222
EBAY,0.3088096252982506,0.5557064200621139,0.4821264010480827,0.5046707081206674
SWKS,0.4674605494718985,0.6837108668669079,0.5797235486783975,0.30968078337202315
COST,0.01730704103605359,0.13155622765971053,0.0978672913272836,0.09484793494525037
EXPD,0.0664596227596214,0.25779763916611304,0.2342520371201913,0.2561480699933566
GL,0.09864592186225773,0.3140794833513608,0.27722776532715965,0.2711205874125816
TRV,0.1214641815167914,0.34851711796810125,0.3236112058773944,0.3081812691484284
DPZ,0.006297999808335645,0.07935993830854234,0.06576860089513521,0.056854854717894275
DLTR,0.019652777618407623,0.140188364775425,0.12846400498376181,0.14055037889507693
WBA,0.009590867247274242,0.09793297323820124,0.08869302116761711,0.07967662277692587
F,1.0079684921293472,1.0039763404230935,0.8830545471002611,0.9692754935748059
J,1.1681686631336081,1.0808185153547325,0.924022809941615,1.1734366345212526
