,mse,rmse,mae,mape
AWK,0.00885804599964736,0.09411719290144262,0.0824519398312516,0.07179356125670645
IBM,0.23113397469711314,0.48076394904060055,0.40660519597653094,0.4242282528535598
SEE,0.26848308517730735,0.5181535343672832,0.47100678859812267,0.45553824499245865
UPS,0.10783737474617572,0.32838601484560165,0.3042594215723993,0.3103748654419625
FCX,0.8872222499330448,0.9419247581059991,0.8210311158920344,0.9816629584247818
J,0.7572001607121267,0.8701724890572712,0.7453709935317203,0.9463856244233885
BLK,0.3581182779468889,0.5984298437969892,0.5399324196040965,0.5229032391948976
WELL,0.3379414644971798,0.5813273299073249,0.5097641044262413,0.48267380428159107
MSI,0.110894513288061,0.33300827810740835,0.2960473875193945,0.30917601662452965
CBOE,0.013482344044286618,0.11611349639161943,0.09735887412728947,0.09848479853270779
LMT,0.32138739512607345,0.5669103942653314,0.49458238142872685,0.41392206258527847
ROL,0.17233603955184768,0.4151337610359433,0.3726136421093943,0.3689324474714866
CB,0.04058059567034358,0.20144626000584767,0.19113913387361975,0.18528065504032246
SYK,0.06296083141683402,0.25091997014353806,0.21413656901655115,0.18918096874545584
UHS,0.26399425787931763,0.5138037153226099,0.4250095535167737,0.3454607000493694
LYV,0.2690196177209988,0.5186710110667443,0.4407988464725846,0.3688571612903098
DXCM,0.021726778263785496,0.14740006195312638,0.12574382710192747,0.11118820161914526
XEL,0.023715649110339045,0.15399886074364005,0.13361685928748418,0.11714994134625886
K,0.03831027316685858,0.1957301028632504,0.17127903190095103,0.1646981660795508
CBRE,0.14484806950034415,0.3805891084888586,0.33285977761183455,0.28704200056667034
CNC,0.3615792615990457,0.6013146111637782,0.5036959743244019,0.40977473000041503
VZ,0.0031400541405703494,0.05603618599235988,0.04765960320241551,0.04926519966699067
YUM,0.029661469588665886,0.1722250550549074,0.14417746998934686,0.1518628360217054
CRM,0.1135670132404672,0.3369970522726678,0.2923347491346084,0.2958686434181649
TROW,0.3245050344459993,0.5696534336296054,0.5057687258067423,0.5157204357866085
IVZ,0.05031553734584238,0.22431125104604624,0.20848331827754932,0.19845055963246966
WU,0.03903816550402342,0.1975807822234324,0.18363077652897902,0.20704307948115414
LIN,0.11733878929723172,0.34254749932999323,0.2973717520843093,0.2963003692720667
WEC,0.018785510906311063,0.1370602455357171,0.11735901515406306,0.10283278661029098
ESS,0.6316669754500747,0.7947747954295448,0.7083707776937948,0.6036353535470783
VLO,0.17660277700506669,0.4202413318619037,0.3414059991921762,0.3359389145375136
ADSK,0.2747657550493645,0.5241810327066065,0.45963509271449055,0.42061473122501697
COST,0.04289616826726337,0.20711390167553545,0.15115794816109956,0.14522935909566376
VTRS,0.0474200404915067,0.21776143022010738,0.19497036777383717,0.16760485876232709
TSLA,0.25743616386801854,0.5073816747459633,0.40612866617950066,0.329392448980895
ROP,0.33633050723744373,0.5799400893518604,0.5166868575543001,0.4862264017340763
ADBE,0.09780020393411185,0.31273024147675876,0.2633593499894622,0.2301302531580253
ODFL,0.03132938337981322,0.17700108299050946,0.1628358220881004,0.13252468570050596
REGN,0.27123285107530043,0.5208002026452183,0.44289316340918966,0.3938379603556582
