,mse,rmse,mae,mape
AWK,0.0005272176946942796,0.022961221541857906,0.019290221461001136,0.01752738079200608
IBM,0.4546145015004841,0.67425106711112,0.5768450507284483,0.600542176378787
SEE,0.26243972071935184,0.5122887083660461,0.4684479557242169,0.45308222938622933
UPS,0.06444880574299428,0.2538676933817974,0.24001619750883105,0.24529193220886467
FCX,0.7390777799261296,0.8596963300643603,0.7511788044706224,0.8992958510754383
J,0.8338931619013301,0.9131775084294017,0.7852424807792887,0.9959480784462138
BLK,0.2934877032894991,0.5417450537748352,0.4924841458988983,0.47738890319154514
WELL,0.40370345697757887,0.6353766260869051,0.5564490015665086,0.5268076897503274
MSI,0.0491304819711681,0.22165396899484588,0.20015759859438645,0.20900357236327938
CBOE,0.022050522131184525,0.14849418214591614,0.12950221589936425,0.12914326245892685
LMT,0.21034848950286697,0.45863764509999283,0.40198657724963255,0.3370086820437672
ROL,0.09093536172548757,0.30155490665132206,0.2744641183942664,0.27206132485269297
CB,0.008825401459444103,0.0939436078689982,0.09208229772926936,0.0908563860932219
SYK,0.016584404212168516,0.12878044965043614,0.1114212063781021,0.09899839528543802
UHS,0.3494991373024579,0.5911845205199963,0.49185070503087785,0.40079529336938763
LYV,0.1916960948242051,0.4378311259198061,0.3731398373426615,0.3125153624182015
DXCM,0.021731768194693028,0.14741698746987414,0.11929490255015178,0.10297374939203956
XEL,0.0532492125969238,0.23075790906689156,0.20047459915749688,0.17594947261043564
K,0.057531085288180885,0.23985638471423038,0.2094725997974677,0.20178119122491167
CBRE,0.09717648828303525,0.31173143614822557,0.27534977052503706,0.23790918757212431
CNC,0.10948076801019484,0.33087878144449645,0.2639133891329089,0.2107759690393441
VZ,0.01888930662594857,0.13743837392063604,0.11016885768645779,0.11003410544112899
YUM,0.04422614921912386,0.21030014079672857,0.1783805003423234,0.1872993528889484
CRM,0.07316844717701593,0.2704966675894842,0.23792995172275214,0.2411797672441488
TROW,0.2797467198421237,0.5289108808127544,0.4726254349252452,0.48167075108846014
IVZ,0.02672415868406042,0.16347525404188984,0.1536116715091651,0.147519023219901
WU,0.02214532827022826,0.14881306485059792,0.14063800333736906,0.15936067954798794
LIN,0.06733618615722237,0.25949216974163664,0.22678084954310695,0.22596102063265752
WEC,0.0242221494132112,0.15563466648922147,0.13475909850396936,0.11835273230463889
ESS,0.740965632412354,0.8607936061637272,0.7656646008656767,0.6521977582682175
VLO,0.11071591411740676,0.3327400097935425,0.26707761519771966,0.2631321642977866
ADSK,0.18078051572344897,0.4251829203101284,0.3749889265173053,0.34391680107884015
COST,0.015057172867476237,0.1227076724067254,0.08607522537163666,0.08227156436790155
VTRS,0.026697094767106105,0.1633924562735566,0.1436357402166082,0.12300473495505476
TSLA,0.27309272473985213,0.5225827443954231,0.4193438084756143,0.34058429519595146
ROP,0.3860266714384479,0.6213104469091502,0.5535583046811766,0.5206988908196234
ADBE,0.048745933931615894,0.22078481363448868,0.18788349814822483,0.16492206696693656
ODFL,0.010886671644033777,0.10433921431577764,0.09523181328622118,0.07982898785794962
REGN,0.3272105202314156,0.5720231815507266,0.4868794857864424,0.4332842986706832
STT,0.023268309586832858,0.1525395345044453,0.14295483126175573,0.15006517434397915
NOV,0.10357626926932645,0.3218326727809444,0.27177456793467714,0.2683766044264395
CMS,0.01631860567677712,0.12774429802060489,0.10876907809213393,0.09493254999997655
AON,0.007016561925013191,0.08376492061127493,0.06863518756462925,0.06417907162347343
GE,0.16281725031498948,0.4035061961296127,0.36684873359630893,0.3883549542788093
ECL,0.027927431787462216,0.167115025618471,0.1411531267642156,0.13596210477319506
APA,0.041541356515873394,0.2038169681745693,0.15615176760294536,0.1590325139871944
IPG,0.006632150895049284,0.08143801873234198,0.06576826172098998,0.06389569056286579
BA,0.010251130127056717,0.10124786480245752,0.09466898056128914,0.10285333043658715
CSCO,0.038514535806980485,0.19625120587395248,0.17335059152015364,0.16290686379414632
NWS,0.012755991188901663,0.11294242422093508,0.09411625536635045,0.10811981020484655
CDNS,0.0034907512111608417,0.05908257959128767,0.04600994906425404,0.04029010941496303
TFC,0.3278785323908868,0.5726067868886002,0.494625007515304,0.47896501710657374
D,0.029869675902742154,0.17282845802338848,0.15629445685805526,0.14512453407765397
IDXX,0.004852984879855136,0.0696633682781355,0.05298698675678745,0.04684160326024264
KEY,0.04178748310993311,0.20441986965540584,0.17737874870603232,0.17566602630609318
COF,0.15914082028054677,0.3989245796896285,0.3580685836505578,0.33874200774050645
DPZ,0.04101492137614638,0.20252140967351176,0.15139293560631542,0.12653502712176848
EFX,0.0035525611962838126,0.05960336564560606,0.04998546164783199,0.047572800786043694
PCAR,0.13757430130370032,0.3709100986812038,0.31417014899950185,0.29027780876721665
CMCSA,0.20539201013982605,0.453201952930287,0.4015727988812642,0.3841289216652441
HAS,0.2964797327076919,0.5444995249838992,0.4838440346975048,0.47908798347336884
BKR,0.047427225656500246,0.2177779273859044,0.14424569004213458,0.1426497545571649
PLD,0.013952736049165753,0.1181217001620183,0.10886631601607313,0.10547650822017475
EXR,0.011856555598475597,0.10888781198313977,0.10001762359458005,0.0884194223915575
LNC,0.0037403271057418934,0.06115821372262187,0.04868508756745827,0.050260000263330516
XRAY,0.004381440161802218,0.0661924479212109,0.06041303552714591,0.0626978249771939
SBAC,0.014118068522440184,0.11881947871641327,0.09877956931089801,0.08415043014470322
KMI,1.0964880037239726,1.047133231123897,0.9405192831762176,0.8890580943076124
KMX,1.6571506133121279,1.2873036212611724,1.096551087509098,1.1152384038990928
AXP,0.18710975995892146,0.4325618568007603,0.3804949514437118,0.3793077255444661
PPL,0.03369465708274907,0.18356104456760172,0.1631576165384644,0.14222859273536653
WBA,0.050323373389828265,0.22432871726515147,0.20286397834829714,0.17753976557079423
CDW,0.05569367331518016,0.2359950705315265,0.20845584896257904,0.15559424728009108
CHTR,0.040728349090949634,0.2018126584011757,0.16597008083582784,0.14922715311355056
CAT,0.17405693477004558,0.41720131204257443,0.34056997910621334,0.30358630602241476
ACN,0.8345073028960768,0.9135137124838777,0.8062556279088836,0.8048156399810799
ABBV,0.029822969736027004,0.17269328225506342,0.12709015378903316,0.11132567353737614
AAP,0.052416811036734505,0.22894717957802954,0.1998979226686986,0.16456456742077397
F,1.0516488421414336,1.0254993135743358,0.9025693868753606,0.9907301993740503
ROK,0.30399898938280184,0.5513610336093782,0.4721551795583172,0.48052761201028826
MMC,0.018488271020630918,0.13597158166554849,0.10665245551579615,0.09506680956755496
BIO,0.04941120598485326,0.22228631533419518,0.18914226806383103,0.1997353882222323
OMC,0.2673359659405096,0.5170454196108013,0.4595126843012436,0.4688991451981957
XYL,0.024049234419934014,0.15507815584386478,0.1409295501865486,0.13000987239892733
TEL,0.007239199969134031,0.0850834882285278,0.0599030569492813,0.05493577743712956
WAT,0.013143867435895705,0.11464670704340228,0.10107731691578771,0.10234344748727699
XRX,0.12646119305061382,0.35561382573040357,0.3314454739707626,0.31693785989610535
CSX,0.004580755682236424,0.06768128014625924,0.05825142987866682,0.054390162483195025
NOC,0.14869475512284291,0.385609588992342,0.34391267479784254,0.30415081363827867
JPM,0.02471961962348612,0.15722474240235257,0.1427864228186206,0.1407251725038741
NDAQ,0.031033844438496636,0.1761642541450922,0.1639671712567104,0.16388232281740098
NEM,0.128931564235838,0.35907041682076507,0.32397183423915815,0.3898193273049334
MMM,0.6965430747076465,0.8345915616082196,0.7485172054758151,0.7076381398294369
CLX,0.08796214477582519,0.2965841276532262,0.23349529201091304,0.22943128976375424
SLG,0.04207435884400083,0.2051203520960337,0.1787563387936728,0.15613084015458517
COP,0.039446498123280584,0.19861142495657338,0.166402758793335,0.155593163392872
TJX,0.07432778036800941,0.27263121678929103,0.2531837548854723,0.27273656300700094
TFX,0.21286161519113214,0.4613692828864229,0.4037811742790847,0.36215942303898946
STE,0.13335671310020691,0.3651803843310959,0.33870078756422334,0.29467841194617694
MA,0.41355883821096906,0.6430854050676077,0.5824836211461913,0.6243286393009794
FMC,0.038852617598711885,0.19711067347739414,0.15264208590196116,0.18835606196068
ADM,0.1023467358497292,0.3199167639398242,0.2978658872996703,0.27445446647262095
AMD,0.20148314200373704,0.44886873582789993,0.3559281393354976,0.46355701474491484
EL,0.03025904309723771,0.17395126644332806,0.16333012371962896,0.16736654841961016
EIX,0.054611133208995445,0.2336902505647068,0.20974315214079894,0.1744534621193215
AIZ,0.007593131570578096,0.0871385768220832,0.07964070351964105,0.07957702842539865
HCA,0.17925366529378847,0.4233835911957246,0.34611833438777484,0.2577262723598647
ROST,0.06377466804895526,0.2525364687504663,0.23547864474989746,0.26291599784351016
NWL,0.08035776267716642,0.2834744480145722,0.2654076036728983,0.26204644911564867
SRE,0.004811810994353538,0.06936721844180821,0.059155443330892225,0.05154427266575229
PNC,0.0059331872480399925,0.07702718512343543,0.061866360177669326,0.05556515470981636
REG,0.23875837393451158,0.4886290760224074,0.42517461524733563,0.38495928749811725
