,mse,rmse,mae,mape
AWK,0.009615139873105243,0.09805681961549254,0.08630760592604775,0.07502962730372219
IBM,0.29152567638340227,0.5399311774507953,0.4581455177969331,0.47774676313513725
SEE,0.25875334403717887,0.5086780357329957,0.4628455148916025,0.4475236900257328
UPS,0.09720108932279249,0.31177089235974625,0.28988036168452774,0.2956881355782031
FCX,0.8713061570958326,0.9334378164054811,0.8137444291290028,0.9731217756829935
J,0.812573561916375,0.9014286227518932,0.7727311083751965,0.9808784469384401
BLK,0.24958824301803223,0.49958807333445443,0.45305675092789904,0.4391756345349421
WELL,0.30883619006340385,0.5557303213460678,0.48741153199771703,0.4615070400348697
MSI,0.12140517428920496,0.34843245297934716,0.3095789038248127,0.32315545252139655
CBOE,0.012548452991477095,0.11201987766230195,0.09342860554046495,0.0947536284469335
LMT,0.31712480568014584,0.5631383539416809,0.49078504428889613,0.4107070981096968
ROL,0.16672021699035655,0.40831387068082386,0.3666129152926839,0.36285842133702767
CB,0.020427687449171682,0.14292546116480326,0.138239940474671,0.13473970616266412
SYK,0.040990697595425375,0.20246159535928135,0.1725006035437044,0.15249352277254352
UHS,0.2775065266814948,0.5267888824581388,0.43680076841557636,0.3553784608179204
LYV,0.26340985783209264,0.5132347005338714,0.43624087132811656,0.3649144588703461
DXCM,0.023840164530603072,0.15440260532323627,0.13142047553724592,0.11883035522377791
XEL,0.022264814374087918,0.1492139885335417,0.12981337694664782,0.11385500959128704
K,0.029051925980298654,0.17044625540122216,0.14972346580562812,0.14395177929746733
CBRE,0.1610407882699561,0.40129887648728363,0.35180817401509223,0.3030064609691294
CNC,0.3943567106203092,0.627978272411004,0.5279027341974056,0.430122836371078
VZ,0.0014284506787542233,0.03779484989723102,0.02927182446426811,0.03051025421872314
YUM,0.012739835278757697,0.11287087878969357,0.09139819484200828,0.09678382306691254
CRM,0.11064728236632562,0.3326368626089502,0.28868123734045337,0.29209046134031197
TROW,0.3137909713986888,0.5601704842266225,0.4975480468760044,0.5071919348164653
IVZ,0.05199756516089695,0.22802974621942845,0.21188000909921792,0.20152648894577882
WU,0.035791898025238335,0.1891874679391802,0.1765992174955312,0.19904425990209076
LIN,0.098611945637236,0.3140253901155701,0.27244143009261523,0.2714574516031857
WEC,0.021721317255190317,0.14738153634424606,0.12743206222695108,0.11182808902584228
ESS,0.6648750710080283,0.8153987190375199,0.7267442719985435,0.6192998193006612
VLO,0.15811851257925616,0.3976411857180493,0.32104790152624524,0.3160346938763353
ADSK,0.25227275664372006,0.5022676145678916,0.44044408586956185,0.4029531461923437
COST,0.06127394846755464,0.2475357518976898,0.18740717397913653,0.18119702463437573
VTRS,0.10658957294288478,0.3264805858590749,0.29480718306663256,0.2546792710811365
TSLA,0.25504137588735215,0.5050162134895791,0.4037173919726878,0.32750444318569066
ROP,0.3673734590563465,0.606113404451961,0.5399224970566304,0.5078745523613224
ADBE,0.09314736665270262,0.3052005351448497,0.2579295687881465,0.22525164726935706
ODFL,0.0275733048668816,0.16605211491240213,0.15300453462863348,0.12462208646435963
REGN,0.2344162566083531,0.48416552604285357,0.4104678798151995,0.3645078763865215
STT,0.05410473428808489,0.23260424391675422,0.2187177069136635,0.2265394185855099
NOV,0.08711327938921497,0.2951495881569462,0.24976870949130758,0.24632815496825847
CMS,0.012480722148643486,0.11171715243705188,0.09515754063269216,0.08305401971810168
AON,0.0020669388174639073,0.045463598817778464,0.03568251344857051,0.03521145227610124
GE,0.20324674804939433,0.4508289565338437,0.4066935895681207,0.4305293221150559
ECL,0.004344138144776664,0.0659100762006589,0.053526864975887996,0.05142105505833573
APA,0.05059202139845669,0.2249267022797798,0.17771894691136347,0.18323334000782648
IPG,0.012778123989125926,0.11304036442406724,0.09666139870870309,0.0922119497720493
BA,0.0380299663658767,0.19501273385570672,0.17893196552105922,0.1938307764421376
CSCO,0.08816729169078007,0.2969297756891014,0.259350152237001,0.2426233992943354
NWS,0.02352031719040004,0.15336335021901432,0.13062164340328447,0.14956189623655786
CDNS,0.003255699421747914,0.05705873659438942,0.04427268590623771,0.03879586676242128
TFC,0.3425828098998548,0.5853057405321213,0.5036484516563877,0.4877515746796294
D,0.009648643719916368,0.0982275099955016,0.09029008516693163,0.08383344338198362
IDXX,0.009564541032364232,0.09779847152366049,0.07123555554858396,0.06246317524174565
KEY,0.06989073282126113,0.26436855490254724,0.22784645193601868,0.22544065358917403
COF,0.17307253513525797,0.41601987348594055,0.3715947159719718,0.3512553734263143
DPZ,0.021801796386816858,0.1476543138103891,0.10107427362883205,0.08292961466103611
EFX,0.02019333906357419,0.14210326901086473,0.128001359765362,0.11872091401644419
PCAR,0.12076509943338995,0.34751273276441247,0.28989226503167637,0.2682604197899724
