,mse,rmse,mae,mape
AWK,0.04650659631951255,0.21565388083573306,0.18766107565034018,0.1620980000745626
IBM,0.546994263735893,0.7395906054946162,0.630659479451359,0.6563134456547308
SEE,0.41014135412083,0.6404227932552292,0.5754359567508116,0.5546811120839189
UPS,0.19899378133389245,0.4460871902822277,0.40596938851324205,0.4130287882129787
FCX,1.2451214276277138,1.115850091915448,0.9701553041979197,1.1580401504695437
J,1.0631528747344927,1.0310930485336873,0.8829404877477589,1.1209043248346287
BLK,0.43748556595019755,0.661426916560097,0.5925391603495024,0.5730193612920248
WELL,0.2572109112666908,0.5071596506689888,0.4462464860872201,0.4227683653637806
MSI,0.20421464106119672,0.4519011408053721,0.397211166670313,0.4147032561647304
CBOE,0.04641136787581442,0.21543297768868727,0.18899424306949256,0.18547188368583425
LMT,0.457929255346172,0.6767047032097324,0.5872440094384581,0.49085607913387924
ROL,0.24993736836675046,0.49993736444353754,0.44367959498567777,0.4388212061664018
CB,0.13599682732623095,0.3687774767067953,0.33658804950931054,0.3236599231252599
SYK,0.13220984227152674,0.3636067137327455,0.3091809331373828,0.27238043108463417
UHS,0.28812159191903114,0.5367695892271014,0.448845476581397,0.3662217311375882
LYV,0.4286060395902198,0.6546801047765388,0.5568226071276233,0.46520856581048986
DXCM,0.02525697567257662,0.15892443384381338,0.13679572709192367,0.12346329099849196
XEL,0.0026986043328445543,0.05194809267763884,0.04136280770305658,0.036255153010497476
K,0.013989640331675497,0.11827780997158975,0.10372531315535355,0.09941094921182346
CBRE,0.1506398261147487,0.388123467616619,0.3360959357894024,0.2891837187454439
CNC,0.050772947745215305,0.22532853291408814,0.17339001081885821,0.13748555547410085
VZ,0.009029846872700246,0.0950255064322219,0.08455365116785692,0.08625187393286574
YUM,0.08280938961295471,0.2877662065166004,0.24382328023309086,0.25559494120344456
CRM,0.26343210417930163,0.5132563727605354,0.43708917755166393,0.4413045487514687
TROW,0.6048184589793725,0.7777007515615325,0.6853167233795024,0.6984809335525354
IVZ,0.08412774182092768,0.2900478267819424,0.2653267968807026,0.250975958943288
WU,0.11973370821237027,0.3460255889560341,0.3147420990784163,0.3521412738742521
LIN,0.20966539111140614,0.4578923357203155,0.39525035562049887,0.3937275241086991
WEC,0.003685058730784134,0.06070468458681038,0.04871352781422549,0.0429020108384427
ESS,0.6031916687843859,0.7766541500464579,0.6941352948953871,0.5918603077146735
VLO,0.22530190721106172,0.47465978048604635,0.38509666988924496,0.3788081531231438
ADSK,0.46140214187818296,0.679265884524008,0.592819169965081,0.540961982905729
COST,0.005152154438886319,0.07177850958947475,0.05491318662632029,0.053869171335635894
VTRS,0.006658521994030618,0.08159976711995334,0.06299754530583938,0.055264965626061424
TSLA,0.30102217550526983,0.5486548783208528,0.43882600756074386,0.3546269289105995
ROP,0.5412359656072804,0.735687410254709,0.6503239105518703,0.610942125333395
ADBE,0.20335650052863857,0.45095066307594955,0.38145596449195407,0.3319266747676451
ODFL,0.08795074973445952,0.2965649165603705,0.2675465472958032,0.21402970234050453
REGN,0.1972922370650382,0.44417590779446625,0.37686502561872165,0.3345789949219945
STT,0.125700768894137,0.35454304237163786,0.3267142471515511,0.3355663177732267
NOV,0.03887450297341983,0.19716618110979334,0.16330556257299486,0.15924555755610145
CMS,0.004549621566994544,0.06745088262576365,0.05227165133516416,0.0468948866758017
AON,0.022191537497565573,0.14896824325192792,0.128851307424616,0.12366814491635576
GE,0.35211069775241643,0.5933891621460713,0.5290904480673017,0.5600071312507119
ECL,0.006572438909183816,0.08107057980046656,0.06614673143568095,0.0652321545896517
APA,0.01741238061794013,0.13195597984911533,0.10244445740845305,0.12328424180078121
IPG,0.20147147286234426,0.44885573725011496,0.39517700514787457,0.3669505796258924
BA,0.10454580447997189,0.3233354364742162,0.28975799688973697,0.3134973845594771
CSCO,0.2148480758881851,0.4635170718411406,0.4028850130250787,0.37595564879114957
NWS,0.10474458939295143,0.3236426878410069,0.2800857617985971,0.3186648693691115
CDNS,0.01487824475558065,0.12197641065214475,0.09758412031548723,0.08320365835053374
TFC,0.5158990961281847,0.7182611615061647,0.6176917181570369,0.5982091813433709
D,0.005828703579587887,0.07634594671354784,0.06249535517513024,0.05849574525256992
IDXX,0.04443425547992144,0.21079434404158343,0.1658795837352633,0.14131780673858765
KEY,0.17298251344664067,0.41591166543707414,0.3590474577540723,0.3547316283387943
COF,0.34060737842901717,0.5836157797978196,0.5154862942569274,0.4861560847830839
DPZ,0.008960054603716563,0.09465756495767554,0.06407229764231709,0.05288026380020143
EFX,0.10225666028674091,0.319775953265315,0.2830992228108786,0.2601162164071322
PCAR,0.34045296406150577,0.583483473683279,0.49418989372811417,0.45611049044104174
CMCSA,0.44912782547570596,0.6701699974452049,0.5862738484023241,0.5596374010486779
HAS,0.3896965494271405,0.6242567976619402,0.5492466889750018,0.5435001984801732
BKR,0.09774179562688864,0.31263684304139305,0.20314513081136948,0.20059726275027104
PLD,0.015164049881900612,0.12314239676854033,0.09453902337996307,0.09242739187121836
EXR,0.002167747152631309,0.04655907164700891,0.040492841836078215,0.037146272108994016
LNC,0.034235616886687414,0.18502869206338626,0.17056283547975545,0.16944971220554247
XRAY,0.03872011443826326,0.19677427280583012,0.18273066696554874,0.1879556908368665
SBAC,0.004430922125958008,0.06656517201929256,0.054225991037954516,0.04818246201856198
KMI,1.2546984196924862,1.1201332151545575,1.0003541664184978,0.9438933406224358
KMX,1.5583588332237588,1.2483424342798568,1.0621553225482145,1.080157904079027
AXP,0.5129534593096919,0.7162076928584975,0.6223600926107389,0.6200999552648437
PPL,0.0016635485231895608,0.04078662186538082,0.03483789208492021,0.03094438208778748
WBA,0.009650019939334304,0.09823451501042953,0.08899964906575088,0.07989405086982018
CDW,0.018180384046062627,0.13483465447006798,0.11685136555242243,0.08797079338183707
CHTR,0.015538474030401563,0.12465341563872834,0.10664924586712378,0.10329793710500466
CAT,0.39072141298705915,0.625077125630957,0.5189236840836428,0.4613169086627138
ACN,1.5396659146045109,1.2408327504561245,1.0855318350791356,1.0833975144358672
ABBV,0.011730793657112364,0.10830878845741172,0.09792041922737822,0.09612488973801316
AAP,0.13840468208656498,0.3720277974648736,0.3175443753567408,0.2594922755889146
F,0.871533298120106,0.9335594775482203,0.8229577342716647,0.903182828798138
ROK,0.7053425416037379,0.8398467369727276,0.7183697783386485,0.731034840130312
MMC,0.02657801095676503,0.16302763862843941,0.14928192927962539,0.13714175826114383
BIO,0.14223345434978127,0.37713850817674566,0.318915157774844,0.3369443712578834
OMC,0.4538105169759911,0.6736545976804368,0.5906963348575698,0.6023301756227699
XYL,0.05902497890377283,0.24295056884842406,0.19948531383622364,0.18688788556700575
TEL,0.046018853175677624,0.2145200530852014,0.16850055491418825,0.15198697273955658
WAT,0.10555374039063302,0.324890351335082,0.2693415150727946,0.27163137424359585
XRX,0.27531974637635276,0.524709201726397,0.47713954336336445,0.4520641662620981
CSX,0.02440581269962332,0.15622359840825367,0.1463160462064859,0.1342357606009003
NOC,0.3237139916900412,0.5689586906709847,0.49883486020138973,0.4396359388292407
JPM,0.18327053943538696,0.4281010855339974,0.3795787900399664,0.3706308601001326
NDAQ,0.09860762133204105,0.3140185047605333,0.2907178802331279,0.28389437298230874
NEM,0.02887702768390955,0.16993242093229163,0.15090842731010087,0.17551063458454305
MMM,1.1304013935063035,1.063203364134211,0.9422601696969627,0.8896892230413737
CLX,0.03460860227987818,0.18603387401190724,0.14219569668316942,0.13900213828230848
SLG,0.004191994494696528,0.06474561371009258,0.054673130233446054,0.04791390053061242
COP,0.008809607345862542,0.09385950855327628,0.08094539369164866,0.07963214438707572
TJX,0.21531027000411176,0.4640153769048088,0.4213218292636099,0.45016192017848533
TFX,0.07405501918889264,0.2721305186650197,0.24020379125634578,0.21548486916368562
STE,0.31022406051594065,0.5569776122214793,0.5031435476812877,0.43350851919231287
MA,0.5328804001134818,0.7299865752967528,0.6555240614228122,0.7021962785913807
FMC,0.10174987357477915,0.31898255998530567,0.251393707120847,0.30874078776693614
ADM,0.37084107339701794,0.608967218655502,0.5492362145519376,0.5000947678108572
AMD,0.314215411578688,0.5605492053144737,0.4513482910428699,0.5825410005310905
EL,0.07980670672773849,0.2825008083665222,0.2576431565683492,0.26250186228504124
EIX,0.003923781289008523,0.06264009330299983,0.05253256442503926,0.044588934317460416
AIZ,0.0846825965958815,0.29100274327896203,0.2550338695167237,0.25371939710673114
HCA,0.12704611326318813,0.35643528622063797,0.2927635687588703,0.21836143247252032
ROST,0.1733079072809799,0.416302663072169,0.382460942624925,0.4195199118070005
NWL,0.21195339787060083,0.4603839678687789,0.4208136750790484,0.41069976060187535
SRE,0.0705465170884788,0.2656059432476593,0.22832775773738923,0.19714553256538908
PNC,0.051640530027943644,0.2272455280702871,0.1845096036109783,0.16480834738944128
REG,0.11327238980890497,0.33655963781907206,0.2944359317180233,0.2667641212136408
KLAC,0.08338277213558351,0.28876075241553084,0.2612323563249564,0.23000281198179068
PWR,0.8271516768367976,0.909478794055583,0.7612799601194536,0.727741783150936
BXP,0.08801875385667271,0.2966795474188821,0.24298594089385014,0.20750481457760594
HD,0.11705275295019663,0.34212973116962025,0.31683298279814753,0.29672302757275215
CMI,0.5462904984061215,0.7391146720273665,0.6359393662599482,0.6158734663122241
NWSA,0.04215559530866332,0.20531827806764627,0.17226984016747934,0.19060957498413586
BEN,0.5116323980781873,0.7152848370252143,0.6350574410850163,0.6587128891375772
DAL,0.5950871073561705,0.7714188922733034,0.6920610857039984,0.5124545243214917
NUE,0.2714842155307577,0.5210414719873627,0.46606770989012464,0.4796525962581025
TER,0.10954481224540269,0.3309755462951949,0.27156907119706464,0.2517144520116906
DHI,1.1205582791520199,1.0585642536719346,0.9095047919168888,0.8827995674803754
QCOM,0.0042392782468729144,0.06510974003075819,0.05482539056760503,0.051662645868592705
OXY,0.16599446044433908,0.40742417754023763,0.3407206063807872,0.3583732912319085
BAC,0.050422832979126045,0.22455029053449485,0.19428024092513418,0.18957993387370914
CPRT,0.10099211618235024,0.31779256785260135,0.2762817794439841,0.29404724254263054
VRSK,0.010696578154609938,0.10342426289130582,0.09694511803267161,0.10839376767173302
AMCR,0.9065842190739039,0.952147162508981,0.8230328026349822,0.8469366117902476
DVA,0.2150886123762347,0.46377646811393386,0.3969738451054871,0.3447824828864036
LHX,0.5682487031688618,0.7538227266200335,0.6442551131986811,0.63180895134515
ILMN,0.35992894039814044,0.5999407807426833,0.5038872787922688,0.3275687925020823
ALL,0.005972848748664507,0.07728420762784922,0.07072405217493237,0.06462776466339212
GPN,0.0075036582628915695,0.08662365879418607,0.07296836823350855,0.06587924611467504
MET,0.3955612767602882,0.6289366238026596,0.5571317079072576,0.555516614011317
XOM,0.42144607902381176,0.6491887853496945,0.5674042684295617,0.5861243206019341
CMA,0.3529100644194639,0.5940623405160976,0.5097516663699644,0.5034633923944681
WYNN,0.5594479571390419,0.7479625372564069,0.6011982022989429,0.623512948664851
EMR,0.49714118995928347,0.7050823994110784,0.6210828468046354,0.667280468044927
MRK,0.03329204294102733,0.18246107239909376,0.14032275262991203,0.11787770821873096
AZO,0.04619289389302244,0.21492532166550882,0.1768611842064376,0.15729545469845524
TSCO,0.6267025636579902,0.791645478517998,0.7134867348272951,0.818737550099367
LEG,0.4071008500495125,0.6380445517748056,0.5705006799236527,0.48850512763953885
HUM,0.003190828217775647,0.056487416455133145,0.04549282531914998,0.041195894302083834
MNST,0.4070659148250738,0.638017174396641,0.5787169131104704,0.4843678284985524
UNP,0.0014890585547172395,0.0385883214809512,0.0269816447010168,0.021646563940794103
PVH,0.2871805244777424,0.535892269470033,0.48213338458655774,0.5448296281058156
DXC,0.3707299586993326,0.608875979735884,0.5104119252710327,0.46470103937583124
DRI,0.3672661309404885,0.6060248600020369,0.5493285400949969,0.5765216213151939
ADP,0.2364121711139234,0.48622234740283526,0.44415411449575104,0.4239426392314587
CAG,0.16545582850222226,0.40676261935215025,0.37613794451256016,0.3826842423952848
MDT,0.001826330618966449,0.04273558960592973,0.03562260681802138,0.03247105532130508
WHR,0.26497468301709215,0.5147569164344391,0.47231423047484183,0.4800417202756116
SWK,0.008946533243176027,0.09458611548835287,0.07630904634462209,0.0756012319436938
DOV,0.6557820033075065,0.8098036819547726,0.695215908876543,0.6818248194305192
CME,0.06702023340344221,0.25888266338911575,0.24494957890429256,0.2586509941938225
PFG,0.04294683912514581,0.20723619163926413,0.1955097505172776,0.19681089371147661
USB,0.1459409224886755,0.38202214921215694,0.3316008526331993,0.31230299388837107
EQR,0.12544699962093006,0.3541849793835561,0.3160999950745936,0.2620835760626809
TGT,0.03321855821483452,0.18225959018618065,0.13235356898180567,0.1323909048498933
WMT,0.0055635472186803,0.07458918969046587,0.05169548983097845,0.05113024057341958
ATO,0.029017368171665586,0.17034485073422556,0.14123561105289317,0.1276112589334235
APH,0.09626370957388271,0.31026393534196445,0.27262919109660005,0.24358238245335354
UNH,0.09268175117161084,0.30443677696955546,0.2762203213311366,0.24088238718941193
LYB,0.09843001836851092,0.31373558671038726,0.21053048369920396,0.18761760475705994
ORCL,1.315208136631576,1.1468252424112297,0.9924326424272022,0.9240732271319094
INTU,0.042020402517095774,0.20498878632036382,0.1878133058375063,0.17303778456343635
EVRG,0.001801929962293605,0.04244914560145593,0.034015449903545956,0.029550692732828496
JKHY,0.09241709127118745,0.30400179484862827,0.27285556334493644,0.27442711964512295
AJG,0.001986923937224939,0.04457492498283019,0.03890310538671426,0.03985312529207266
SLB,0.06947870509863835,0.2635881353525578,0.18956072093496484,0.18639780370293638
FFIV,0.44592648879824315,0.6677772748441229,0.557384674515175,0.4319621112264243
BDX,0.15232912283728797,0.39029363668562156,0.3434847336552177,0.3090395048991169
AMP,0.46260343901776807,0.6801495710634302,0.6095818707137698,0.5718351626222756
HBAN,0.21193144709188447,0.4603601276086847,0.4097594998457039,0.40230510297740246
CVS,0.34898965139476457,0.5907534607556392,0.5286523212289945,0.4633141408108022
SNPS,0.5136635422830849,0.716703245620588,0.633541524796677,0.6412330097978575
MAA,0.028105382786456547,0.16764660087951844,0.1570855454000266,0.14414417498652593
FRT,0.06573067964911515,0.25637995173007416,0.23217243335382354,0.20000015974901722
PSA,0.019415642074921198,0.13934002323424952,0.12759509691701096,0.12280862116458965
ZBH,0.03859089596438487,0.19644565651697385,0.1708122186679711,0.15419845523828768
ICE,0.23253983019667232,0.48222383827085147,0.44068531896993113,0.4911591926298417
BK,0.23586567882377193,0.48566004450003086,0.43920143932669886,0.40388575441021274
CF,0.020014920478888507,0.14147409826144328,0.12107635913831132,0.11184813334331416
CE,0.06215818944770931,0.24931544165516364,0.21549568443861988,0.2043783456238666
PFE,0.010454084358870002,0.10224521680191206,0.08775279298171124,0.0905298056135895
NI,0.1690806116154464,0.41119412886791856,0.3537810074850598,0.28981006895647976
UDR,0.3179983769374458,0.5639134480906142,0.499872889189633,0.4257882079249655
KR,0.14451020812966225,0.38014498303892197,0.32033080647574186,0.2612620225054457
KIM,0.16932029656449327,0.411485475520696,0.3650310043890595,0.326921819108491
PEG,0.0991199670290212,0.31483323685567444,0.2850459445740389,0.2436472260458081
SYY,0.07219881218542833,0.2686983665477487,0.24201931172937127,0.25233900421639305
SHW,0.03992291682876085,0.1998071991414745,0.168543426376039,0.14601370966740154
MAR,0.13349545015519326,0.36537029183445285,0.3230650601880493,0.23753388200885694
DUK,0.00818224770851835,0.09045577764033844,0.0675416824140211,0.06111556473230526
HOLX,0.003228243512890194,0.05681763381988195,0.04315324849347636,0.043590310025158466
EQIX,0.13794118661041785,0.37140434382276394,0.32174140152154057,0.2724802506876497
EXPD,0.11904475212094368,0.3450286250747084,0.3102496030108295,0.3371305466678111
