,mse,rmse,mae,mape
AWK,0.0022696621565606806,0.04764097140656014,0.04054659388845578,0.03563289994205875
IBM,0.22506335237355524,0.4744084235904283,0.4005120802901371,0.4181040932086563
SEE,0.2305709147409046,0.4801780031830952,0.43760346856691523,0.4234447518024628
UPS,0.0993077011555574,0.31513124433409867,0.2929011749030368,0.29874488397136445
FCX,0.8004888193184763,0.8947004075770147,0.7795436349297701,0.9327350822844711
J,0.7172470971967349,0.8469044203431311,0.7250947422249299,0.9207600502788771
BLK,0.2683160778953563,0.5179923531244031,0.4692593183259992,0.4547539487556733
WELL,0.3152347567722205,0.5614577070200573,0.492435293978425,0.4662683903480265
MSI,0.10234945926548712,0.3199210203557858,0.2846472370184735,0.2972030030215479
CBOE,0.008924727685916041,0.09447077688849627,0.0783837916030069,0.07966111684075997
LMT,0.2561957815239083,0.5061578622563403,0.4410733966916177,0.36921394317894574
ROL,0.15836841049162828,0.3979552870507292,0.3574088939410991,0.3537998978163212
CB,0.03263062268045513,0.18063948261787932,0.1726770541556583,0.16760888165889465
SYK,0.05012532360262746,0.22388685446588297,0.19103608645610023,0.16876211850372566
UHS,0.2702622794846901,0.5198675595617505,0.4305674290848906,0.3501547270473143
LYV,0.2768616287465167,0.526176423594327,0.44776807734193885,0.37452633435665117
DXCM,0.021503355035908767,0.1466402231173588,0.12455560886428071,0.11097921926433495
XEL,0.021806674091739062,0.1476708301992613,0.12842878181768125,0.1126347198558292
K,0.02887791319507205,0.16993502639265412,0.14924182228175178,0.1434838822359944
CBRE,0.14986863586386617,0.38712870710380826,0.339207534779475,0.29221378195680736
CNC,0.35807484379681026,0.5983935526029757,0.5014527769428179,0.40803479008573407
VZ,0.0029168810182040703,0.054008156959889586,0.04515012171866864,0.04529382747296595
YUM,0.004408136878590177,0.06639380150729567,0.05463231637442766,0.05775598370001991
CRM,0.07349376384339523,0.2710973327854688,0.23789173559200905,0.24084446415108324
TROW,0.27865377780762934,0.5278766691260652,0.46926071741827097,0.47840608119138217
IVZ,0.05207830212717909,0.22820670920719902,0.21211758911064713,0.2017558078474699
WU,0.033684832963831214,0.18353428280250864,0.1713975641820654,0.19326022075375607
LIN,0.08640223404355636,0.29394256929467766,0.2548833791550144,0.2539941476342349
WEC,0.021507134958624104,0.14665311097492648,0.12675234878893446,0.11122404448765395
ESS,0.6290922987473013,0.7931533891671279,0.7071186999208231,0.6026002587357983
VLO,0.18361934705923863,0.42850828120263745,0.34856709613048675,0.34276561055766575
ADSK,0.24035271522959453,0.4902578048635172,0.4298578848911106,0.39334697467984986
COST,0.03589450075829541,0.18945844071535956,0.13689268540276475,0.1312891994849038
VTRS,0.06048049381507477,0.24592782236882993,0.2216611214858665,0.19095511074245777
TSLA,0.23688038827514335,0.4867035938588736,0.3885990901226676,0.31538913114713363
ROP,0.3490173198715942,0.5907768782472738,0.526195625318623,0.49498189531247383
ADBE,0.082627147979526,0.28744938333474646,0.24285736075031478,0.21221868570492583
ODFL,0.0251481581000043,0.1585817079615562,0.1463745258687669,0.11950935899634002
REGN,0.2368763486818258,0.48669944388896297,0.4127192250390139,0.3665457074859886
STT,0.06891441201792055,0.26251554624044754,0.24594150268353043,0.2541514548122849
NOV,0.07659858011994718,0.27676448493249123,0.2332813559100279,0.22967265930074834
CMS,0.006194822881968992,0.07870719714212285,0.06527147688676074,0.05687158199405628
AON,0.0014722759370010689,0.03837024807062197,0.03057479527816071,0.029715437116376923
GE,0.2064482395652591,0.4543657552735011,0.4098639190589456,0.4338802981266918
ECL,0.0052075926022786155,0.07216365153093776,0.05913657659102778,0.0568114407871488
APA,0.026356485067519496,0.16234680491934386,0.12321417882358622,0.12565605118005363
IPG,0.0273253114182447,0.16530369450875773,0.14592026232941857,0.13759676568957277
BA,0.03209034238905669,0.17913777488027668,0.16493814295753365,0.1787429699232934
CSCO,0.0677368931568936,0.2602631229292648,0.22715631296290142,0.21269335272219425
NWS,0.03801455304974608,0.19497321110795215,0.16816390500997871,0.19197637095797848
CDNS,0.004975249851683056,0.07053545102771411,0.05518433573955096,0.047921398117928136
TFC,0.33913367388737553,0.5823518471571766,0.5011647416969988,0.48535087176931935
D,0.008669694913778824,0.09311119650062942,0.08553679616912745,0.0794165549508981
IDXX,0.00572677932631431,0.0756754869578935,0.057195225029805036,0.05070787362430959
KEY,0.06686121002012703,0.2585753468916305,0.22287317375201487,0.22054670119684802
COF,0.18288054639573628,0.42764535119154085,0.3817429333327926,0.36079374631280803
DPZ,0.018897161744569537,0.137466947825903,0.09145902398630533,0.0746452978778563
EFX,0.008972376401648748,0.09472262877290066,0.08442790583134407,0.07890808176268888
PCAR,0.1392108001830012,0.3731096356072853,0.31260140216396964,0.2891026188447569
CMCSA,0.29308750067723743,0.5413755634282337,0.4767158319608783,0.45550858728749755
HAS,0.26939229412500065,0.5190301476070543,0.4609772088248396,0.45651533305690883
BKR,0.022184601343966263,0.14894496078742062,0.12298086116015228,0.11546319046334716
PLD,0.002421927064976664,0.04921307819042276,0.04491660842166746,0.04370416215907883
EXR,0.010782185240368019,0.10383730177719382,0.09559041003941945,0.08465999890064024
LNC,0.004129116034498677,0.06425819818901458,0.051942289759076256,0.051021491514261275
XRAY,0.006193606984846863,0.07869947258302855,0.07072992054305856,0.0743022018676599
SBAC,0.002506027549367996,0.050060239206060494,0.04041319190430289,0.0355874609160492
KMI,0.9743051218223411,0.9870689549481034,0.8871776210784771,0.838839422573411
KMX,1.206698930412881,1.09849848903532,0.9304762782312515,0.9448824111072764
AXP,0.4182035291460738,0.646686577211924,0.5654132562651454,0.5633261019390802
PPL,0.01932768960336771,0.139024061238937,0.12496030760589982,0.10901570127085737
WBA,0.02342735558119048,0.15305997380501044,0.13175996542671775,0.11396088533284808
