,mse,rmse,mae,mape
LVS,0.23435511572353215,0.48410238144790424,0.3987625530556675,0.4834364450163553
PAYX,0.5229861402506244,0.7231778068017743,0.6535162426106601,0.6885280283943416
KMI,1.1329970646229706,1.0644233484018333,0.9510343196776696,0.9344654392634887
WAT,0.04256182396812342,0.20630517193740786,0.17366898178710008,0.17551511150444765
UNP,0.006141395393286503,0.07836705553538746,0.06286324761880102,0.049175575447344695
LRCX,0.1808105871511094,0.42521828176962173,0.3919224000803524,0.3167588920057393
EW,0.17029892735889504,0.41267290601503637,0.32871723112689877,0.24893396832462125
ROL,0.23053668804148025,0.48014236226506846,0.4267984947791032,0.4265661481499528
MSFT,0.17567491578923253,0.41913591565175196,0.35684138190863185,0.3092340553974617
CVX,0.07858678459642496,0.28033334549501054,0.24403996576733705,0.25848363153884457
AJG,0.0014646458517266238,0.03827069181144527,0.03284601032258168,0.034496037138826915
DOV,0.5399185065105206,0.7347914714465055,0.6291559188754154,0.6246730182147041
CDW,0.01987950895231543,0.14099471249772252,0.12305175161745001,0.09289274814996598
DLTR,0.0073039746589572945,0.08546329422013461,0.0792054227381373,0.08551749278451316
BKR,0.04181735836196471,0.20449292985813644,0.14329824717225462,0.14157312754693796
PRGO,0.03198428585075751,0.17884151042405538,0.14643081156692853,0.1490314613750294
GD,0.07430381234987456,0.2725872563966895,0.22995473695865157,0.1754912999000652
TXN,0.005843154279744399,0.076440527730677,0.06029262903314967,0.05659087493596574
ARE,0.0024794495794765005,0.049794071730242154,0.0440628934235295,0.03881813461187761
A,0.19685003069990878,0.44367784562665374,0.3876560032327471,0.3938021528729225
BDX,0.09872861512096755,0.31421109961452276,0.2764962970221493,0.2518370332716197
DVN,0.033009397367800127,0.18168488480828593,0.11935367194755206,0.12637102933648325
ORLY,0.007432400618142336,0.08621137174492896,0.06841841893649879,0.06005119151050883
FFIV,0.21570640572473698,0.46444203699141723,0.3895280436052568,0.30228266840066137
MSCI,0.024373227598154745,0.15611927362806535,0.1270643950831161,0.12271103322744795
UNH,0.028682136188194856,0.16935801188073404,0.15481936297795315,0.1380020550784482
SCHW,0.032645760504265604,0.1806813784103542,0.1573230301489672,0.14799079595934847
HBAN,0.1376190124892473,0.3709703660526637,0.3305634152965636,0.32858074394110537
PNC,0.037827483082698225,0.1944928869719873,0.15733699097125797,0.14320473446222967
GOOG,0.14709582137472252,0.3835307306784197,0.32039696582528276,0.3250022559507881
MET,0.22372392807481176,0.4729946385264972,0.4204816982598124,0.4271393085398055
RJF,0.4539786889173364,0.6737794067180567,0.5930460990574402,0.5827094618018043
IT,0.3936559541217817,0.627420077875885,0.5623362892272661,0.5330224444788161
AAL,0.03820989220170067,0.19547350767226918,0.1685096090826146,0.11675091087726047
HCA,0.1005954302564523,0.3171678266414365,0.25661586229009986,0.19039237626020178
SYY,0.07904113285993059,0.2811425490030468,0.25324653735590663,0.2703603117651285
CTSH,0.3038600330037741,0.5512350070557693,0.47984802938387844,0.49829446987381515
J,1.0040243900397894,1.0020101746188954,0.857606029562701,1.0888956905165914
AAP,0.12922221684513632,0.35947491824206085,0.3070119866534517,0.2512054514867036
LH,0.48620453152489784,0.6972836808106855,0.6141618310874796,0.6398547978597091
HRL,0.038405735526259005,0.19597381336867178,0.1678997685339149,0.1529087902503884
IPG,0.08639384718648702,0.29392830279931703,0.25908892766116864,0.2445352074950849
APA,0.046617203748943854,0.21591017518621916,0.1705890135001921,0.17677254446792287
AMT,0.004133361665856224,0.06429122541884097,0.05440416911862187,0.04802397367732193
CTAS,0.7152935315238366,0.845750277282743,0.7527585575734134,0.6750043503151152
ABBV,0.014036556640915316,0.11847597495237301,0.10772931717361355,0.10744756270655792
RMD,0.1283912327091441,0.3583172235731128,0.3021242300194012,0.3355492167267266
LNC,0.004869690174320533,0.06978316540771516,0.0567743072121558,0.05898225083062404
PG,0.07150562213308526,0.2674053517285794,0.21610596894880224,0.21717599692897777
JCI,0.9155958358988115,0.9568677212127137,0.825455039475427,0.7873391687783401
MKTX,0.03487889025185001,0.18675890943098272,0.17086317504845597,0.21017052384895543
CSX,0.018176953686140876,0.13482193325323916,0.12590331545685388,0.11743752761454876
ALGN,0.029545090241500784,0.17188685302111031,0.15697107675085717,0.17427439413165197
SEE,0.3162198020105405,0.5623342440315551,0.5070437023701092,0.4936062852706177
TSCO,0.39133614740156936,0.6255686592226063,0.5662667583062277,0.6587560038007967
WAB,0.5768372019557513,0.7594979933849406,0.6629093783946659,0.611400449118387
LOW,0.06657450960694884,0.2580203666514503,0.2371278487264618,0.24088166800839086
V,0.7077502736123564,0.8412789511287896,0.7437792064706468,0.7398798190663345
TT,0.8362023448607158,0.9144410013011861,0.8045713353568476,0.8203189882005454
TSN,0.0630716517578502,0.25114070111762093,0.2344433016157894,0.19982852686542635
VTRS,0.03960278407173177,0.1990044825418055,0.17838847112780984,0.15327581971310275
MHK,0.20261157225888315,0.4501239521052875,0.4021210351502169,0.42811350674916
CPRT,0.11415341017735343,0.33786596481053466,0.2950138415027679,0.3136973332119901
FIS,0.15310940357362204,0.3912919671723687,0.34641685745619394,0.3280128880760472
NOV,0.04381464940676705,0.20931949122517723,0.17414391757608297,0.17268502148084067
IBM,0.25077898692722334,0.500778381050164,0.4210519200775041,0.4469317990079303
APTV,0.011793629050507628,0.10859847628078226,0.08145529910740885,0.07267662778095854
LLY,0.0022029162476712625,0.04693523460760863,0.03794344410057904,0.031686637554124784
AWK,0.03847743969400435,0.19615667129619718,0.17041662838546232,0.15078016384195486
GOOGL,0.14764733892781276,0.38424905846054164,0.32047144365841246,0.3209395155182322
EQR,0.1603803727608358,0.4004751837016069,0.35605833723501096,0.304103623586839
RTX,0.14615756737774624,0.3823055942276365,0.3221951783984831,0.3326946156402401
NTRS,0.4856419069840117,0.6968801238261941,0.6110893073958213,0.5775128846937588
PSX,0.24335047995176026,0.4933056658419405,0.41014391491380564,0.40364240200283386
KMB,0.0018954664508526555,0.04353695500207445,0.034320365662768276,0.033218049565757767
XOM,0.34605969495772365,0.5882683868420295,0.5139158013469037,0.5412438675194366
CHTR,0.0040921905721665935,0.06397023192209478,0.05180558234430443,0.0509509606129114
PNR,1.240706488571008,1.1138700501274859,0.9588134807398285,1.0846713753562318
ADM,0.2841757295985425,0.5330813536398947,0.4822396650798812,0.44546968824239924
FLS,0.7408040114738897,0.8606997220133684,0.7364295445094445,0.8387963347419505
ES,0.010046305391572048,0.10023125955295607,0.08080679174995865,0.07590792560969782
HES,0.13384538438018104,0.3658488545563332,0.29444642810421434,0.29848528654635414
HAL,0.037348551333468136,0.19325773292023307,0.14699642116754205,0.1576273646341978
IVZ,0.08335344536544764,0.2887099675547203,0.2640792645872069,0.25382737230150054
TDY,0.09966228647635138,0.3156933424644102,0.27339219675603027,0.2607955741724307
ALB,0.8581511269623395,0.926364467670441,0.8221415903283531,0.9070237955382408
ICE,0.16507655077077893,0.40629613679036986,0.3726891591426085,0.4189866515694797
LYB,0.042284564119813,0.20563210867909953,0.11777887507983158,0.11007495567075883
APD,0.0853452586352149,0.2921391083631476,0.2584179562023469,0.2264707362068064
IRM,0.06252177446675959,0.25004354514116056,0.24143932575229746,0.22706648362691842
USB,0.06135769541724188,0.2477048554575422,0.21389439523286993,0.20524465233248226
FRT,0.09538234019156383,0.3088403150360455,0.27770249052657353,0.24424645910808998
GLW,0.020207497071899026,0.14215307619569484,0.10102516543271622,0.0897769194528899
REGN,0.2082770865039212,0.4563738451137633,0.3870078005114949,0.3435440432808792
LUMN,0.009216791459410987,0.09600412209593391,0.0815264858807721,0.07678312659577544
CE,0.07565637815713037,0.27505704527812114,0.2380715623200056,0.22920840804567566
LDOS,0.9942744773979444,0.9971331292249518,0.882346425056242,1.1289956840363253
VZ,0.010597864998093308,0.10294593240188418,0.09328805330649473,0.09810418270312522
TFC,0.4358349715553961,0.660177984755169,0.5660061525852266,0.5580294100523001
AAPL,0.05218294530109412,0.22843586693226203,0.18371987729171327,0.14917182179754634
TER,0.12564741060747714,0.35446778500658865,0.2917293458378272,0.2717176534782387
AMCR,0.75465747926455,0.8687102389545952,0.7500077985602611,0.7957563184314335
T,0.09345689204137266,0.305707199852036,0.27060203226012397,0.2850061157505728
SHW,0.048083994212884826,0.2192806289048005,0.1857425581373571,0.16262752978965309
O,0.009801425806285995,0.09900215051344084,0.09078613299143842,0.08800583362034724
BKNG,0.01234670413595891,0.11111572407161334,0.09865995406004846,0.09667123271303606
HBI,0.07397390354078932,0.2719814396990893,0.21982137816235198,0.15251508824584029
PM,0.01204307820829416,0.1097409595743274,0.10237227073510066,0.1113399249412677
DIS,0.3487772363428218,0.5905736502273208,0.5134003591802583,0.44930019755874806
INTC,0.04979632203238226,0.22315089520856118,0.2060228446680938,0.1754528740413368
CB,0.05305781826555589,0.23034282768420616,0.21514224274357682,0.211731275852631
XEL,0.03821097761690865,0.19547628402675515,0.17245779311879586,0.1563638606635768
LNT,0.039082111947609015,0.19769196227365698,0.17196286264700958,0.1544657591910515
NKE,0.012695379952035088,0.11267377668310886,0.0789570025945179,0.07242774170762736
UDR,0.19217924504697034,0.4383825327804135,0.3884695592967032,0.34046549213088045
MRO,0.09683532030846383,0.3111837404307362,0.2670557188322156,0.2799845582961601
EXC,0.25843233282086403,0.5083624030363222,0.45889110929599364,0.4014910375357143
ETR,0.002843566089516891,0.05332509812008686,0.045282204182075715,0.041943588636612905
AMZN,0.25693225767672806,0.5068848564286844,0.45823262658666286,0.57517110535012
WST,0.04227884339959192,0.20561819812359003,0.18647970812302664,0.2122645527651616
KIM,0.17148034152734626,0.4141018492199066,0.3667740103917603,0.3390924259979803
MCD,0.04413692280846509,0.2100878930554188,0.1761152135769831,0.18325663872479575
DHR,0.07700938808183592,0.27750565414390377,0.24835769814837405,0.24629873841151714
CMS,0.0010850988718631126,0.03294083896720168,0.025487234272448502,0.023758550574434153
WY,0.24936601626782973,0.4993656138220069,0.4530358632882891,0.439931403401564
YUM,0.038485356927724146,0.1961768511515162,0.16407066554252964,0.17522414526937555
PPL,0.001263047288037947,0.03553937658482415,0.03028267742008249,0.027924890025841906
META,1.0513294349109685,1.0253435692054487,0.8861721471918623,0.7206273255173005
ALK,0.19798579080381207,0.44495594254241855,0.4012334942929296,0.31895529643348075
SJM,0.0016913228651778067,0.0411256959233252,0.03698723123416084,0.041386178126880266
AMGN,0.011283657269812356,0.10622456057716763,0.0818864526195861,0.06998606993521131
DVA,0.1365476459066246,0.3695235390426767,0.31437931275714903,0.27296039973981284
TRV,0.08332431073579091,0.2886595065744257,0.26881050390867856,0.2606974328858122
FTI,0.11603272332299329,0.34063576342332774,0.28019836040796586,0.31310428039109184
COST,0.024474083523544802,0.15644194937274594,0.10938891395013538,0.105287505544946
FCX,1.0645722534802722,1.0317811073480034,0.8984887082699023,1.1031727684987824
OMC,0.38493762879843946,0.6204334201172914,0.544576840139805,0.5634872383532252
EXPE,0.38543162087514576,0.6208313948852343,0.5403543424163416,0.4626454157220254
LKQ,0.0071356170861069474,0.08447258186007427,0.07198610616377475,0.08872399998563665
TEL,0.06551817897872432,0.25596519095127823,0.20651881103612554,0.18823367668388685
ILMN,0.19958433763771452,0.4467486291391553,0.3777690307755114,0.24620997853414459
CHD,0.0013628614741969032,0.03691695375023382,0.026174282672745245,0.024661282499287156
IEX,0.2291578323254547,0.4787043266207803,0.4159609283482208,0.40804366796130037
DD,0.7583647783268324,0.8708414197354375,0.7382051373917125,0.6644433304895854
GRMN,0.23646206131529457,0.48627364859232763,0.4403250618569145,0.3918766735243421
AVY,0.08284807207507458,0.28783341028288323,0.2481802559358678,0.2613411567053971
MAA,0.038162288290980374,0.19535170409029037,0.1820579376451107,0.1720717599978207
INTU,0.022889476585168312,0.1512926851674208,0.13913149184189275,0.129932734075027
AES,0.016651407120168188,0.129040331370344,0.1104427917392868,0.11688128770166985
K,0.011433837004982492,0.10692912140751223,0.09402283143311937,0.09240569972784861
BIO,0.10660085296405775,0.3264978605811342,0.2749544106325347,0.29064999606583136
DXC,0.1508116154658939,0.38834471216419814,0.31736695043510915,0.29177929887012183
ROK,0.5296900141835819,0.7277980586560958,0.6203287682162226,0.6406506509496751
MGM,1.7260699925180492,1.3137998296993532,1.1054615167308237,1.117160767703484
GPC,0.005428550976531734,0.07367870096935568,0.05959463020431889,0.05696001719333472
AMP,0.27999795747166006,0.5291483322015293,0.47676568840556677,0.45387975460276847
TMO,0.8302321342861129,0.9111707492485219,0.7786742608385205,0.7158489646043251
MS,0.0033071849652810785,0.05750812955818576,0.04578176135012823,0.04329107845408027
COF,0.23407621059184053,0.4838142314895672,0.4286886986213148,0.4090324470222059
CMG,0.005777084111745623,0.07600713197947692,0.05962145637481862,0.054308611252867116
LHX,0.42960367073678857,0.6554415845342654,0.5573524234567014,0.5552396460613164
AIZ,0.05510825228486699,0.23475146918574757,0.20625821026209884,0.20739849050371373
ADI,0.1456327877786493,0.38161864181228006,0.32786437738147023,0.3274870770282836
ED,0.0037412984367993824,0.06116615434044699,0.04085120876267438,0.03952431527685298
DRI,0.32711068311164726,0.5719359082201845,0.5205068157305198,0.564409100392649
ALL,0.003735850261900658,0.06112160225240057,0.04219977515728065,0.03671836082248966
IDXX,0.02350059476280987,0.15329903705767323,0.11788664844088917,0.1013737027758886
DPZ,0.011055930768428668,0.10514718621260707,0.06730450850009409,0.05530124780723268
HII,0.7968390638504266,0.8926584250711056,0.7604943681207618,0.6765521701775598
BEN,0.3487689891860993,0.5905666678590142,0.5261858393130264,0.5486431541793557
EBAY,0.21300782966108828,0.4615277127769125,0.40260200292534787,0.421662332827315
FAST,0.002288308789065678,0.04783627064336932,0.039435274193981594,0.04231247845344805
NVR,0.555586488428639,0.7453767426131829,0.6352208347461563,0.5634482887611839
NOC,0.32319084015455307,0.5684987600290374,0.4979171612352203,0.4446146393734166
PFG,0.02569290896210732,0.16029007755350086,0.1523673687965091,0.1572147794502697
COO,0.003048033644863726,0.05520899967273204,0.045209608869422574,0.04317927144951506
AVB,0.12758114728378825,0.35718503227849324,0.31437693526370664,0.2837882566148529
CMI,0.4218624908951494,0.6495094232535424,0.5568358318585229,0.5461838708763662
CAG,0.13874105886797836,0.37247960866063307,0.34590947746468187,0.35974080080074644
MAS,0.07725368891771547,0.2779454783185283,0.2489183777122049,0.25197620852207336
ROST,0.11427311018274937,0.33804305965771486,0.3115955066464064,0.3465497778783175
SRE,0.010468573369484757,0.10231604649068864,0.08534585747491477,0.07527702881405991
QCOM,0.002136499391397383,0.04622228241224553,0.038585479812533116,0.03738944800036499
AMAT,0.06175941866515818,0.2485144234549741,0.20616797589306426,0.17307456094748488
EOG,0.20056334384597485,0.4478429901717508,0.3463731793985307,0.3318396640116402
GS,0.2609667829248828,0.5108490803797955,0.4654983919998899,0.46837775331337816
AIG,0.06605349798913172,0.2570087508026365,0.2277536296528482,0.22441240356822395
HD,0.056777073588346605,0.23827940235854758,0.22268317455657452,0.21298866712054024
VNO,0.019976311641798732,0.14133758042997174,0.12846107338551305,0.11018276862407876
CRM,0.1422706160059303,0.37718777287437394,0.32495665980381744,0.3284188220725556
IQV,0.2420756059069261,0.4920117944794882,0.41822862369766106,0.3531916235237455
ETN,0.6286655263404372,0.7928843082949978,0.6882451457563531,0.7650216774757487
STT,0.09367226422687001,0.3060592495365399,0.28384239714001874,0.29452339643445896
NVDA,0.009189797912606226,0.09586343365750168,0.085133651007822,0.07266895949853278
TGT,0.04187563837219761,0.20463537908240015,0.15284037712807944,0.15730399419292102
MA,0.6361315347596118,0.79757854457076,0.7145182626384677,0.768253227797536
CNC,0.2369654013683788,0.48679092161664106,0.40388790340861885,0.32731756880969265
EXPD,0.03256887803230863,0.18046849595513514,0.16371497507606975,0.18153227516027112
APH,0.06732090001253703,0.25946271410847654,0.22815401956354303,0.2050239810291223
FE,0.016333221983551735,0.12780149444960234,0.11713037498506998,0.1328123277620176
FITB,0.18679615503823574,0.4321992075863117,0.3625621454887241,0.37551146138134334
CMA,0.2011610756972744,0.4485098390194739,0.38211183414206407,0.3813879346507187
MLM,0.014602594935996327,0.12084119718041661,0.10735623554959856,0.090776365887118
WM,0.03434562367684397,0.18532572319255622,0.17778533223126514,0.18010874550355346
BIIB,0.12641092365396536,0.355543138949362,0.3232018644599142,0.29380844138014
UPS,0.1614611248081803,0.4018222552425143,0.3670034930627877,0.3799694882414133
NEM,0.05541923566402264,0.23541290462509196,0.21351576009880643,0.2572567037162326
TXT,2.229760478556529,1.4932382524421643,1.2960090356518854,1.2225080453781776
GWW,0.00786026909751565,0.08865815866301109,0.07812989372974813,0.08629531472991055
HST,0.28398380956917213,0.5329013131614259,0.4639923024764517,0.4081364250339558
PCAR,0.07724639659721275,0.2779323597518158,0.22612083427148694,0.2120760293336371
BWA,0.11752388106843417,0.3428175623687243,0.26799901741455007,0.25993244051181386
BAC,0.0192707488502261,0.13881912278294406,0.12401841511735218,0.12198764797631431
TMUS,7.451491762421186,2.7297420688448177,2.371625169544455,2.684706940947005
ZION,0.03381253263354545,0.1838818442194483,0.15303965644112252,0.16008714564897597
AON,0.004530254639063618,0.06730716632769217,0.05263776969250242,0.051856710561335354
CBOE,0.018681502904155475,0.13668029449834923,0.11758479231794808,0.12026493219466372
SLG,0.006670172956212183,0.08167112682100194,0.06905406909741693,0.06113211337614048
KR,0.18958728869672914,0.43541622465949653,0.36654826530396556,0.3028129774704924
CNP,0.004962960015316406,0.07044827900890416,0.0632362268289252,0.06487741927587891
ESS,0.5401085896561675,0.7349208050233491,0.6562223007286453,0.5725495405058042
ODFL,0.044044695940596894,0.20986828235966695,0.19098447110088532,0.1539964241262151
ADBE,0.13390003485668792,0.36592353689901924,0.307595560438978,0.2679479007571043
ANSS,0.15921047560111493,0.39901187401017896,0.36631082917996716,0.4154770214698908
UAL,0.2912782430750695,0.5397019946925058,0.4717329063361243,0.3736028894007575
CCL,1.8921423817655776,1.375551664520667,1.2062133993012356,1.2314402187407434
RF,0.044516368795511664,0.2109890252963686,0.17106093102606176,0.17003462793407112
MMM,0.9037413066881669,0.950653094818592,0.8434314550185188,0.8091286040772521
VFC,0.5189604084350505,0.7203890674038929,0.6450145731848048,0.6146887488928882
SYK,0.07840475133674098,0.28000848440134984,0.23718126302107267,0.2111478087772141
DHI,1.0627658511709588,1.0309053550985943,0.8856974594869694,0.864486596881702
HPQ,0.028418521717394892,0.1685779395929221,0.13910653081238103,0.11205265576436477
CF,0.01933590287628676,0.13905359713537352,0.11910466714708105,0.11141303024515314
OKE,0.08306123045535625,0.288203453232879,0.19517564023796855,0.1867510647908828
LYV,0.30126629006941236,0.5488772996484846,0.4640311001626365,0.3878582815735251
HUM,0.030030136037449338,0.1732920541670891,0.14999606982153543,0.12276806997473365
TSLA,0.2620039615519377,0.5118632254342342,0.4089176595815389,0.3307956557201961
TPR,0.08177982543033768,0.2859717213822683,0.2618378397747172,0.4016518214748213
UNM,0.055950367010224475,0.23653829924607236,0.20922802930333118,0.2152824615499809
PH,0.8918927788094909,0.9444007511694867,0.8340557740335031,0.8906403978056181
MNST,0.42497778753347637,0.651903204113522,0.590997225490261,0.494462755707692
MKC,0.0012037015732659637,0.03469440262154637,0.026961369007212622,0.027639155046378944
EFX,0.036958892928719345,0.19224695817806675,0.1710531877725887,0.15911600828882272
AXP,0.534031482209794,0.7307745768770244,0.6359478205749449,0.6388348976760779
EA,0.0353484768772018,0.18801190621128705,0.14431314199704867,0.10701796959445203
MSI,0.16999692318217485,0.41230683135521157,0.36290883798139617,0.3832633082973497
FANG,0.45410325571092636,0.6738718392327478,0.49654687926578395,0.42339457104443273
CBRE,0.2024276023800573,0.4499195510089079,0.39144580727259165,0.33653416584941465
ECL,0.0012950423713742436,0.03598669714455945,0.02710136844699439,0.027140711058865258
HAS,0.3166556391894953,0.5627216356152439,0.4960988250911886,0.502091776170536
MDT,0.0028675076268491646,0.05354911415559705,0.03687560276965878,0.03247826660044945
STZ,0.1063703458547964,0.3261446701309043,0.3009090402926883,0.24480869330714497
NUE,0.09940269927769,0.31528193617410116,0.2853976797041967,0.3009489566129731
PFE,0.01658729233807406,0.12879166253323254,0.11128633285548482,0.1179116524109072
JKHY,0.0490782019808313,0.22153600605958232,0.19970181743359755,0.20305183313862699
PEP,0.002767798528234365,0.05260987101518464,0.042414957550158325,0.03994155870333368
WU,0.040356028180521676,0.20088809865325938,0.1853921636278436,0.21348667854802358
CVS,0.2435263168577007,0.49348385673464606,0.4432888298537077,0.393123335850956
DGX,0.7721155152759831,0.8787010386223423,0.7620633174247489,0.7903311759409305
CCI,0.08086251147465584,0.284363344112169,0.24388477767540245,0.23866923015441413
NEE,0.00689220688030126,0.08301931630832225,0.06439443880958332,0.05878119275424361
BA,0.06257613466634367,0.2501522229890106,0.22619876814067177,0.24855601924595375
AEE,0.002762871501286135,0.05256302408809956,0.042647521755466,0.039457213057298594
AEP,0.011562766686801593,0.10753030589932121,0.09408127676822346,0.0831517168161817
NTAP,0.0081739466185591,0.09040988119978424,0.07796110808993131,0.08353059489998095
GM,0.22933607101902523,0.47889045826684123,0.4349474355833091,0.5378280335191106
PVH,0.20023465893598247,0.44747587525584265,0.40478461508606056,0.4579920141463094
FTNT,0.05746584887130194,0.23972035556310595,0.20413808501429376,0.17775269343428143
VRSN,0.32156686336218604,0.567068658419936,0.5143188944633782,0.564911383183109
URI,0.33255049818095767,0.5766719155472699,0.47688287499952536,0.35240934037563043
LIN,0.1558435688969907,0.3947702735731133,0.34026641064803315,0.34317476538828434
FMC,0.083448942069204,0.2888753053987204,0.22664807587069571,0.28019430595644257
JPM,0.0958272661882362,0.3095597942049907,0.2759266999025507,0.2753093202269855
INCY,0.26813731918619577,0.5178197748118507,0.45866790285539044,0.43775692615267303
EMN,0.33817450960029016,0.5815277376018191,0.4842305231193079,0.48930881297462725
GE,0.20375379052610532,0.45139095086865144,0.4050244186818142,0.4370919757984958
VRSK,0.040373030461751544,0.20093041198820935,0.18618642442751812,0.20720435685379068
TTWO,0.05407250104694692,0.23253494586179282,0.1960807664769877,0.15824488608042012
MAR,0.0826022592242536,0.28740608766039316,0.25367865961730646,0.1882157312617321
WMT,0.004719309571221723,0.06869723117580302,0.04523356881875794,0.04564531536959461
XRX,0.22421607424637277,0.4735145977120164,0.43258831120244373,0.415012632039213
D,0.001428793244847616,0.037799381540543964,0.029309984986949072,0.028165617741586768
NFLX,0.14607901157303385,0.3822028408751482,0.30890968997513535,0.31048062786976677
RHI,0.2449919189249518,0.4949665836447465,0.4481195979150874,0.38349713318846484
F,0.8079541522986292,0.8988626993588227,0.791785799643544,0.8937023324922195
MDLZ,0.01815106142021651,0.13472587509538214,0.11410762793809386,0.11263251668926684
HOLX,0.004941073821939366,0.07029277218846448,0.06281365202873904,0.0592852724642392
PPG,0.013876419338458644,0.11779821449605526,0.09811370138632818,0.09280060968040613
SNPS,0.45636173129540014,0.6755455064578553,0.5972010116467804,0.6045897504056653
WFC,0.10229570326282382,0.31983699483146694,0.2741762638844695,0.24192195149039533
XRAY,0.011891355761687839,0.10904749314719636,0.09891079314756675,0.10371731324027368
AFL,0.023218672945819578,0.15237674673590973,0.13909530188042998,0.1543988531761211
NWS,0.06446481338369882,0.253899218950549,0.21892750783619372,0.24947630605682278
FDX,0.05371487084567806,0.23176468852195337,0.22032333681592725,0.2100801111783499
PSA,0.04519519431077382,0.21259161392391238,0.1935616782987081,0.19133726563786196
TJX,0.1452617846308481,0.38113224034558935,0.34784011961507494,0.3752001060751312
OXY,0.10805259375632696,0.32871354361560307,0.27167958642761636,0.2940121111796315
DTE,0.029388904605053827,0.17143192411290795,0.15323768897602336,0.13757830774985338
HIG,0.033075138897608845,0.181865716663721,0.17129398604855695,0.1717172510866576
ZBH,0.013528042541881644,0.11631011366979935,0.09964743993178175,0.09101099777428379
WHR,0.11250711312860019,0.3354208000834179,0.3109218429616189,0.32252000699064926
SWK,0.021889339445331727,0.1479504628087784,0.12191948328595253,0.12358685364468201
IP,0.2157721853714706,0.4645128473696617,0.4192468539300052,0.4153318222848379
BBY,0.03774970776728269,0.1942928402368,0.1647174216117789,0.25375173593024547
ROP,0.4391351055237527,0.6626726986407036,0.5865973153637728,0.553621672405586
BR,0.11186624394644759,0.33446411458697267,0.30946878804623956,0.29942560157373566
WEC,0.0025515101891539975,0.05051247557934572,0.04021613060306839,0.03678188368880959
BSX,0.13112978472412093,0.3621184678031775,0.2982870133668096,0.29030240562410337
CSCO,0.11131658739939247,0.33364140540315507,0.2895101821734972,0.27709315649042504
SPG,0.0016109193865522173,0.04013626024621897,0.034157645327719095,0.030454722339495578
LEG,0.314820394593332,0.5610885799883402,0.5021500216141166,0.4389472859375757
TYL,0.07763283018030381,0.2786266860519714,0.2574366667256108,0.30041977944575954
