,mse,rmse,mae,mape
FITB,0.2293945832096283,0.478951545784778,0.4075816487799473,0.41569540366092766
EVRG,0.001162347592949949,0.034093219163786055,0.026143777829895347,0.022496446294467565
C,0.05339511159181036,0.23107382281818586,0.2181618561312904,0.23130004034096469
RSG,0.127320996783915,0.3568206787504264,0.3012420979070419,0.27120933005679687
LDOS,1.3503769308533262,1.1620571977546226,1.0310382844302728,1.2865186117867844
MSI,0.18684500832881912,0.43225572099027115,0.38316537783950816,0.39983340628271036
SO,0.001005200699376081,0.03170490024232975,0.023387061292490418,0.020921678646345743
MOS,0.5202685881559377,0.7212964634295234,0.6198988527954046,0.6472527185458629
PSX,0.2641177118233186,0.5139238385435323,0.43175234668466234,0.4176839710649982
GS,0.31880194107273674,0.5646254874452062,0.5136340965493225,0.5123487849017292
HON,0.25927472070895247,0.5091902598331516,0.4471452066608317,0.4255439379441495
ADBE,0.22087956119475893,0.46997825608719274,0.3983257614971965,0.346542519330178
LLY,0.0015444475921935856,0.039299460456774536,0.03025515203205177,0.02512786564954995
FLS,0.7967098285478005,0.8925860342554103,0.769407151687989,0.8709720670632524
HCA,0.14646431646172337,0.3827065670480758,0.31549978869128387,0.23563773240734925
LVS,0.1410288795699416,0.37553811999574904,0.30892203705527155,0.3683765656680894
DUK,0.015994174063737526,0.12646807527489903,0.09838371357798541,0.08945993605432312
EXPD,0.08065752893866618,0.2840026917806699,0.25970127530663156,0.2826126101809466
AEE,0.017357095766576364,0.13174633113136913,0.10784324106361924,0.09576987253464221
ESS,0.6003716366162904,0.7748365225105812,0.6921813883643256,0.5901330852625746
ETN,0.7245151398053555,0.8511845509672714,0.7427787266997439,0.8093286932072771
O,0.0018938971880907557,0.04351892907793982,0.035946269523286334,0.03416105585919087
MCO,0.49429711582235614,0.7030626684886321,0.6237403320395898,0.5355887505982803
NFLX,0.1544228653784688,0.39296674843868,0.3179126014588215,0.3190696011137232
COST,0.005757154041806987,0.07587591213163099,0.05752258066891335,0.05624035436277455
TYL,0.07458859005652702,0.2731091174906598,0.2523418594592312,0.29460713029688285
TTWO,0.0697836261751018,0.26416590653432515,0.22833633042608795,0.18457658336550656
CSCO,0.11484714759937618,0.338891055649712,0.2937837178936593,0.27450934756570494
VMC,0.337650459819545,0.5810769826963936,0.4899023242442527,0.45998339285489154
EOG,0.2798516872113937,0.5290101012375791,0.42573824647513947,0.4042621091677209
WMB,0.48580647456477677,0.696998188351144,0.5818990373546944,0.4398252146350267
AMD,0.2953013934924329,0.5434164089282112,0.43655661891717834,0.5641324637913975
PCAR,0.28303240426094656,0.5320078986828547,0.45306780572769845,0.41813873048978345
AEP,0.0064637420580606585,0.08039740081657279,0.06804107767191526,0.05845979674526565
AMP,0.4117253943732956,0.6416583159075362,0.5789223746270586,0.5438048046216725
WYNN,0.4158981070275868,0.6449016258528015,0.5200405662959411,0.539361494703802
