,mse,rmse,mae,mape
LVS,0.11236421306305937,0.3352077162940307,0.2764391768495298,0.33484627328600525
PAYX,0.7080803996615104,0.8414751331213005,0.7575392425415536,0.797201673224644
KMI,1.3002564064500621,1.1402878612219207,1.0171732250606145,0.9990614092678959
WAT,0.1487196386693954,0.38564185284975927,0.31870996331494705,0.32122166324370716
UNP,0.031092426808144506,0.17633044776255888,0.14544730277043777,0.11567913717507279
LRCX,0.24485084389709957,0.49482405347466646,0.45353355862696687,0.36508907236773236
EW,0.2229233583669626,0.4721476023098736,0.42366583685183307,0.34963914855713885
ROL,0.3101080267688916,0.5568734387353123,0.493275382281627,0.4929523752751027
MSFT,0.1492507293340173,0.38632981936943117,0.328761316502174,0.2848429701217322
CVX,0.18696304715800463,0.43239223762459544,0.375007042995155,0.39653433129608145
AJG,0.035281334832540916,0.18783326338149192,0.16182560572860413,0.1682887199811992
DOV,0.5885816880875637,0.7671907768525139,0.6576519111918219,0.6524517865553838
CDW,0.010513541013563046,0.1025355597515469,0.08748746279182634,0.06667856091275898
DLTR,0.024239663737050488,0.15569092374653856,0.14455199606967495,0.15707059337195772
BKR,0.08481457126037968,0.2912294134533455,0.1888160965562223,0.1886774099677325
PRGO,0.004038454223591028,0.06354883337710479,0.050689869915917306,0.05377952790277309
GD,0.15153364913021822,0.3892732319723747,0.3327336954179205,0.25403576732160577
TXN,0.014841308868385293,0.12182491070542713,0.1022707825767046,0.09458745189461998
ARE,0.00232634699938769,0.048232219515461756,0.036433556547304076,0.032405437585977
A,0.3729865019827616,0.6107262086915557,0.5337988648745833,0.5419335034302
BDX,0.16543542487658103,0.40673753807164276,0.35719756655474544,0.32487083310285764
DVN,0.0771934065603663,0.27783701438139286,0.19277144109218358,0.20310334369413172
ORLY,0.0786466249905939,0.2804400559666787,0.23506653381713233,0.19898361607886372
FFIV,0.5517022521863567,0.7427666202693527,0.6187295500970187,0.47909744008231175
MSCI,0.006064894057926534,0.07787742970801317,0.06012587151827081,0.059979540906340854
UNH,0.2301347505809141,0.47972361895253196,0.4266521536450871,0.3732654966627278
SCHW,0.3123524627599742,0.5588850174767384,0.4899702386056958,0.4571194968756615
HBAN,0.07167044300597888,0.2677133597823965,0.2393692728355981,0.23840327197915037
PNC,0.12343614472558749,0.3513348043185979,0.28976361283262964,0.26395065903336534
GOOG,0.08886576791742459,0.29810361943026553,0.2522360517592253,0.2562046710889456
MET,0.5941598470714964,0.7708176483913016,0.6791770877960038,0.6895233939065541
RJF,0.49343984971348476,0.7024527384198063,0.6175960999166618,0.6069093363263148
IT,0.5757430864515856,0.7587773629013886,0.6777396374903456,0.6415322465262225
AAL,0.1159160187987713,0.3404644163473935,0.31543549138581006,0.20918307592734617
HCA,0.14431808380599584,0.37989220024369524,0.31394120088042604,0.2346826876757056
SYY,0.005989413412109026,0.07739130062293194,0.0693811418585012,0.07467547564665353
CTSH,0.6001639482031574,0.7747024901232455,0.6753254782989313,0.7005186587692898
J,0.959150764863321,0.9793624277372095,0.8377003832006003,1.0638154944985614
AAP,0.006013508117854514,0.07754681242871633,0.06681679951059767,0.05639990850076121
LH,0.14783475027369922,0.38449284814375834,0.3370570749298235,0.3501162800850762
HRL,0.01704815421225594,0.1305685804941447,0.11177582257978229,0.1018279159299669
IPG,0.2017492948468218,0.4491651086703216,0.39197891636104,0.36949671119964805
APA,0.02768471927004725,0.16638725693407908,0.13214169558490382,0.16225375691186136
AMT,0.014067947359373202,0.11860837811627474,0.10267734025597774,0.0892765548747493
CTAS,0.8693169983007049,0.9323717060811664,0.828431540496251,0.7424841080203137
ABBV,0.031127863598406146,0.1764309031842385,0.12705655606591704,0.11431878086167224
RMD,0.23785099706769985,0.48769969967973104,0.4224788049124484,0.4801937537628129
LNC,0.04676747029175516,0.2162578791437555,0.1983382549669404,0.19827790690052963
PG,0.024592834740354286,0.15682102773657072,0.12805315458549557,0.12871917066799926
JCI,1.202009997635506,1.096362165361203,0.946998034013115,0.9032450579131018
MKTX,0.2925491992090188,0.5408781740919287,0.4968991933582746,0.58830866953785
CSX,0.029928565802144286,0.1729987450883511,0.16192943323314046,0.14952092201250142
ALGN,0.060310806506582715,0.2455825859188365,0.20382738945748033,0.22139926377307584
SEE,0.43924704671806064,0.6627571551617234,0.5948494891368472,0.5780455244403222
TSCO,0.3746559374460563,0.6120914453299084,0.5533335628383347,0.6438861721516229
WAB,0.978640050493793,0.9892623769727589,0.864644460307386,0.7971043877904305
LOW,0.07674887648753626,0.27703587581310885,0.2541668058403588,0.25769471818505846
V,0.7609250520157177,0.87231018107994,0.7704754014408925,0.7662932278989586
TT,0.8291333016899849,0.9105675711829325,0.8001238707155284,0.8154159142632882
TSN,0.014673727783122065,0.12113516328103109,0.09088942339752339,0.07631792130680186
VTRS,0.00935436304466142,0.09671795616462033,0.08295314396071816,0.07325757899048785
MHK,0.21148315068523016,0.45987297233609,0.40988811012099635,0.4363937738502834
CPRT,0.10308255303168029,0.32106471782442914,0.2787215653801974,0.2968379584576993
FIS,0.20500579975400712,0.4527756616184301,0.4000705179217134,0.3785738925070448
NOV,0.010095315622524232,0.10047544785928667,0.09127655898009893,0.09397634908625924
IBM,0.629129131464304,0.7931766079911233,0.6777832413807524,0.7170953844188456
APTV,0.06608589811671116,0.25707177619628174,0.20303292017009777,0.17977520711003553
LLY,0.011364719394890673,0.10660543792363818,0.08269630718820799,0.06624573414361688
AWK,0.03873821583779913,0.19682026277240647,0.17029745101969138,0.15039017602609916
GOOGL,0.07231032401175841,0.2689057902161246,0.22589033213032567,0.22671868448982035
EQR,0.16777883425491824,0.40960814720280925,0.36418007098511196,0.31099259663603873
RTX,0.25242097833237825,0.5024151454050507,0.4249132858463205,0.43909202814054155
NTRS,0.5307668289544843,0.7285374588547142,0.6386928133850083,0.6033613863707504
PSX,0.3301442771642323,0.5745818280838964,0.48122026536725804,0.4731260216785725
KMB,0.0010270761910771324,0.032048029441404544,0.02447675171010103,0.024622907362730026
XOM,0.43507075890284164,0.6595989379182183,0.5766010342566321,0.6070995976236281
CHTR,0.052105582758296194,0.22826647313676224,0.19924922337573917,0.18858123870854393
PNR,1.4251047938096173,1.1937775311211118,1.0286195457862086,1.163395749472593
ADM,0.2158750946369001,0.46462360533758945,0.42105545058462146,0.3892489022485067
FLS,0.6072504677066535,0.7792627719239855,0.6635409496882866,0.7563770326447864
ES,0.01410927462667135,0.11878246767377477,0.09858772295571036,0.0922712327997986
HES,0.32582279757590477,0.570808897597002,0.47370179304554333,0.47497421772195647
