,mse,rmse,mae,mape
AWK,0.021812178864442443,0.1476894676828461,0.12752994978641366,0.11002679129429625
IBM,0.6444533587242316,0.802778524080105,0.6863267113386818,0.7140234061513616
SEE,0.398325900365482,0.6311306523735651,0.5672442326177045,0.5467880735367411
UPS,0.14966522793657056,0.3868659043345259,0.35358238516654145,0.35965712510551023
FCX,1.2629800375069993,1.1238238462975412,0.9773239978664806,1.1665028369058712
J,0.9909595422611178,0.9954695084537335,0.8510233219606007,1.080767318057672
BLK,0.4450524605317041,0.6671225228784471,0.5976971797763838,0.5779770237514248
WELL,0.20076616874838307,0.44806937939161057,0.3932945568980193,0.37220974182465955
MSI,0.23335333196411712,0.48306659164562094,0.42435564455500374,0.44318364052752945
CBOE,0.07458094253568279,0.27309511627944355,0.24093590508410298,0.23432930306519406
LMT,0.3550021266251463,0.5958205490121554,0.515463809972302,0.4308764747343419
ROL,0.31177039619763464,0.5583640355517488,0.49477454122512776,0.48940779602716356
CB,0.1581990377706981,0.3977424264152595,0.36009382098502696,0.3467099890669046
SYK,0.15681957980877984,0.39600451993478536,0.33694494582482554,0.29706017729700707
UHS,0.2734918079184846,0.5229644423079686,0.436603896477246,0.3560097157920759
LYV,0.2740365922309942,0.523485044897172,0.44191683323000414,0.3693456104509807
DXCM,0.058920938107342925,0.24273635514142278,0.2116654726244559,0.18844129894668005
XEL,0.004997261100152018,0.07069130851916676,0.05924105936684238,0.05191525753727421
K,0.007111528100998482,0.0843298766807973,0.07139895245849594,0.06821039848179693
CBRE,0.08241155781768193,0.2870741329651314,0.24703064937382008,0.21265078468228404
CNC,0.028211732166553215,0.1679634846225608,0.13204829403462515,0.11907988209640856
VZ,0.03873881082922535,0.19682177427618455,0.17419817481331412,0.17673048288311324
YUM,0.1008556445216846,0.31757777712189594,0.26624873489639495,0.27996890749742526
CRM,0.15415474219217748,0.3926254477134378,0.3393891147869842,0.3431127827501101
TROW,0.5784215566474186,0.7605403057349548,0.6702830267283395,0.6834782433130849
IVZ,0.26366080158620053,0.5134791150438356,0.46238914370079504,0.43518634377499094
WU,0.23037911412510145,0.4799782433872409,0.43248857108161676,0.4829784116227286
LIN,0.29478436152952225,0.5429404769673396,0.4697759089884286,0.4680684986943092
WEC,0.0036440377195013605,0.06036586551604607,0.048488633570043835,0.0427220114942736
ESS,0.47611475307216233,0.6900106905491844,0.6174241360793798,0.5264234330256268
VLO,0.30465199521357594,0.5519528922051011,0.4521533335010354,0.4444006800373432
ADSK,0.35620411691743264,0.5968283814610634,0.5205666186588261,0.47543267423202007
COST,0.004375673288672416,0.06614887216478008,0.04972126827722088,0.04944764425715214
VTRS,0.00917805978851124,0.095802190937949,0.08287236701677447,0.07274107173309112
TSLA,0.0986042728000235,0.3140131729721279,0.24834387355859944,0.2047810991121317
ROP,0.6154917664476847,0.7845328332502628,0.6933661225292461,0.6513194562252815
ADBE,0.1684776713874785,0.41046031645882464,0.34629659392330464,0.30144132982083427
ODFL,0.08604398443065013,0.29333254921786317,0.26466724078884246,0.2117784917098311
REGN,0.1005654409938637,0.31712054647068155,0.2653584927091611,0.23460961175014394
STT,0.11983098561288237,0.34616612429999905,0.3194135383044775,0.3278729747632659
NOV,0.01203880371878417,0.10972148248535549,0.09745810958972087,0.10072486129356346
CMS,0.002230653564012878,0.047229795299290445,0.036846214273648696,0.03332025609971801
AON,0.007953689660346718,0.08918346068832897,0.07740287962200829,0.074650625394165
GE,0.36397818169650176,0.6033060431460153,0.5376908626074992,0.5689770197007714
ECL,0.01598176647100771,0.12641901150937587,0.10719729273501757,0.10504783100661771
APA,0.024294508264238724,0.15586695693519753,0.12867320578752345,0.1544609199780475
IPG,0.17054517169812813,0.4129711511693379,0.3603474207066479,0.33588654835074644
BA,0.04217411823984521,0.20536338096127366,0.18829215982230066,0.203363660966691
CSCO,0.1591702090100614,0.3989614129337089,0.3459622110247887,0.3229874164420706
NWS,0.12820605824484846,0.35805873574715147,0.3100452066556333,0.35270013567796893
CDNS,0.3653809812516242,0.6044675187730307,0.5193503362886954,0.4410159461395006
TFC,0.4265864263225028,0.653135840635394,0.5600405938564619,0.542297358863342
D,0.0034348655237087253,0.058607725802224446,0.049737249839197,0.04675419497690098
IDXX,0.04736419670248398,0.21763317004189406,0.16726973514944599,0.14252352870910742
KEY,0.1163087043759588,0.34104061983282696,0.29354197931022347,0.28991375299919525
COF,0.43327579838387903,0.6582368862224899,0.5803398246743434,0.547631294680043
DPZ,0.007037729984359471,0.0838911794192898,0.06430866957324005,0.05442294771399558
EFX,0.0799935201896381,0.28283125744803755,0.2507175860633082,0.23054650882728117
