,mse,rmse,mae,mape
LVS,0.1948988108989074,0.44147345435360824,0.36140033711975755,0.4389276056493547
PAYX,0.5490918893943584,0.7410073477330427,0.6689640034009253,0.704650478225606
KMI,1.2851134588990085,1.1336284483458452,1.0115777682274552,0.9935130737489851
WAT,0.09602441639547281,0.30987806698034115,0.2567616602848373,0.25901885038449174
UNP,0.002600363623194132,0.050993760630043086,0.03750656727044736,0.03034320396720715
LRCX,0.23486831652967455,0.48463214558020656,0.44449309815544896,0.3579331781472848
EW,0.09260817719761393,0.30431591676679337,0.23111577483400775,0.17162431527496436
ROL,0.25802026615088314,0.5079569530490582,0.4505594572339047,0.450240737272301
MSFT,0.19277036726071706,0.4390562233481232,0.3749249753701612,0.32510716920905375
CVX,0.12188590383999717,0.34912161754895266,0.3040842699773121,0.3214370937811631
AJG,0.007246215963838338,0.08512470830398386,0.07617151370433216,0.07943010689997189
DOV,0.5086125889003725,0.7131707992482393,0.609867260816238,0.6058155947590776
CDW,0.016254543023975807,0.1274933058006412,0.11022143031562018,0.08339766154027993
DLTR,0.014910717391745541,0.12210944841307547,0.11073453999727643,0.12169130282716177
BKR,0.06566841413658249,0.2562584908575372,0.16637445067968207,0.16633464212653373
PRGO,0.010703798687671809,0.1034591643484124,0.0837298989758354,0.08501508611339681
GD,0.13237997408267202,0.36384058883345055,0.31049476178721397,0.23694862477667755
TXN,0.010111605010846514,0.10055647672251904,0.08246627379921764,0.07663635320253553
ARE,0.0045527357936412105,0.0674739638204338,0.050896655179394124,0.044022063336833346
A,0.2647065764881491,0.5144964300052519,0.4493309015684816,0.4563408206407711
BDX,0.14809700523472533,0.38483373713166746,0.33824877843889595,0.3076137203575507
DVN,0.03703147123467541,0.19243562880785722,0.12687128618632168,0.1343358282336024
ORLY,0.02440662602381241,0.1562262014638147,0.13130555546708456,0.11240841647847162
FFIV,0.2780320363757864,0.5272874324083463,0.4398754775946346,0.3410212238823763
MSCI,0.015619315489806893,0.1249772598907773,0.10159516721881863,0.09803404892078739
UNH,0.0644582436492634,0.2538862809394462,0.23073062816324152,0.2035173835047846
SCHW,0.08210070655648609,0.2865322085848048,0.25065308291459526,0.23469697846195997
HBAN,0.17126057587823487,0.4138364119772871,0.36861943842235606,0.3662548849069
PNC,0.0555372960163097,0.23566352288020667,0.19202869964501681,0.1746736824787661
GOOG,0.14905737674520647,0.38607949537006814,0.3223771524486424,0.326945745294403
MET,0.3636961202666514,0.6030722347004971,0.534191068964213,0.5421791630544043
RJF,0.5118073871279841,0.7154071478032521,0.6295448925155281,0.6183711098392995
IT,0.52209142380268,0.7225589414038691,0.6458440653882327,0.61156776939794
AAL,0.034964285666512836,0.1869873944053792,0.16073275285992392,0.11320952746721852
HCA,0.1461720374139251,0.38232451845771687,0.31592032084839416,0.23615364969799718
SYY,0.06281541921062231,0.2506300445090778,0.22662585495650683,0.24208473729487073
CTSH,0.4832635342471448,0.6951715861908805,0.606109983315427,0.6286414128361901
J,0.7460210173738981,0.863725082056726,0.7363156455086055,0.9359961053878734
