,mse,rmse,mae,mape
FITB,0.9387218418526883,0.9688765875242772,0.8057202098630772,0.8226758072227274
EVRG,0.0027488028138659,0.05242902644400237,0.04440776136519622,0.03802538547235824
C,0.2540946254987543,0.504077995451849,0.44948546085913055,0.47073282339400235
RSG,0.18703246179793265,0.43247249831397677,0.3684614260268468,0.3323033618539811
LDOS,1.5334669648699595,1.238332332158843,1.0877253632628914,1.3580043411943084
MSI,0.11589991443461066,0.34044076494246495,0.30327852277008266,0.3163249536715729
SO,0.0014255772571282912,0.0377568173596278,0.027907255769135064,0.025810941644939862
MOS,0.3085528343122588,0.5554753228652546,0.4653040864113461,0.4875665543143197
PSX,0.36998126805829457,0.6082608552737012,0.5084426628148938,0.4915332356235967
GS,0.30700335274541307,0.5540788326090549,0.5045012615805733,0.5033972125669479
HON,0.4385270645863231,0.6622137604930323,0.5696167955848179,0.5419479022822744
ADBE,0.20128929354625863,0.448652753860108,0.3805191067487209,0.33118649872357314
LLY,0.0016677939332196822,0.040838632851990554,0.030109139408934785,0.024931711376901436
FLS,0.4491909216203857,0.6702170705229655,0.5770531862700822,0.6535127508070577
HCA,0.24159421326557995,0.4915223425904258,0.4095330831283091,0.30716413518656266
LVS,0.1526242397302339,0.3906715240841517,0.3235948317671024,0.38498007168720927
DUK,0.03144938400282275,0.17733974174680292,0.1429401179557404,0.13066866809696773
EXPD,0.0038589735680174078,0.062120637215159084,0.047843736096693144,0.052822900071463987
AEE,0.0206229938152971,0.14360708135498437,0.11614759979576249,0.1030147305281044
ESS,0.6781752385570368,0.8235139577184085,0.7349329638775478,0.6265004326052194
ETN,0.48039263253259223,0.693103623228585,0.6080563402347295,0.6613435295640671
O,0.006356020626365626,0.07972465507210191,0.07123349483152683,0.06622963746789637
MCO,1.0204202557968385,1.0101585300322116,0.8718006361530413,0.743680488345421
NFLX,0.11320627908179631,0.33646140801256286,0.26941940780307866,0.27251058936379796
COST,0.0034283361388920334,0.05855199517430668,0.05174327072167949,0.05273056702384581
TYL,0.038849245027499264,0.19710211827248145,0.1718589992641349,0.20613511575959023
TTWO,0.016081452549631,0.126812667149741,0.1048108687505745,0.08329528177171329
CSCO,0.03512527187411488,0.18741737345858542,0.1633938899670404,0.15333138143658823
VMC,0.16431702459473727,0.40536036386743246,0.3431366878232611,0.32192102535653266
EOG,0.2778053028457723,0.5270723886201708,0.41234580820258243,0.39271301508273987
WMB,0.34736665348253715,0.5893781922352889,0.48851570577708825,0.37169285024912985
AMD,1.2072446908005756,1.0987468729423422,0.8887300005158423,1.1355587204315314
PCAR,0.2735965711006441,0.5230645955335192,0.43979439336708204,0.40626250250789275
AEP,0.025190442591419324,0.15871497280162108,0.1390806095779641,0.11978055637321208
AMP,0.6829226245997436,0.8263913265516184,0.7283777482128238,0.6814931606139498
WYNN,0.6266256820278333,0.7915969189100178,0.6384151672731347,0.6615953869036978
NI,0.11073521555065496,0.33276901230531514,0.28759900588288473,0.23594393484823797
CDW,0.03421622002222776,0.18497626880826568,0.16441166204558036,0.12332646934584342
WDC,0.4274761422852295,0.6538165968260744,0.5668112640033479,0.4892502879765654
SLB,0.05472635735004783,0.23393665242977174,0.16462198094880762,0.1624725956339997
HII,2.429529319888787,1.558694748784632,1.2999406705256737,1.1484435218476556
LRCX,0.15067895330976167,0.388173869947169,0.3617517755488281,0.28870457932862853
SWK,0.02414027477072257,0.15537140911610015,0.12910596663289237,0.13130783521948483
TSCO,0.11506808083832865,0.33921686402407625,0.3118652229843635,0.3591685697133602
BAC,0.3680912228028219,0.6067052190337758,0.504966087357055,0.4864348553574563
GILD,0.018463396396621045,0.13588008094132503,0.10627220172832653,0.08421258112103708
AZO,0.23128497226403047,0.480920962595758,0.3896521062392251,0.34566806778049636
TSN,0.045488837858155697,0.21328112400809335,0.17516641410132633,0.14966772236248185
WBA,0.011084980317423974,0.10528523314037906,0.08535145020717214,0.0737442672750366
FANG,0.6216372906686637,0.7884397825253769,0.6047412890707551,0.5110285707930391
RF,0.38966050981391975,0.6242279309786769,0.5041515422687083,0.49412359602208317
XRAY,0.03247296951504138,0.18020257910207996,0.16797059745466233,0.1730789432785061
NVDA,0.12904636082857796,0.3592302337339912,0.2704876042654219,0.227157195674707
CHRW,0.01630984911504418,0.12771001963449924,0.10609460294468502,0.09690287193420043
STT,0.11017014970858291,0.3319188902557113,0.3068848961565021,0.3155727028769529
VTR,0.0010600179666818742,0.03255791711215375,0.026342987578441945,0.02692337738788505
ABT,0.3944694570716294,0.6280680353844076,0.5473484485513428,0.49295598237158467
BWA,0.18028206188365364,0.424596351707894,0.33891930286011634,0.32575180014026645
GWW,0.06090992052998993,0.24679935277465767,0.20811241985005868,0.22380377214516883
CCI,0.19826189701816624,0.4452660968658699,0.3837899977299699,0.37180269198819066
DE,0.5893393629979933,0.7676844162792373,0.662759949577928,0.6862493954917985
MAA,0.1736307072055363,0.4166901813164504,0.37866907751116935,0.3471506099054853
T,0.058683655781566216,0.24224709653898066,0.21400452733928788,0.21416726691344293
EQIX,0.04475898542028105,0.21156319486215236,0.1844010614547005,0.15745596462030514
LEN,0.6472553966289967,0.8045218434753632,0.7074115728894406,0.682917011843778
VRTX,0.14579341276912636,0.38182903604771384,0.34072245373707255,0.2994356652980411
PAYX,0.573670973536378,0.7574107033415741,0.6836716746467948,0.703657777462803
DOV,0.5408036976019811,0.7353935664676304,0.6326689875673566,0.6205636731431183
DLR,0.7245130125108356,0.8511833013580774,0.7001219403574721,0.6107842716347736
