,mse,rmse,mae,mape
FITB,0.1606577333793394,0.4008213235087916,0.3352241058031265,0.3421514461807051
EVRG,0.0044967214231226025,0.0670575978031021,0.051740942602106973,0.04592394522107533
C,0.025512480074810343,0.15972626607671747,0.127263322986485,0.13427875502657563
RSG,0.2637210774891568,0.5135378053163728,0.4590839380744915,0.4218088354170431
LDOS,0.023667719165622256,0.15384316418230046,0.1274118378307374,0.15397825642647295
MSI,0.06740071598578548,0.2596164786483814,0.21261356642173054,0.22186488030194498
SO,0.022249168416382525,0.1491615514010984,0.12508853638721426,0.11299123753593575
MOS,0.43828106899991653,0.6620279971420517,0.5231664383419311,0.5381962968122794
PSX,0.22628709718001133,0.47569643385252675,0.3840037439015674,0.37123565389260976
GS,3.0611103568790763,1.7496029140576659,1.4183757841642537,1.4443943139203481
HON,0.014592406385579508,0.12079903304902531,0.10457688496561668,0.10013385385860395
ADBE,0.041749137307188,0.20432605635891865,0.1699090163561707,0.14943562343515862
LLY,0.2742252591194446,0.5236652166407891,0.4624473793652912,0.37053914768795376
FLS,0.8534526721782659,0.9238250224897927,0.810879467013579,0.9144741742189378
HCA,0.03692708298473011,0.1921642083862916,0.14118118935294222,0.10167449872411703
LVS,0.10482201783875796,0.3237622860043429,0.261258908933593,0.3038482635935399
DUK,0.005077673840404718,0.07125779845325504,0.056559142002478816,0.051864722529117196
EXPD,0.35771286207482506,0.5980910148755163,0.5119095747536875,0.5580703186472075
AEE,0.0033302603327313865,0.05770840781663783,0.04482559243593271,0.03941467012551531
ESS,0.3524232615833214,0.593652475429288,0.5185355156218842,0.4545306320681555
ETN,0.06124339557789047,0.24747403010799027,0.20968919189074758,0.2302998322712156
O,0.08510938634137033,0.29173513045461347,0.25834217954977196,0.23878345316889954
MCO,0.03572479022584756,0.18901002678653733,0.1582845599391002,0.14376203527073936
NFLX,0.06326806276720433,0.25153143494840624,0.20371122883237325,0.20113132412234258
COST,0.15789582205637784,0.3973610726485143,0.3246190674730396,0.3327993337030691
TYL,0.3094904711366901,0.5563186776809584,0.4891874270208199,0.5524505904294768
TTWO,0.3858907550210231,0.6212010584513061,0.5425393100755573,0.4355540808320967
CSCO,1.658173303198856,1.2877007817031314,1.1077235952827489,1.0585674231489457
VMC,0.02794622616208521,0.167171248012585,0.13909665015597883,0.1311861543393097
EOG,0.1234633344361542,0.35137349705997206,0.3247425757348184,0.2977178949389231
WMB,0.09828656028214149,0.3135068743778061,0.26108457137098934,0.18714270817286213
AMD,0.015788198127821857,0.1256510968030994,0.10209137881540732,0.12764480915945497
PCAR,0.024261341591618916,0.15576052642315677,0.11059736147473373,0.10466001456152468
AEP,0.11921991747951771,0.3452823735430433,0.28957215164186745,0.25483741186167436
AMP,0.10068928997159857,0.3173157575217445,0.27611053553635717,0.2609549604565442
WYNN,0.25965229201306195,0.5095608815569166,0.4127997368467292,0.4265031198374677
NI,0.010493091360571765,0.10243579140403887,0.09163381716896694,0.07676751494101797
CDW,0.16866695524029682,0.4106908268275502,0.3691302630005954,0.27873806238248017
WDC,0.23028169639636706,0.479876751256369,0.41890384921685153,0.3643330207692722
SLB,0.1632281028411967,0.40401497848619017,0.33628336478755,0.3153853136134274
HII,0.41576029336927633,0.6447947684102875,0.5604819678464279,0.5013236789778576
LRCX,0.21108677705404694,0.4594418103025093,0.3949727639352275,0.3203922936789254
SWK,0.22223116605689233,0.4714140070648011,0.4027768680587644,0.4046277172865874
TSCO,0.3928843503735161,0.6268048742419894,0.5412558781597469,0.6178509704044594
BAC,0.05802332412072521,0.2408803107784553,0.20204813079633274,0.19534664620064937
GILD,0.03215502992659694,0.17931823645852907,0.14899685482511293,0.13065950731932682
AZO,0.04752520534704091,0.2180027645399042,0.18115445511649764,0.16232081578245533
TSN,0.07127710815287486,0.26697772969458494,0.2182098146994471,0.18887802045215085
WBA,0.014920460995885955,0.122149338908919,0.10249091686543495,0.0896319097277502
FANG,0.07942997078539075,0.28183323222322587,0.24773834594804545,0.20566069810474769
RF,0.21832484331559182,0.46725244067376664,0.3936686796297853,0.38117584792482895
XRAY,0.08088667714489249,0.284405831770188,0.2610688512786191,0.2670349758178188
NVDA,0.5059825210781074,0.711324483676829,0.6032362750691174,0.5231769778734763
CHRW,0.29244061290308493,0.5407777851419979,0.4605597090969774,0.4188810993905382
STT,0.13474305231434944,0.3670736333684966,0.2977392033063218,0.30949481748664687
VTR,0.02972178253218842,0.17240006534856192,0.14030489778181052,0.14353152975881459
ABT,0.0989166853429674,0.3145102309034913,0.23270365334880996,0.220313841557883
BWA,0.10990011282967553,0.33151185925947735,0.2773974768267566,0.26760603019660906
GWW,0.44566046632415607,0.6675780600979604,0.6079691892308315,0.6552762385695571
CCI,0.013398736384487336,0.11575291091150726,0.08787319485009912,0.08782262385247798
DE,0.3009896787338281,0.5486252625734875,0.44438638167991823,0.4602739231295033
MAA,0.017415703781230092,0.13196857118734784,0.11690100998791982,0.10737982745051106
T,0.006054757466927076,0.07781232207643643,0.06429663385517675,0.06521510287133914
EQIX,0.057210972676472356,0.2391881532945818,0.19350932753054412,0.1621719348080417
LEN,0.18699496763749596,0.4324291475345943,0.36673002320223536,0.3605886836363894
VRTX,0.28953776117067503,0.5380871315787761,0.4411842162558183,0.35044602611171727
PAYX,0.032966479475698314,0.1815667355979567,0.16889528891668082,0.17605935705483974
DOV,0.02042398271149812,0.14291250019329352,0.10061176336023885,0.1029873403189151
DLR,0.21427258695578963,0.46289587053222847,0.38335249822869377,0.33654054365918945
MNST,0.15673882005402887,0.3959025385799248,0.31421074294930734,0.2818554720946155
KIM,0.27139880915822767,0.5209595081752781,0.45567947134405923,0.41651427848165806
VLO,0.49674778477970055,0.7048033660388552,0.587709087677704,0.5759351752849022
EBAY,0.34047750698103835,0.5835045046793027,0.500414356038195,0.5181480409265912
MU,0.19072800277600652,0.43672417242008316,0.3811160091108513,0.3066953765144962
PGR,0.11494252229652396,0.3390317423140847,0.2902253316489144,0.3090960504296581
MSFT,0.6601179167486997,0.8124764099644368,0.6919559124583726,0.6317596630714406
ZION,0.6771574100242812,0.822895746753063,0.689119139913902,0.7033343352698124
NEE,0.0025580671436606127,0.05057733824214766,0.04347429322014254,0.03930288052068573
GE,0.02299526732242011,0.15164190490237225,0.12070172332692017,0.12848461625611574
NUE,0.2597754019359745,0.5096816672551353,0.4307096165962052,0.44979172608453566
ILMN,0.04939668971045244,0.2222536607357738,0.17911562583781937,0.11991492436357876
CBRE,0.008349055842759712,0.0913731680678727,0.071428055173319,0.06335396746741682
KEY,0.028941270152161386,0.17012133949672917,0.13136388989685613,0.12938563425706837
GIS,0.5611189013059218,0.7490787016768811,0.6859138865715788,0.6648223537033695
NCLH,0.05299549156503468,0.23020749676114954,0.19298648651591135,0.2000971625829381
PNC,0.032705740874407994,0.18084728605762376,0.15838594101639794,0.14282743506601617
WY,0.1376278483081306,0.370982274924464,0.3188026614166833,0.30996566977016243
HAL,0.2973076952629639,0.5452592917713223,0.4221110477135664,0.3936193610621699
FCX,0.5039771424066677,0.7099134752958756,0.6031539747004572,0.7179467099509385
UDR,0.32373067413094925,0.5689733509848676,0.5017997932537415,0.4320764150033868
