,mse,rmse,mae,mape
LVS,0.25262957945021663,0.5026227008902568,0.4146858387698119,0.5025163714291376
PAYX,0.4927933092282493,0.7019923854489087,0.6348064899507723,0.6688798854289217
KMI,1.1786438081097448,1.0856536317397667,0.9696059838670685,0.9525741865775894
WAT,0.07432865968151842,0.27263282942726913,0.226946211131106,0.22906508260855965
UNP,0.004095560399518981,0.06399656552908899,0.05057368081318625,0.03961777911541421
LRCX,0.1964563051225355,0.4432339169361202,0.40771773487808094,0.32907487951032083
EW,0.09029690955037555,0.30049444179614293,0.22712695564060542,0.1683338887426923
ROL,0.23168913914265854,0.4813409801197676,0.427548621020843,0.4273256486554084
MSFT,0.15478097765956744,0.3934221367177595,0.33446512648159926,0.2897388284846313
CVX,0.0916319800031483,0.3027077468502389,0.2636559545766244,0.27905442024608
AJG,0.0025187621747114596,0.05018727104268033,0.044591487796099304,0.04668613671553461
DOV,0.5227040912063255,0.7229827737963924,0.6184604632539464,0.6141939711305763
CDW,0.015877895558898632,0.1260075218346057,0.10896206607021033,0.08243178669947406
DLTR,0.012291920325027126,0.11086893309231007,0.10201803643230634,0.11188084195291446
BKR,0.03781577865058601,0.19446279502924463,0.13985524684668393,0.13746875875037531
PRGO,0.028102616540341355,0.16763835044625486,0.1370352875139379,0.13938119807171706
GD,0.08668155741067883,0.2944173184625504,0.24886847657527722,0.18986384532577197
TXN,0.00845451898728509,0.09194845831924041,0.07513507462502905,0.070038052054924
ARE,0.002172571840369531,0.04661085539195275,0.03546405793931628,0.03160465867224822
A,0.21574482184971708,0.4644833924369278,0.4056064342909743,0.4120081743146697
BDX,0.10015192889173577,0.31646789551506765,0.27820904006050273,0.2533725830399499
DVN,0.05321372139858983,0.23068099487948684,0.15445227837526554,0.16333982917890724
ORLY,0.01399307757350572,0.11829233945402264,0.09791266556162928,0.08472517292345055
FFIV,0.26933670766538265,0.518976596452463,0.43373813000643674,0.3363854355421844
MSCI,0.013244584106803091,0.11508511679102164,0.0923668027548411,0.08904410656428892
UNH,0.01538862247677043,0.12405088664241957,0.11197159543574081,0.10087518552601689
SCHW,0.04070690031070615,0.20175951107867543,0.1757963771906162,0.16515054985159025
HBAN,0.1503847939379002,0.3877947832783471,0.34509137442796195,0.3429431697165635
PNC,0.03931092833199703,0.1982698371714594,0.16020567232428318,0.14582107748017997
GOOG,0.14981931344308533,0.38706499898994395,0.3232850711460257,0.32789377007921816
MET,0.2434439861358085,0.4934004318358553,0.43803145175419517,0.44490049637950196
RJF,0.4364852363267664,0.660670293207411,0.5813202310828897,0.5711930338368213
IT,0.41967252411938527,0.6478213674458302,0.5800518342935409,0.5496578019502192
AAL,0.03650347237379269,0.19105881914686035,0.16461960400159178,0.11486297950086316
HCA,0.07805115137635313,0.27937636152035683,0.22298021318609135,0.16467810834401486
SYY,0.08399746751804728,0.2898231659444208,0.2605710292704475,0.27813811142269296
CTSH,0.30728623807979866,0.5543340491795526,0.4822366059466183,0.500812692624266
J,0.9478327084006747,0.9735670025225149,0.8323016809897449,1.057106385657823
AAP,0.11471271181262549,0.33869265095750967,0.28874784965537365,0.2362887667528903
LH,0.48854916921562774,0.6989629240636643,0.6159573439990415,0.641731193957428
HRL,0.023198938346866625,0.1523119770302606,0.12979645114610375,0.1180856484122243
IPG,0.04205221139197327,0.20506635850858929,0.17948798484227568,0.17026196764991372
APA,0.020869650785361578,0.14446331986134603,0.10955000137278297,0.1136995279517792
AMT,0.011154478731302472,0.10561476568786428,0.09231872954084977,0.08047796293715437
CTAS,0.8209440015303046,0.9060596015330915,0.8053445456231921,0.7218625469793382
ABBV,0.005857478877070058,0.07653416803670147,0.06507985862537617,0.06283257113574145
RMD,0.06438355327229583,0.2537391441466922,0.21118392409139225,0.23385206924647653
LNC,0.00515009773346671,0.07176418141013462,0.05892427265497929,0.06111782343227998
PG,0.0675416957836681,0.2598878523203193,0.20986831316362167,0.21087761331200952
JCI,1.0460419022900447,1.0227618991192646,0.8825883592409262,0.8417774196758709
MKTX,0.062192523493962676,0.24938428878733054,0.23243665277005193,0.28229716199748417
CSX,0.02182753194370033,0.14774143610950968,0.13826430009897445,0.12841723494284582
ALGN,0.014776437565831703,0.12155837102327302,0.10996113166461499,0.12250951807590742
SEE,0.4188611783614017,0.6471948534725858,0.5815970004414052,0.5653855620036755
TSCO,0.24444797306974714,0.49441680095820684,0.4494418829410022,0.5243487096270569
WAB,0.6878914611780076,0.8293922239676519,0.7242033860493204,0.6677896789114428
LOW,0.06799178273156227,0.2607523398390938,0.23956850820666445,0.2431737563448555
V,0.7342154208851874,0.856863711966604,0.7570500798021895,0.752959272506062
TT,0.7739370637410113,0.8797369287127893,0.7740582122358739,0.7892841790421572
TSN,0.07080481339283741,0.26609173867829383,0.24852969626849636,0.21195116569943293
VTRS,0.028238336979316,0.16804266416394378,0.14829772391836918,0.1270607490825744
MHK,0.2080039799979292,0.45607453338015835,0.4070668453989487,0.43333802903746915
CPRT,0.12131472514780893,0.34830263442559395,0.30408823029521537,0.3233494635888193
FIS,0.17453445527878692,0.41777321034119325,0.3692655732870977,0.3495336093058582
NOV,0.03418994690433371,0.18490523763358818,0.1522189908170146,0.15027025676200986
IBM,0.41033216590025395,0.6405717492211579,0.544207173131619,0.5764538178090182
APTV,0.017907569716673302,0.1338191679718317,0.1013827079554027,0.09016069217486677
LLY,0.0016165832003986894,0.0402067556562164,0.03093370279149884,0.026115001101000557
AWK,0.04080747386949285,0.20200859850385788,0.1752186468298087,0.1549993907987701
GOOGL,0.14743851474296657,0.3839772320632651,0.32002905551247235,0.32047952402043517
EQR,0.14941338861968584,0.38654028072076246,0.34391361036254486,0.2937490217749736
RTX,0.16492601627091297,0.4061108423459203,0.34283912205894207,0.3539510195401361
NTRS,0.41176178484766707,0.641686671863821,0.5625451285692789,0.5316984802660626
PSX,0.2707120943235624,0.5203000041548745,0.43362646985474923,0.426556068483889
KMB,0.0017285554899810838,0.04157590035081722,0.0335804433977573,0.03258089971593902
XOM,0.3601282034410203,0.6001068266908987,0.5240234736741495,0.551904014681935
CHTR,0.005497620327054676,0.07414593938345293,0.06325257371166804,0.06013929335042091
PNR,1.2580872713129858,1.121644895371519,0.965135285999925,1.0919041267090102
ADM,0.3338857341730313,0.5778284643153462,0.5214718046912491,0.4813267800274042
FLS,0.6799728954685014,0.8246046904235395,0.7045195189399048,0.8027405855062314
ES,0.016021717864437776,0.12657692469181647,0.1042413784233421,0.097524185580782
HES,0.18250701955226745,0.4272084029513786,0.3501438458763632,0.3528958032632301
HAL,0.04423310606010749,0.21031668041338872,0.14467132591865003,0.16134781306665863
IVZ,0.09017380664960872,0.3002895380288976,0.27412510619980573,0.2633469844082742
TDY,0.12347511482058618,0.3513902599967537,0.3046542087211091,0.29048076733947353
ALB,0.8149766173981621,0.9027605537451013,0.8016189622657303,0.884171157912458
ICE,0.18180778022317812,0.4263892355854896,0.39044753978386215,0.4387405324805312
LYB,0.06324899977295079,0.25149353823299475,0.14891451498226124,0.13887043034854196
APD,0.10808610360717778,0.32876451086937253,0.2906616305559505,0.25449144382187916
IRM,0.0728456471299206,0.26989932776856,0.2602478690859616,0.24344445692337977
USB,0.05837946751135892,0.2416184337159707,0.20839499825205968,0.2000087205130305
FRT,0.09468227790949496,0.30770485519324353,0.2768725499702374,0.24352990889263013
GLW,0.025223577484822825,0.1588193233987062,0.11070284214131264,0.09829709819692688
REGN,0.18819810339359588,0.4338180533283463,0.3672814631530772,0.32580151985037886
LUMN,0.007133857147087861,0.08446216399718788,0.0697376832666025,0.06625810996032087
CE,0.06269795170782393,0.25039559043206794,0.21659705005333055,0.20831887155055354
LDOS,1.0880607666208322,1.043101513094882,0.9221270886373504,1.1797209216777873
VZ,0.019003388274618765,0.1378527775368301,0.12450686769661899,0.1306414200926651
TFC,0.4338048382274374,0.6586386249131138,0.5640178829677618,0.5560926579534973
AAPL,0.06181070866467969,0.24861759524353802,0.19882598968334894,0.1608474642303624
TER,0.09574637402320196,0.3094291098510319,0.25427825481112454,0.23702804378581158
AMCR,0.7341797383116416,0.8568428900980866,0.7398568524879686,0.7849828222475678
T,0.0996328534346194,0.3156467225152503,0.2791117590800502,0.2939557410762797
SHW,0.054751502822927664,0.23399039044996628,0.19924539267459168,0.17462991020163182
O,0.00735491883122336,0.08576082340569825,0.07773889393573824,0.07538886694470197
BKNG,0.009604088445510884,0.09800045125156763,0.08525360644170754,0.08310812037519653
HBI,0.05466060952291015,0.2337960853455638,0.1874363794969999,0.129790838386064
PM,0.006720779606990379,0.08198036110551343,0.07612114867837695,0.08310990976848849
DIS,0.4365819466463915,0.6607434802148194,0.5745931524125484,0.5027963415612576
INTC,0.07483418968701347,0.27355838442097413,0.25249367029056563,0.21298466057809148
CB,0.06444306442129627,0.25385638542549266,0.23603507568075405,0.23209064044795805
XEL,0.025806199357490945,0.16064308063994212,0.14157989497594395,0.128305367945856
LNT,0.014006068213773057,0.11834723576735139,0.10151340041059563,0.09096260627340429
NKE,0.012842837522073035,0.11332624374818498,0.07842522324463441,0.07172984357320836
UDR,0.14395085702075996,0.37940856213422486,0.33690666590462387,0.29531383444083387
MRO,0.08714496817326257,0.29520326585805684,0.2530356609192953,0.264738028312679
EXC,0.2191924966339583,0.46817998316241405,0.42338850737820666,0.37030508089728165
ETR,0.004466190466039324,0.06682956281496479,0.056388276404927856,0.05171392348436621
AMZN,0.2838783194135053,0.5328023267718576,0.4811282581901544,0.6038106774398093
