,mse,rmse,mae,mape
LVS,0.1857486734083903,0.4309856997724986,0.35229284270436145,0.42804236926471817
PAYX,0.6399653312586817,0.7999783317432302,0.7207873112879899,0.7589852886136539
KMI,1.4157150948851647,1.1898382641708767,1.0608644530353841,1.0416379056757927
WAT,0.07561286479886771,0.27497793511274266,0.22816400575099674,0.2303014370020528
UNP,0.0020728442219132026,0.04552849900790935,0.03298182542852977,0.026726901881623213
LRCX,0.24112934182001264,0.49104922545505825,0.4501817789422861,0.3623944118528261
EW,0.10228375513117001,0.31981831581566744,0.24524467366005395,0.1828147521177873
ROL,0.260333982622213,0.5102293431607133,0.4525576074555674,0.452229704847179
MSFT,0.20330634880481716,0.4508950529833047,0.3852637816784887,0.33412192124272616
CVX,0.11478892237520545,0.3388051392396601,0.2949473315732044,0.3118737212355747
AJG,0.005788019263648243,0.07607903300941884,0.06810362836797604,0.07106220272324941
DOV,0.5812438586971381,0.7623935064631244,0.6532391761105333,0.6485036694702797
CDW,0.01577543658495156,0.1256003048760295,0.10846683087705275,0.08209121208791623
DLTR,0.01570290026730994,0.1253112136534873,0.11348999544079733,0.12470260152126322
BKR,0.062316164492587915,0.24963205822287313,0.16343568352416593,0.16319662661853004
PRGO,0.009319080451391177,0.09653538445249585,0.07808432900038563,0.07931960328597742
GD,0.12870003733739144,0.35874787433153027,0.3060010504477199,0.2335199778665144
TXN,0.012991933594368779,0.11398216349222706,0.09523801327947463,0.08819345824213337
ARE,0.0023046130172381524,0.04800638517153893,0.036319247041994844,0.032301327097640185
A,0.2884885184805503,0.5371112719730896,0.4692777471989329,0.4765599797560266
BDX,0.14070533906060986,0.3751071034526137,0.3296803787639595,0.29987118269866386
DVN,0.02853252000526256,0.16891571864472105,0.1140274210096106,0.11998769379868472
ORLY,0.023576082795306163,0.15354505135401195,0.12893541334550013,0.11043873313841755
FFIV,0.2963155730440607,0.5443487604873007,0.4539221170072821,0.35187772543441015
MSCI,0.016159296782236102,0.12711922270937664,0.10343610174049954,0.09982213714913478
UNH,0.08746993973021606,0.2957531736604293,0.2681485840291104,0.23590886486447926
SCHW,0.08674344228024207,0.294522396907675,0.25772471296599864,0.24127200270360236
HBAN,0.1581178677100543,0.39764037484900133,0.35435661117415274,0.3521391654306109
PNC,0.06526486660620039,0.2554698937374038,0.209472196346001,0.19050118662108728
GOOG,0.1597753771682074,0.3997191228452892,0.3343469543506213,0.3390012697717611
MET,0.4132304538704302,0.6428300349784772,0.5691147326362769,0.5775088152056217
RJF,0.545162165214759,0.7383509769850373,0.6497318837471169,0.638136494693702
IT,0.5244953372951832,0.724220503227562,0.647306188724483,0.6129445128308854
AAL,0.0351686311245172,0.18753301342568246,0.15975343165133474,0.11313404329957408
HCA,0.13550660994261987,0.36811222465794297,0.3033321581234239,0.22651073788193354
SYY,0.09201562843609526,0.30334077938202647,0.2729906239437907,0.29140899026481015
CTSH,0.4605218029187886,0.6786175674993896,0.5914391762107726,0.613506144912433
J,1.0652060538827453,1.0320882006314893,0.8837554607613409,1.1219490798744651
AAP,0.13270814573327774,0.3642912924203346,0.3106384726759248,0.2541100734204213
LH,0.380547474334975,0.6168853007934092,0.5445147282344951,0.5672598897085691
HRL,0.02998844502834115,0.1731717212143517,0.1489117282390627,0.13564676626547234
IPG,0.0756889458749446,0.2751162406600973,0.24142874366793027,0.22805070701572308
APA,0.014963417213272674,0.12232504736672974,0.09995063313478536,0.1158338585791759
AMT,0.005244874488551402,0.07242150570480706,0.061458402978683394,0.054015331149487776
CTAS,0.8470424282236022,0.9203490795473217,0.817930907816646,0.7330823716046855
ABBV,0.008765730669084865,0.09362548087505274,0.06565839072140159,0.060096398885842235
RMD,0.08143067037178357,0.2853605970903894,0.2390501504578385,0.2650103861024975
LNC,0.021882180811783707,0.14792626816013343,0.13645177538899192,0.13741917270860562
PG,0.06773835258148093,0.26026592666248294,0.21082192109420736,0.21190146566609702
JCI,1.1654616964995377,1.079565512833537,0.9322596217971755,0.8891165569647553
MKTX,0.10824433246750788,0.329005064501305,0.3063289605336847,0.3688270069000035
CSX,0.0315109427540939,0.17751321853342047,0.16612857064223666,0.15327280122347184
ALGN,0.019862752829073974,0.1409352788661305,0.12800465699085453,0.1424199520762884
SEE,0.38796398967550355,0.6228675538792364,0.5596845591825462,0.5442498632158631
TSCO,0.46488603676363377,0.6818255178296232,0.6157421291208863,0.7157014729016522
WAB,0.7508761123322034,0.8665310798420351,0.757066093064869,0.6980451886152257
LOW,0.09437929420731676,0.3072121322593181,0.2827032662028937,0.2852570607332821
V,0.8221371864377538,0.9067178097058388,0.8012650847771156,0.7966687205331142
TT,0.9136994524694783,0.955876274666067,0.840658220171259,0.8570801576957873
TSN,0.05997365879404283,0.24489519961412642,0.22853806297980198,0.19470482669583664
VTRS,0.01386731332975631,0.11775955727564667,0.09685177759899548,0.082496267392529
MHK,0.29316700272318247,0.5414489844142129,0.4821547036985417,0.5127361243798975
CPRT,0.07706587682727635,0.27760741493568997,0.24074602784103247,0.25647273945690996
FIS,0.2389655105356041,0.48884098696365885,0.4319082774956851,0.4086429440764642
NOV,0.031975768879322256,0.178817697332569,0.14692156530376815,0.14481964920881937
IBM,0.5336171389262546,0.7304910259039837,0.62286028544357,0.6592191742972302
APTV,0.0169245542498763,0.1300944051444039,0.09746249241085685,0.08674664959915232
LLY,0.0026926693690115817,0.051890937253161865,0.041772728035954824,0.03436729483517842
AWK,0.04441457716098891,0.21074766229068573,0.18319156549334578,0.16212353777139238
GOOGL,0.1467485130585152,0.38307768540925896,0.3193063727945737,0.3197244040724164
EQR,0.2093883794313535,0.45758975013799585,0.4066595089589544,0.3473151112414686
RTX,0.1680666986910582,0.40995938663611325,0.3451775734512672,0.3564372608192316
NTRS,0.48883734656920386,0.6991690400534079,0.6128126142316418,0.5790712785140643
PSX,0.3050759572505691,0.5523368150418448,0.4618184112044502,0.45406660261270493
KMB,0.0022934612904517617,0.04789009595367044,0.03333712744641391,0.033677770701361
XOM,0.4830062035592432,0.694986477249193,0.6076478801588139,0.6397785368228994
CHTR,0.004891972928806253,0.06994264027620242,0.05874651130794123,0.05639223049914074
PNR,1.5034303531836395,1.2261445074637978,1.0569561455755332,1.1953817948743581
ADM,0.30451346668945173,0.5518273884915932,0.49861858188412506,0.4604711337577085
FLS,0.9075197856740542,0.9526383288919538,0.8170220241820284,0.9299915391351166
ES,0.028163573142983532,0.16782006180127432,0.14160280933513666,0.13209950448832913
HES,0.17678179042065612,0.42045426674093356,0.3430272496835696,0.3459926370386514
HAL,0.07215302170693702,0.2686131450747283,0.15902499668135373,0.1864906724034031
IVZ,0.09545129111194031,0.30895192362557045,0.2817516147575569,0.27058977156947484
TDY,0.11612330519974419,0.340768697505719,0.2950992792774715,0.2813935975658061
ALB,0.9764161323195059,0.9881377091880998,0.8770133738368552,0.9676166814318652
ICE,0.2134859753019216,0.46204542558272516,0.42264638388523884,0.4745741246055329
LYB,0.09539762715374148,0.3088650630190172,0.20691711544534666,0.18839629703611904
APD,0.20865695055305267,0.4567898319282651,0.40311005464799365,0.35217086445993606
IRM,0.15688082074495635,0.39608183591898827,0.376754056767057,0.3457535688513944
USB,0.09531186130574504,0.308726191479999,0.26734978741370713,0.25639723055463093
FRT,0.08795007073001888,0.29656377177601934,0.26718152378859716,0.23503318277182006
GLW,0.05646193120555351,0.2376171946757084,0.17503758802563718,0.1540514272483101
REGN,0.19704049090998363,0.44389243168811027,0.3766049159690056,0.33434190111900797
LUMN,0.013087425679372619,0.11440028705983486,0.09947834142056752,0.09265376074857827
CE,0.0538894459128284,0.23214100437628074,0.20053213006711818,0.1926750618446866
LDOS,0.36233790897141627,0.6019451046162069,0.534518854158241,0.6860843955095697
VZ,0.016230992069309363,0.1274009107868125,0.11478670947199128,0.12050035160179899
TFC,0.5189980028271418,0.7204151600481086,0.6192584700517247,0.6104777003408925
AAPL,0.07843732586290285,0.2800666453951681,0.22199803576704177,0.17873567204118895
TER,0.11177238780712943,0.33432377690964404,0.2741318543852358,0.2554251524049263
AMCR,0.7712766438935452,0.8782235728409624,0.7585272846087815,0.8048243748752283
T,0.12472441867547136,0.35316344470439087,0.31148538729469877,0.32796594083521957
SHW,0.03212372992462287,0.17923094019901495,0.1506917067249039,0.13177029064088228
O,0.0019501499329960508,0.04416050195588871,0.03623082893673764,0.035849484932309335
BKNG,0.008346555518855084,0.09135948510611848,0.07859877949098917,0.07644787678677611
HBI,0.050814899198607696,0.22542160322073768,0.1807420549217887,0.12520306640975037
PM,0.0060396554334767654,0.0777152200889682,0.07157886044916859,0.07823973354010845
DIS,0.38103666237043354,0.6172816718244869,0.5357822334986345,0.4687667915105034
INTC,0.10235163858274476,0.3199244263615155,0.2944724062502738,0.2468527023956694
CB,0.09126153079199674,0.30209523463966914,0.2780251674689966,0.2728908497485616
XEL,0.022039437064777928,0.1484568525356035,0.13022960431156205,0.11793067517922805
LNT,0.009628528176453047,0.09812506395642781,0.08309978952301554,0.07440288085307582
NKE,0.009285254589049219,0.09636002588754955,0.0715835752648799,0.06679339096652424
UDR,0.2617352933876404,0.5116007167583333,0.453337133658053,0.3973735774526979
MRO,0.0990443085793043,0.31471305752908363,0.2708146233799058,0.2839718014920749
EXC,0.25392132182336163,0.5039060644836115,0.45462744432916863,0.39760758212953395
ETR,0.007865859151720151,0.08868967894698994,0.07482994067340226,0.06796757492204113
AMZN,0.28434571805045605,0.5332407693063763,0.4814407649279287,0.6041542928441257
WST,0.03229683682276523,0.17971320714617842,0.16105883201793442,0.18426011204915999
KIM,0.17834419830680012,0.422308179303693,0.3742129513230216,0.3459497043738667
MCD,0.08152589284154364,0.2855273942050809,0.24228101473605407,0.2517858863688315
DHR,0.17023481816880032,0.4125952231531532,0.3674231110263965,0.3635744470701886
CMS,0.008507257729447496,0.09223479673879861,0.07430887741399525,0.06847722584540578
WY,0.2874686392569691,0.5361610198969794,0.48537823198052593,0.47107042782116954
YUM,0.0413422739399496,0.20332799595714704,0.16935312448682396,0.18093874305413685
PPL,0.004938416637248225,0.07027386880803009,0.05310230547201411,0.04835731257311179
META,1.2377598275706996,1.1125465507432486,0.9635450102973904,0.7833684799918872
ALK,0.1377894642045483,0.3712000326031078,0.3348292551814572,0.26588084174778226
SJM,0.0012255221846641695,0.03500745898610994,0.02908589984711819,0.03304973380251166
AMGN,0.013566234168314482,0.11647417811821847,0.08584200823089302,0.07167595822456091
DVA,0.20353793512945864,0.45115178723957045,0.3858935674566867,0.3351442762830072
TRV,0.1518920703006401,0.38973333229355694,0.3577671414674987,0.34557085626804
FTI,0.11426486663010249,0.33803086638664004,0.2784292995383049,0.3112250738303604
COST,0.00835237963136188,0.0913913542484292,0.062445299265027204,0.060190931862002355
FCX,1.2121874832144357,1.1009938615698254,0.9584021384918834,1.1761856754263105
OMC,0.3494939558652652,0.5911801382533628,0.518135599833908,0.5362092879752682
EXPE,0.5358209789960514,0.7319979364698042,0.6379663100479969,0.5457604402385056
LKQ,0.01161034035733087,0.10775128935344983,0.08420888926523085,0.10268537508887902
TEL,0.05533818749238468,0.23524070118154444,0.18682400694253554,0.17045236490058788
ILMN,0.20838570402628623,0.45649283020249753,0.38469285163927924,0.250566604031364
CHD,0.0014976338362418739,0.0386992743632471,0.030359648322963763,0.029364483356652992
IEX,0.2533716222133709,0.5033603303930206,0.4369236349138269,0.4286155254760404
DD,1.0062669338649544,1.0031285729481312,0.8553496431700652,0.769574472881927
GRMN,0.3077647200142529,0.5547654639703637,0.5017864860782505,0.44696630183254593
AVY,0.11104730013182484,0.3332376031179927,0.28755870833071745,0.3026472810164485
MAA,0.04304490150465537,0.20747265242594112,0.19305761162813834,0.1824250720641613
INTU,0.030691293067034414,0.17518930637180574,0.16099843909638895,0.14984495347218404
AES,0.011825689571616387,0.10874598646210529,0.09254385106223194,0.09766254819208102
K,0.011548707717303703,0.10746491388962122,0.09417282060832209,0.09246190340815354
BIO,0.14151682504056134,0.3761872207299995,0.3180886838938912,0.33607512943744927
DXC,0.27697347453104904,0.5262826945008253,0.43772502945443903,0.4020887558845153
ROK,0.6682845754948179,0.817486743314421,0.6986869184921516,0.7213231748940095
MGM,1.932525511306757,1.3901530531947757,1.1731770258291718,1.1849799687620166
GPC,0.020317801089598034,0.1425405243767471,0.12360855762266333,0.11587214047862542
AMP,0.4580813498223108,0.6768170726439389,0.6064040810909104,0.5762535025547842
TMO,1.0569074120020967,1.0280600235405015,0.8813099353844593,0.8101540952676781
MS,0.008665435210047787,0.09308831940715112,0.08513458406140209,0.08322964357306008
COF,0.2489154487585788,0.4989142699488348,0.4413124348923643,0.42100268106584515
CMG,0.008945962999092253,0.0945831010228162,0.07602712786685292,0.07136574559021235
LHX,0.5885765448948813,0.7671874248805707,0.6554007117805027,0.6526654154656027
AIZ,0.08896945636407783,0.29827748216061806,0.26130354538298806,0.2626102314796816
ADI,0.253043231216025,0.5030340259028458,0.4346322627017205,0.4334160269144142
ED,0.0016909997885947222,0.0411217678194253,0.033970113586040324,0.03411220674513417
DRI,0.41914651928379026,0.6474152603111779,0.5862613168602758,0.6349650306768888
ALL,0.0024641285242968007,0.049639989164954504,0.04335321030074641,0.040696320013243824
IDXX,0.04226093132401654,0.20557463686947508,0.16141585919769177,0.13759661002455353
DPZ,0.009972634345730116,0.0998630779904671,0.06392807164112091,0.05260515501964808
HII,1.1114391413877556,1.054248140329285,0.9022397594819476,0.8024450824878971
BEN,0.4702340451971789,0.6857361337986929,0.6091867469278975,0.634978547778039
EBAY,0.2859870397490381,0.534777560999934,0.46725063759322394,0.4890256912272513
FAST,0.0031958384178987055,0.05653174699139153,0.04864055100368338,0.05454460858394803
NVR,0.5898910887396569,0.7680436763229399,0.6546869186387879,0.5806528275077546
NOC,0.2868689707031609,0.5356015036416168,0.46903333932808206,0.41891984138857385
PFG,0.03880609265540647,0.1969926208146043,0.18584722645960794,0.19060779011009704
COO,0.021169039843306356,0.145495841326501,0.12866363505553996,0.11782961307074383
AVB,0.15436847933788375,0.39289754305401775,0.3461230548368598,0.31250087777190827
CMI,0.48500553175481564,0.6964233854163828,0.5979821907849375,0.5864923028555428
CAG,0.1721112135712676,0.414862885266045,0.3831287324315764,0.39776638588194235
MAS,0.062244293948021036,0.24948806373857055,0.22356316989169459,0.22650128873093395
ROST,0.17323513069127713,0.41621524562571843,0.38218225416506135,0.42261953616469206
SRE,0.04383117942733393,0.2093589726458695,0.17899755346575658,0.1579092346927169
QCOM,0.003043106968942391,0.05516436321523517,0.045544331522125454,0.043349215588128674
AMAT,0.1030756227644254,0.32105392501015373,0.27040503608807603,0.22636408146920425
EOG,0.25234855675049483,0.5023430667885194,0.39525127572285385,0.3777512374219497
GS,0.3317762969897288,0.5760002578035264,0.5234103703329458,0.5260382598144989
AIG,0.10999367623302123,0.33165294546109675,0.2931155103727514,0.28847659685284527
HD,0.08262536948984427,0.2874462897479184,0.26724716167350654,0.2541481790023114
VNO,0.015650785702972653,0.12510310029320879,0.11307557531506934,0.09696113628859739
CRM,0.2110212095530182,0.4593704491508114,0.39208402581755636,0.39599204421339473
IQV,0.3972516521315545,0.6302790272026783,0.5398198253913218,0.4558654865544308
ETN,0.6852446884704343,0.8277950763748443,0.7187687777410048,0.798961201107911
STT,0.10470834572624363,0.3235866896617406,0.2992164425840687,0.3100952600394783
NVDA,0.007486457496870764,0.08652431737304123,0.06935316357458327,0.0603606531240973
TGT,0.026846213628821957,0.16384814197549497,0.11694742675184326,0.11950603267850557
MA,0.708460025181618,0.8417006743383411,0.7536597497475271,0.8101596489199283
CNC,0.2915534175485013,0.5399568663777703,0.4514100022452965,0.366927989588337
EXPD,0.01891454002591282,0.1375301422449378,0.12302264089045278,0.13722009094965826
APH,0.10732690277495291,0.3276078490740918,0.28767372210203257,0.2582739273467243
FE,0.02065636336258773,0.14372321789671888,0.13113407580932596,0.14832646708395192
FITB,0.25129483179282597,0.5012931595312528,0.42317863555639235,0.43796525488472937
CMA,0.339583181081193,0.5827376605996845,0.4995633384523129,0.49814603257668205
MLM,0.01681668521165191,0.12967916259620088,0.1052780845555339,0.09025298040842283
WM,0.05926214579552809,0.24343817653672994,0.22972151111238587,0.2315541459381976
BIIB,0.11580221500862554,0.3402972450793946,0.30994006674635216,0.2817367760386703
UPS,0.19093848211519351,0.43696508111655047,0.3976370566335314,0.41154805254691945
NEM,0.03818616537731669,0.1954128076081931,0.17619986097508988,0.21027526527429538
TXT,1.9079114251832074,1.381271669579597,1.1969090158655948,1.129228236210591
GWW,0.000868766946432699,0.029474852780509337,0.02174874088778254,0.02406871889020638
HST,0.36200464949237104,0.6016682221061463,0.524197168817664,0.46106510747038115
PCAR,0.1170255934484264,0.3420900370493511,0.2810438318985832,0.26316415835103557
BWA,0.15920587253783808,0.3990061058904213,0.3178686367003068,0.3075112177223112
BAC,0.040462883461567206,0.20115388005595916,0.17477202251097193,0.1712430837536806
TMUS,6.267109252417802,2.503419511871273,2.1732389430176604,2.460689458742387
ZION,0.03410015951829925,0.1846622850456997,0.15284736406351476,0.15993713505960042
AON,0.0214869582710993,0.14658430431359049,0.12664811983575203,0.12245196750317258
CBOE,0.03767748375621581,0.1941068874517744,0.17080054220512536,0.17207409365580173
SLG,0.008918772734794276,0.09443925420498764,0.08025172079539691,0.07104792218520996
KR,0.1681155394893052,0.41001895015877643,0.3456600222167395,0.2857703869117747
CNP,0.004825162070156576,0.069463386543967,0.05034381134627979,0.05277004739895428
ESS,0.5602329728861166,0.7484871227256462,0.6686176304724845,0.5833768258413965
ODFL,0.06828114948676303,0.2613066196765077,0.23633365186999905,0.18952662056137518
ADBE,0.19713933294069927,0.44400375329573427,0.37527340771462336,0.32656555603674764
ANSS,0.132341971981969,0.3637883615262712,0.3350689156260315,0.38017616280090105
UAL,0.26754932291771055,0.5172517017059591,0.4518480640277484,0.357657130666257
CCL,2.144353805742809,1.4643612278883955,1.284063203409125,1.3107772909881281
RF,0.0925968466548539,0.3042972997823903,0.2477050902805373,0.24604598124071345
MMM,1.1544771043155497,1.074465962381103,0.9518896710767606,0.912915011447259
VFC,0.5604458179108316,0.7486292927149135,0.6695300419717821,0.6379038730052622
SYK,0.08325355725573211,0.2885369252898701,0.24385766616897311,0.21703897263164187
DHI,0.962328721227688,0.9809835478883874,0.8409143327171991,0.82100386472655
HPQ,0.04758137417032688,0.2181315524410141,0.18282180255113317,0.14717667677671242
CF,0.018287457146018933,0.13523112491589698,0.11574620013699174,0.10824416844090286
OKE,0.08424251769321361,0.2902456161481403,0.1955736611974283,0.18722014575419854
LYV,0.33560736163386656,0.5793162880792034,0.49053111206469935,0.409953220505126
HUM,0.006845199840722262,0.08273572288148731,0.07173924782451095,0.0604889524112439
TSLA,0.3498125979546712,0.591449573467317,0.4739459461152664,0.38267623766040093
TPR,0.07253813673529169,0.2693290491857343,0.24655557280655951,0.3782533758969453
UNM,0.13046733160744334,0.3612026184947215,0.31868887272027546,0.32742524092925324
PH,0.9660828555530473,0.9828951396527746,0.8676176430961221,0.9265054035945935
MNST,0.40918178354693596,0.6396731849522348,0.58020099129962,0.48555762909949085
MKC,0.0029933795220204156,0.054711785951661415,0.04242220325349809,0.043468494454120904
EFX,0.06818658402669177,0.2611256096722261,0.2312851172882811,0.21458947893384436
AXP,0.516842682152823,0.718917715842935,0.6248999842263836,0.6277994669231102
EA,0.07684530568279953,0.2772098585598996,0.22408441193254153,0.1638513061573568
MSI,0.2087391781147399,0.4568798289646194,0.40118114696475066,0.42367440505857146
FANG,0.550376787448237,0.7418738352632724,0.5586578275297543,0.47392389429556353
CBRE,0.16472451047380837,0.4058626744033114,0.3518188313799255,0.3026347142227468
ECL,0.005783748145239522,0.07605095755636165,0.06145593515740717,0.061184330340851203
HAS,0.3953394464002504,0.628760245562846,0.5531258422271124,0.559615623443363
MDT,0.001757080939055008,0.04191754929686382,0.03412764656496412,0.03132510961868325
STZ,0.10658125413797341,0.3264678454886077,0.30165801529129754,0.2454700695120307
NUE,0.1499871038805762,0.38728168544429803,0.3487006484884154,0.36729895855898453
PFE,0.015917501601240922,0.12616458140556297,0.10988953488573007,0.11637509283973478
JKHY,0.09609494600804314,0.3099918482928916,0.2780089942093794,0.28214177997259043
PEP,0.005171490063351259,0.07191307296556905,0.06788584119485559,0.06562960083493229
WU,0.0358141047416466,0.18924614855168545,0.17471405170140783,0.20133227731676392
CVS,0.38204728580703834,0.6180997377503394,0.552760499866939,0.48945442597751343
DGX,0.8024177256202533,0.8957777211006385,0.777978297356689,0.8069643731908166
CCI,0.1001004197867668,0.3163865037999674,0.27291023188936536,0.2672743197525726
NEE,0.02458046091249823,0.1567815707042707,0.12027873829364882,0.10889713458151548
BA,0.1206079786595747,0.34728659441385684,0.3107793822210002,0.3413474870869763
AEE,0.022003651521944365,0.14833627850915085,0.12042710043785179,0.11055001693043229
AEP,0.0015353040889919693,0.039182956613711135,0.03282631030885932,0.029390252848908647
NTAP,0.006098372084279269,0.07809207440117895,0.06850827307667166,0.07423582371063357
GM,0.19448209424300647,0.44100124063658425,0.4018570983494814,0.4968881618742495
PVH,0.2484893327585049,0.4984870437218052,0.44917818827395606,0.5080995566039118
FTNT,0.11375622109853097,0.3372776617247738,0.2823726139427953,0.24445385290474714
VRSN,0.36830348548913716,0.6068801244802281,0.5498143358689945,0.6032956060927388
URI,0.4112872201565978,0.6413167861179043,0.5343028900356676,0.3948517327713382
LIN,0.2551525436210401,0.5051262650279038,0.4363674318075053,0.44000827307756907
FMC,0.08755684338187442,0.29590005640735256,0.23126269813809586,0.2862010615087406
JPM,0.18217994558084083,0.4268254275237604,0.3790211502431369,0.3775880772828578
INCY,0.29505029372743974,0.5431853217157472,0.4788519379257827,0.4565428750996805
EMN,0.27196096776045003,0.5214987706221847,0.4303191580722407,0.4353280835737633
GE,0.2569668549759634,0.5069189826549835,0.4533809518942864,0.48928614695766665
VRSK,0.02243837496940621,0.1497944423849103,0.13996827373969875,0.15600771487343312
TTWO,0.12292720671083154,0.35060976414074885,0.3007152949658679,0.24096476140087783
MAR,0.12404550547701196,0.3522009447417936,0.3109944431390938,0.23035472831562348
WMT,0.004917964087964908,0.07012819752399821,0.04750367400284593,0.0479759342939187
XRX,0.24927765508135472,0.49927713254399575,0.4548873044905916,0.43606839757576504
D,0.008805245765488136,0.09383627105489718,0.07569029675925668,0.0728672736500151
NFLX,0.1479651079011835,0.38466232971423586,0.3106545029297684,0.31206351921928754
RHI,0.35656825854680074,0.5971333674706185,0.5378127855574774,0.45921243909770626
F,0.9041488970029975,0.9508674444963385,0.8379827223743361,0.9459316602242727
MDLZ,0.025813754818527854,0.16066659521670287,0.1366863757934998,0.13464552869575563
HOLX,0.0034847534477102206,0.05903180030890317,0.05210060820407107,0.050271249204541596
PPG,0.020432060638416103,0.14294075919210764,0.11970546683787595,0.11289990366307003
SNPS,0.5061807207830857,0.7114637874010776,0.6289018945464602,0.6365492311895927
WFC,0.156097773909282,0.3950921081333845,0.34044223367680576,0.30045936332095036
XRAY,0.038820870440742825,0.19703012571874085,0.18300848036600742,0.18898715506245659
AFL,0.048415379659192945,0.220034950994593,0.19835228405009817,0.22027583876288043
NWS,0.10492783776044907,0.32392566702941133,0.2803516779628611,0.3189633411297546
FDX,0.06727343602106409,0.2593712320614298,0.24516064864891035,0.2329105938975205
PSA,0.028755161242299376,0.16957346856834465,0.15521189830471366,0.1534220701386391
