,mse,rmse,mae,mape
AWK,0.048723763280931316,0.22073459919308372,0.18981670329413702,0.16337814375098458
IBM,0.5461238264383269,0.7390019123373951,0.6328111062489536,0.6584374832957781
SEE,0.43868832101636474,0.6623355048737496,0.5950907652524697,0.5735180361002752
UPS,0.18587142340271157,0.4311280823638279,0.3918496586697031,0.3984384975276411
FCX,1.2295768145253552,1.1088628474817592,0.9669229853818142,1.1536866782209645
J,0.9525616977273771,0.9759926729885717,0.834384438870556,1.059750888224166
BLK,0.48086084604764107,0.6934413068513017,0.621278077426274,0.6007389438317475
WELL,0.20140342977944128,0.4487799346889757,0.39197655952382576,0.37050843796656824
MSI,0.2131549264275661,0.4616870438160097,0.40691825905227225,0.42502707098104947
CBOE,0.057901694442002605,0.24062770921488366,0.21343841152989204,0.20862178383682206
LMT,0.39042118615082455,0.6248369276465857,0.5404796028588413,0.45163789195918796
ROL,0.26283228647229084,0.5126717141332169,0.4558166356602679,0.45103229300613595
CB,0.08355420626709467,0.2890574445799566,0.2665393916767738,0.2579535079490745
SYK,0.08672981796906985,0.29449926650005404,0.2499209550444443,0.22087695324812145
UHS,0.24923209977017044,0.49923150919204856,0.4148036423855784,0.33767314662259695
LYV,0.3260281849703071,0.5709887783225753,0.4823081914185865,0.40291212046469127
DXCM,0.04409108577125179,0.2099787745731739,0.1798504965323467,0.16222843296417522
XEL,0.0022565157144748527,0.04750279691212774,0.03827904374349224,0.03368522397170543
K,0.0064414745101451796,0.08025879708882497,0.06733424962523794,0.06435650177362942
CBRE,0.13394234582564743,0.36598134628099205,0.3160670045663561,0.2718213480896833
CNC,0.029050027436704144,0.1704406859781553,0.12954235999521044,0.10774778616799144
VZ,0.015478222170133728,0.12441150336738853,0.11044766023654425,0.11264491929801473
YUM,0.061371278612408986,0.2477322720446591,0.20607040864750065,0.2175980522567877
CRM,0.1353801578585775,0.367940427051143,0.3183069144766503,0.32171234544155847
TROW,0.5209850599068677,0.7217929480861307,0.6376978506077611,0.6502762154705428
IVZ,0.22739779542043922,0.4768624491616416,0.43225265605041907,0.40735247026572907
WU,0.1982449689178383,0.4452470874894504,0.4043452205652781,0.45207440769166135
LIN,0.2562561419650992,0.5062174848472731,0.4394873317838421,0.43791322576015856
WEC,0.0034674051195867236,0.05888467644121621,0.047238196512333665,0.04164051341612054
ESS,0.5127210297801253,0.7160454104176113,0.6392127129132712,0.5447098750804896
VLO,0.2763612112835591,0.5257006860215793,0.4300421207375007,0.42280884566120874
ADSK,0.3949548658577835,0.6284543466774524,0.5474027699720315,0.49967799324922063
COST,0.010349214785490397,0.10173109055490558,0.07191531519818183,0.06934674629659582
VTRS,0.01534961359904777,0.12389355753649085,0.10158119872627253,0.08673799987888688
TSLA,0.22752161809054525,0.4769922620866561,0.3826287043428317,0.3103403042044138
ROP,0.56482152182247,0.7515460876236866,0.6649816759517083,0.6247717386649521
ADBE,0.17805944855420236,0.42197090960657746,0.3554871393251416,0.30930882843726737
ODFL,0.0057833061902255525,0.0760480518502976,0.06366131080195356,0.053268458089607444
REGN,0.08557664862526583,0.29253486736672235,0.24155125161237995,0.2128933888414865
STT,0.10925793580692522,0.33054188207687873,0.3069187850941676,0.3154870366251419
NOV,0.014023385192620409,0.1184203749049141,0.09637947401999834,0.09393919270002248
CMS,0.005231767060985321,0.07233095506755957,0.057468395111467216,0.051334356184691954
AON,0.017959357337182142,0.134012526792021,0.11539688311871028,0.11063353776658001
GE,0.37051650409951986,0.6087006687194617,0.5421477754339781,0.5737528530251272
ECL,0.008051101430987605,0.08972793004960944,0.07483755709098659,0.07368993089795367
APA,0.020373715238015632,0.14273652384031085,0.12092671185843307,0.1278250598971663
IPG,0.1557780091360996,0.39468722950723856,0.3478311367132765,0.3253767567455857
BA,0.0746675690474971,0.2732536716084472,0.24636533946172054,0.26633426467921073
CSCO,0.15268797488596664,0.3907530868540473,0.3389320084394434,0.3165739431446392
NWS,0.10321958496816554,0.32127804930957476,0.27918008115537934,0.31765083070026784
CDNS,0.14723951345986525,0.38371801294683217,0.33033747514330397,0.2815534254901999
TFC,0.5116091022634225,0.7152685525475186,0.6120767458900643,0.5925842933626304
D,0.00435019517576121,0.0659560093983953,0.05595380448758843,0.052511430045777255
IDXX,0.03489119580589061,0.1867918515511065,0.1448070649028681,0.1237590478928247
KEY,0.14035847758627049,0.3746444682445885,0.32129823241454303,0.317221392170549
COF,0.34443571943645357,0.5868864621342476,0.5212192933107029,0.4923371227460271
