,mse,rmse,mae,mape
LVS,0.10104053783040365,0.3178687430849464,0.2625677820521093,0.3179461288703882
PAYX,0.6605099929003354,0.8127176587846086,0.731468231845658,0.7699157147028433
KMI,1.222930564655643,1.105861910301482,0.9874404601690417,0.970117165709484
WAT,0.14024798484912926,0.3744969757543167,0.3062960078154576,0.30883660178480654
UNP,0.023432214387035875,0.15307584521091455,0.12371291015475806,0.09811966389304856
LRCX,0.2156045504649675,0.4643323706839396,0.4261996219077096,0.3435342293662915
EW,0.17994760446242167,0.42420231548451226,0.3777079303563017,0.31121738847801356
ROL,0.3386284786388432,0.5819179311886198,0.5143597169028394,0.5139634146981532
MSFT,0.1625981392622828,0.4032345958152435,0.3438423505730501,0.29804332242966536
CVX,0.22899727655149105,0.478536598967614,0.41418516964256913,0.43752916261136954
AJG,0.06422695748714427,0.25343037996093576,0.21765879486073517,0.22613419230919227
DOV,0.5830931344007307,0.7636053525223162,0.6551362289010445,0.6500165688382302
CDW,0.010115728783330318,0.1005769793905659,0.0858469270600283,0.06550233198366491
DLTR,0.02276310032551517,0.15087445219623888,0.13957892488446152,0.15188176447016152
BKR,0.023025573955686322,0.1517418002914369,0.12530075102330895,0.1186243991319392
PRGO,0.007209935950439721,0.08491134170674564,0.06852880109461325,0.07275163339195029
GD,0.1456160778639783,0.38159674771147917,0.32583088852656805,0.24864461044903738
TXN,0.017154973187301067,0.13097699487811235,0.11110164943189563,0.1025557463485061
ARE,0.0021100929270443276,0.0459357478119637,0.03925541925054534,0.034794821254793926
A,0.3811016599147606,0.6173343177847482,0.538789006807863,0.5469905800864138
BDX,0.1870839409936923,0.432532011524803,0.3790569263949427,0.3445409377727463
DVN,0.0677494652122758,0.26028727439557203,0.17745366315264097,0.18727272881822926
ORLY,0.0879449360700854,0.29655511472588936,0.24816546971698655,0.20979868315886255
FFIV,0.6474852006094143,0.8046646510251424,0.6702682685297803,0.518828505198203
MSCI,0.007640430993252252,0.08740955893523461,0.06906427431299964,0.0686112321107337
UNH,0.3192672365934943,0.5650373762800955,0.49832718974119866,0.4345947884334782
SCHW,0.30216976758953984,0.5496997067395433,0.47995944567649207,0.44765312073009383
HBAN,0.07547229045957246,0.27472220598192,0.2463262604481096,0.2453069886877194
PNC,0.13583496452215169,0.3685579527322015,0.3031982882268545,0.27603388763184156
GOOG,0.043705213583763336,0.2090579192084417,0.17925766557989659,0.1822666167003932
MET,0.718291491356678,0.8475207911058454,0.7430139046629539,0.7539800180449943
RJF,0.4649099799608353,0.6818430757592507,0.6001609995572164,0.5898064858517262
IT,0.5984421178379995,0.7735904070229926,0.6901428405497008,0.653127325148733
AAL,0.10844680595649285,0.3293126264759565,0.3036496661726943,0.20102726124153328
HCA,0.1339626788357064,0.36600912397876967,0.30128422333242405,0.2248953433535467
SYY,0.022407030160447605,0.149689779746139,0.13732917767214206,0.14705165685051047
CTSH,0.6396266501112796,0.7997666222788243,0.6958029935867597,0.7217116948177352
J,0.933404427520415,0.9661285771161181,0.8264817515967106,1.0495067537617793
AAP,0.034132666809774115,0.18475028229957896,0.15306088658968992,0.1237563017005482
LH,0.137973764697993,0.3714481992122091,0.32670585126292206,0.3394490823270008
HRL,0.016834370998253606,0.12974733522602153,0.11133690356195237,0.10143182238868634
IPG,0.21065612682823104,0.4589729042418855,0.3993180785675745,0.37599228752981456
APA,0.03623668001821823,0.19035934444680733,0.13846414869780777,0.1745016441827249
AMT,0.00304257484990492,0.055159539971839144,0.046793161601192707,0.041489911088362835
CTAS,0.7893447711686891,0.8884507702561178,0.7900129123165284,0.7081993826287716
ABBV,0.04615440435317442,0.21483576134613722,0.15642914774798417,0.1405735483007517
RMD,0.30734405035387474,0.5543861924271516,0.47670235887650925,0.5401640021759958
LNC,0.0609497270086738,0.24687998503052813,0.22466843676588263,0.22405968603094817
PG,0.0232444526035205,0.15246131510491603,0.12356562253588882,0.12410164390829032
JCI,1.2055979301892394,1.09799723596612,0.9482192291479261,0.9043575885039574
MKTX,0.358642459703961,0.5988676479022398,0.5456294236307137,0.6455489376688067
CSX,0.03144437748162452,0.17732562556388887,0.16594883550839576,0.15310773699868302
ALGN,0.23104742961665733,0.48067393274095627,0.4000995436514202,0.43625578996698905
SEE,0.38681655992501407,0.6219457853583494,0.5596128438744223,0.5441414657041669
TSCO,0.25983613127095884,0.5097412395235046,0.463495524077989,0.5404472073484883
WAB,1.0742926141496383,1.0364808797800558,0.9050869044250885,0.8342108014911109
LOW,0.05079998405290263,0.22538851801478849,0.20535697760873042,0.21031155670315174
V,0.6999402339788872,0.8366243087425127,0.7398915573581986,0.7360691491860044
TT,0.7554355354499511,0.8691579462042277,0.7653886359161869,0.7802871248662976
TSN,0.013773051207350805,0.11735864351359385,0.08761358256475968,0.0737031384275271
VTRS,0.015008742147111077,0.12251017160673262,0.09268473513069955,0.08291969042164195
MHK,0.21028820180569646,0.45857191563123056,0.4096300672883793,0.4361301193514981
CPRT,0.06614521368654373,0.2571871180415997,0.22352395226630156,0.2380436832259699
FIS,0.1682902145376424,0.41023190336399046,0.3632995832837752,0.3439426542836787
NOV,0.0088009822435319,0.09381355042600135,0.08191577028493556,0.08275137220322987
IBM,0.6071902937617644,0.7792241614335148,0.6643092190659531,0.7030042357059192
APTV,0.09217422714433157,0.303602086857669,0.24337836324778925,0.21531316359926192
LLY,0.016514721624702897,0.1285096168568831,0.09967597317782059,0.07964401558749858
AWK,0.02376160633187228,0.15414800138786192,0.13412021268131447,0.11866617882017924
GOOGL,0.030896385765470834,0.17577367768090543,0.15001494833903067,0.15087744782582518
EQR,0.17071027971333774,0.4131710054122115,0.36766457023997245,0.314015181194837
RTX,0.28040007586958815,0.5295281634338141,0.4476070492084297,0.4624056479623316
NTRS,0.527530628395304,0.7263130374675261,0.6362589511704145,0.6010543673083545
PSX,0.356785486886937,0.5973152324250044,0.5006640926117258,0.4921021927270306
KMB,0.002910592780245529,0.05394990991878975,0.04239334991513143,0.04114769547055038
XOM,0.4465346086362732,0.668232451049987,0.5845055100319783,0.6153311117004522
CHTR,0.06861887831584162,0.26195205346750317,0.22885888188612916,0.21533478387343422
PNR,1.4257360065219626,1.1940418780436315,1.0289321434259626,1.1637537873389494
ADM,0.1699452724804603,0.4122441903538002,0.37595181397226646,0.34828277038293287
FLS,0.5439469716760357,0.737527607399232,0.6289047568059561,0.7168685941578584
ES,0.012128023552951887,0.11012730611865473,0.09109929139789566,0.0853920713561079
HES,0.41102228563757376,0.6411101977332554,0.5338889312284469,0.5335398798517151
HAL,0.11946083113834433,0.34563106217228845,0.21477273816022915,0.24775152744638285
IVZ,0.035195954769834045,0.18760584950857487,0.1703937076008436,0.1641499948143181
TDY,0.1441437917904981,0.3796627342662144,0.329081185630746,0.3136560254488989
ALB,0.8716553109994379,0.9336248234700264,0.8290821535288527,0.9145384225174976
ICE,0.41459578558967397,0.6438911286775691,0.5821874324059378,0.6517592323027978
LYB,0.27718492035851483,0.5264835423434572,0.40600902519999593,0.3585645124211342
APD,0.3113854445418003,0.5580192152084015,0.49002836376810915,0.4277050805345312
IRM,0.2604862133062813,0.5103785000431359,0.47922275923485846,0.4353952753175854
USB,0.10117012620372097,0.31807251720908075,0.2751476440869822,0.26389589012644593
FRT,0.050333562233508,0.2243514257443175,0.2026135548958057,0.17826795991705485
GLW,0.029663023611554595,0.17222956660096023,0.16280181418313688,0.14086382049404694
REGN,0.09195573551760212,0.30324204114469705,0.253535885945496,0.22398731499327487
LUMN,0.06851738794869025,0.2617582624267862,0.23289720971554756,0.2107722501797401
CE,0.14168235242046417,0.3764071630833613,0.32667707294684883,0.3157150353967871
LDOS,1.2962583457747765,1.1385334188221163,1.0044777771099416,1.2845089831017755
VZ,0.04600276220789199,0.21448254522895793,0.1904305287448324,0.1993415370899171
TFC,0.40272605459181904,0.6346070079914174,0.545169063071271,0.5373216709856484
AAPL,0.12917466155490187,0.3594087666639503,0.2796124771673097,0.22336509448698905
TER,0.1561603679267159,0.39517131465570204,0.32187678655858437,0.2996735204284506
AMCR,1.1608118339729951,1.0774097799690678,0.9317319706914804,0.9889145611795227
T,0.1351795324075212,0.3676676929069526,0.3245565377070051,0.3416271821559221
SHW,0.04356637698762551,0.20872560213741273,0.17664572807692414,0.15464115704799325
O,0.023715548682113414,0.15399853467521504,0.14106876903972004,0.13686807180186525
BKNG,0.011567310521963728,0.10755143198471942,0.0949085983080405,0.09289632988801969
HBI,0.14681382316966535,0.38316291987830103,0.31396244819605,0.21891776157696852
PM,0.00279847333172505,0.052900598595148715,0.04133959137734134,0.04455677079951718
DIS,0.49210913160815073,0.7015049049066947,0.6089122137918918,0.5327152818059502
INTC,0.10082316387410585,0.31752663490502,0.2922707119549385,0.24505058596894044
CB,0.20494091934158418,0.45270400853271026,0.4072110573879268,0.39889167560778577
XEL,0.03348052959293622,0.18297685534770844,0.16105877296395213,0.1460002876221845
LNT,0.01026642840560523,0.10132338528496385,0.08605993659983607,0.0770606844475853
NKE,0.02538575257071263,0.15932907007421035,0.14928032299806768,0.14949881302150514
UDR,0.3508495387376338,0.5923255344298722,0.5237188834867317,0.4591461877108508
MRO,0.035685661272528965,0.18890648816948816,0.15889195437198686,0.162437952007823
EXC,0.2835632066430615,0.5325065320191495,0.48014486785056376,0.42011271047992793
ETR,0.008150819724117795,0.09028189034417587,0.07555871898463423,0.06871187601433387
AMZN,0.014851284235411917,0.12186584523734251,0.09334798799651492,0.11765999834949321
WST,0.1297731732312497,0.36024043808441286,0.32836245802705055,0.36663006382425917
KIM,0.18971339980518553,0.43556101731581254,0.3857035293587795,0.3566302716591681
MCD,0.07645788967458592,0.27651019813848804,0.23454778673677196,0.24373625432971852
DHR,0.18101148451926055,0.42545444470502425,0.3785822039106671,0.37458067214668544
CMS,0.004393414144344307,0.06628283446220679,0.052638375003469975,0.0487960600909211
WY,0.20125826386567927,0.44861817157319794,0.40840625331203034,0.39712598672597593
YUM,0.13182659132747004,0.36307931823152645,0.3053681084852606,0.32556319629291375
PPL,0.008447347755446293,0.09190945411352573,0.06783880464077902,0.061671628690470506
META,0.829066032603673,0.9105306324356545,0.7855585028434136,0.6400049594975756
ALK,0.30358602071445323,0.5509864070142323,0.49680773378614923,0.39599226135935733
SJM,0.003156483354314771,0.05618258942336826,0.05004009213970677,0.05566234359235082
AMGN,0.030882866303378633,0.17573521645754056,0.12520274147831095,0.10174688935643862
DVA,0.4038761258114671,0.6355124906809205,0.545824250807975,0.4741337739949261
TRV,0.19556328409600418,0.44222537703755105,0.4029425371671022,0.38887687404307447
FTI,0.623299556162607,0.7894932274330205,0.6733042809534981,0.7437186871146828
COST,0.0038475896253179617,0.06202894183619419,0.05815084057697241,0.06026057333336314
FCX,1.4060875579464673,1.1857856290014934,1.0324347111138612,1.2661806741787234
OMC,0.3098875556021536,0.5566754490743718,0.48814892787895026,0.5052918131819628
EXPE,0.16003664352053748,0.4000458017784182,0.34815551185704846,0.3004144387031973
LKQ,0.041966207648176226,0.20485655383261778,0.15443416883232017,0.18852157528009097
TEL,0.13959506085189438,0.3736242241235094,0.30636011470636537,0.2791505563260456
ILMN,0.06277507013235818,0.2505495362844605,0.20925488618638946,0.1394741967002953
CHD,0.0014653394099551362,0.03827975195785804,0.02671085499921194,0.025011194556832903
IEX,0.20585227127375616,0.45370945689257586,0.3940339009770222,0.3864596203281326
DD,1.647762015139341,1.2836518278487126,1.0988220653189409,0.988381496347864
GRMN,0.14021604336583096,0.3744543274764373,0.3388860685171834,0.2998892309689009
AVY,0.043413084636753696,0.2083580683265078,0.18021707919491475,0.1897694228335
MAA,0.0949042346159188,0.30806530901079854,0.2837319907771302,0.2686157841619011
INTU,0.020897872295593242,0.14456096394114576,0.13272270999004504,0.12418288626190961
AES,0.05179389801948833,0.22758272785843905,0.18840467013101744,0.20398781195766072
K,0.004430115587142208,0.06655911347923896,0.05440547412088484,0.053134887025122035
BIO,0.06810950022564667,0.2609779688511018,0.22485203824208125,0.23695816523756408
DXC,0.48781394536342737,0.6984367869488458,0.5838900265214468,0.5369172664983878
ROK,0.7085173704686798,0.8417347387797891,0.7186137084413925,0.7423642428506968
MGM,1.773693499297776,1.3318008482118397,1.122175607866725,1.1337640767512132
GPC,0.04468583414038785,0.21139024135562134,0.1851896108723342,0.1721765297934805
AMP,0.5001309386954829,0.7071993627651844,0.6324548520164626,0.6008029757364343
TMO,0.9768597387485353,0.9883621495932223,0.846916317475735,0.7785524837442672
MS,0.032948374363419956,0.18151687074049055,0.1655564458474379,0.15812509071812958
COF,0.4658905356133097,0.6825617449090666,0.5993958132567007,0.5714637588705762
CMG,0.015082617814466783,0.12281130979867767,0.10355815732363191,0.0920989584213679
LHX,0.514677910100072,0.7174105589549628,0.6123949191775558,0.609661828666971
AIZ,0.2786290523989535,0.5278532489233665,0.45794836005082096,0.4603274414433014
ADI,0.22286045984059105,0.472080988645583,0.40851657252499896,0.4070922078325865
ED,0.004370700883423334,0.06611127652241586,0.044765634562619894,0.04330926456005883
DRI,0.8696032653635444,0.932525208969465,0.8317582754754742,0.8983777145799263
ALL,0.03776468332524324,0.1943313750407876,0.1714706198562899,0.1548944177641283
