,mse,rmse,mae,mape
FITB,0.23919112874171378,0.48907170102318714,0.4145495459029535,0.422902063356175
EVRG,0.0022852585064684493,0.04780437748228136,0.04022191382092093,0.03452418121324095
C,0.07257842031134377,0.2694038238617703,0.2514664756430657,0.265645026467018
RSG,0.12615449940350068,0.35518234669462484,0.30169326744362435,0.2718952650443048
LDOS,1.3077565559310584,1.1435718411761713,1.0109122820996532,1.2619149768778637
MSI,0.2196879903526369,0.46870885457033656,0.41238251356069555,0.43045230830666814
SO,0.001653859994336755,0.0406676775134351,0.031144301519934692,0.02794993079377272
MOS,0.2843455401909894,0.5332406025341557,0.4505794005407734,0.47144180825707255
PSX,0.2862274322498523,0.535002273125874,0.447071641360722,0.4324589110282266
GS,0.3161599195603685,0.5622809969760391,0.5116069408604075,0.5103559340856557
HON,0.29872851954565444,0.5465606275113992,0.47568298364394956,0.45258698415063825
ADBE,0.1755070195584128,0.418935579246276,0.35329805578402346,0.3075347201156137
LLY,0.001573202910989868,0.039663622010475394,0.030989058959407307,0.025654503712485625
FLS,0.7681496248387472,0.8764414554542403,0.7523048928104981,0.8521748625144341
HCA,0.15700515052237082,0.39623875444278644,0.3277470207227781,0.2450901084197529
LVS,0.20801381645201822,0.4560853170756741,0.37469660761338774,0.4468176644186216
DUK,0.008991822237264429,0.09482521941585176,0.07129435046555184,0.06455599013446836
EXPD,0.06091015344749553,0.24679982465045538,0.22431608097811753,0.24449064156406194
AEE,0.01991900472990468,0.14113470420100324,0.11512205815036325,0.10213492376354637
ESS,0.5713565691732285,0.7558813195027567,0.6757068488498722,0.5761607377768764
ETN,0.7450082000340137,0.8631385752206964,0.7508580260179942,0.8185140695185977
O,0.0019996317549017474,0.04471724225510499,0.03636646659636822,0.03470432702893885
MCO,0.45372175103565143,0.6735887105910041,0.5992223320383504,0.5150189335213085
NFLX,0.16152927557243232,0.4019070484234288,0.3256597349894057,0.32654349413903
COST,0.009688202118307,0.09842866512508945,0.06926245131643691,0.066460166882738
TYL,0.15042774352382762,0.38785015601882594,0.3608176551885495,0.4152447289220828
TTWO,0.11050974597657559,0.3324300617822877,0.28569719667537846,0.22925039878057166
CSCO,0.1974682136818712,0.44437395702479143,0.3865433537009718,0.36073459659030505
VMC,0.35783093238140745,0.5981897127010857,0.4996321203767566,0.469300021142027
EOG,0.2659607453655705,0.5157138211892043,0.41020911568064095,0.38980319859685103
WMB,0.4693181968239181,0.6850680235012565,0.5705356852929893,0.43121018459675947
AMD,0.3615055636330254,0.6012533273363445,0.4880316035297382,0.6276159022293069
PCAR,0.290697134533338,0.5391633653479602,0.45587768926003003,0.4208750275624532
AEP,0.00817676063902403,0.090425442432006,0.07774402383939562,0.06685786618130235
AMP,0.4093589242399013,0.6398116318416704,0.5753774458947625,0.5401505840806814
WYNN,0.5460921405403935,0.7389804737206481,0.5951526106702186,0.6170744025393287
NI,0.21686218924992862,0.46568464570987156,0.40303587613033676,0.3304473854038431
CDW,0.017847345108278345,0.13359395610684768,0.11572230701556073,0.08713090711781105
WDC,0.3101861192192481,0.5569435511963919,0.48559389144414045,0.4197129135094493
SLB,0.06657151139460417,0.2580145565556412,0.18577126657253726,0.18273790975066215
HII,1.094917035274826,1.0463828339928107,0.898426471941091,0.7949542363919315
LRCX,0.20528702302,0.45308610993938003,0.41936441413228503,0.3326041060683627
SWK,0.015434260123820032,0.1242346977451148,0.10094478958093114,0.10000460445954777
TSCO,0.27761143845479236,0.5268884497261184,0.4788913385864806,0.5473051538325282
BAC,0.036473613729683343,0.1909806632350075,0.1670327124010398,0.1633929233013574
GILD,0.014159841514600577,0.11899513231473201,0.09482309436924526,0.07652240231279936
AZO,0.04560597639774169,0.21355555810547683,0.1760141095260684,0.15654708889947697
TSN,0.10542302188817727,0.3246891157525569,0.3017245078484981,0.25664018909413117
WBA,0.009384412512880462,0.0968731774686908,0.08720360461326768,0.07864373186842831
FANG,1.5775232772315644,1.2559949351934363,1.0270317669420022,0.8534910692438361
