,mse,rmse,mae,mape
LVS,0.2458243127168831,0.4958067291968546,0.4086411952259336,0.49533374218280074
PAYX,0.5028003679791915,0.7090841755244517,0.6410762801145208,0.6754510744307833
KMI,1.1453079894159623,1.070190632278176,0.9556457022213234,0.9388647685762884
WAT,0.044243355977338576,0.21034104682001223,0.17631787195726675,0.17820055467687065
UNP,0.00223944713060425,0.047322797155327265,0.03561311515537574,0.02803580917240132
LRCX,0.19187001627853942,0.4380296979412919,0.403163802631576,0.32553296331777903
EW,0.014392789223160701,0.11996995133432664,0.07990762660203544,0.05946686048690894
ROL,0.2558575833039095,0.505823668192691,0.44916069554428556,0.4488537453609211
MSFT,0.15563969772903088,0.3945119741263006,0.3354551346549042,0.2906088934089415
CVX,0.07980941879559582,0.28250560843210853,0.24551143932691205,0.2600759196101428
AJG,0.002645400557057154,0.051433457564674316,0.04568814697006328,0.04782960319342002
DOV,0.5014931208581233,0.7081617900297383,0.6053621226337133,0.601313239742349
CDW,0.014320583050155416,0.1196686385405776,0.1030286044531442,0.0780148075936157
DLTR,0.012190236900591012,0.1104094058519971,0.10165866057785398,0.11145926340197297
BKR,0.05274524347387685,0.22966332635812112,0.15449674586450074,0.1536769029918327
PRGO,0.018547124359989522,0.1361878275030097,0.11003909870618178,0.11172137388258718
GD,0.08076847749641713,0.2841979547716998,0.2396256100143589,0.18278562217620897
TXN,0.010010951887111014,0.10005474445078061,0.08282071612822815,0.07699916589376717
ARE,0.002549466230949695,0.050492239314073754,0.03742046510024734,0.033128630775504535
A,0.22572362499942072,0.47510380444637645,0.4147439142112048,0.42127089760035463
BDX,0.1068271308307856,0.326844199628486,0.2873266577273648,0.2616140792749554
DVN,0.02141241234511836,0.14632980675555599,0.102904247638532,0.1070626413467805
ORLY,0.009506973487186283,0.0975037101201092,0.07761865616317373,0.06793109617121149
FFIV,0.22100527075887122,0.4701119768298519,0.3935113362234819,0.305282438183843
MSCI,0.012287803856496974,0.1108503669660005,0.08895579806577428,0.08575520950018407
UNH,0.012485647701710323,0.11173919501101806,0.09996986847028785,0.0905233738468385
SCHW,0.03354313980638322,0.18314786323182483,0.15925603658892254,0.1497761955378886
HBAN,0.15607184172863955,0.3950592888778083,0.3514863072534744,0.34927567917902996
PNC,0.046206784571013154,0.21495763436317666,0.17475662721812432,0.15903581933510236
GOOG,0.1578354834468253,0.3972851412358953,0.33234193023293973,0.3370004063076409
MET,0.2268458283981156,0.47628334885666074,0.42312951948115746,0.42983480634407706
RJF,0.45064597332603695,0.6713017006726834,0.5910385623240723,0.5807221300957938
IT,0.42009434848994803,0.6481468571936055,0.5803749297916712,0.5499692089938523
AAL,0.03612973654116979,0.19007823794735101,0.16385465224866877,0.1144947563915591
HCA,0.07748383498862284,0.2783591834098937,0.22188494123869604,0.16379505749292983
SYY,0.056140003253773496,0.2369388175326565,0.2139909338073065,0.2285869953274113
CTSH,0.353574840386181,0.5946215942817591,0.517745818400325,0.5374429076724996
J,1.0136916617748688,1.0068225572437621,0.8614772586572541,1.0938871245167021
AAP,0.11963880501964226,0.34588842857147195,0.2949523253503712,0.2413514003871227
LH,0.38189031088029074,0.617972742829561,0.5448846159705899,0.5676017860585857
HRL,0.023701396854724943,0.153952579889799,0.13126699355200952,0.11943308684671311
IPG,0.06707395892293917,0.2589864068304342,0.22775575682463742,0.21532814129855252
APA,0.017965261435934875,0.134034553141848,0.10299575113526362,0.10901091310877453
AMT,0.012726410722863863,0.11281139447265007,0.09888001478703037,0.08611315793042217
CTAS,0.7618845612384681,0.872859989481972,0.7761274031147182,0.6957638976402855
ABBV,0.005983065906688135,0.07735028058571045,0.06392965804886254,0.06120823568755045
RMD,0.10907260416407179,0.33026141791628005,0.27785734151723296,0.30838337197885607
LNC,0.009332154736004298,0.09660307829466046,0.08643369142692443,0.08824386643224014
PG,0.0617373201172072,0.2484699581784631,0.200037861487446,0.20092757505732875
JCI,0.9538167922961601,0.9766354449313009,0.8424466757102046,0.8035419361638968
MKTX,0.05548071687269375,0.23554345007385313,0.21921413080749563,0.26675614007530973
CSX,0.02314782929962958,0.15214410701578152,0.14245525401424602,0.13216057592852026
ALGN,0.055897752138833585,0.23642705458308613,0.21433706055513244,0.23742597594157197
SEE,0.36267639607468694,0.6022262000898724,0.5419816235049736,0.5272556255864244
TSCO,0.3998419444247381,0.6323305657840194,0.571999921024985,0.6653784829805435
WAB,0.718508671317224,0.8476489080493315,0.7405065656994108,0.6828200835297004
LOW,0.07922659123007611,0.2814721855354026,0.25887420112854753,0.26202867848960165
V,0.7879058787884027,0.8876406247960954,0.7840234889145135,0.7796063459030708
TT,0.8843645096314717,0.940406566135877,0.8272542449115665,0.8434226727707589
TSN,0.05177749267217889,0.22754668240204887,0.2121393759907783,0.18059945924521836
VTRS,0.035277502572899085,0.18782306187712702,0.16768941614260088,0.1439562569439438
MHK,0.22886679751694647,0.47840024824089133,0.4266508654595704,0.45404974102921286
CPRT,0.11705686908748113,0.3421357465794551,0.298508533755581,0.317473351725555
FIS,0.21401433656918079,0.46261683558770406,0.4087462089017513,0.38678073958624204
NOV,0.02790788125016903,0.1670565211243459,0.13626046509294668,0.1340141487846608
IBM,0.34003455555590495,0.5831248198764181,0.4933131060851215,0.5229562482799752
APTV,0.015918170923406614,0.12616723395322024,0.094925565630531,0.08451860383970433
LLY,0.001677133637772531,0.04095282209778138,0.03274377813839995,0.027416728178445572
AWK,0.024492326827800562,0.15650024545603933,0.13524518238213626,0.11971953479651506
GOOGL,0.19763349257447338,0.44455988637581034,0.3735236846713614,0.3736687524800188
EQR,0.1474725162279863,0.38402150490302794,0.3415892176274666,0.29174373847665147
RTX,0.16339456679339062,0.4042209380937492,0.3411488509086964,0.35223086336517123
NTRS,0.46921266036744363,0.6849909929097197,0.6005207538584099,0.5675103852646665
PSX,0.2744695446107512,0.5238984105823868,0.4369134179283096,0.4297576890665384
KMB,0.001231819841111124,0.035097291079385654,0.030063016543156303,0.029418993256398247
XOM,0.36459691573439373,0.6038186116164305,0.5273499913892831,0.5554037257742601
CHTR,0.003933689935002682,0.06271913531772168,0.04771675476748503,0.04789138705296789
PNR,1.2579875082510596,1.121600422722397,0.9652799916950009,1.092045453864897
ADM,0.32549113735833285,0.5705183058923989,0.5150488056934794,0.47546463718534554
FLS,0.77523415908049,0.8804738264596456,0.7533820530063899,0.8580409026956494
ES,0.010752685715181887,0.10369515762648653,0.08335576700634435,0.07825311035747724
HES,0.1674188631394365,0.4091685021350452,0.3336565321075591,0.3367978923768318
HAL,0.04909557085995151,0.2215752036215955,0.14500424941197704,0.1645816092718968
IVZ,0.09508578018837212,0.308359822591031,0.28128793621601533,0.27015869353129396
