,mse,rmse,mae,mape
LVS,0.2294105471206479,0.4789682109708826,0.39421107552373175,0.4780538273446173
PAYX,0.4831885449571773,0.695117648284934,0.6291154844701343,0.6629357589542375
KMI,1.1343636361714349,1.065065085415645,0.9519799626554635,0.9354288609745166
WAT,0.03035340977074417,0.17422229986641827,0.1469766278492026,0.14872355362908743
UNP,0.0034528757643763107,0.05876117565515781,0.045705845242251464,0.035770850813742275
LRCX,0.19425693097616514,0.4407458802713477,0.4057060791734603,0.3275793783845224
EW,0.08867238416833806,0.29777908618359694,0.22431407304376338,0.1660117795739669
ROL,0.2257103896020307,0.47508987528890856,0.4226100623431865,0.42245035514897983
MSFT,0.18561186806262472,0.43082695837496604,0.3668844960966559,0.3179570413263894
CVX,0.11067287450895667,0.3326753289754993,0.29079584845706097,0.3074622605023628
AJG,0.0013301870836129293,0.036471729923502796,0.030687625880163636,0.03226748317521603
DOV,0.4431568636665919,0.6657002806568373,0.5683578204434944,0.5648943825766153
CDW,0.014314710155857929,0.1196440978730582,0.10286830756506962,0.07784165365346568
DLTR,0.016154789221540983,0.12710149181477368,0.11512141540157363,0.12651713132301434
BKR,0.021592225405773217,0.14694293247983456,0.12942971109893095,0.11890810835259893
PRGO,0.020862532994827876,0.14443868247400998,0.11665862470073564,0.11849250894860658
GD,0.06784551462659268,0.2604717155980524,0.21966162130503888,0.1677567362066719
TXN,0.009215945354999719,0.09599971539020165,0.07929588502495537,0.07386233186281999
ARE,0.002164892087731982,0.046528400872284256,0.035168038312665253,0.031314391848078105
A,0.21933580452309417,0.4683330060150514,0.4093423666380123,0.4157991106141865
BDX,0.09942510598125771,0.3153174685634428,0.27770079287364724,0.25297549171402545
DVN,0.02647201384753312,0.16270222447014399,0.11043395058218891,0.11612754577695407
ORLY,0.010960830470008927,0.10469398487978632,0.08475357678211061,0.07384683911590119
FFIV,0.22184776881800292,0.47100718552693327,0.3943131112501131,0.30593510923280315
MSCI,0.026658073201879674,0.1632730020605969,0.13341977488797796,0.12892353327659434
UNH,0.010232962440889214,0.10115810615511352,0.0894252087713396,0.08144216710009893
SCHW,0.042055321654492626,0.20507394191971984,0.17911393320480687,0.16829157500062478
HBAN,0.14921179005349536,0.38627941966081414,0.3443027055814965,0.34219555160104953
PNC,0.03744822227222353,0.1935154316126327,0.15638113355101557,0.14238034114372858
GOOG,0.13923008478993354,0.373135477795845,0.3114519262115739,0.31594940774955693
MET,0.258057356949928,0.5079934615228113,0.451346879401109,0.4583998584145856
RJF,0.39601020516803437,0.6292934173881325,0.5543427412313348,0.5448073725250013
IT,0.387625620656074,0.6225958726622544,0.558340979553522,0.52929787153131
AAL,0.03612548866145583,0.19006706358929165,0.1637528354255627,0.11429334528577328
HCA,0.08576316288691635,0.2928534836516656,0.234457193516539,0.17331181574894797
SYY,0.07510197966849326,0.2740474040535565,0.2471596020225077,0.2639134274174743
CTSH,0.36216766040598425,0.6018036726424858,0.5246900545900067,0.5446000484946453
J,0.9602781343267713,0.9799378216635846,0.8383399879392773,1.0645840495144847
AAP,0.12903063130993878,0.3592083396998722,0.30662678181369185,0.25089029718081607
LH,0.3212003338110142,0.5667453871104856,0.4994489814789273,0.5201668298175768
HRL,0.029404179459791718,0.17147646911396244,0.14632279629844488,0.1331664529796083
IPG,0.03466776675204604,0.18619282142995214,0.16283720118492698,0.15480017665547371
APA,0.02072054451407902,0.143946325114881,0.10950449853825633,0.11369204978881373
AMT,0.008550118748252884,0.09246685215931644,0.08062454659927908,0.07051964106721434
CTAS,0.7146000759326155,0.8453402131287826,0.7525834862721767,0.6748597431564101
ABBV,0.009641597798289126,0.09819163812814778,0.08833572126787628,0.08852683420421255
RMD,0.08280523775993552,0.287758992491869,0.24063476516905097,0.2667394922471907
LNC,0.006401065493084431,0.08000665905463389,0.06828627874023398,0.07044521234578902
PG,0.06826373359501413,0.26127329292335666,0.2107652481194654,0.21175980874808575
JCI,0.9893142884421208,0.9946427943951138,0.8583749314412253,0.8187260505998581
MKTX,0.05281552737758791,0.22981629049653532,0.21400830490700598,0.26069210347124483
CSX,0.021933365755994968,0.1480991754061952,0.13881341061643396,0.1290015894501982
ALGN,0.006535415918737965,0.08084191931626787,0.0681581723242731,0.07651210464896893
SEE,0.3845797034643688,0.6201449052151995,0.5581327092154398,0.5428531339236397
TSCO,0.43131622137172815,0.656746694983483,0.5940932639763892,0.690796822278316
WAB,0.6359178769530869,0.7974445917761853,0.6964192992884325,0.6422623892854007
LOW,0.05385879376325592,0.23207497444415656,0.21287108462044096,0.21720750539411843
V,0.7054206197333743,0.8398932192447884,0.7424942571274196,0.738614030768705
TT,0.8632619195098881,0.9291188941733388,0.8176927474526787,0.8337040348286885
TSN,0.058759270843952,0.24240311640726073,0.22602564618671342,0.1925407898066152
VTRS,0.036279118447782366,0.19047078108671253,0.16988151510603852,0.1458122144406144
MHK,0.1930267875580979,0.4393481393588664,0.3926587922672361,0.4181086113409709
CPRT,0.11280832826605659,0.3358695107717528,0.29346839433045974,0.3121283565392431
FIS,0.1592387325416285,0.3990472810853728,0.3532974998450089,0.334523358330648
NOV,0.0460736281892847,0.214647683866574,0.17920569449078888,0.17788053668977427
IBM,0.24835202647659535,0.49834930167162406,0.41892079259014453,0.4446939840284075
APTV,0.021642359645462208,0.14711342442300163,0.11218770562937809,0.09964774407687271
LLY,0.0024385245938818804,0.04938141952072541,0.04076415889974065,0.033902134850920196
AWK,0.028440537567313604,0.1686432256786901,0.14650692411287342,0.12974980562229205
GOOGL,0.18834150141566772,0.4339832962403826,0.36476299413938434,0.36493777389634197
EQR,0.15686621406507403,0.39606339652267036,0.35171782288526815,0.3003014333542041
RTX,0.1490038743274098,0.3860101997712104,0.3255717021337108,0.33621656887674806
NTRS,0.4370062403446536,0.6610644751797313,0.5800229753825873,0.5482177453075192
PSX,0.2530977166974656,0.5030881798427246,0.4188891868630597,0.41219025468728465
KMB,0.0027726353982244997,0.052655820174264685,0.040976411920151716,0.03956756441567287
XOM,0.3483492362732112,0.5902111793868455,0.5157554897531148,0.5432201699405691
CHTR,0.004050840378970151,0.06364621260507299,0.050483075558794395,0.04997895328667116
PNR,1.3821241549719079,1.1756377652031718,1.0128529482660245,1.1456253899359614
ADM,0.2980814837799811,0.5459683908249461,0.4937839350455004,0.4560932052068598
FLS,0.7168264829743234,0.8466560594328274,0.7243469890941502,0.8250930792567408
ES,0.011170852882609526,0.10569225554698662,0.08540554873451833,0.08017632843751347
HES,0.15782066965534522,0.39726649702101136,0.3234890047115737,0.32688120052027464
HAL,0.03544089023815779,0.18825751044289785,0.14964084100365696,0.1570942832478548
IVZ,0.0937615220388866,0.3062050326805335,0.27980495774945385,0.26881447027301086
TDY,0.09735737007757282,0.31202142567069463,0.2703382893671361,0.257916843177335
ALB,0.9077270251382668,0.952747094006729,0.8451253505279789,0.9324084244622333
ICE,0.18931393831285512,0.43510221593650283,0.39850998408175303,0.4477155963791957
LYB,0.061168392158226705,0.24732244572263695,0.1454337329358068,0.1358587844412223
APD,0.09765351352474255,0.3124956216089156,0.276544384870771,0.24227822669870755
IRM,0.08201018234642832,0.286374199861699,0.2760824636109548,0.25758707778926704
USB,0.07287010076920238,0.26994462537565433,0.23338452437299925,0.22391862250512573
FRT,0.0944069191340252,0.30725708963997106,0.2760383312538359,0.24272464268299307
GLW,0.025673778080775207,0.16023039062791805,0.11133695704079079,0.0988560327025166
REGN,0.1869983809955255,0.4324330942417861,0.36564652928077496,0.32424700645817034
LUMN,0.008329914690119258,0.09126836631669956,0.07669015172624315,0.07255267528439473
CE,0.061556387095963394,0.24810559666392734,0.2144328332878327,0.20619724236003195
LDOS,1.0800641663902972,1.0392613561517128,0.9193311870603105,1.1760940469542782
VZ,0.006264955833853537,0.07915147398408659,0.0717904885064107,0.0757028278593346
TFC,0.44021994613842474,0.6634907279973283,0.568794979548748,0.560792349439183
AAPL,0.06269662886678862,0.25039294891587627,0.20057203028995035,0.16235566979153163
TER,0.13251629721378874,0.3640278797204807,0.2989643062767569,0.27844372728733063
AMCR,0.7222475420106722,0.8498514823253956,0.7331863594284594,0.777844259194943
T,0.0864513893732967,0.29402617123871255,0.260487048940288,0.2744307494544692
SHW,0.03280581892487285,0.18112376686915732,0.15145375761766328,0.13229485762091067
O,0.004087040444375451,0.06392996515230906,0.05734986850433495,0.05580828082432641
BKNG,0.004152439071133455,0.06443942171631784,0.04997578314158175,0.04813307981598347
HBI,0.059779505974322376,0.24449847847036263,0.1963974372646045,0.1360621018633687
PM,0.005223446053616635,0.07227341180279671,0.06696331390008609,0.07327348983189516
