,mse,rmse,mae,mape
FITB,0.7868579592815551,0.8870501447390419,0.7452503363565347,0.7604019643754196
EVRG,0.003819530008388975,0.06180234630164922,0.052357831203172514,0.044650782905919825
C,0.20742546233158354,0.4554398558883308,0.409875691646362,0.42978595816744586
RSG,0.1889343480237342,0.43466578888122104,0.3705025263764058,0.3341717117078042
LDOS,1.6867112286512755,1.2987344719577114,1.139814826705194,1.4229148346623248
MSI,0.11837190434788011,0.34405218259426884,0.3056133198245362,0.318798274741856
SO,0.0022810311326272453,0.04776014167302318,0.036667452630394975,0.03380513890744059
MOS,0.3454819349605444,0.5877771133351012,0.4930209488178618,0.5166041790482541
PSX,0.4768263276418632,0.6905261237939251,0.576841822295089,0.5573923684426387
GS,0.33126784408099724,0.5755587233992698,0.5233824103247215,0.5220331843368688
HON,0.4407398748606948,0.6638824254796137,0.5723023775609155,0.5445334845128461
ADBE,0.18400860932300847,0.4289622469670361,0.36281036782223985,0.31583125707835186
LLY,0.002505032899422186,0.05005030368960998,0.040150005355783544,0.03272343796700761
FLS,0.44295927961896847,0.6655518609537265,0.5711481889093284,0.6472795509570128
HCA,0.2539290371657482,0.5039137199618088,0.42106431727227406,0.3161547550060889
LVS,0.15159869575330168,0.3893567718087123,0.32101733398408344,0.38240386478648597
DUK,0.03267857683643068,0.18077216831257703,0.14643142394280462,0.133965357643151
EXPD,0.003183815862655428,0.056425312251288676,0.03773178699307159,0.042165898544882646
AEE,0.024816469099986378,0.15753243824681434,0.126984660194867,0.11251429991114782
ESS,0.6954200556984736,0.8339184946374997,0.7442377805133662,0.6344455868296891
ETN,0.5825087197127262,0.7632225885760499,0.6663217720415112,0.7256272216425375
O,0.021351517291218227,0.146121583933443,0.13349164249380244,0.12388461174129217
MCO,1.1013671680787125,1.0494604175854907,0.9078476811420472,0.774751020147085
NFLX,0.11549070941629408,0.3398392405480775,0.2725390985998586,0.2756179417639956
COST,0.0034758075394262784,0.058955979674891995,0.053747128113681486,0.05504035474856762
TYL,0.03938097666885097,0.19844640754836299,0.17170851822017424,0.20634453067822026
TTWO,0.011079086005693364,0.1052572373079085,0.08762174604158952,0.07122071540589874
CSCO,0.06121714590590289,0.24742098921858446,0.2154755751731993,0.20167774873754987
VMC,0.1704499522697204,0.4128558492618464,0.34741508882318284,0.32607270618011047
EOG,0.2640090708738962,0.5138181301529717,0.4021882530350812,0.38307094010596626
WMB,0.2936242494317569,0.5418710634752117,0.4444005011019892,0.3391556553641784
AMD,1.5822014041054386,1.257855875728789,1.0234820412557852,1.3028590751220552
PCAR,0.29129483683657714,0.5397173675513668,0.4539746511512821,0.4193798009537274
AEP,0.030148458932391847,0.17363311588631888,0.1524391029595203,0.1313999062383732
AMP,0.7059522784819875,0.8402096634066925,0.7412771622409585,0.6936404668185077
WYNN,0.6261648700077107,0.7913058005649337,0.6371988928619573,0.6604995806815195
NI,0.09779658094702634,0.31272444891153994,0.2683297525297066,0.2198350318085288
CDW,0.022550495082161958,0.1501682226110503,0.1316207225206729,0.09889240354049285
WDC,0.43735340372624926,0.661327002114876,0.5735521017520036,0.4950605543855028
SLB,0.04086946211821388,0.2021619700097273,0.13665025490002275,0.13556184477865205
HII,2.609696532005241,1.6154555184235935,1.3545045507587798,1.1970557026907807
LRCX,0.16016605113539342,0.40020751009369304,0.3722206759380851,0.29657124616989594
SWK,0.11704865409960846,0.34212374091782705,0.28619193529522585,0.28902341967347683
TSCO,0.08552018943331469,0.29243835150902264,0.26642210142451966,0.3078210197158757
BAC,0.32615831238732745,0.5711027161442392,0.4777746768647583,0.4604330302312724
GILD,0.024885974156378395,0.15775288953416478,0.12215474887850554,0.09561188312215567
AZO,0.2935518877491538,0.5418042891572139,0.44102261933105963,0.3913211077081023
TSN,0.05465309543761417,0.2337800150517879,0.19060152452410337,0.16315148000265944
WBA,0.01888962441079588,0.13743953001518844,0.1175826047971998,0.10170442470250084
FANG,0.7524051465578676,0.867412904306748,0.6644720199772656,0.5605634893697607
RF,0.3774478588290743,0.6143678530238006,0.49952590772781413,0.48941075334160394
XRAY,0.0313025520289125,0.1769252724426686,0.16473775661472423,0.16980363399626786
NVDA,0.11922633217009522,0.3452916624682606,0.2609656286754338,0.21934820138794212
CHRW,0.02315809980160812,0.1521778558188021,0.1233558904387509,0.11106951572625942
STT,0.10465717094083381,0.3235076056924069,0.2993766399356005,0.30796504669652497
VTR,0.0024457939116565085,0.0494549685234609,0.041739166316421494,0.041886699433863916
ABT,0.20710916585663122,0.4550924805538224,0.4011303130200111,0.36193349635851185
BWA,0.15376168709862395,0.39212458109461074,0.3100278020169829,0.2984081207138589
GWW,0.06547182818201787,0.25587463372131647,0.21732977445861815,0.23371511843258946
CCI,0.23382548877603454,0.4835550524770003,0.41794337337463217,0.4050389174381781
DE,0.5571031035829633,0.746393397333446,0.6467574167153685,0.6694991118437118
MAA,0.18137173067729398,0.4258776005817798,0.3873606813384843,0.35517833583200986
T,0.08449651079850033,0.29068283540398515,0.2558575021112466,0.25583651987608114
EQIX,0.04286628104612403,0.20704173744953946,0.18012250904224877,0.15381449727144
LEN,0.6167130474061047,0.785310796695235,0.6895433932049464,0.6656304716570958
VRTX,0.1436205157409792,0.3789729749480551,0.33866369476805025,0.2993931833450366
PAYX,0.5655899187476433,0.7520571246571921,0.6784435921691064,0.6981915958429483
DOV,0.5025172969439812,0.7088845441565087,0.6094554926253204,0.5979246539355979
DLR,0.8806221310492286,0.9384146903417638,0.7789422975781153,0.6808449739912193
MNST,0.3497670792055274,0.5914110915476031,0.5368969056147033,0.4516526213910323
KIM,0.29201057053690416,0.5403800241838184,0.4778554006449662,0.4280815675482242
VLO,0.15990933498385898,0.39988665267030227,0.32199628804690267,0.31696726668940395
EBAY,0.22413090277941708,0.473424653751172,0.4148753172929161,0.4345769474750867
MU,1.1452380284060184,1.0701579455416936,0.9350085948484617,0.6957290403537018
PGR,0.08334871499719186,0.28870177518884754,0.26216498108432035,0.27688763306857056
MSFT,0.24888596008063016,0.4988847162227263,0.4264127223597412,0.3631186456269792
ZION,0.15845748242933683,0.39806718331123053,0.33271439474615533,0.345806793184997
NEE,0.0018680828604976502,0.043221324140956745,0.03647823947651843,0.03301981684184283
GE,0.25697621146888133,0.506928211356284,0.4555697839655873,0.48205550649322315
NUE,0.12394069520873946,0.352052120017391,0.31883524514780026,0.32894311127845444
ILMN,0.04345233460067237,0.20845223577758135,0.15729247102602179,0.10626767704340968
CBRE,0.01315609003253169,0.11470000014181207,0.0978258544917859,0.08584053479170817
KEY,0.31078742335187143,0.5574831148580838,0.4782380142312882,0.4725008971815519
GIS,0.13279037755172746,0.3644041404151817,0.3210506258503514,0.30927842073869033
NCLH,0.27660481121003416,0.5259323256941278,0.4787703436199956,0.4836048997595352
PNC,0.047302299207202296,0.21749091752807126,0.17743206753578367,0.15845974332754664
WY,0.15124851701895456,0.38890682305528473,0.3582441786720601,0.3419080938075831
HAL,0.14462683656443456,0.38029835204012463,0.2406865040700793,0.2717116138690678
FCX,0.7044285218081673,0.8393024018839499,0.7334886304597971,0.8775968027057167
UDR,0.5900304850334058,0.7681344185970356,0.6784766835372708,0.5777783805556527
TDY,0.10708122819920984,0.3272326820462923,0.2842634361129137,0.27113794417966464
AXP,0.1710579615834931,0.41359153954535033,0.362539642154026,0.3607884328032821
WAB,1.2366555622587936,1.1120501617547625,0.9615541742121668,0.8842136982065982
SBAC,0.032357915461556606,0.17988306051865086,0.14798596033675224,0.12569499331092918
TROW,0.7831899228728515,0.8849801821921502,0.7729150559081542,0.7882042083182423
TDG,0.016114200861100766,0.12694172230240444,0.1073918411618054,0.08513179547792843
ROK,0.6938625599805333,0.8329841294889917,0.7098658037775651,0.7228838094966842
MET,2.9090433833248617,1.7055917985628513,1.4087281899441653,1.4022610212739663
FTNT,0.3464462164342876,0.5885968199321906,0.48560117179263934,0.4177951277759895
LUV,0.3348241089753703,0.578639878486931,0.47837826945706463,0.2824631712831479
CAT,0.5666257782078192,0.7527454936482976,0.6222502360376078,0.5533717021706988
K,0.02405274835225374,0.15508948498287606,0.137181163420104,0.13185038825792209
BEN,0.295578847625062,0.5436716358474681,0.4877155230118603,0.5060265064069083
KO,0.048073694771959975,0.21925714303520416,0.20256156270989165,0.19924292357913942
KMI,1.034268606503884,1.0169899736496344,0.9129424685035685,0.8629635342860854
VZ,0.0013837099456788394,0.03719825191697641,0.0307150664934041,0.03131349717301103
GRMN,0.22296010722583195,0.4721865174121683,0.4277607813673542,0.3697885249211173
AMAT,0.16405480069083958,0.40503678930541553,0.33941784900956706,0.2784691041489861
HD,0.05748231253006253,0.2397546924046796,0.22411774732925882,0.21227761410793994
ROL,0.2439489944441446,0.4939119298459439,0.4385749576345084,0.4337822644035927
ALGN,0.2983951948648294,0.5462556131197458,0.46531836571631346,0.5069281423426717
MTD,0.025177267795798455,0.15867346279639344,0.1213953003187156,0.11411816985458946
TAP,0.008240156480165978,0.0907753076566859,0.07351398716258827,0.05824386265534049
MO,0.09243628626503607,0.30403336373667295,0.28699661889074274,0.2504315669669256
KMB,0.059057710632929535,0.24301792245208897,0.20979798136849873,0.2003084307937708
LH,0.13919780109541605,0.37309221527045566,0.3307182595921593,0.3442068140268865
WM,0.03132098429365787,0.17697735531320913,0.17054478357696257,0.16875668128058666
HUM,0.020624953448239756,0.1436139040909332,0.11555188231419661,0.0979010382982752
CVX,0.050404087229635956,0.22450854600579453,0.19551150566098452,0.20270386550168779
GM,0.08354123867185434,0.2890350128822706,0.2693074658653994,0.3256659210366606
PRGO,0.017286586045727297,0.1314784622884193,0.10869294485182088,0.11448297580633306
RMD,0.4908323882303419,0.7005943107322111,0.5685662030769981,0.6302236058227356
APD,0.454381949729781,0.6740785931401331,0.5835190421365302,0.49838941695362143
UNM,0.37386447684210516,0.6114445819876935,0.5274033421787379,0.5341928645856296
TFX,0.17744974747142372,0.42124784565790213,0.37065879920606715,0.33265597428098687
INTU,0.005038005003460099,0.0709789053413766,0.060332042512818124,0.056140233168107956
ROP,0.6400880534527251,0.8000550315151609,0.704277226278029,0.6612703526075177
WST,0.05523650825556259,0.23502448437463402,0.21423984161350865,0.2410966062856511
BSX,0.690122893345891,0.8307363560997503,0.6813411859951692,0.6633218122760072
BXP,0.11727074339905491,0.3424481616231206,0.27956379586640834,0.2389339577196613
IPG,0.14486881730928955,0.3806163650045667,0.3306709549083837,0.3076095249887814
