,mse,rmse,mae,mape
AWK,0.05759277870900554,0.2399849551722056,0.20902217495339348,0.1804999220439097
IBM,0.5376945774602991,0.7332766036498772,0.6252127593601818,0.6506718066373217
SEE,0.453471273483129,0.6734027572583356,0.6045848987619378,0.5825138775282163
UPS,0.17150972609554618,0.41413732758053357,0.3777826374174257,0.3845495785327401
FCX,1.0542504842940617,1.0267670058460496,0.8918050655283037,1.065520082871039
J,1.146032671429653,1.0705291548713902,0.9175171901167041,1.1644975629027747
BLK,0.5163707779026508,0.718589436258738,0.642680262418441,0.6212509660983737
WELL,0.20357280018623497,0.45119042563670936,0.39703454951279893,0.3760992995967957
MSI,0.2116389726050581,0.4600423595768743,0.404333018028856,0.422119482661306
CBOE,0.03952603779502835,0.19881156353448948,0.1741479963536151,0.17136116428200635
LMT,0.4226814697779744,0.650139577150918,0.5639650113781759,0.4714044705202033
ROL,0.2511491066255899,0.5011477892055296,0.4447360573863651,0.4398608857260414
CB,0.06153108741024413,0.2480546057025431,0.23001963604365377,0.22199384115114532
SYK,0.1063860203193103,0.32616869917162544,0.2765517742405703,0.24372381416182692
UHS,0.27748150976853353,0.5267651371992395,0.4399577726176576,0.3587982772101601
LYV,0.327836314148588,0.5725699207508093,0.4845733483002344,0.40498485425210323
DXCM,0.03048309452487378,0.1745940850225854,0.14884511471310902,0.13537832679882086
XEL,0.0028400954996748787,0.05329254638009783,0.04255913607432359,0.03729481363472049
K,0.01436529658487219,0.11985531521326949,0.10515318060686182,0.10078854700101558
CBRE,0.1466436130236001,0.38294074348859786,0.33146950558370725,0.285221171748474
CNC,0.2941013830411002,0.5423111496558966,0.4538649577502416,0.36908023499762305
VZ,0.010152745860821684,0.10076083495496493,0.08977031016948711,0.09151124884466379
YUM,0.05617236002750421,0.23700708855961294,0.1987729454444012,0.20876570334591305
CRM,0.1465121935975991,0.38276911264834196,0.3288070853189285,0.3322286908828163
TROW,0.5479112213889084,0.7402102548525712,0.6525177113417772,0.6651040248357059
IVZ,0.08567501385124343,0.29270294472595154,0.26769263961290474,0.2531872539271822
WU,0.0664773456347413,0.25783201049276505,0.23643213983839434,0.26523389445492757
LIN,0.2373096655431128,0.48714439906778445,0.42095475841927443,0.41930046227215473
WEC,0.004341977893679122,0.06589368629602628,0.052539380495663465,0.04606729106378762
ESS,0.5646674794917119,0.7514435970129175,0.6719061032254965,0.5729458949245293
VLO,0.24961979980078336,0.49961965513856976,0.4071533013177759,0.4002441931420634
ADSK,0.42378527740090743,0.6509879241590488,0.5679986924237956,0.5184150768512008
COST,0.010188972088498546,0.10094043832131178,0.0680654773340855,0.06478658773108542
VTRS,0.016284388135786632,0.12761029792217646,0.1067026609468173,0.09092351785067687
TSLA,0.36519956771651796,0.6043174395270403,0.4847762532289514,0.391417404364325
ROP,0.5861539086071904,0.7656068890802841,0.6765603827590702,0.6355314539394692
ADBE,0.200925086918205,0.4482466808780685,0.37895559679903407,0.32974921137467095
ODFL,0.07443275743460852,0.27282367462265533,0.24652279933702917,0.19751727751972295
REGN,0.1978952364623929,0.44485417437896757,0.3774840250564561,0.3351422931857505
STT,0.11338135696263156,0.33672148277564884,0.310936864256676,0.3195837804193771
NOV,0.033745765609604,0.1837002057963028,0.15110929915528895,0.14699088014119646
CMS,0.003109322229051484,0.055761296873830725,0.04276300216544749,0.03854729910734536
AON,0.019326219842388324,0.13901877514346156,0.1197533857728685,0.11506157215470453
GE,0.37568217592691633,0.6129291769257817,0.546260425763498,0.5781555086435444
ECL,0.007306891579261192,0.08548035785641747,0.07011070250045909,0.06907833941572442
APA,0.015360843663877802,0.12393887067372286,0.10098011396733687,0.11197607021138585
IPG,0.08110565339016067,0.28479054301391515,0.2502552363884752,0.2334363887173086
BA,0.09617157553329167,0.31011542292071137,0.2782094327157763,0.3010370652046063
CSCO,0.16116181798975912,0.4014496456465731,0.34815543750248495,0.32501722101405633
NWS,0.0991582802591213,0.31489407784066265,0.2723346062682617,0.3099113681652395
CDNS,0.026016527375651424,0.16129639604049256,0.13209784319613807,0.11228187617861962
TFC,0.513385307652229,0.7165091120510814,0.6160793304555411,0.5966491463557668
D,0.006749183958465214,0.0821534172050391,0.06680619406645308,0.06246834315221024
IDXX,0.03047044128625709,0.17455784510086358,0.13463885648642843,0.11529262828544007
KEY,0.17837079957934016,0.42233967322445587,0.36463680784232216,0.3602325039362296
COF,0.2926145839960294,0.5409386138888861,0.47816163174571996,0.451083295797232
DPZ,0.009002892948857009,0.0948835757592272,0.06406252079319841,0.05284623000575704
EFX,0.06349873318643105,0.25198954975639576,0.22340974080508874,0.20556472445234467
PCAR,0.273292901907634,0.5227742360786671,0.4405994041686558,0.4069057009582506
CMCSA,0.4160928956851003,0.6450526301667953,0.5642072594289614,0.5386071561265526
HAS,0.3706953644011363,0.6088475707442187,0.5357300829747119,0.5301592941833074
BKR,0.043068785864450544,0.20753020470391906,0.1462885533748124,0.14309555007690924
PLD,0.0032472101042842014,0.05698429699736763,0.04450907122305924,0.04403141412275759
EXR,0.004763106700372177,0.06901526425633808,0.062438363983024145,0.05605705465662673
LNC,0.023209601800483017,0.15234697831096952,0.14047476314117716,0.1401313360954833
XRAY,0.03925022040494301,0.1981166838127042,0.18398636685748138,0.1892248918488964
SBAC,0.008305575211104933,0.09113492860097566,0.07733107939333914,0.06795802708755379
KMI,1.2297428882842822,1.1089377296693814,0.9904704984096337,0.9346175178851408
KMX,1.305130758077427,1.1424231957017623,0.9692224089690299,0.9847901748114354
AXP,0.4900730053153571,0.7000521447116329,0.6081652104730388,0.6059801198179996
PPL,0.0013995956764486452,0.03741117047685952,0.03217794453865243,0.02866506970365194
WBA,0.011080696920617228,0.10526488930606077,0.09264532796439386,0.08422991593747749
CDW,0.019084777511300166,0.1381476656020657,0.11991072251973402,0.09023575222368573
CHTR,0.005936647273745134,0.07704964161983581,0.06562509920503394,0.062034051475033415
CAT,0.34056973690703085,0.5835835303596486,0.48227968513612696,0.42890949639321674
ACN,1.4588633972506388,1.2078341762223153,1.0567251471069128,1.0546813016261463
ABBV,0.012174672702313063,0.11033889931621152,0.07503282550726612,0.06584013414554139
AAP,0.13949912370797046,0.3734958148466599,0.3186658739318527,0.26037750600723086
F,0.9505618621459828,0.9749676210756862,0.8593455991452049,0.9433052916763878
ROK,0.6426854546120464,0.8016766521559964,0.6847609246333608,0.6969719102499712
MMC,0.011808917643968804,0.10866884394327936,0.09997511062669748,0.09251795185067616
BIO,0.13950635319860313,0.3735054928626929,0.31574192908476406,0.33360720988064335
OMC,0.41413588583332633,0.6435339041832422,0.5643274556999085,0.5755162709252579
XYL,0.02506256791941904,0.1583116165018191,0.12763728317183515,0.11990309554483074
TEL,0.03403929387558644,0.18449740885873286,0.14152361525131807,0.12786787628244142
WAT,0.10323292424853722,0.3212988083521898,0.2663460883675331,0.26862986307821896
XRX,0.2960822657732426,0.5441344188463385,0.4943509381914768,0.46818344867372724
CSX,0.023842270428023647,0.15440942467357247,0.1445841489871569,0.13270543792376385
NOC,0.28288165181732605,0.5318661972877446,0.4662293550894117,0.4109924225960265
JPM,0.1718443251273493,0.41454110185523135,0.3676533054900652,0.3590292078609144
NDAQ,0.08195088768078082,0.2862706545924343,0.2656843082930871,0.25998706155323476
NEM,0.029919302281664027,0.17297196964151165,0.1539903891308012,0.17929002255508783
MMM,1.0591180234889372,1.029134599306105,0.9124084348441914,0.8615956267465594
CLX,0.04131852173237475,0.20326957896442535,0.1564887261413901,0.1531393267326327
SLG,0.003215658308255196,0.056706774800328714,0.04785901670552962,0.04208491189096414
COP,0.00936121173934856,0.09675335518393437,0.08175217226291714,0.08116332730640277
TJX,0.18791344470593138,0.4334898438325071,0.394313071801164,0.4216317172815392
TFX,0.11795193915821285,0.343441318361977,0.30268441213606134,0.27157891118753735
STE,0.29071080677905287,0.5391760443297281,0.4874767692078928,0.42019266165320307
MA,0.5908247521145527,0.7686512551961082,0.689454849754199,0.7383387178866169
FMC,0.09475567631994718,0.30782409964125157,0.24156805980934803,0.2970077310683276
ADM,0.31840841221030936,0.5642768932096275,0.5098255430150823,0.46454623658446914
AMD,0.29921391941283604,0.5470044967025738,0.4391435716658035,0.5675248426263062
EL,0.07594594083334341,0.27558291099657,0.2514605349454993,0.2562455995011889
EIX,0.006118011521052239,0.07821771871546906,0.06796480588481822,0.05728071221579369
AIZ,0.08332875194562739,0.2886671992894714,0.2530097479627775,0.25171153113917466
HCA,0.16517776465633652,0.40642067449421976,0.3374959241373781,0.2527507333087346
ROST,0.17135225642332758,0.41394716622212496,0.38029880937489996,0.4171974916218986
