,mse,rmse,mae,mape
LVS,0.17299725419503748,0.4159293860681612,0.3394986710327382,0.4127587383211123
PAYX,0.5518199186815534,0.7428458243010816,0.6708133839319265,0.7065512416599186
KMI,1.1336753008730494,1.064741894016127,0.9512687705929441,0.9347172613341443
WAT,0.05958040657498013,0.2440909801180292,0.2034487654912868,0.2053872058280382
UNP,0.0016739212661569262,0.04091358290539862,0.03006934140577488,0.023818233562808978
LRCX,0.1423242907033393,0.377258917327794,0.3488648814289891,0.2831311509904396
EW,0.11628352189248417,0.3410036977695171,0.264567064212298,0.198057144663895
ROL,0.20593230901913973,0.45379765206437517,0.4032937381409872,0.4031139303192365
MSFT,0.27532543914995333,0.5247146263922451,0.4495339510902974,0.39012586637812713
CVX,0.07437659334515039,0.27272072408445674,0.23582195371366474,0.2501409538539056
AJG,0.0007408719034152361,0.02721896220312663,0.022540329442303,0.023605491450352033
DOV,0.5057552717842891,0.7111647290074847,0.6079284319343723,0.6041035132204352
CDW,0.0531336395786664,0.23050735254795324,0.20582130021501188,0.1548694496942604
DLTR,0.0061453255033869,0.07839212653951225,0.0690207343064821,0.07326062886005412
BKR,0.04649333640037183,0.2156231351232326,0.14884973181155134,0.14730068934415058
PRGO,0.025788746954090287,0.16058875101977188,0.13201031056218868,0.13434559701927024
GD,0.08520401825432741,0.29189727346161937,0.24722128878619493,0.18869522043798345
TXN,0.0038592713024532556,0.06212303359023331,0.04533529985518333,0.042923399008888155
ARE,0.0019744710906150513,0.0444350209926253,0.03460867427582661,0.030943443114267638
A,0.2294677945515927,0.47902796844400714,0.418692418495744,0.42531739452772344
BDX,0.10422800832130642,0.3228436282804826,0.28387083436067584,0.25844362320981357
DVN,0.026456133569896914,0.16265341548795376,0.11013234410584169,0.11555219714789856
ORLY,0.004646178077780656,0.0681628790308967,0.05270879286147816,0.045789506526893245
FFIV,0.24762777708677122,0.49762212278672985,0.4155975270831535,0.3222779173527483
MSCI,0.03463201284889378,0.18609678355332684,0.15484664960272138,0.1498927440095882
UNH,0.030625016644059776,0.17500004755445003,0.15993681594597678,0.1422436104883239
SCHW,0.05312349341521056,0.23048534316786948,0.20155467948540698,0.18905590340575645
HBAN,0.11006107557786947,0.33175454115636377,0.29661206117739436,0.2949912498086339
PNC,0.034066314581214285,0.18457062220519896,0.14776037027132888,0.13449828626475616
GOOG,0.13578672579313547,0.3684925043920642,0.3072582311652092,0.3118230071870399
MET,0.2868784178114513,0.5356103227267481,0.4749595711673636,0.4823272774424302
RJF,0.44204350909926876,0.6648635266724058,0.5854536130880514,0.5751706423320427
IT,0.40706957887164363,0.6380200458227341,0.5718053707460456,0.5418846826452652
AAL,0.04362152316692018,0.2088576624568038,0.18292748630006422,0.12500187246368225
HCA,0.20722288295063424,0.45521740185392107,0.3804685085927535,0.2856224930250235
SYY,0.028646009696743507,0.1692513211078233,0.15492269296752334,0.1657864248624939
CTSH,0.39210892092377875,0.6261860114405133,0.5457221208055039,0.566243431313418
J,0.928946453402359,0.9638186828456684,0.8242076369585818,1.0468123471371573
AAP,0.07067783543792767,0.26585303353155043,0.22651796233745405,0.18579545839624992
LH,0.3074247663092538,0.5544589852362876,0.48963828707892265,0.5100104924418403
HRL,0.07929363850111744,0.28159126140758955,0.24391095564380844,0.222595835070808
IPG,0.044349206422464295,0.2105925127407532,0.18340143327972638,0.17401075023680407
APA,0.019534265395281233,0.13976503638350055,0.10594362028252971,0.11163250665327597
AMT,0.0011267461346743334,0.033567039408835764,0.026288343069279404,0.02324425043191892
CTAS,0.7294603713538412,0.8540845223710831,0.7599624984269981,0.681378545131177
ABBV,0.019877365186473806,0.14098711000114092,0.10232608376791436,0.09196830193461435
RMD,0.27850383522216987,0.5277346257563263,0.4513414835033275,0.5027747790195805
LNC,0.008918808307877871,0.09443944254323969,0.0841380279344989,0.0859678007639725
PG,0.09385503192134227,0.3063576862449223,0.251074743088408,0.2527699287326484
JCI,1.0699237303247813,1.0343711762828571,0.8927758495896843,0.8515807918943866
MKTX,0.06903854441245756,0.2627518685232468,0.24549351419405446,0.29728238650328853
CSX,0.014138764442131408,0.11890653658286161,0.1101495888778928,0.1033553276868314
ALGN,0.008261849705792298,0.09089471770016284,0.07881768575019885,0.08829311429558928
SEE,0.42217619259444983,0.6497508696373171,0.5837921791723543,0.5673933360264953
TSCO,0.40154984749223976,0.6336796094969758,0.5735771676605457,0.6669501596069479
WAB,0.7119932286657964,0.8437969119792964,0.7372991982080827,0.6799483847045137
LOW,0.06803479952298104,0.2608348127129142,0.24071246796604406,0.2442259481400303
V,0.7674203016793215,0.8760252859817013,0.7746262965534155,0.7702525639921095
TT,0.8324072080109486,0.9123635284309367,0.8026656970749144,0.8184605802517391
TSN,0.10494731809702433,0.3239557347802695,0.3018322157528439,0.25793314565790354
VTRS,0.0211754594178822,0.14551790067851517,0.1254821282496432,0.10722060848114542
MHK,0.22377398000238166,0.47304754518164627,0.4222793689487285,0.4493256754440913
CPRT,0.06153743465773474,0.24806739942550843,0.21503611948071327,0.2291801099254257
FIS,0.1732419250546452,0.4162234076246135,0.3683890719079456,0.3487106974223442
NOV,0.03726905255966737,0.1930519426467068,0.15866291617574688,0.15654282613972723
IBM,0.42575554422198464,0.6524994591737104,0.5543659937511372,0.5872488495817609
APTV,0.004117077970486401,0.06416446033815293,0.047140079492950314,0.04263020720467336
LLY,0.0015468127001472152,0.039329539790686784,0.029607928661384786,0.0250456767906541
AWK,0.03782040808601634,0.19447469780415225,0.16889712206090962,0.14953272314505364
GOOGL,0.17015905519367827,0.4125034002207476,0.34538521705577774,0.34578524186590703
EQR,0.27050444289917486,0.5201004161690076,0.46132461350689247,0.3939004729694437
RTX,0.15031173987027177,0.38770058017788905,0.32596865679773573,0.33661578917894736
