,mse,rmse,mae,mape
LVS,0.22757565110918299,0.47704889802742756,0.39237816311439394,0.47591684770513787
PAYX,0.6168935492674729,0.7854257121252607,0.7079880993318157,0.7455647258073318
KMI,1.1671536745549405,1.0803488670586647,0.9649842364395101,0.9480401601690122
WAT,0.09142631288751246,0.3023678436730871,0.2505156699279831,0.25275346138607613
UNP,0.0031000876022147334,0.05567843031385434,0.041212746041341966,0.03330304462947698
LRCX,0.24604994896474883,0.49603422156616256,0.454561239453632,0.3658133339030168
EW,0.09995646346534347,0.3161589212173894,0.2417643332586085,0.18000981866007112
ROL,0.2581440444538651,0.5080787778030736,0.4506531861970455,0.4503333057588866
MSFT,0.18892280164319036,0.4346525067720079,0.37098421389286296,0.3216545861256159
CVX,0.11425239087728804,0.3380124123124594,0.29425517729277284,0.3111491253809627
AJG,0.003264282535125442,0.05713390005176823,0.05073578763875042,0.05304637109134584
DOV,0.6628540371435163,0.8141584840456533,0.6987630996591224,0.6933099015608208
CDW,0.016649825862926747,0.1290342042364223,0.11164401037876262,0.08445606044450656
DLTR,0.01839435293602257,0.1356257827111887,0.1237572912995963,0.13553473786494477
BKR,0.03345904648430832,0.18291814148495036,0.13512976275104965,0.13193346549997753
PRGO,0.021441857625438265,0.14643038491186952,0.1192449117686648,0.12114064526784854
GD,0.14081352091380225,0.3752512770315409,0.32058434039448075,0.24465052554362912
TXN,0.01312181197199037,0.11455047783396789,0.09574756047945068,0.08865084410396411
ARE,0.0038549031323843047,0.062087866225087045,0.046565226943267486,0.04049161805185199
A,0.2985103556224473,0.5463610121727641,0.47737087708077974,0.484762493087655
BDX,0.14108088369557562,0.37560735309039894,0.3301184248030218,0.3002662872363477
DVN,0.03323860880096954,0.1823145874607118,0.12107755329655275,0.1279527407071464
ORLY,0.026947674430088997,0.16415746839571144,0.1383014179947783,0.11823203724025322
FFIV,0.3270488481966266,0.5718818481090535,0.4766669348805145,0.3694698726474908
MSCI,0.014198123126366322,0.11915587743106222,0.09661736865659797,0.09320210323676428
UNH,0.06398175452265298,0.2529461494521175,0.22992073144252773,0.20282434194264862
SCHW,0.07512525508374986,0.2740898668023863,0.2396666185802951,0.22448523304609394
HBAN,0.17078087504796977,0.4132564277152501,0.3681232156292016,0.36576462566525847
PNC,0.0612729824981934,0.2475338007185956,0.20249554800692587,0.18417140414743352
GOOG,0.18846985540007907,0.43413114999971963,0.3648562399468248,0.36971545400321665
MET,0.39024322097135156,0.6246945021139145,0.5532178353164082,0.5614281865099209
RJF,0.49754854920131836,0.7053712137600445,0.6207378077568975,0.6097494976559237
IT,0.5417109729037572,0.7360101717393295,0.6576512093041622,0.6226754734489324
AAL,0.034921228973516766,0.1868722263299626,0.16049811208534706,0.11314062400703988
HCA,0.13725244403267034,0.37047596957518086,0.30527812195950227,0.22796369027951435
SYY,0.07562312791900395,0.2749965961953056,0.2481236966419971,0.2649596131637943
CTSH,0.45495115300631905,0.6745006693890815,0.5878531648413811,0.609806526467133
J,0.9520153312155769,0.9757127298624205,0.8344501752638452,1.0597477904637997
AAP,0.14880332144250139,0.3857503356349822,0.32926066396020315,0.2692675732386736
LH,0.24391387072442935,0.4938763719033634,0.43652285640967353,0.4546386230053494
HRL,0.04745484994360923,0.21784134121789012,0.18826052242336946,0.17166204661430934
IPG,0.09661002469282941,0.3108215319002681,0.2731428384440046,0.2576512805151339
APA,0.016130842362358077,0.12700725318798953,0.10113401013936774,0.11005031148723227
AMT,0.007047013556503373,0.08394649222274492,0.07222946898802217,0.06323844549396875
CTAS,0.7967124935743368,0.8925875271223191,0.7936523869620226,0.7114279371631811
ABBV,0.006086668383006408,0.07801710314415941,0.06512973368876346,0.062496595630041375
RMD,0.08512850486534057,0.29176789553571614,0.2446610937998662,0.2712866943020439
LNC,0.02573704850042889,0.16042770490295274,0.14811355474161156,0.14889455531520393
PG,0.062174806754579655,0.2493487652958796,0.20128765813445906,0.20224098137460633
JCI,1.0951523280545599,1.0464952594515466,0.9032425832076609,0.8614670314682482
MKTX,0.1070207614813829,0.32714027798695605,0.3045638022989756,0.36674922424714596
CSX,0.0320893567736164,0.1791350238608196,0.16765101949680827,0.1546385472616896
ALGN,0.024686614622645646,0.15711974612583118,0.14299104190755635,0.1589330003427336
SEE,0.45560593872739164,0.674985880391132,0.6055905482672143,0.5884538356443998
TSCO,0.46349920589587096,0.6808077598675495,0.614871198164431,0.7147003525649475
