,mse,rmse,mae,mape
FITB,0.6007571661222006,0.7750852637756704,0.6485187277151068,0.6617377983163173
EVRG,0.0018835027411506263,0.04339934033082331,0.032280107094705614,0.02835744051104559
C,0.20720967860075049,0.4552028982780651,0.40888133522939374,0.42899590010252936
RSG,0.14467077428716213,0.38035611509105793,0.3238031144092629,0.29195041363172963
LDOS,2.313504977245997,1.5210210311649202,1.3135256333012122,1.6386845569062811
MSI,0.2943381664478021,0.5425294152834499,0.4721605644036531,0.49301528148217144
SO,0.001526424068058996,0.039069477447989956,0.02993089534875136,0.027686885179998677
MOS,0.20893638127436587,0.4570955931469542,0.37351539156469143,0.3920605810856913
PSX,0.3872910142714557,0.622327095884034,0.5185280564991052,0.5010432798512088
GS,0.31940017245243896,0.5651549986087347,0.5144020462278859,0.513192557373537
HON,0.41159582591946037,0.6415573442175379,0.5512515309572843,0.5241864667109574
ADBE,0.22844869791086284,0.47796307170205404,0.4040981037828931,0.3513497445327166
LLY,0.010083386994630034,0.10041606940440377,0.08102560391915593,0.06369926744356257
FLS,0.6335037092466596,0.7959294624818581,0.6860260886600005,0.777080444628642
HCA,0.32807337007028736,0.5727768937992238,0.47804214245245474,0.35882313123066417
LVS,0.1871825296386876,0.43264596339118616,0.3612754436130602,0.42922278630972066
DUK,0.025571650169357765,0.15991138223828147,0.12736342495071498,0.11622534793279085
EXPD,0.005965503129014202,0.0772366695877949,0.05723755401182454,0.06457582667069209
AEE,0.021681581776709462,0.1472466698323241,0.11964008061123468,0.10607157320234677
ESS,0.6621353164902669,0.8137169756679941,0.7259392079312942,0.6187538638001794
ETN,0.6805985010660928,0.8249839398837366,0.7177732458884232,0.7826309097984033
O,0.009424708736889473,0.09708093910181068,0.08669478456250194,0.08034355145521012
MCO,0.8501817725056566,0.922053020441697,0.7984665397183927,0.6809902385499242
NFLX,0.13032465992073702,0.3610050691067052,0.29021142633131664,0.2925665337724364
COST,0.003470007930384016,0.058906773213137524,0.05389029668654673,0.05565670653206879
TYL,0.05272119290827018,0.2296109599045093,0.20835796667449608,0.24615152158097614
TTWO,0.01179137054395688,0.10858807735638788,0.08601062169645084,0.07348083156612613
CSCO,0.12329641389956025,0.35113589093050607,0.30715256399856683,0.2872932315925985
VMC,0.3089037529342569,0.5557911054832174,0.464734041703296,0.43661573704298073
EOG,0.2555074732584322,0.5054774705745373,0.3971207921747232,0.3779266857009085
WMB,0.32160129719390435,0.5670990188617013,0.46656000311096113,0.35560992123251006
AMD,1.279395765119832,1.131103781763562,0.9238612237582133,1.1728003187467824
PCAR,0.29175239369462047,0.5401410868417811,0.45536077980915435,0.4204722958037989
AEP,0.0034761129721144674,0.05895856996327563,0.048270562845035385,0.041661534292942004
AMP,0.5538108714563779,0.7441847025143542,0.6605711408696141,0.6182353119021012
WYNN,0.5498325089034756,0.7415069176369669,0.59870179815027,0.6206152999348186
NI,0.21014272015069307,0.4584132634977887,0.3929841049970039,0.3216556105543197
CDW,0.03329226361232181,0.18246167710596603,0.1607029433668709,0.12032847322407797
WDC,0.3459248310295192,0.5881537477815807,0.5115236074028299,0.4417722448246636
SLB,0.06985180319137085,0.264294917074413,0.1901419160499723,0.18695715181981026
HII,1.918355177252603,1.385046994600762,1.163821340336827,1.028981145739769
LRCX,0.12686947578539745,0.35618741665785647,0.3336750454160796,0.26848360302951896
SWK,0.04484961331355634,0.21177727289196152,0.17908031632951069,0.18059034890180747
TSCO,0.36825179993209356,0.606837539982567,0.5520642753922494,0.6296571868585865
BAC,0.19576018367148873,0.4424479445895175,0.3677507745696266,0.3560809045478101
GILD,0.04442250284631135,0.21076646518436312,0.1656138856853462,0.12812920353762625
AZO,0.19796143406910752,0.44492857187318,0.36109610653192675,0.31994333448947615
TSN,0.017926771721657915,0.133890894842248,0.1124188361349531,0.09551572940867414
WBA,0.010184598677546404,0.10091877267162143,0.08515671990327695,0.07455664016466923
FANG,1.0717382106210924,1.0352478981485993,0.8117653762339873,0.6788231322886623
RF,0.26402251802640525,0.5138312155040848,0.4161944100087615,0.4075153588831705
XRAY,0.05671245214656922,0.23814376361049058,0.21950764752417537,0.22492428887596447
NVDA,0.09786013998605564,0.3128260538798769,0.2427977490584757,0.20339501836434148
CHRW,0.01502644521623778,0.12258240173955551,0.10371920418819607,0.09561730150906787
STT,0.13394775476241647,0.3659887358408951,0.337116804611439,0.3461864340916296
VTR,0.00447833494268404,0.06692036269091822,0.05350024917547741,0.05314572615140661
ABT,0.2598926834323111,0.5097967079457371,0.4424497557276109,0.3981425798999587
BWA,0.1889607953053661,0.43469621036462475,0.34722541369213594,0.33349406757096867
GWW,0.03848185518274078,0.196167925978588,0.16376795443388256,0.1760527840203555
CCI,0.17403244319553257,0.417171958783824,0.35864718321160133,0.34738210353925103
DE,0.4692435980882787,0.6850135751124051,0.5941733667434216,0.6146421540152899
MAA,0.16157607885874484,0.40196527071221566,0.3639604744815002,0.3332182471708665
T,0.11841212534687333,0.34411062951741744,0.3009163072575521,0.3007208028886378
EQIX,0.026399808460172737,0.1624801786685771,0.1379620154878705,0.11911854589296662
LEN,0.7656261208950684,0.8750006405112333,0.7725008270579957,0.7455156630297713
VRTX,0.028828773124918397,0.16979037995398444,0.14549457681487146,0.1329149996571634
PAYX,0.7982489182567023,0.893447770301489,0.7970098039666111,0.8188177006310788
DOV,0.646526772735811,0.8040688855662872,0.689728257163163,0.6764838551615571
DLR,0.27666404117789467,0.5259886321755392,0.4476930235021406,0.39274574607683477
MNST,0.2440777481176441,0.4940422533727698,0.45109886718382003,0.385252244851434
KIM,0.21509978870260255,0.46378851721727926,0.40955904388422526,0.36665706544878807
VLO,0.1747887511665049,0.4180774463738805,0.3379406778362799,0.33271526908458543
EBAY,0.2753586846975926,0.5247463050823632,0.4593368147865775,0.48078256840727374
MU,1.284949408536022,1.1335560897176733,0.9893809181152252,0.7360286249105863
PGR,0.06003815836058137,0.24502685232557955,0.22229571076529916,0.23479686954356788
MSFT,0.16233843596981842,0.4029124420638043,0.34412878689966375,0.29294965846753007
ZION,0.15301041291935324,0.3911654546599856,0.32689975003347765,0.33982167441793565
NEE,0.006304230059142515,0.07939918172841906,0.06020241376990779,0.05346376373698927
GE,0.3716872706648882,0.6096616034037966,0.5440453718480529,0.5758105898793077
NUE,0.23231816192197421,0.4819939438644164,0.43140765665997277,0.4441047932561251
ILMN,0.04805239031751263,0.2192085543894504,0.18188850952411145,0.12382547871049973
CBRE,0.04075691343316953,0.20188341544854427,0.175085895330033,0.15312789361130066
KEY,0.2279702515834045,0.4774623038349776,0.4106315739391693,0.4055473405176689
GIS,0.14055930981795534,0.3749124028595951,0.3285315944455664,0.31627973159365025
NCLH,0.35604136498940475,0.5966920185400545,0.5409513305086248,0.5444523553202553
PNC,0.054510432824996014,0.23347469418546415,0.1898520500648006,0.1695682399841263
WY,0.19049418922804462,0.43645640014558684,0.4010400867677678,0.38251980496661014
HAL,0.14151739810427807,0.376187982402785,0.2367709492541989,0.26749555445322193
FCX,1.0623549690043275,1.030706053637179,0.899633860582987,1.074648442312077
UDR,0.5211149927474118,0.7218829494782459,0.6346462398155934,0.5397912431403398
TDY,0.11767077953997548,0.343031747131334,0.2986791254040261,0.28488766246316244
AXP,0.3432771505985161,0.5858985838850578,0.514754301087346,0.5131475614844301
WAB,1.0876477734771923,1.0429035302832148,0.904369749602156,0.8311901830842816
SBAC,0.016400549941315016,0.1280646318907567,0.10704146366511015,0.09129064497549688
TROW,0.6885589367752647,0.8297945147898151,0.7235657052549515,0.7375123463515919
TDG,0.003641269112429591,0.060342929266232935,0.04783775291000583,0.039017533211632684
ROK,0.7779196535812475,0.8819975360403495,0.750857581602866,0.7643930276988881
MET,1.015450828858808,1.0076958017471385,0.8588122281258979,0.8531646576835972
FTNT,0.3209546794313589,0.5665286218995108,0.46160587260634134,0.3956874296104813
LUV,0.21508626591410923,0.4637739383731143,0.37644605083203136,0.22046786694261752
CAT,0.4598557446940954,0.6781266435512584,0.5582002352219254,0.4959036551760018
K,0.018425633602362507,0.13574105348921714,0.11930294577536579,0.1144711529671096
BEN,0.4166862814048656,0.6455124176999739,0.576488446868663,0.5982780434602566
KO,0.09248549517810571,0.3041142797997255,0.27799086563497283,0.27276065841620944
KMI,1.1378372744716871,1.0666945553773521,0.9560431987262745,0.9032732740074747
VZ,0.006638680616879623,0.08147809900138578,0.07248503117047263,0.07425908127069773
GRMN,0.24467716966930247,0.49464853145370047,0.448248333393627,0.38776733681173803
AMAT,0.1583387518095108,0.39791802146863214,0.3334156685475187,0.2728302104774524
HD,0.13612916787150964,0.36895686451333254,0.33792648846271794,0.31508604004268065
ROL,0.2554641421444129,0.5054346071891129,0.44863530587361106,0.44370340804998415
ALGN,0.20908035310934525,0.4572530515035906,0.3779452174319683,0.41108999561821014
MTD,0.01464733812524009,0.12102618776628507,0.09029490990706295,0.08468847915785414
TAP,0.005492349833241655,0.074110389509445,0.060239188529416024,0.04985361051236851
MO,0.11317611698162322,0.336416582500957,0.31512142374278723,0.2739623839763341
KMB,0.007442711126142319,0.0862711488630024,0.06972871642406847,0.065902602639636
LH,0.13445547497786792,0.366681707994642,0.3300347193756822,0.3441238356063672
WM,0.060457015348573936,0.24588008326941393,0.23132157889698862,0.22695506253554618
HUM,0.022052725552983758,0.14850160117986524,0.11900330160884316,0.09942179239577907
CVX,0.1088035635413476,0.3298538517909827,0.28647517312134696,0.29604019237290474
GM,0.10156574887000597,0.31869381680541903,0.2963087565614948,0.35888198192305204
PRGO,0.01563567419321544,0.1250426894832938,0.10585769897533497,0.11127635658282858
RMD,0.16521145011778884,0.40646211400054105,0.33278270727371256,0.36686490714390885
APD,0.384575061784077,0.6201411627880196,0.5387498692336881,0.4598407092129214
UNM,0.24477362623494786,0.4947460219495937,0.42910086454449736,0.4346295698135675
TFX,0.1292667639659583,0.3595368742785061,0.31639094366250486,0.2838468012450007
INTU,0.00897801168633144,0.0947523703467699,0.08364749492796722,0.07972379742096568
ROP,0.7046102036275106,0.8394106287315587,0.7369528525657612,0.6914630942557219
WST,0.04585813229819626,0.21414511971603803,0.19293057370965602,0.21778381288741158
BSX,0.5309606023226102,0.7286704346428571,0.5992403296087151,0.5827944067884433
BXP,0.11386477189788775,0.3374385453647638,0.27443329108776354,0.2342483221097849
IPG,0.11409801859265456,0.33778398214340266,0.29061811592067155,0.26961354404210347
TEL,0.03712808947107893,0.19268650567976714,0.14938491394825051,0.13491291210933373
APH,0.2843370346438498,0.5332326271373966,0.45429692187157394,0.4040271887578578
CCL,1.7553233983763028,1.324886183178126,1.168556748071878,1.173773985003797
AMT,0.0020941586559673595,0.04576197827855959,0.03963847391835234,0.035135931698651965
