,mse,rmse,mae,mape
FITB,0.5941754904367055,0.7708277955786919,0.6436741940369557,0.6568746695575581
EVRG,0.0017529386575091798,0.04186811026914374,0.033206919587613834,0.02888142201902442
C,0.1839179541694862,0.4288565659628942,0.3858257213380602,0.40491519173952334
RSG,0.1361770813974218,0.36902178986805345,0.31386934431673114,0.28294068660787647
LDOS,1.9967389204250934,1.413060126259705,1.2201232283752823,1.522615261694818
MSI,0.2832517800370046,0.532214035926341,0.46388562698599106,0.4843536981554705
SO,0.0012655427067572787,0.03557446706216804,0.026400899627209918,0.02443440233233394
MOS,0.29558409615695846,0.5436764627579149,0.4490794109208466,0.47083201107279243
PSX,0.3837906629250371,0.6195084042408441,0.5160891480220855,0.4987043576315908
GS,0.32304027746010844,0.5683663232987229,0.5170916154528031,0.5158103456393712
HON,0.39478517774045463,0.6283193278425029,0.5389686842197305,0.5124896877031493
ADBE,0.23921259357965158,0.48909364500027147,0.4135826168245391,0.3595105625317442
LLY,0.002252611023781997,0.04746167952972163,0.03797054086832262,0.031040177702270157
FLS,0.6704873002901931,0.818832889111199,0.7059828234764767,0.7995625411970041
HCA,0.3167466182584045,0.5628024682412156,0.4690229438929764,0.3518487978431278
LVS,0.11520640234505189,0.3394206863835083,0.28111466045515754,0.33476460756099025
DUK,0.019512406954992595,0.1396868173987531,0.11048524401657871,0.10069493711028062
EXPD,0.005639743444861688,0.07509822531099979,0.05579056652491563,0.062464828885322114
AEE,0.021396671928163156,0.14627601282562755,0.11891331640745417,0.10543489674201378
ESS,0.6749612199562645,0.821560235135723,0.732765893532094,0.6245458358823457
ETN,0.6857544391670216,0.8281029158063758,0.7205279121856062,0.7856296613580318
O,0.009803123082423962,0.09901072205788604,0.08873649238471393,0.08226104723649333
MCO,0.8402068618893953,0.9166279844568326,0.795664123670054,0.6789854966033682
NFLX,0.12781187250655332,0.3575078635590458,0.2871154124456155,0.2895641573962984
COST,0.0032578060021250907,0.057077193362367516,0.051208819040883924,0.052481377851952504
TYL,0.050031059421398676,0.22367623794538094,0.20225059339485082,0.23929476463003518
TTWO,0.009682816009903162,0.09840130085473038,0.07590309830644146,0.06534521747911796
CSCO,0.10522661581787994,0.3243865222506631,0.2838519195268812,0.26564555818506924
VMC,0.3406646987080897,0.5836648856219548,0.4887295794604465,0.45908603605282056
EOG,0.24561492844919164,0.4955955290851519,0.38700431547353425,0.3684831726258006
WMB,0.3281993647725457,0.5728868690872096,0.47240764592730256,0.3603667123657698
AMD,1.220743151426642,1.1048724593484271,0.9026152442418763,1.1461836913286811
PCAR,0.23959198051741643,0.489481338272887,0.409587372025869,0.37846734992528663
AEP,0.0035526431711965624,0.059604053311805585,0.04879524453694173,0.042080633828804816
AMP,0.5493258677973765,0.741165209516324,0.657893907742195,0.6157322857382139
WYNN,0.5430955385093509,0.736950160125738,0.5946304621063994,0.6164707462680491
NI,0.2309721375376553,0.48059560707278143,0.4118795559710461,0.33708264075692024
CDW,0.03469581527018522,0.18626812735995715,0.16420396110253788,0.12292360916515106
WDC,0.32260388123024525,0.5679822895392472,0.4948873402233365,0.427655619046923
SLB,0.05432605029263315,0.2330794935051841,0.1636262060060501,0.16158834903878277
HII,1.7905930957935003,1.338130447973403,1.125479697574006,0.9951196541974299
LRCX,0.1482580858719139,0.3850429662672906,0.359962584480769,0.2887711014951342
SWK,0.02718951078039704,0.164892421840414,0.138787687597801,0.14026196711791608
TSCO,0.22570113679491172,0.4750801372346688,0.4375232083153289,0.5007122506640407
BAC,0.19371329476434518,0.4401287252206395,0.36640907518864674,0.35482119595035577
GILD,0.046502704558853074,0.2156448574829761,0.16948857298722886,0.13107675026903748
AZO,0.20751526247890548,0.4555384313961946,0.3686444172956886,0.32658978874466593
TSN,0.02260309568339692,0.1503432595209939,0.13381544976252555,0.11408119401507485
WBA,0.009919356545159283,0.0995959665104932,0.08470928729598087,0.07442498232324829
FANG,0.89812224649588,0.9476931183119777,0.7334900555418145,0.6153454838128258
RF,0.26494552204699223,0.5147285906640433,0.4174701790979426,0.40874055575995905
XRAY,0.04583550891388649,0.214092290645615,0.19811701101822407,0.2034066422498795
NVDA,0.0717141308232715,0.2677949417432516,0.2079013284680348,0.17435186892269575
CHRW,0.012311317857104822,0.1109563781722566,0.09501531132909372,0.08847406119211333
