,mse,rmse,mae,mape
AWK,0.022464319608285988,0.14988101817203534,0.1323372734155824,0.11482481258037232
IBM,0.4655018353909948,0.6822769491863219,0.5840733626083467,0.6078420742131015
SEE,0.35624370115037557,0.5968615426967762,0.5402466894847056,0.5215715923505756
UPS,0.13011158776141454,0.36070983873664236,0.33308430674358563,0.33952159822500866
FCX,1.0979547838872907,1.0478333760132337,0.913948560955972,1.0915737218284831
J,0.9634617795752392,0.9815608893875302,0.8435506883411475,1.0700349703380534
BLK,0.3956801808095805,0.62903114454658,0.5670983838353899,0.5490585634536709
WELL,0.2771541247581476,0.526454295032482,0.4619058136087482,0.4373744201254265
MSI,0.14077901873493917,0.3752053021146412,0.3328592356650579,0.3475066136488379
CBOE,0.029164484337938834,0.17077612344218038,0.15032816317105888,0.14893687538192799
LMT,0.34813961570328267,0.5900335716747672,0.5149042370568911,0.4309108450171459
ROL,0.19058488360027184,0.4365602863297025,0.39105511942063537,0.3870471337140059
CB,0.05383473432562747,0.23202313316914647,0.21797104613322482,0.21078228647058525
SYK,0.07275625814488111,0.2697336800343648,0.23034285214392913,0.20337214336547313
UHS,0.3587171184490388,0.5989299779181526,0.501564958915484,0.409598729608247
LYV,0.24640610131201093,0.4963930915232513,0.4213061014975003,0.3526105651348416
DXCM,0.021319323723568793,0.14601138217128415,0.12392696760777734,0.10821822239480496
XEL,0.006711386828591121,0.08192305431678631,0.06826710369359136,0.0596121443047912
K,0.03046778842520788,0.17455024613333514,0.1530665456689381,0.14712385618661022
CBRE,0.09598424204684315,0.3098132373654217,0.26958314407342887,0.2328412118161538
CNC,0.1996072920101422,0.4467743188793893,0.3669081374977493,0.2961239422205044
VZ,0.0066692949580755695,0.08166575143887167,0.0727046604393461,0.07452036722966088
YUM,0.03143006101223806,0.17728525322834401,0.1482628602552071,0.15612922958831635
CRM,0.1443636719597425,0.3799521969402763,0.3277501214562515,0.3316044147966031
TROW,0.44120005990434175,0.6642289213097708,0.58934916668001,0.6007706267614247
IVZ,0.038526386783056026,0.19628139693576674,0.18294514209412965,0.1745603928549658
WU,0.04144050583398531,0.20356941281534735,0.18915294899887497,0.21316885276229566
LIN,0.17093701052898339,0.41344529327225793,0.3595696270419771,0.358180376761856
WEC,0.006351383722878101,0.079695569029138,0.06374821442560193,0.05548998010416322
ESS,0.7299826441618908,0.8543902177353687,0.7612141492601453,0.6486571815331491
VLO,0.17786258675065592,0.4217375804343928,0.3425096871551628,0.3370321311242972
ADSK,0.3390142873042585,0.5822493343098457,0.510755290221287,0.46710479762358764
COST,0.017780281607873975,0.13334272236561684,0.09338454641809436,0.08917526292887108
VTRS,0.023388777919898535,0.15293390049265904,0.13228345232520536,0.11299936023678929
TSLA,0.23570403512015203,0.48549359946363047,0.38816693545873077,0.31500129663800236
ROP,0.4763262798934616,0.6901639514589715,0.6136354382399503,0.5771156158836732
ADBE,0.10535967419602121,0.324591549791459,0.27368802496762895,0.2391088522375024
ODFL,0.061263130478709904,0.24751389956669081,0.22640515310516854,0.18248091114443996
REGN,0.2958687340004473,0.5439381711191514,0.46352962033859063,0.41253795728642556
STT,0.08570318206598711,0.2927510581808153,0.27304548367860765,0.2816428570860872
NOV,0.05277436953698355,0.22972672795515883,0.19054004523066467,0.1864665585604006
CMS,0.0012676280734118719,0.03560376487693221,0.027286142707943165,0.023980938919140726
AON,0.009229226240077387,0.09606886196930506,0.08203713942660289,0.0795010681668147
GE,0.3077301037339451,0.5547342640705955,0.49817055597890436,0.5273101557858513
ECL,0.0013762535159079492,0.037097890990027305,0.029039054115627867,0.028761580211277175
APA,0.02148973226647525,0.14659376612419522,0.11001643634214024,0.11349538597004398
IPG,0.0638016429152379,0.2525898709672221,0.2236707724160782,0.20940821093408787
BA,0.05537115873297434,0.23531077054179722,0.21481307594942495,0.23258732303152463
CSCO,0.12053376172537578,0.34717972539504055,0.30352724142677756,0.28389847781339783
NWS,0.06441921028544614,0.2538093975514818,0.22052721765568617,0.2511591760902588
CDNS,0.004212325807732516,0.06490243298777416,0.050366673634546166,0.04405191816775261
TFC,0.45057564949622014,0.671249319922352,0.5802569859911295,0.5619445613265217
D,0.0010682720207868285,0.03268443086221372,0.027049139943592232,0.025561454010760407
IDXX,0.02139495617247562,0.14627014791978443,0.11289215373164413,0.09732091936469146
KEY,0.11674205835472913,0.34167536983916347,0.29683872567230074,0.2934483036007666
COF,0.24230980745008665,0.49224974093450435,0.43826320274538705,0.4139770713820004
DPZ,0.017981515863491938,0.1340951746465619,0.08811996741069572,0.07177327280881776
EFX,0.03468651576842351,0.18624316301121904,0.16692569646079833,0.1543623608266035
PCAR,0.20055311808842993,0.4478315733492112,0.3784116407303883,0.3497238118864774
CMCSA,0.36158101966616507,0.6013160730149869,0.5291061700756667,0.5055176377040156
HAS,0.3014917799885966,0.5490826713606947,0.48666946431430586,0.48179473640895615
BKR,0.03127563697338268,0.1768491927416766,0.1277467604723791,0.12405138962213143
PLD,0.0018966903612721094,0.04355100872852556,0.03893770367590914,0.03818325414297652
EXR,0.009709580188350731,0.09853720205257877,0.08961457520790385,0.07934424441091709
LNC,0.009465951705432974,0.09729312260089597,0.08621147528405472,0.0876100340576024
XRAY,0.014650485169433562,0.1210391885689654,0.11100420253838275,0.1158649592862023
SBAC,0.0021154431891806918,0.045993947310278685,0.03614161835596211,0.032166907336295944
KMI,1.121964581055549,1.0592282950599219,0.9504609170174187,0.898378282094589
KMX,1.4213518381852306,1.1922046125498889,1.012616083410405,1.0292099084198019
AXP,0.3974028688595131,0.6303989759346957,0.5505126157195624,0.5486717708468108
PPL,0.0033555074412292365,0.057926742021532994,0.049818145174439644,0.043580892940362326
WBA,0.009366035479427392,0.09677827999828986,0.08131214457572945,0.07126399000958836
CDW,0.052815258327254436,0.22981570513621222,0.20356995940587164,0.15218734803604828
CHTR,0.011617133051151078,0.10778280498832399,0.09273878440464489,0.08566655614301596
CAT,0.26936946716715626,0.5190081571296893,0.4291411431849647,0.38200649305649576
ACN,1.2802944488635155,1.1315009716582287,0.9940644991333022,0.9923347957669626
ABBV,0.008954987053473426,0.09463079336808619,0.06986670834207168,0.06333007750040494
AAP,0.07015785237419284,0.26487327606648586,0.22769012536700123,0.18698564160038458
F,0.9742970616066354,0.9870648720355899,0.8694023606822585,0.9543250029999256
ROK,0.610564689588809,0.7813863894315085,0.6710340989062591,0.6826500760119227
MMC,0.0038321438277842145,0.06190431186746376,0.05415584085112423,0.05139434820905061
BIO,0.10050206090379969,0.31702060012529104,0.2694877626436921,0.28465003365113734
OMC,0.3714466255258196,0.6094642118498999,0.5375212910904482,0.5484533103792364
XYL,0.005541116323135055,0.0744386749152284,0.05926159139700969,0.0559539985050809
TEL,0.03339352421971456,0.1827389510195201,0.1436024442287317,0.12985347454953838
WAT,0.047551413101486396,0.21806286502173267,0.18408246585129404,0.18602248266635021
XRX,0.1643447618181409,0.40539457546708846,0.3739954790862127,0.356276048397074
CSX,0.011939982272390721,0.10927022591900651,0.1001229900338512,0.09405037521984626
NOC,0.23468130744659826,0.48443916795259057,0.42804293748605343,0.37783293195679174
JPM,0.11326958699425979,0.3365554738735648,0.3015234787320598,0.2949760918183564
NDAQ,0.05266588304235727,0.2294904857338475,0.21447490913141623,0.21177385055502565
NEM,0.05596549065577649,0.23657026578963064,0.21326831497956966,0.2528056754965091
MMM,0.9290795807635177,0.9638877428225331,0.8592390961601785,0.8119821043460302
CLX,0.06864149412965224,0.2619952177610352,0.20436029219491977,0.20048625440359832
SLG,0.01583241627067365,0.12582692983091356,0.10819619943768463,0.09424548361070277
COP,0.010028166155136084,0.10014073174855516,0.0806259929661879,0.076093700673928
TJX,0.12498900444889889,0.35353784019380285,0.3252799304335666,0.34879476548685795
TFX,0.1620465676394843,0.40255008090855515,0.35294066620125475,0.3165555723301848
STE,0.18804541950372425,0.4336420407475782,0.39718382235464794,0.344134998205819
MA,0.5505347925909427,0.7419803181964753,0.668988891829756,0.7167756380840747
FMC,0.06881257552540943,0.2623215117473392,0.20567843656830082,0.2530236375859837
ADM,0.22714213199772262,0.47659430546086323,0.43531612779217776,0.39802167841208846
AMD,0.23413949121921968,0.48387962472005336,0.3859925831285982,0.5010425635222795
EL,0.06373329966807158,0.2524545497076089,0.2330105312005234,0.23777968982975375
