,mse,rmse,mae,mape
OXY,0.20873959331567582,0.45688028335185993,0.38371969091019914,0.4135043948240529
ALL,0.02445516723637024,0.15638147983815168,0.14012352464400749,0.1269371867928831
AVGO,0.4918564189494907,0.7013247599717913,0.6158672808824458,0.42030544405710635
IFF,0.007703957629676308,0.08777219166499323,0.06410605285609876,0.05850428823500794
EBAY,0.23258971876520024,0.4822755631018435,0.4214959215254499,0.44140026455948767
NRG,0.008646518834639346,0.09298665944445658,0.06710079275718918,0.06336965235793693
MS,0.021828804003413724,0.1477457410669212,0.137090224274553,0.1317633549989452
F,0.9838305968564016,0.9918823503099556,0.8735693322640724,0.9865398176335302
EXC,0.15241846282218371,0.3904080721785651,0.35209222688134684,0.3069972852990973
WY,0.18528718914078082,0.4304499844822634,0.39291013203495473,0.38222588045599454
NEE,0.0030285387936368007,0.055032161447982404,0.04650692910005772,0.0427460433432202
PEG,0.04220541399446288,0.2054395628754668,0.1859462608678573,0.16404717386877837
LEN,0.9648894011208425,0.9822878402590773,0.8578224642665143,0.8292777783392922
BAX,0.2962779129304332,0.5443141674900932,0.46590208855783993,0.4460454620654398
WELL,0.23278322491800454,0.4824761392214174,0.4250157325645088,0.4221669504454868
EW,0.11589101458458945,0.3404276936216991,0.29713448395930625,0.24672869577268688
SLB,0.05439737962397089,0.23323245834139572,0.16340005633828023,0.1638143541830775
SBUX,0.028011996598539368,0.1673678481624812,0.15786194103745982,0.17090108934882609
AZO,0.09495844336296524,0.3081532790073233,0.25170492643540054,0.2235451795890805
LLY,0.0017469945773937409,0.04179706421979588,0.032927963192504225,0.027543744075866634
IDXX,0.042499535142718474,0.20615415383328678,0.1595339676375432,0.13605672017899045
EXPD,0.0034798280957517697,0.058990067772056086,0.04009446791885312,0.04509258233333883
DGX,1.0954117642872845,1.0466192069168636,0.9068278491471955,0.9412309742819809
CE,0.20639494997434016,0.45430710975543864,0.3939013166507599,0.38139693668486474
O,0.007498416397782884,0.08659339696410392,0.07886964258904422,0.07647419265280449
ADSK,0.3764566160264037,0.6135606050150251,0.5357757765571031,0.48930679490352424
MKC,0.003384583564064516,0.05817717390922763,0.04540076229900392,0.046465861347265706
XRX,1.3376821260346128,1.1565820878928623,1.0242200871818259,0.974739204410336
AAPL,0.22056604537533434,0.4696445947472773,0.37314664570977596,0.30024527139126567
BKR,0.02688314022366321,0.163960788677242,0.14720309941649784,0.13001866680839966
KMB,0.026666207498850673,0.16329791027092377,0.14072155083474167,0.1380075196504596
TJX,0.08748843142648517,0.2957844340503489,0.27063157846479324,0.29329391183500514
CAG,0.17331212785949845,0.4163077321639588,0.38470560256557257,0.39940716370949636
KIM,0.30970240342945116,0.5565091225033523,0.49118720562401025,0.454381424994215
