,mse,rmse,mae,mape
AWK,0.009871206121632708,0.09935394366421853,0.08647893680378256,0.07497496462573615
IBM,0.6524358435464218,0.8077350082461585,0.68877134570092,0.716483842857751
SEE,0.2840879625011896,0.532999026735687,0.4826602431398665,0.4660886605061315
UPS,0.04820408507514689,0.2195542873075971,0.20694483679668643,0.2113173469965233
FCX,0.7287223553092864,0.8536523620943636,0.7416180090055445,0.8882818048117533
J,0.9121405126324066,0.9550604759031789,0.8171535896980407,1.0376735548782252
BLK,0.3714695816012664,0.6094830445560125,0.5474942316011303,0.5297548586355431
WELL,0.2915370093995814,0.5399416722198624,0.47454090897112705,0.44964191816297666
MSI,0.11883471171782475,0.3447241095685429,0.30479975927033665,0.3180557700642493
CBOE,0.050106763758863464,0.22384540146910203,0.19564654337275633,0.19165882450445013
LMT,0.29557407121820767,0.5436672430983934,0.47147738312529947,0.39434389280315435
ROL,0.2453329948855431,0.495311008241835,0.43972514572504173,0.43490804283775075
CB,0.047358156426317376,0.2176192924037696,0.2041108777195175,0.19721693345200592
SYK,0.09664480224255614,0.3108774714297518,0.263672835476025,0.23240554735069877
UHS,0.41986829215239246,0.647972447062676,0.5448224990875006,0.4456713664114533
LYV,0.17646961071415496,0.4200828617239163,0.35486607450080165,0.2969714058499497
DXCM,0.048687560739489794,0.22065257927223464,0.19089823160599054,0.17126082999663506
XEL,0.005471963724704571,0.07397272284230567,0.06246684610801918,0.054726691851490136
K,0.020074171331647524,0.1416833488157572,0.1253361974471512,0.12039738716226629
CBRE,0.0293490447875434,0.17131562913973553,0.14659571416608308,0.12705854864263227
CNC,0.037368084420911,0.1933082626814255,0.14470086750243805,0.12829511901904372
VZ,0.004090033848261017,0.06395337245416395,0.049586197380430505,0.049719496419441164
YUM,0.017142872192728528,0.1309307916142285,0.10717991052199577,0.11301412289293374
CRM,0.13280143397875438,0.3644193106556709,0.3159343861795959,0.3195624225697669
TROW,0.6443433893349318,0.8027100281763844,0.7059961010506923,0.7197372154992229
IVZ,0.20923256731622697,0.45741946538841893,0.41143811517111234,0.3872579575575097
WU,0.1646582876188005,0.40578108336737495,0.365767238253669,0.4087125532438169
LIN,0.2562979086730884,0.5062587368856841,0.43758250493352224,0.43585795751157347
WEC,0.0054578406908996294,0.07387720007485143,0.05879686088967094,0.0512857170996012
ESS,0.7348790289039568,0.8572508552949696,0.7637842016762141,0.651025775581569
VLO,0.13458290603605427,0.3668554293397527,0.2924452365166566,0.2881986542218013
ADSK,0.37232468793417467,0.6101841426439847,0.5327118773756985,0.48647866966119224
COST,0.007075105206620763,0.08411364459242486,0.05675909219743858,0.054368778111068626
VTRS,0.008227382000542292,0.09070491717951289,0.07109697372447875,0.06314678018923513
TSLA,0.20201248275478179,0.44945798775278406,0.3608036524254474,0.29370128092569325
ROP,0.626958000825733,0.7918067951373826,0.6990511847076485,0.656564499698033
ADBE,0.17614483132655206,0.41969611783593147,0.3543933793642759,0.3085277597838524
ODFL,0.12817551484531306,0.3580160818249832,0.320300513791457,0.2553342730787577
REGN,0.22787849728119425,0.4773662087760237,0.4057323683258117,0.36047793607590883
STT,0.12021323378796872,0.34671780137161795,0.31996855473130764,0.32883489557695195
NOV,0.023791964247985603,0.15424643998480356,0.12658852116345023,0.12268943908179418
CMS,0.006496973190916363,0.08060380382411467,0.06379415926419225,0.056991653763374145
AON,0.00159829900423621,0.039978731898801016,0.034441332959906305,0.03291012852652643
GE,0.25528136405594876,0.5052537620403719,0.45310608312258366,0.4794359099515473
ECL,0.0022675840390708685,0.04761915621964409,0.0369849724059744,0.03676820956390209
APA,0.016151594502631275,0.12708892360324434,0.10797601752773933,0.12477455567282027
IPG,0.16493894190269892,0.40612675595520537,0.356705225819514,0.3315947651814713
BA,0.021404618393193936,0.1463031728746644,0.13543860122834517,0.14651881597801458
CSCO,0.1009336163860973,0.3177005136698669,0.2759389015655162,0.2577759082519323
NWS,0.09748115369179311,0.3122197202160573,0.27025451721043237,0.30751515807094526
CDNS,0.43306280922477525,0.6580750787142567,0.5607012314678315,0.4747691919827492
TFC,0.3930918293141671,0.6269703576040634,0.5386756645118266,0.5216656948174235
D,0.010470434041443434,0.1023251388537706,0.08076215088522991,0.07538295106098453
IDXX,0.04640225176440304,0.21541181899887257,0.1681214516266553,0.14320546517226046
KEY,0.1766658649173218,0.4203163866866504,0.36275340748184703,0.35839196304415155
COF,0.4060331897155904,0.6372073365205319,0.5601011651895301,0.5281002509040308
DPZ,0.013340171620309493,0.1154996606934821,0.0737245821410835,0.05985152215421411
EFX,0.024570274206613184,0.15674908040117233,0.13923169099880808,0.12881471712395867
PCAR,0.3092490163962201,0.5561016241625447,0.47010012226798453,0.4339854392425946
CMCSA,0.2363144120351842,0.4861218078169135,0.42597657602926403,0.4070499554871681
HAS,0.05881063401716724,0.24250903904219168,0.212475885809011,0.21118694928065704
BKR,0.03463178946871957,0.1860961833803143,0.16197857301237384,0.14064044561297726
PLD,0.00988623652523868,0.09942955559208078,0.0928442433923052,0.08998822596622309
EXR,0.003158234805912301,0.05619817440017336,0.05123713759101478,0.046349672867655504
LNC,0.07534450014021152,0.2744895264672434,0.24816127167933955,0.24487660552822435
XRAY,0.030779641206656026,0.1754412756641265,0.1634176429809029,0.16844821668051957
SBAC,0.03047409790725125,0.17456831873868536,0.14402143625493108,0.12252345185973339
KMI,1.0296800240790829,1.0147315034427002,0.9087928354426087,0.8585115266505211
KMX,1.199312101300776,1.0951310886376917,0.9273890442071122,0.9418068888338074
AXP,0.22082333527994805,0.4699184347096292,0.4087579908762302,0.40705717802977986
PPL,0.003853704288755353,0.06207821106278235,0.055802345381323955,0.048999481352301685
WBA,0.02741164760989106,0.16556463272659128,0.14866433132875442,0.12971583785212637
CDW,0.03351926410308593,0.18308267013315577,0.16285599262265743,0.12220723132629677
CHTR,0.01563634166035618,0.1250453584118826,0.10495563296340965,0.10148121503583986
CAT,0.483369351795666,0.6952476909675184,0.5781963745336717,0.514064430041512
ACN,1.450041838713136,1.2041768303339573,1.0522598235879246,1.0502961376808684
