,mse,rmse,mae,mape
OXY,0.10808074991309818,0.3287563686274354,0.27332751741453776,0.29580861301944567
ALL,0.004036515938370236,0.06353358118641067,0.05638770458120033,0.05250248610621196
AVGO,0.5241744809759233,0.7239989509494633,0.6360147031880369,0.4340827329765298
IFF,0.004075166143351899,0.0638370279959202,0.05235989661410845,0.0471454298884111
EBAY,0.26754076473927296,0.5172434288990755,0.45292421827114465,0.4740902734623022
NRG,0.00903796769988015,0.09506822655272448,0.06957313595409068,0.06458189962437069
MS,0.01208486466524732,0.10993118149664052,0.10156733116200267,0.09845588923826731
F,1.0794165745462094,1.0389497459195076,0.9129839371607951,1.0311741393202887
EXC,0.05885325551765119,0.24259689923338096,0.21830174890463097,0.19012856001388093
WY,0.11034283032395002,0.3321789131235606,0.309232099962311,0.3022078118079109
NEE,0.0011266921359109712,0.033566235057136976,0.02869404367865639,0.026618351674278267
PEG,0.06016715418146602,0.24528993901394738,0.22364927991959888,0.19766316948183604
LEN,0.3675435829814093,0.6062537282206265,0.5409753476179145,0.5244332009779418
BAX,0.31868397643442953,0.5645210150511932,0.4817413301388644,0.46080826101802813
WELL,0.3962737398839128,0.6295027719429938,0.5491929516669118,0.5448204534752804
EW,0.03501768008006423,0.18713011537447474,0.1571236907465496,0.13362554935918955
SLB,0.017675354170671505,0.13294868999231058,0.08636790324605027,0.08692318490482953
SBUX,0.003833720137858068,0.061917042386228915,0.04757344756368548,0.05284267100251913
AZO,0.06732725135902502,0.25947495324024056,0.21250479278234036,0.18879239385487065
LLY,0.018324421980467034,0.1353677287261149,0.12182278958313711,0.09853644121010773
IDXX,0.037447854725272435,0.19351448195231394,0.15106826258678505,0.12897132927809624
EXPD,0.05509670578052934,0.2347268748578427,0.1891334377587221,0.20553158287905832
DGX,1.7827641114255293,1.3352018991244468,1.145134840169394,1.186817683845045
CE,0.4172781881237404,0.6459707331789424,0.5508015248165985,0.5336590863458706
O,0.002266701555540989,0.04760988926201141,0.04124558995928146,0.04042867291279076
ADSK,0.38702323513173403,0.6221119152787014,0.5432289399038068,0.4959981789597614
MKC,0.0031972542114778743,0.05654426771546232,0.04659638850479738,0.04603685036642516
XRX,2.0005515684203865,1.4144085578150276,1.2370654710026507,1.1729291448941754
AAPL,0.3415059271967768,0.5843850846802789,0.46693243293094744,0.37633067866829795
BKR,0.09133443131381278,0.30221586873262096,0.27256996131976424,0.24307264701621553
KMB,0.07794007785205981,0.2791775024103121,0.23820525222428912,0.23354798847217617
TJX,0.04688810844933301,0.21653662149699532,0.20153365619700808,0.21960165622160852
CAG,0.12028465520961419,0.3468207825514702,0.3246683468506347,0.33816623148505265
KIM,0.22551008923293442,0.4748790258928419,0.4186094672034441,0.3869296017814927
BLK,0.3597578087518956,0.5997981400036979,0.5398701951883582,0.5300378878743811
CDW,0.05478634440943545,0.23406482950122057,0.20775131481809156,0.15589287134650576
ORLY,0.1897814720240004,0.4356391534561608,0.36221750264501373,0.30447299902125396
TROW,0.536091435800306,0.7321826519389175,0.6440620324976271,0.6647847569768098
BAC,0.1379843712168719,0.37146247618954986,0.31684995515830155,0.3086315283427108
NFLX,0.13939276368527662,0.37335340320569815,0.3009509462681675,0.3027894614294186
DRI,0.5601629222895254,0.7484403264720076,0.6719577206321632,0.7270506455341109
LEG,0.20079151011123772,0.4480976568910372,0.40726018157396987,0.35737626106810266
MDLZ,0.02895218097462599,0.17015340424048525,0.13947128805700448,0.13427443492935517
D,0.03985997622073148,0.1996496336603989,0.16066921605041665,0.15420995743696111
PFE,0.14386644201438883,0.37929730029936787,0.3256890478456818,0.3480779741937708
GPC,0.027286226383193432,0.16518543029938637,0.14447071850239615,0.13493361591732542
FCX,0.30715274059842523,0.5542136236131563,0.48765423788802403,0.6034119888200364
AAP,0.004631420643864801,0.06805454168433435,0.057888066382701636,0.047475906747044785
MKTX,0.39212733834281066,0.6262007172966274,0.5645779105249397,0.6703319732984311
AXP,0.07463349394492193,0.2731913138167499,0.24436480986368564,0.2457249320771633
BK,0.19099839780642278,0.43703363463974115,0.3972937491793441,0.37061762751226157
PGR,0.009501580707453388,0.09747605196894973,0.09079924790542383,0.10448932787685795
HIG,0.16303646563993351,0.403777742873395,0.36591017800095504,0.3623906357824783
SWKS,0.5583759936006996,0.7472456046044698,0.6307813173860106,0.3369743996359615
NI,0.1004438351401356,0.3169287540443997,0.2729240788938881,0.2282031779676633
HBI,0.45391197001439376,0.6737298939592883,0.5571485588205408,0.38973193822045493
TXN,0.0016403764850578704,0.040501561513821546,0.029989220633912864,0.028037502026666612
ATO,0.0018697451661064868,0.04324055002085989,0.03374726998251909,0.032126301355075514
DXCM,0.030910714449007153,0.17581443185645243,0.14968781357296282,0.13624434262296078
KEY,0.20906367391065916,0.4572348126626615,0.3942909338576553,0.39404589940764867
MMM,1.1003126522324973,1.0489578886840487,0.9299456371460302,0.8919456233876645
BSX,0.5852436159093374,0.7650121671642467,0.6371946812816367,0.6195028892623383
AIZ,0.20069833388806682,0.4479936761697277,0.38728598305367323,0.3890850226272406
NKE,0.015245872462811106,0.12347417731174039,0.0862745652664962,0.07882753642191945
ULTA,3.807798352614922,1.9513580790349376,1.6766056747526232,2.071227766314774
APD,0.20769586927438438,0.45573662270480786,0.4014867365551461,0.35066838549199575
DUK,0.0304771820030144,0.17457715200739873,0.1408044377149857,0.13422256477712302
HUM,0.002962682028063009,0.05443052478217539,0.04580150130201693,0.04117862625756643
ALK,0.5325343334382353,0.7297495004713845,0.6469469607938101,0.5150300254690805
AEE,0.015719959710929814,0.1253792634805685,0.10316165155984568,0.09485745043294781
KLAC,0.008003490227195589,0.08946222793556836,0.07418833442844763,0.06887623499494895
SNPS,0.6615043130217346,0.8133291541692912,0.7151197213263203,0.723398536743001
FLS,0.3630678282487227,0.6025511001141087,0.5177477455099305,0.5903835577402041
CF,0.021427497423868604,0.14638134247187584,0.12148881303954175,0.11147586799787745
CMCSA,0.17638465717065704,0.41998173432978847,0.37255252447883663,0.35968821308709903
SNA,0.043026126720582335,0.20742740108428862,0.19120137663224746,0.17126289603644645
STZ,0.0539155609846547,0.23219724585932258,0.21827853024778418,0.1782073272415968
SPGI,0.27576204030873386,0.5251304983608682,0.46614695563636177,0.43749441566778097
REG,0.4827654695675317,0.6948132623716474,0.5983760215812506,0.5590801503460777
TRV,0.04157314213890976,0.20389492916428736,0.19590085887706654,0.19154047665975857
AMD,1.179802175288234,1.0861869890991303,0.895789801354449,1.1356728398721048
SEE,0.19364268239911844,0.44004850005325374,0.4052828004555091,0.3962067465554707
AJG,0.0023726239347882875,0.048709587709077226,0.039947185776576945,0.04110829640173759
AMGN,0.166041559864588,0.4074819748953173,0.31794649410877807,0.26442876492591005
GD,0.21483464581513634,0.4635025844751422,0.39489351618688656,0.3008436207918038
TFX,0.24769019784146812,0.4976848378657603,0.4345471013429577,0.3931313968664979
FAST,0.49998136826406936,0.7070936064369904,0.6019351447589175,0.6701241517425808
CMS,0.019659903434069943,0.1402137776185705,0.11615530174640647,0.1064700763470366
ZION,0.046031214408337434,0.21454886251932784,0.17745030260250416,0.18562228243602896
VRTX,0.08971739524869271,0.2995286217520668,0.2650084760782846,0.24069874507112962
