,mse,rmse,mae,mape
ULTA,0.030822124558563438,0.17556230961844696,0.1244989083362892,0.14443187880906574
LHX,0.5580027164721082,0.7469957941461974,0.6385517677044179,0.6262002824093345
EMN,0.3889832074417994,0.6236851829583571,0.5212391101650229,0.5186868200252345
LNT,0.013952145822993629,0.1181192017539639,0.10107120979604287,0.0883291540762085
PEP,0.0017900002940296933,0.042308395077451155,0.037934458901025994,0.03691057039073886
HON,0.24244501547701527,0.4923870586002594,0.42986348296403365,0.4090443715633464
AJG,0.0007662162563453271,0.0276806115601756,0.022716021059900893,0.023364417334519483
JBHT,0.07913568835292341,0.2813106616410466,0.2578189371588536,0.2590912954957374
SO,0.0005473614204155059,0.023395756461707023,0.018898283445949376,0.01730771307505111
C,0.06465246296944051,0.25426848599352714,0.23864566105587542,0.2524600737955602
AFL,0.036063599204292265,0.18990418427273334,0.1735932984362282,0.18963171553634672
CB,0.03944505529792584,0.1986077926414919,0.18610715355963092,0.18010834640985696
GPC,0.014187810782937406,0.11911259707913939,0.10176264477418126,0.09467744184403376
MCD,0.0441112087154275,0.21002668572214223,0.17902411728897255,0.18059438283302107
MTB,0.026888546395493856,0.16397727402141388,0.14204184241464768,0.13406194900053947
LIN,0.20794394768473878,0.4560087144833296,0.39476237688664567,0.3932122815774426
CRM,0.2718026633509882,0.5213469702136843,0.4458292687933511,0.45045762529873123
ETR,0.004150637902398651,0.06442544452620137,0.05256059772006148,0.043411976990788526
KMB,0.0010156264589834395,0.03186889485036216,0.026840274504427872,0.025797585969208524
WMB,0.5487359940016264,0.7407671658501249,0.6207462812297843,0.46868129047875395
AME,0.6936953734052794,0.8328837694452206,0.7276422923886614,0.7407829069493103
AAPL,0.09273188567361201,0.30451910559702494,0.24015280058082267,0.18993584622819254
BEN,0.4936967504743088,0.7026355744440419,0.625055592883952,0.6483642429232946
VRSK,0.008672168715082838,0.0931244796768435,0.08690503939296014,0.09734919617291966
L,0.14592850839364666,0.38200590099322634,0.34387343693948064,0.39363920051795337
NWS,0.06739248836249873,0.2596006324385569,0.22512341025292862,0.25639844991777344
ADI,0.2301270518782467,0.4797155947832494,0.4153975786845977,0.407018021109188
GOOG,0.17048334109295268,0.4128962836996147,0.34653502886237264,0.3513014392349835
CCL,1.9648728058774334,1.4017392075123793,1.23395214612136,1.2391327434496888
EFX,0.07372559032948912,0.27152456671448555,0.24287822232775635,0.2236640776524727
DD,1.0112042392499072,1.005586515049753,0.859716983846835,0.7593563501608808
BK,0.2023390275578669,0.4498211061720725,0.4082700582163385,0.3758594722530338
LLY,0.0019561894896097166,0.04422883097719989,0.03558251935182387,0.02892748929129899
MAR,0.11201896660490543,0.3346923462000669,0.29729554812381864,0.2190713571038632
HBI,0.029979591914918984,0.17314615766721184,0.13662541870769507,0.09388556003819241
HES,0.17283005935558896,0.41572834802980296,0.33893481808152276,0.33866630407803544
COP,0.00882667605571548,0.09395039146121467,0.08069635813208013,0.07959035723424178
APTV,0.00975810630325135,0.09878312762436382,0.07422249210580427,0.06560242902448502
RJF,0.48876237129241334,0.6991154205797591,0.6181181956704271,0.6031110994718747
