,mse,rmse,mae,mape
AWK,0.01823768875213913,0.13504698720126684,0.11947107057599622,0.10367100053941826
IBM,0.36563090279664645,0.6046742121147937,0.5152712639488541,0.5368603272482405
SEE,0.3104641014202734,0.5571930557897087,0.5053152251140358,0.48799692730869154
UPS,0.11936545817704566,0.34549306530963203,0.3198245751337473,0.3259473018754325
FCX,1.0556612530366045,1.0274537717272756,0.8957139678928061,1.0702222953879064
J,0.9391042440250297,0.9690739105068455,0.8323547332481358,1.0559705184396921
BLK,0.36414580619674014,0.6034449487705901,0.544320498365674,0.5269289608452513
WELL,0.28984796947491487,0.5383753054096323,0.47256803159962374,0.4475266508705477
MSI,0.14638121381655822,0.38259797936810674,0.33941464327760035,0.35422018238123815
CBOE,0.02312321144045637,0.1520631823961881,0.13284004670773322,0.13229175958843117
LMT,0.29431646945066664,0.5425094187667774,0.4728730730814056,0.3957741105822843
ROL,0.18839005995963706,0.4340392378110959,0.38897061161492974,0.3848402066826734
CB,0.04510667747643251,0.2123833267383118,0.20052347573731782,0.19404789754015295
SYK,0.06581815947100793,0.25655050082002945,0.2189783662720918,0.1932314112180297
UHS,0.3632134351833771,0.6026719133851992,0.5052282947753417,0.41275742527022136
LYV,0.24460563865291873,0.4945762212772858,0.419807555279942,0.35119937610187146
DXCM,0.021104142764103846,0.14527264974558649,0.12313275770173192,0.10908820122921839
XEL,0.015467426776109539,0.12436810996436964,0.10764742770524602,0.09434428283609861
K,0.036204846576178104,0.19027571199755922,0.16739546431474905,0.16103310861101425
CBRE,0.1039915171668789,0.32247715758930723,0.2815274435586497,0.24281367445810847
CNC,0.21747399291649758,0.46634106930067565,0.38499849243362255,0.31137172214434916
VZ,0.002024067651255024,0.044989639376805675,0.03583119111535362,0.037228754707880986
YUM,0.017438626662546773,0.1320553924023808,0.10742578410575755,0.11356752204199164
CRM,0.1534622507123386,0.3917425822046138,0.33746717506508606,0.34130437311246253
TROW,0.4203451278207733,0.6483402870567071,0.5753477959797666,0.5863479064567181
IVZ,0.046324126571863314,0.2152304034560715,0.20015562881387158,0.19052826502202036
WU,0.022812801280665228,0.15103907203324982,0.14169264010005114,0.16028410870647503
LIN,0.16189404943045613,0.4023605962696349,0.3496381553998795,0.34825449515998774
WEC,0.014090853919200425,0.1187049026755021,0.10102197967215906,0.08844335446791013
ESS,0.7155979214892773,0.845930210767577,0.7540921728485578,0.64265587281183
VLO,0.1545685232568634,0.39315203580404284,0.3168968165779365,0.31201489427932383
ADSK,0.3302220984102315,0.5746495439920156,0.5040445910915693,0.46076363754034383
COST,0.023062302898659733,0.15186277654073013,0.10683360796646696,0.10202980155721311
VTRS,0.04194307515933965,0.20480008583821357,0.18380187162112208,0.15802174050635417
TSLA,0.24917566127977683,0.4991749806228041,0.39896623272490417,0.32365652256603533
ROP,0.4474271057784977,0.6688999220948509,0.5949971202537986,0.5594802619420537
ADBE,0.12609984967446947,0.3551054064281048,0.3008261851702878,0.26240871497225043
ODFL,0.0510055205995807,0.2258440182948858,0.20718753461880743,0.16722811706531937
REGN,0.29847979730859675,0.5463330461436474,0.4661258477244536,0.4149745285001065
STT,0.07396244425278156,0.27196037257803124,0.25433275473853134,0.2625779189881692
NOV,0.055070302713498796,0.2346706260133526,0.19573463916845152,0.19176818953434868
CMS,0.001766794521055896,0.0420332549424369,0.03242548334530621,0.028337448040419395
AON,0.003977331700744215,0.06306608994336192,0.05049393833977566,0.04953868060212493
GE,0.2849765255050083,0.5338319262698779,0.47968602679456623,0.5076854919866649
ECL,0.001788371196480509,0.042289138043716486,0.032853483905804635,0.03269182909615958
APA,0.022497191644863742,0.14999063852408837,0.11353947360498533,0.11697442305564808
IPG,0.04720093981127145,0.2172577727292431,0.19254729955446614,0.18047320817335544
BA,0.05659778465300592,0.23790288912286442,0.21682791060077083,0.23471782535871388
CSCO,0.11266982805572999,0.3356632658718109,0.29351977806070617,0.2744060766616474
NWS,0.0511140215847247,0.22608410290138645,0.19566236542879428,0.2230744927950509
CDNS,0.0072722605849036845,0.08527755029844422,0.06746764314920568,0.05819585881364742
TFC,0.3995389255632163,0.6320909155835229,0.5456812619274539,0.5284181095498786
D,0.0009314823035514051,0.03052019501168702,0.023276166738955672,0.021900663970661205
IDXX,0.015112223687372082,0.12293178469123468,0.09332820513210244,0.08078256237300004
KEY,0.11849824913820613,0.3442357464561258,0.2991074084332047,0.29558742301817936
COF,0.2102532489683542,0.45853380351764056,0.4085679828579707,0.38596387880844685
