,mse,rmse,mae,mape
ULTA,2.952300262929185,1.7182259056739846,1.4753851317015338,1.8218677660034133
LHX,0.5546924367867399,0.7447767697684587,0.6365994477372395,0.6242827389694194
EMN,0.3637529478376842,0.6031193479218555,0.5030217011119256,0.5006861913048599
LNT,0.017031503821567207,0.13050480382563398,0.11216637319930163,0.09804893467941987
PEP,0.0009223730737577267,0.03037059554499593,0.02423764563809242,0.023865207603002064
HON,0.27988406270954164,0.5290407004281822,0.4603188134572396,0.4379816087861082
AJG,0.004804029079076498,0.06931110357710732,0.06284618169850817,0.06405469126940229
JBHT,0.03978375324879994,0.19945865047372585,0.18311521929778943,0.18460077973272268
SO,0.004870639714681843,0.06978996858203794,0.05771943528715254,0.0518383866106426
C,0.0673508222604583,0.2595203696445778,0.2430284185177673,0.2569830429642547
AFL,0.03287844914508858,0.1813241548859075,0.16521252945931192,0.18055004728578108
CB,0.07157612450551826,0.26753714602932854,0.2486741889737336,0.23987419500754092
GPC,0.012425494267100158,0.111469701116941,0.09382275979050388,0.08752031706750008
MCD,0.0651494326509237,0.25524386897812784,0.21640001834715583,0.218276065487995
MTB,0.011710951573146389,0.10821715008789683,0.09377153097293589,0.08875737091068552
LIN,0.24616948796363583,0.4961547016441906,0.42922703122527256,0.42751793122565734
CRM,0.30735255445759724,0.5543938622113319,0.4730610795923091,0.47770031113119443
ETR,0.0021056461436758573,0.045887320075112877,0.038197896240606564,0.033191701569499195
KMB,0.00106698719080558,0.03266476987222748,0.02774856946146657,0.026656287566760372
WMB,0.6183728527122055,0.7863668690326453,0.6625501293953753,0.5003809642598681
AME,0.7468027519663316,0.8641775002661962,0.7544254441651655,0.7680512893060336
AAPL,0.08459062496600715,0.2908446749830692,0.22971981144525036,0.18185075433497438
BEN,0.43433359935975446,0.6590399072588506,0.586217747595649,0.6081711772492374
VRSK,0.00489440168998568,0.06996000064312236,0.06272324128348009,0.07057569295223372
L,0.14556790355422486,0.38153362047691797,0.3435712856924613,0.39328397897787276
NWS,0.09408321507516054,0.30672987313784833,0.26545441370441825,0.30210537606933097
ADI,0.20127321365940984,0.4486348333103548,0.3892255687163651,0.3813626638733827
GOOG,0.16736156027837598,0.4090984725935505,0.34296732326385676,0.3477042202979808
CCL,1.9382053562678034,1.3921944391024565,1.2254593146436752,1.2305413468876418
EFX,0.05157452399480014,0.2271002509791659,0.20273012525349912,0.18685306124536757
DD,0.9531632220576624,0.9763007846241148,0.8345012561198436,0.7371948273511416
BK,0.20900241224018473,0.45716781627776987,0.4146665238231793,0.38166774621205224
LLY,0.01343560771035516,0.1159120688727242,0.10719825996110477,0.08569995250434854
MAR,0.12210324278003812,0.3494327442871348,0.30967467832899437,0.22792586048448862
HBI,0.05743941485113439,0.23966521410320354,0.1910149253823316,0.13074881173926933
HES,0.20581069041268507,0.45366363135332444,0.37484151855282843,0.37355671477868635
COP,0.008693508205320891,0.09323898436448615,0.0794618601942241,0.07629827511818828
APTV,0.006899661073044103,0.08306419850359181,0.06184640660879834,0.054863793022788
RJF,0.47249908103320776,0.687385685793069,0.6049886845737582,0.5900870387761784
ILMN,0.26254639382983663,0.5123928120395881,0.4344829019544847,0.2830950572953543
MDLZ,0.02325340096139345,0.15249065860371072,0.1293782819810909,0.12644069860887808
VLO,0.231306319062452,0.48094315574967067,0.39128636756618707,0.3847291612316482
IPGP,0.4923665674819869,0.7016883692081457,0.6337290560536314,0.7196995823212762
AEE,0.017722974717212722,0.13312766323049738,0.10895220990466435,0.096734306579761
MO,0.11428377164955641,0.33805882868157194,0.31721469357167004,0.27591647228423455
NVDA,0.0074127165390062795,0.0860971343251695,0.068925896225501,0.059136414868047694
UAA,0.020211608392816122,0.1421675363534732,0.12366332452924146,0.09198011071278674
GS,0.3231272021894595,0.568442787085437,0.5170970678038168,0.5157955500033237
MMM,1.0395221530260976,1.0195695920466135,0.9061035067898807,0.8557004598807479
RHI,0.341870983619262,0.5846973436054435,0.5278675174010122,0.44663668036197496
APH,0.07286188875384342,0.26992941439169504,0.23930825295037245,0.2140843116555413
PM,0.041934464475988024,0.20477906259182851,0.1874768219642048,0.19608357696243345
ZBH,0.03606169885849806,0.18989918077363593,0.16505981345473053,0.14905921647509585
WST,0.04887033265038256,0.2210663535013471,0.20226537878678477,0.22826200584052564
CDNS,0.004236520683934624,0.06508856031542427,0.05082073189613968,0.04421444624561109
CI,0.0150311119312188,0.12260143527389392,0.11315146956530596,0.11327478832257874
TJX,0.16463561845464028,0.40575314965461484,0.36984817617118465,0.3958000022181054
MKTX,0.13021171329799236,0.3608486016295371,0.3360706273193803,0.40140417189451727
SPG,0.0006395314495912691,0.02528895904522899,0.020955531171862524,0.01855566419977011
AMCR,1.274107600596238,1.1287637487961057,0.9782118852921718,1.0070364942857521
OKE,0.06838808140802048,0.2615111496820365,0.16786589417613187,0.15780889479665886
YUM,0.04243677434268926,0.206001879463973,0.17390556821644082,0.182639675193773
DOV,0.6125842454004113,0.7826776126863546,0.6718366667146005,0.6590596909502003
AEP,0.006653276449262369,0.0815676188769929,0.06957890820900212,0.05987244214171505
EXPD,0.07612457870033743,0.2759068297457267,0.24993523850751206,0.2721248516638035
LUMN,0.004558290358864008,0.06751511207769716,0.054648324885269536,0.0510859781058623
WU,0.09804524911017184,0.31312177999968616,0.28590144207272405,0.3201663174741718
ZION,0.03853980233505425,0.19631556824422827,0.162642682871645,0.16952081542392794
DVN,0.0435457585179056,0.2086762049633489,0.13736578014110087,0.14389681082923353
MAA,0.08537034927234799,0.2921820481691988,0.2692502790956386,0.24676376484846144
NEM,0.0590677751161112,0.24303862885580801,0.21962864989699124,0.26056122401835347
VRTX,1.3197031679113194,1.1487833424590206,1.025245625478199,0.8686810662868873
TGT,0.030374930769135555,0.17428405196441685,0.12498579699731133,0.12477963256232663
DAL,0.6296518211725003,0.7935060309616432,0.7114970211423868,0.5268572469833798
BBY,0.046939650657333326,0.21665560379859397,0.18423007823170584,0.2714926721447697
KIM,0.16230262642579302,0.4028680012433266,0.35739241614600437,0.32007411560033927
SPGI,0.44824082472655435,0.6695078974340439,0.5913133780979137,0.54901414766134
ALK,0.18172010589130497,0.4262864129799412,0.3841388946215229,0.30311333665146234
NTAP,0.00873745196410924,0.0934743385326114,0.07926928321676756,0.0831442308037439
BA,0.07856757800369912,0.28029908669793974,0.2533015089481442,0.27408305243861064
AIZ,0.07569965025867582,0.27513569426498596,0.24156185656102797,0.24033199510875636
EXR,0.0017525887881301677,0.0418639318283671,0.03626090383079854,0.03331535457521455
NOC,0.2484463521891854,0.4984439308379483,0.439436099283518,0.38767041215591974
EXC,0.41101968091611873,0.6411081663152629,0.5753186444040855,0.4857896501696914
MRO,0.09463406180080537,0.30762649723456104,0.2643516347459121,0.27280329334186665
TER,0.10443015533802119,0.32315654927298193,0.2654009611083668,0.2460305705748005
CL,0.003654168208531905,0.06044971636436274,0.05103029249892149,0.051038361854306956
IT,0.44265718949396166,0.6653248751504498,0.5981720488604205,0.5670236539626666
CDW,0.019179035576033582,0.13848839509516161,0.12022263685723414,0.09046158857553485
