,mse,rmse,mae,mape
AWK,0.030829229216536278,0.17558254245948338,0.15008395927978221,0.12914702590679877
IBM,0.5506021295142904,0.7420256932979413,0.6355588093101378,0.6612699121433364
SEE,0.4556376400835039,0.6750093629598807,0.6055069066280677,0.5832621623141414
UPS,0.1683023212034246,0.41024665897899104,0.3732475738233422,0.37957506571642174
FCX,1.3099561526107193,1.1445331592447285,0.9982012609217045,1.1906310027308478
J,1.0286926824384002,1.014244882875137,0.8658354326998229,1.099980152609213
BLK,0.4449229145914107,0.6670254227474472,0.5982280493212023,0.5785839606922265
WELL,0.19054195660351175,0.4365111185336655,0.38163352899169345,0.3608196282600736
MSI,0.22720408678243248,0.4766592984327826,0.42002866629389474,0.43866546356734865
CBOE,0.05891086451029748,0.24271560417554014,0.21547794383201982,0.21054467062507778
LMT,0.38094424568398466,0.6172068094925596,0.5320782293609932,0.44444830680302666
ROL,0.29643946566067775,0.5444625475279983,0.483908000582216,0.47872630699747937
CB,0.12665701338657584,0.355889046454897,0.3265072587773665,0.3151764652922109
SYK,0.12436252645545896,0.3526507145256606,0.30164076957027836,0.26630595112624134
UHS,0.22791953177887786,0.47740918694436313,0.3950944574514253,0.32116422485202034
LYV,0.2897977967093881,0.5383287069341446,0.45358409516241366,0.3789583685762004
DXCM,0.05674101173990864,0.23820371898840842,0.20665477412598315,0.18446414374735035
XEL,0.003587029648349481,0.05989181620513341,0.04896747589852727,0.04292078597341817
K,0.008269352641684493,0.09093598100688469,0.07762335667855055,0.07420986505631444
CBRE,0.11816238581550585,0.3437475611775389,0.29622848823101877,0.2547935445695946
CNC,0.028244247441020418,0.16806024943757647,0.13631485970193744,0.12439328616967486
VZ,0.029575053007403967,0.17197398933386399,0.1541584939758692,0.15675366999159607
YUM,0.06080755721526544,0.24659188392010278,0.20572898240883483,0.2170865071693032
CRM,0.12465977572167668,0.3530719129606272,0.3061975263294026,0.30950565537585434
TROW,0.5469353383645746,0.7395507679426576,0.6524647812717854,0.6651448749236849
IVZ,0.26025783600155566,0.5101547177097902,0.46177938791463863,0.4349945684214839
WU,0.2199874661665436,0.4690282146806774,0.42549803928243707,0.47558643014064605
LIN,0.2810082574582156,0.5301021198393906,0.4604196381950232,0.4587336365797525
WEC,0.0037873367586387626,0.0615413418657634,0.04956211572648063,0.04368654464634491
ESS,0.5015793198860811,0.7082226485266346,0.6322562912756663,0.538781061597759
VLO,0.29300666463608,0.5413009002727411,0.4439964796549234,0.43643702858125616
ADSK,0.4100955870272071,0.6403870603214958,0.558180222258744,0.5094746725851774
COST,0.005140400538867112,0.07169658666120104,0.05458976914611515,0.0545420396059647
VTRS,0.009200792158559202,0.09592075978931361,0.08404423456734098,0.07399218344407604
TSLA,0.08123314102953179,0.28501428215009117,0.22087237864494694,0.18295950433571023
ROP,0.5953416589049642,0.7715838638184214,0.6827120251800218,0.6414117178518122
ADBE,0.16776826789934288,0.40959524887300985,0.344828373995565,0.30009092410131194
ODFL,0.09216280138663738,0.3035832692798425,0.2748721453863196,0.22057663250685525
REGN,0.07872546247889986,0.28058058107948214,0.2306304586724398,0.2029108616940931
STT,0.1536345881851621,0.39196248313475374,0.36151704975765747,0.3708319532670167
NOV,0.010059151671727627,0.10029532228238577,0.08501308213173862,0.08423343068513965
CMS,0.002022512000168496,0.044972347060927294,0.03469105677921663,0.031407869646965375
AON,0.012068605216308582,0.10985720375245576,0.09460953160431343,0.09085008563510388
GE,0.3410141223767526,0.5839641447698245,0.5199210404954355,0.5501900960430299
ECL,0.015087088148812888,0.12282950846117104,0.10478869095455869,0.10276362818111213
APA,0.01867304207025153,0.13664933980905847,0.12282950469550967,0.14124050525229667
IPG,0.2310849267272674,0.48071293588509495,0.42496155732411206,0.39646616213777675
BA,0.05577484310821588,0.236166981409798,0.2137665176927558,0.23082269836375607
CSCO,0.15467833259051034,0.3932916635151454,0.34109473663331613,0.318536145156305
NWS,0.10332458809316358,0.321441422491196,0.27924562885456394,0.3177178365019098
CDNS,0.30181129069619206,0.5493735438626364,0.4776807530292573,0.406770706521813
TFC,0.43640444861778616,0.660609149662481,0.5643634403924931,0.5464223110370163
