,mse,rmse,mae,mape
AWK,0.04768621800325298,0.21837174268492932,0.1899692751566313,0.16407358711404776
IBM,0.5746766594883594,0.7580743100042102,0.6469960207386465,0.6732076434991344
SEE,0.4220173306177711,0.649628609759277,0.5836458509628454,0.5625317787032268
UPS,0.1746756566063363,0.417942168973575,0.3811549468421489,0.3879582945053793
FCX,1.1493039185430962,1.0720559306972264,0.9316225386430623,1.1125423941593668
J,1.0987191069745947,1.048198028511118,0.8978998018717734,1.1397761851558281
BLK,0.41538422511143375,0.6445030838649523,0.5775485679736488,0.5585809869529105
WELL,0.21780697979561742,0.4666979534941389,0.4107384223496632,0.3891101499904764
MSI,0.21550924068998867,0.46422972835654186,0.4080309612544834,0.4259689101477779
CBOE,0.03602749214448632,0.1898090939456967,0.1659840870603215,0.16357837300074193
LMT,0.3782368956419587,0.615009671177583,0.5330471992860144,0.44554996010321246
ROL,0.24662337159889544,0.49661189232527997,0.44075962068332125,0.43594607355634385
CB,0.07524681143878573,0.27431152261395386,0.25328866110709325,0.24419569925879123
SYK,0.11371910641982709,0.33722263628028754,0.28620264340312335,0.2522024041700036
UHS,0.2772369770741095,0.5265329781448732,0.43977158489464296,0.35864738683999725
LYV,0.34753335221009013,0.5895195944242143,0.49951381652102417,0.417441130083548
DXCM,0.030296503011701115,0.17405890672901836,0.14842858717487567,0.1349816487825615
XEL,0.0025710684155688572,0.050705703974689646,0.040264321633469144,0.03530529040112562
K,0.015461164194981806,0.12434292981501524,0.1092246202510009,0.10471781607345292
CBRE,0.15254045595655139,0.39056427890496,0.338203551758002,0.29097834398211786
CNC,0.2122433067695763,0.46069871583234995,0.3813767115910993,0.30878676666407284
VZ,0.010042045527384977,0.1002100071219685,0.08927557799158196,0.09101338423933727
YUM,0.050042061866486576,0.22370083117075487,0.1870363429076362,0.19656550998756056
CRM,0.21715921066127553,0.4660034449027985,0.3976076971404744,0.40155659064028904
TROW,0.5173909014233867,0.7192988957473706,0.634154973145051,0.646415970667968
IVZ,0.085835849092275,0.29297755731843184,0.26794594148077516,0.25342535750241146
WU,0.05988121701440467,0.24470638940249329,0.22473834246992544,0.2522579840131884
LIN,0.2514489708644769,0.5014468774102366,0.43351765268665243,0.4317997171196313
WEC,0.003647797488394491,0.060396999001560425,0.04849984910268271,0.0427277428095992
ESS,0.5577681203110899,0.7468387512114579,0.6678141917665305,0.5694576869617468
VLO,0.2054073457796907,0.4532188718265058,0.366308191363857,0.3605380285609637
