,mse,rmse,mae,mape
AWK,0.019700607216304972,0.1403588515780354,0.12360094972581258,0.10710061140825254
IBM,0.32837230757157826,0.5730377889559974,0.48673336311776433,0.5073213930535675
SEE,0.310183999580037,0.5569416482720941,0.5044433104703716,0.48706429168395154
UPS,0.12525835045804654,0.3539185647264728,0.3268174497241744,0.3329357797205254
FCX,1.0747978489704233,1.036724577199954,0.9034006994096966,1.0792385910279358
J,0.8685204840759393,0.93194446405134,0.7989509590300496,1.014094623071366
BLK,0.3925758098681178,0.6265587042473497,0.5643485992200572,0.5461902160843087
WELL,0.24859689499245557,0.49859492074474204,0.43810839374174626,0.4149788775783189
MSI,0.1442178980491802,0.37976031658031384,0.33633873398705466,0.3509995323201123
CBOE,0.026651454600681163,0.16325273229162557,0.1428124602436128,0.14183644369922502
LMT,0.3405262482118101,0.5835462691268021,0.5082446385365804,0.4252865320965712
ROL,0.18909023807216271,0.43484507364366304,0.3890681041457196,0.3848873877480547
CB,0.04977354930485635,0.22309986397319104,0.2096825668833806,0.2026958197890798
SYK,0.06831727702519602,0.2613757391671921,0.22305565621117537,0.19678462221589663
UHS,0.3629735758505075,0.6024728839130501,0.5057164967287251,0.4133241087495407
LYV,0.2631889869263117,0.513019480065145,0.4355153526608535,0.36422171530886044
DXCM,0.022037592532921754,0.14845064005561495,0.12648764009026173,0.1128935056164813
XEL,0.010161747093118711,0.1008054913837471,0.0868340741616578,0.0760909529783758
K,0.03445022253630175,0.18560771141388965,0.16379871751061018,0.15761655621504106
CBRE,0.10424496394801015,0.3228698870257339,0.281461994784043,0.2425992652204602
CNC,0.37323579062051715,0.6109302665775507,0.5136925406155951,0.41857790755586777
VZ,0.0015477713115814944,0.039341724817062794,0.029750702090771304,0.03098196659829239
YUM,0.012318905852864985,0.11099056650393756,0.08912518114862891,0.09437765097095725
CRM,0.13975541866409108,0.37383876024844065,0.32315851204400503,0.3268751594252166
TROW,0.4502649562564507,0.6710178509223511,0.5947155859605785,0.6060143719791422
IVZ,0.04793341493228144,0.21893701133495322,0.2031742796795517,0.19325023544646364
WU,0.03315259495882929,0.18207854063241305,0.16979356443174243,0.19140850740464657
LIN,0.18342580313448234,0.42828238714016986,0.37184334140939435,0.3703123396185207
WEC,0.008329281152331138,0.09126489550934214,0.07485043899398472,0.06529252380599081
ESS,0.7003014270150495,0.8368401442420467,0.74659252169929,0.636393311469502
VLO,0.13877202433794025,0.37252117300623366,0.298644492650573,0.29421435923038575
ADSK,0.3331444379101328,0.5771866577721048,0.5059061561292884,0.4624143758531126
COST,0.02057546566091835,0.14344150606054842,0.09937671094599304,0.09468738630219369
VTRS,0.02950214058775985,0.17176187175202723,0.15217426357508987,0.13048433648566574
TSLA,0.3104159930798441,0.5571498838551832,0.44806835043552523,0.3630677932882067
ROP,0.47428999134357097,0.6886871505579082,0.6117223988826775,0.5750761677138839
ADBE,0.14078912188529627,0.37521876536934595,0.3181230011627313,0.2773091932734827
ODFL,0.03889348192744609,0.19721430457105815,0.18127285034784638,0.146790611105444
REGN,0.25520602588221647,0.5051792017514344,0.42974277627851853,0.38204082808054907
STT,0.07334384200864588,0.27082068238715795,0.25287569685867584,0.2610760992816585
NOV,0.06579954748866093,0.25651422472966473,0.21577599651554624,0.21204602965102376
CMS,0.0009796776118669763,0.03129980210587563,0.02443479960810802,0.021697348795852105
AON,0.0056742443993762996,0.07532758060216921,0.06330474882053574,0.06157174764536909
GE,0.294905408001148,0.5430519385852038,0.4872616545650789,0.5156489853671452
ECL,0.002096078044195817,0.045782944905235365,0.035618939316441056,0.035444410606208704
APA,0.020244545843009876,0.1422833294627655,0.10716784885538312,0.11139444663643307
IPG,0.03191199627583134,0.17863929096319023,0.15741853607985642,0.1479554044746471
BA,0.04949062380473285,0.22246488218308266,0.20310300598154407,0.2198662445174486
CSCO,0.11487968842889894,0.33893906300233223,0.29609139118799255,0.27665397724750423
NWS,0.06849337670173489,0.2617123930992472,0.22700848160761067,0.25846672872282483
CDNS,0.00493309634126786,0.0702360045935691,0.05547631939141872,0.04815971217286312
TFC,0.390371086012043,0.6247968357890771,0.5385908086327695,0.5215438337425023
D,0.0009727004148614239,0.031188145421961595,0.02416048007152638,0.02279723688595391
IDXX,0.020030061924644967,0.14152760128202896,0.11111772892603866,0.09560888347982079
KEY,0.11318571493429068,0.3364308471800567,0.2916658828455583,0.28820685924870704
COF,0.22359665783555144,0.4728600827259068,0.4206695290004532,0.3972283306575706
DPZ,0.02129996381348434,0.1459450712202517,0.09948850750066539,0.0815622001050542
EFX,0.03276668549420441,0.18101570510374068,0.16201752926876972,0.1496875496412227
PCAR,0.22115721810561426,0.4702735566727245,0.3980217151180548,0.367404064010636
CMCSA,0.3277972944816015,0.5725358455866335,0.5030933671870702,0.48058064843728604
HAS,0.2485650045816926,0.49856293943863556,0.44127728519584186,0.437021789399487
BKR,0.03328620490618508,0.18244507366926924,0.12993191572631854,0.12672119031098117
PLD,0.004870754403764074,0.06979079025031938,0.06342935508397445,0.06135543563807522
EXR,0.00754553528914588,0.08686504066162566,0.07995156254470452,0.07111976385648949
LNC,0.009218468189663728,0.09601285429391071,0.08580166619438992,0.08702635028089473
XRAY,0.01633591466953023,0.12781202865743987,0.11907012884136255,0.12373762944600593
SBAC,0.003163327916893939,0.05624346999335957,0.04608360709714926,0.04026285108497786
KMI,1.007190567785485,1.0035888439921425,0.9008835537375891,0.8515341020706697
KMX,1.3543822510642056,1.163779296543896,0.9881765809323677,1.004121257773121
AXP,0.40464659604250164,0.6361183820976263,0.5549916633253926,0.5528830007571129
PPL,0.0030762941345131435,0.05546435012251693,0.048961676974593735,0.042970453724107745
WBA,0.009777267499490004,0.09888006623930834,0.08179128259917678,0.07124753975170588
CDW,0.04393598816343569,0.20960913187033547,0.18692527058389974,0.14005573236484492
CHTR,0.029803875428730434,0.17263798952933399,0.14395985961627486,0.1298254562096233
CAT,0.25726922417605563,0.5072171371080196,0.4180055369397806,0.371935328136102
ACN,1.2230124431204472,1.1058989298848458,0.9708254568055386,0.9689088178694634
ABBV,0.021729006836445817,0.1474076213648596,0.10535641203269344,0.0920033166962462
AAP,0.05651315346566318,0.2377249533929141,0.20583280288952044,0.16918605252189764
F,1.0071380056785162,1.0035626565783107,0.8846116843864568,0.9710555234900821
ROK,0.5421706293020425,0.7363223677860414,0.6307694745271172,0.6416465548781467
MMC,0.0024978541450761753,0.049978536844091134,0.04275690541218674,0.04082432480483018
BIO,0.09473656595491566,0.3077930570284451,0.2607855593862708,0.2754797073914133
OMC,0.3012615446167288,0.5488729767594036,0.48363316189070493,0.4934367476755428
XYL,0.01779814609276698,0.13340969264924862,0.11002621428663147,0.10331877338226632
TEL,0.023495806953790214,0.15328342034868028,0.11803589495731232,0.10675868816099607
WAT,0.057461458271150796,0.23971119763405047,0.20259929457873607,0.20444971586043145
XRX,0.16732240713650867,0.40905061683917393,0.37674500115581583,0.3585407897771342
CSX,0.009386301371230992,0.09688292610791126,0.08768975295324145,0.08278818226487465
NOC,0.21697970554128648,0.4658108044488518,0.4110115020496339,0.3627376748285928
JPM,0.11266803890387674,0.3356606007619553,0.2998931114912831,0.29335609809946633
NDAQ,0.05701990005629638,0.23878840017114814,0.22281567342868153,0.21957104227553992
NEM,0.06749446212782301,0.2597969632767539,0.23531819146975155,0.279979369896176
MMM,0.9246613559132244,0.9615931342897704,0.8566692447849709,0.8091708299889268
CLX,0.07393927672557465,0.27191777567046743,0.21349190788316538,0.20962650459530446
SLG,0.01283334872682649,0.1132843710616186,0.09865908032655109,0.08613264836419102
COP,0.01023611217921872,0.1011736733504261,0.08074278298421098,0.0757905272681982
TJX,0.12036371693143631,0.34693474448581296,0.31839521734588944,0.3416372239189017
TFX,0.1952229400207954,0.4418404010735046,0.3883797895338774,0.3485316737635774
STE,0.20188970500396236,0.44932138275844646,0.4107789246013941,0.35536820768574723
MA,0.5779789555284506,0.7602492719683792,0.6845944716626223,0.7330942227609375
FMC,0.06239127809503054,0.2497824615441015,0.19470304938960378,0.23978227153908382
ADM,0.2550557060738207,0.5050304011382094,0.4598864418357946,0.4199216821242728
AMD,0.22633459704540623,0.4757463578897964,0.37816105256754484,0.4913737503797752
EL,0.04780523068824913,0.2186440730691073,0.20245630900288442,0.20672785391474563
EIX,0.012137449224733914,0.11017009224255879,0.1001352633719222,0.08383561038723099
AIZ,0.04572523886336825,0.21383460632780713,0.18954590705483668,0.1886190086866287
HCA,0.18343952327696306,0.42829840447632195,0.35451755916100697,0.2651869966472834
ROST,0.14425228477331908,0.37980558812808307,0.35101354574728677,0.3862960424981928
NWL,0.13710701856128965,0.37027964913196304,0.34197798593984247,0.3353010519195339
SRE,0.03834253240437634,0.19581249297319192,0.16920974135111713,0.1462843586375957
PNC,0.017424441102274327,0.13200167083137368,0.10582937172383214,0.0946315935603402
REG,0.16445760781646981,0.4055337320328234,0.3542029237436931,0.32090342119552917
KLAC,0.04642601696645957,0.21546697418968777,0.19648712055369047,0.17475684671149994
PWR,0.5508881948139679,0.7422184279671099,0.6166177127716728,0.5909308574157767
BXP,0.03888139468958325,0.19718365725785506,0.1589202226950267,0.13546296030449143
HD,0.05443773310803749,0.23331895145495038,0.21867914781621944,0.20745270472516414
CMI,0.39801604796980117,0.6308851305664139,0.54429687848761,0.5269592304571851
NWSA,0.02059418822672956,0.1435067532443319,0.11853530183613335,0.13167570632331463
BEN,0.3920845303816085,0.6261665356609283,0.5593756325694752,0.5803355489552612
DAL,0.735937744826551,0.8578681395334314,0.7680843312617512,0.5688203933214996
NUE,0.14226654356849322,0.37718237441388114,0.34109652509183896,0.35176060054013275
TER,0.05778128982932195,0.2403773904287214,0.20069342534631557,0.18634742047375405
DHI,0.8002165595070039,0.8945482432529862,0.7693219028729366,0.7467332116827086
QCOM,0.015508398508587045,0.12453272063432584,0.11533052083277243,0.11032597495947408
OXY,0.09805134982831573,0.3131315216140268,0.25883300643004614,0.2732602480944382
BAC,0.021715071901280546,0.14736034711305665,0.1309070490088462,0.1285020775296839
CPRT,0.044534104873510304,0.21103105191774577,0.1847051639874753,0.1967255037384661
VRSK,0.0044054473024522905,0.06637354369364566,0.05748136092231969,0.06481961898625832
AMCR,0.9386420521009771,0.9688354102224882,0.8377339554549627,0.8621086500620877
DVA,0.13391524569215282,0.3659443204807978,0.31346962981085025,0.27243319090630813
LHX,0.44764949077599764,0.6690661333351118,0.5733328318478497,0.5619204576876649
ILMN,0.1326689617506454,0.3642375073364156,0.30987312776958675,0.20280700476446126
ALL,0.004479285106610283,0.06692746152821188,0.0477514465912082,0.04095160264402153
GPN,0.002617564025849019,0.05116213468815603,0.04243664365200965,0.037638065900709956
MET,0.28896350503329865,0.5375532578575807,0.4793010305134963,0.47821286922608597
XOM,0.34294029006500504,0.5856110399104555,0.5143477781405269,0.531202546664846
CMA,0.2589259568502716,0.5088476754887179,0.4373535990871388,0.43218537801750034
WYNN,0.50951155799682,0.713800783129873,0.5760204206212379,0.5972115215993554
EMR,0.41810327384554946,0.6466090579674472,0.5724618086384864,0.6147527659400921
MRK,0.013138422612928139,0.11462295848968539,0.08762899298304948,0.07403506637771062
AZO,0.019070680803706972,0.1380966357436233,0.11766855718216612,0.10496921439323466
TSCO,0.38637465934500353,0.6215904273273548,0.5655381156396393,0.65032040618966
LEG,0.30687593618269865,0.553963840140039,0.49950103054561107,0.42857367407225583
HUM,0.015363783273419751,0.12395072921697456,0.1083964103294346,0.08888504655718303
MNST,0.2975509807759248,0.545482337730494,0.49605423824808653,0.41948524941671983
UNP,0.0034833226760893413,0.059019680413310786,0.04425654500495982,0.03404522405416803
PVH,0.194098486608483,0.44056609788825446,0.4002198223132843,0.452281664633451
DXC,0.277157229442,0.5264572436979095,0.4413506592135874,0.4017343147481867
DRI,0.28678543486989466,0.5355235147683943,0.4893082133915425,0.5142184901381809
ADP,0.15313701088008194,0.3913272427011464,0.3618569007289332,0.3467632538862978
CAG,0.12595796792572547,0.35490557607020695,0.33132738556005176,0.3380470279708667
MDT,0.005553249094363319,0.07452012543174709,0.05423378689634892,0.04681409180111859
WHR,0.13318247394900432,0.3649417404860731,0.33980931281408544,0.3480887913427415
SWK,0.030161692505303365,0.1736712195653136,0.14278098305191284,0.1417049191309744
DOV,0.4984302667443186,0.705995939608946,0.6070606614658833,0.5958155133381718
CME,0.039769092636282914,0.19942189608035252,0.188635268790577,0.20138112077046855
PFG,0.015183374387515408,0.12322083584976774,0.11527365943792889,0.11842957110893466
USB,0.09326501787756508,0.3053932184537913,0.2667489382667911,0.25132743671719476
EQR,0.16644057438876814,0.40797129113305036,0.36239859742901,0.3002186007567357
TGT,0.053094409273141324,0.2304222412727151,0.17380820106837497,0.1750783816617336
WMT,0.021026400443240972,0.14500482903421172,0.11189095526029026,0.1117989786583859
ATO,0.007889288971407093,0.08882166949234344,0.07188137184879582,0.06541074975776628
APH,0.06429455250598437,0.2535637050249589,0.22527067288178398,0.20158230460559742
UNH,0.02846211484153184,0.1687071866920074,0.1557138420726743,0.13797343598779646
LYB,0.059095800564131544,0.24309627838395953,0.14381873424740663,0.1316160620822646
ORCL,1.0544174317551784,1.0268483002640547,0.8913774185585499,0.8296956672620704
INTU,0.01400513544724948,0.11834329489772322,0.1093532524991333,0.10233941039647752
EVRG,0.007640958005244054,0.08741257349628859,0.07543606156845976,0.06415962811388778
JKHY,0.013222280779650089,0.11498817669504152,0.10609902436835715,0.1077316168515395
AJG,0.0010190792309095137,0.03192302039139645,0.025993400065573317,0.026129600887731287
SLB,0.038451944237591434,0.19609167304501085,0.13142501534549383,0.1306542092994801
FFIV,0.24925432898733807,0.49925377213130606,0.42045759855916426,0.3265047322366036
BDX,0.08256308865541657,0.28733793459168694,0.25512344918076096,0.23016937494503528
AMP,0.3425348084114523,0.5852647336133046,0.5285986312320404,0.49676325488341005
HBAN,0.14103550528212577,0.37554694151613827,0.3371123821146807,0.3313985736245429
CVS,0.2858100307571514,0.5346120376096589,0.4821143949370642,0.4231192044635862
SNPS,0.4149566848009664,0.6441713163444693,0.5723427291651506,0.5796378441983785
MAA,0.09160163256366027,0.30265761606749675,0.27850158435112377,0.25528102492395
FRT,0.10110238157744823,0.31796600695270594,0.28566345066305404,0.24579184859288444
PSA,0.03918475501213759,0.19795139558017164,0.17951985007777208,0.17265241900206912
ZBH,0.015999910426120572,0.1264907523343923,0.11116409175521118,0.10092420570791345
ICE,0.16288024921204847,0.4035842529287391,0.3723547758409046,0.41569167511161015
BK,0.15571320210651,0.3946051217438897,0.3608039729184532,0.3329073889871772
CF,0.004059070432695182,0.063710834500069,0.056326889725190864,0.05269256014425322
CE,0.10812972324637754,0.3288308429061628,0.28427137483115344,0.2703195922813816
PFE,0.02435257829355373,0.15605312651002456,0.13561382848378575,0.1406314085163461
NI,0.12516872852259595,0.3537919282892078,0.3059007601775976,0.25092768510366714
UDR,0.32800823023182135,0.5727200277900375,0.5066897003760842,0.4314444104894866
KR,0.2195624655792985,0.46857493059200095,0.39403076396321424,0.3207709874751537
KIM,0.22780402986972598,0.4772882042013253,0.422178578260145,0.3780992937529607
PEG,0.12200653404653543,0.34929433726663167,0.3154449350221448,0.2697602527706474
SYY,0.031428608355169134,0.17728115623260451,0.16295283559354445,0.17034728013163442
SHW,0.06603517292273024,0.2569730976634135,0.21806682688304405,0.18915455407520945
MAR,0.06448941592461031,0.2539476637510381,0.22723506378118252,0.1683414735158605
DUK,0.02450934088374836,0.15655459394009605,0.12550445444636862,0.1146152552260587
HOLX,0.01676672076066307,0.12948637287631107,0.11097030430131068,0.10145468202641778
EQIX,0.08319115710284043,0.28842877301483016,0.2508957339924051,0.21314259210510614
EXPD,0.03815688777261045,0.1953378810487368,0.17875854626713017,0.1953799158437371
L,0.10985697110815322,0.3314467847304499,0.3009164736607676,0.3443017251647095
VRSN,0.31017842029584713,0.5569366393907363,0.5068310015772916,0.557318821702003
DG,0.05225628608507336,0.22859633873943247,0.21418791228381462,0.21981372686770045
UNM,0.08085523636048869,0.2843505518905998,0.25268179361734217,0.25655022824420437
UAL,0.33413086669155617,0.5780405406989688,0.5054105392411169,0.40061722422761215
KO,0.07625434262281747,0.2761418885696581,0.2532141912814771,0.24860117822644012
TXT,1.6699862327576325,1.2922794716150343,1.1237513491914104,1.058540678152466
DIS,0.4490218473075231,0.6700909246568879,0.5851520408819444,0.5116482406968306
LDOS,1.3183471170743712,1.1481929790215455,1.017238393896981,1.2692671543633962
POOL,0.11791026654419481,0.34338064381120087,0.30350733254738727,0.3037717956783161
HES,0.1524667444364426,0.3904699020877827,0.3176898893329142,0.3181931311469877
WST,0.021337756070163673,0.14607448808797405,0.12536759848203582,0.14454626018307448
LEN,1.0987367679878366,1.0482064529413262,0.9171806789945407,0.8837629953402549
ULTA,3.3509331816892582,1.8305554298325026,1.5756910714428705,1.9477416772009277
ISRG,0.10056519939230982,0.31712016554030403,0.27046631884398453,0.23182129307937116
RF,0.06208749435563506,0.2491736229130906,0.2040792749002664,0.1999875518529808
PNR,1.2776846896092409,1.130347154465937,0.9765092937262079,1.091760722582896
AKAM,0.025245597705240052,0.15888863302716166,0.13467330560783258,0.12044362855379608
DTE,0.02302085591530828,0.15172625321712876,0.13462985118769993,0.11717719641525902
MO,0.07569632186839091,0.27512964556439734,0.2617518248682746,0.22939403578848366
