,mse,rmse,mae,mape
AWK,0.054875332229156144,0.23425484462259505,0.20396032166929579,0.17613417188964697
IBM,0.5282936880040433,0.7268381442962686,0.6194675307203936,0.644733969487716
SEE,0.5446299332008809,0.7379904695867562,0.6614309114618123,0.636761605615065
UPS,0.1853410775215084,0.43051257533492376,0.3922446623910029,0.3991628510064862
FCX,1.1760636748072812,1.0844646950487975,0.9425560586603559,1.1254497160897543
J,1.200828887542705,1.0958233833710178,0.9397481122150775,1.1925098022017704
BLK,0.6164883086532525,0.7851676946062239,0.7010483950134221,0.677394705005002
WELL,0.2446069895257569,0.49457758696260884,0.4352157050924887,0.4123143768756166
MSI,0.2199551585278218,0.4689937723763737,0.4121833044234727,0.4302928298440499
CBOE,0.05691318972828588,0.2385648543442346,0.20974698470119482,0.20524682080207818
LMT,0.38992262663494476,0.6244378484965055,0.5414089346331715,0.4525518963605903
ROL,0.26409663568561875,0.5139033330166469,0.4559215619997758,0.45087384464467706
CB,0.061679076688850115,0.24835272635678898,0.23027687521199447,0.22223842586123382
SYK,0.12650862332114846,0.3556805073674244,0.30227191364541145,0.2663133525348309
UHS,0.27037568568882714,0.5199766203290559,0.4339122168917336,0.35374614087365625
LYV,0.3607300751561367,0.6006080878211154,0.509223942315655,0.42553044962259573
DXCM,0.029900061575641897,0.17291634270837994,0.14752654568735452,0.1341249405760993
XEL,0.002735793309014179,0.05230481152833054,0.04168092309048582,0.03653054296536864
K,0.015229103514970244,0.12340625395404499,0.10836194757009515,0.10388474353873078
CBRE,0.15222093825490643,0.3901550182362216,0.33778854372681666,0.2906154672254606
CNC,0.023080121407041597,0.15192143169099478,0.10696009250274811,0.08383596467992172
VZ,0.01207526581752892,0.10988751438415977,0.09804040499651537,0.09985203727503242
YUM,0.08014906804906045,0.28310610740332054,0.23973512796173552,0.2513452876418102
CRM,0.276370354028308,0.525709381719889,0.4475326682124299,0.4518136456551036
TROW,0.5991801228467549,0.774067259898489,0.6821236505741332,0.6952312408592337
IVZ,0.08636745732409042,0.2938834077046379,0.2687702796983067,0.25419889024093545
WU,0.0881770070017548,0.2969461348489904,0.2711600813901619,0.3037663921641764
LIN,0.25238715348383145,0.5023814820271857,0.4343699996803347,0.43264776485535805
WEC,0.00281709528597735,0.05307631567825097,0.04260965835225802,0.038035246395085646
ESS,0.5610262301607314,0.7490168423745432,0.6697282357611064,0.5710849631379319
VLO,0.33865442177386823,0.5819402218216818,0.47919166846462913,0.4702943229398757
ADSK,0.43453745957721995,0.6591945536616788,0.5752385555319988,0.5249968570138661
COST,0.003907178194122253,0.06250742511191973,0.05308524381892946,0.05348411578609162
VTRS,0.008720484504065812,0.09338353443763955,0.07468975872028254,0.06409931063800081
TSLA,0.08913205690360854,0.2985499236369163,0.23021657464799863,0.18850909855945258
ROP,0.5970466626642822,0.772687946498638,0.6827342152314347,0.6413135814143165
ADBE,0.2115001336777314,0.459891436838882,0.3891582117818601,0.33858014316723384
ODFL,0.08511172286051548,0.2917391349485281,0.26322678350924805,0.2106232361095666
REGN,0.19805379629823633,0.44503235421510234,0.3776289652721968,0.3352705276061424
STT,0.12072640013626787,0.3474570479012735,0.32047886308551593,0.3292569031588848
NOV,0.008234667966808561,0.0907450713086312,0.06891855525800261,0.06679330555732567
CMS,0.0061492163866381745,0.07841693941131708,0.06173019937418085,0.05518795104772393
AON,0.019589821996864158,0.13996364526856306,0.12062821366397336,0.11588926856058841
GE,0.36247457436755803,0.6020586137308875,0.5367215598217089,0.5680733071178776
ECL,0.01144584975751086,0.10698527822794528,0.08936497523501817,0.08777760890319362
APA,0.015805659797513895,0.12572056234965662,0.10097555689834169,0.1184725658923325
IPG,0.196030037936184,0.4427527955148155,0.3898306418416425,0.36202865666306944
BA,0.08321569251111789,0.28847130275144856,0.25935611212605536,0.28069932434804806
CSCO,0.2145960449679772,0.4632451240628197,0.40272140697713754,0.37581520728174134
NWS,0.09781539689492189,0.3127545313739225,0.270401732202194,0.30773286175008757
CDNS,0.017154529302477843,0.13097530035269186,0.10546483746641787,0.08983096421986689
TFC,0.5115942451882651,0.7152581668099045,0.6150226431680674,0.595626722652292
D,0.004695059661548718,0.06852050540932049,0.05661390721085434,0.053077433999934184
IDXX,0.06248042985367852,0.24996085664295223,0.19909571059112133,0.1690272994215955
KEY,0.16272579021504066,0.403392848492683,0.3479749798909921,0.3438318457583117
COF,0.41439432143214583,0.6437346669491599,0.5680923964621513,0.5355918267780578
DPZ,0.008566315971156707,0.09255439466150003,0.06414672316192802,0.05318736888033502
EFX,0.08820510465733498,0.2969934421116651,0.26310426064357073,0.2418475663299673
PCAR,0.25189821752446556,0.5018946279095499,0.4221592787219236,0.38997521129109086
CMCSA,0.46302449533055484,0.6804590328084086,0.5952917376333625,0.5682303691091839
HAS,0.4323648763211718,0.6575445812423457,0.5783914205286705,0.5722627047484182
BKR,0.08197862926754786,0.28631910391650056,0.18338306706428617,0.18181310883827934
PLD,0.005873975863347932,0.07664186756171806,0.05807763361727038,0.057142256974514964
EXR,0.0023166579845236373,0.04813167340248661,0.042226056234518215,0.03863017414774535
LNC,0.03452596734884239,0.18581164481496415,0.17130135004066235,0.17017273324803084
XRAY,0.03875252614401792,0.19685661315794784,0.18281274782937207,0.18803934348574294
SBAC,0.0030252258395188454,0.05500205304821671,0.042911378117286555,0.038511030547725984
KMI,1.2739825822507598,1.128708369000053,1.0078681185801683,0.9509336117530075
KMX,1.2644643940788194,1.1244840568362093,0.9532356669475216,0.9683430681825801
AXP,0.5111967920514844,0.7149802738897657,0.6211827166350812,0.6189271264210802
PPL,0.0024393401170876698,0.04938967621970881,0.040485664697654335,0.03573491222720288
WBA,0.009621388024260357,0.09808867429148158,0.08803394094095383,0.0783703718530117
CDW,0.018211442137101044,0.13494977635068925,0.11696656032533033,0.08805978858502024
CHTR,0.027019507485972438,0.16437611592312443,0.14500961865714718,0.1384608065161632
CAT,0.35641505412130814,0.5970050704318248,0.49407521468406457,0.43933921561893335
ACN,1.525638172437317,1.235167264963461,1.080656072690003,1.0785395797871202
ABBV,0.018319506541282803,0.13534957163317068,0.09496265913514304,0.0828172951398777
AAP,0.0540765007783719,0.23254354598305219,0.19830521269340132,0.16276020412269934
F,1.0365981672854752,1.0181346508617979,0.8972344275628402,0.9850831540448103
ROK,0.7406150292062786,0.8605899309231305,0.7364590097801921,0.7493769684192028
MMC,0.015376417247695635,0.12400168243897192,0.11404721205576067,0.10525126627595821
BIO,0.1461702505532169,0.38232218161286025,0.3234410708320243,0.34170489228053236
OMC,0.5253592793436975,0.7248167212086774,0.6355649013755721,0.6479556450932417
XYL,0.09038093395024951,0.30063421952640307,0.24811632055191846,0.23222151792640314
TEL,0.09457576321144698,0.30753172716233196,0.2515067618196279,0.22624384432341677
WAT,0.10076434021781253,0.3174339934818143,0.2630831169752355,0.26535922399876116
XRX,0.26895304620382077,0.5186068320065026,0.4717853522954772,0.4470615953183492
CSX,0.024349947060810836,0.15604469571507656,0.1461455189881515,0.1340851672331743
NOC,0.30824929234683246,0.5552020284066265,0.48673542223384647,0.42900548829852175
JPM,0.18248285571939885,0.42718012093190716,0.37879570944692875,0.3698705649887392
NDAQ,0.11109701647656975,0.3333121907110056,0.3079891683980193,0.3003759394002816
NEM,0.027072794727426668,0.16453812545251228,0.14547466794140462,0.1688019537214268
MMM,1.1551086524044079,1.0747598114948325,0.9523966218202212,0.8992301762950462
CLX,0.03676958871579555,0.19175397966090704,0.14693575478945892,0.14368871658051505
SLG,0.006150573659320375,0.07842559313974218,0.06621713682606892,0.05785008017306466
COP,0.009850339026797453,0.09924887418403018,0.08240915611679606,0.08225760755930678
TJX,0.1931018546137416,0.43943356109171,0.3995540908482001,0.42716686758271893
TFX,0.13275284525511827,0.3643526386004612,0.3210989760264774,0.28812688700765665
STE,0.2921234074687684,0.5404844192655034,0.48864067798562083,0.4211849426750589
MA,0.7013474401655723,0.837464888915095,0.7498631669865321,0.8026817892227723
FMC,0.10422334711187302,0.3228364092104127,0.254881491898964,0.31288225062234576
ADM,0.30640688643515646,0.5535403205143745,0.5003313675641743,0.4559774714256688
AMD,0.3043291592047775,0.5516603658092336,0.44341534428396484,0.5727588405107551
EL,0.11645246279948167,0.3412513191175701,0.30961479901404837,0.31506077870915633
EIX,0.009916584932313973,0.099582051255806,0.08904023430641551,0.074698885431397
AIZ,0.09488440316042053,0.30803312023290697,0.2699944458870139,0.26856213175037286
HCA,0.11795356064802826,0.34344367900432854,0.281063915638781,0.20935926582953887
ROST,0.19439497561110988,0.4409024558914476,0.404464880665159,0.4430459109051691
NWL,0.19785991890752183,0.4448144769536192,0.4070888756355476,0.3974765693221998
SRE,0.0742470413171412,0.2724831028103233,0.2343906744899308,0.20239011069300974
PNC,0.029080541103801396,0.17053017651958668,0.13527765041032933,0.12091287676167797
REG,0.1376824254766146,0.3710558252832242,0.32470220995343424,0.2942261769901732
KLAC,0.08476482860384936,0.29114399977304933,0.263231075764507,0.23168510023639546
PWR,0.6969970509568025,0.8348634924086706,0.6955040501076367,0.6654546184027623
BXP,0.07872668206020104,0.2805827543884354,0.22877191025016103,0.195311193990654
HD,0.08403154025832807,0.2898819419321046,0.26992335762667946,0.25377358149148543
CMI,0.6629226441610002,0.8142006166547654,0.7017431110588734,0.6793266703537877
NWSA,0.045547162929453856,0.2134178130556441,0.17965806818363136,0.198660885255289
BEN,0.5323704983752994,0.7296372375196454,0.6476712255355206,0.671765228129514
DAL,0.5981471649529999,0.7733997446036557,0.6937696594090199,0.5137114869311583
NUE,0.1853005848309565,0.43046554430169726,0.3864230603083112,0.39801754601152384
TER,0.10494030082182808,0.32394490399113873,0.26579723048603104,0.24639542599590858
DHI,1.0595478630891786,1.0293434135842026,0.8838258282165405,0.8579630453754478
QCOM,0.0034119274450885597,0.058411706404526136,0.048351293061205516,0.045564537776801306
OXY,0.15543853443047792,0.3942569396097904,0.3290542004417854,0.3462531526266634
BAC,0.054640358685581224,0.23375277257303542,0.2019724688823952,0.1970153298358805
CPRT,0.1437480098614902,0.3791411476765483,0.3302789391463889,0.35114625294930735
VRSK,0.009070164010843918,0.0952374086735035,0.0890784073748665,0.09968758027185427
AMCR,0.9388612839338195,0.9689485455553455,0.8375947885602877,0.8619372991465316
DVA,0.20298018896360556,0.45053322736908713,0.3853624940797609,0.3346828124334049
LHX,0.5539357191204655,0.7442685799632183,0.6358402193509155,0.623583401798054
ILMN,0.3019399238407959,0.5494906039604279,0.4622777822401886,0.30067448293896953
ALL,0.002160878184240585,0.04648524695256103,0.04081554272586888,0.03783436136205496
GPN,0.007430117684826257,0.08619813040215117,0.0725602134132997,0.06552669760846147
MET,0.39652735296185626,0.6297041789299609,0.5578108850184634,0.5561915040196923
XOM,0.4434652224345178,0.6659318451872668,0.5820818006305519,0.6012468988569378
CMA,0.35377396568330177,0.5947890093834131,0.5104494065916563,0.5041506231140161
WYNN,0.5432274155748722,0.7370396295823395,0.592039011439156,0.6141150372887337
EMR,0.53819478816367,0.7336176034990368,0.6460477632874622,0.6940763872480102
MRK,0.03714003139578559,0.19271749115164816,0.14878740309362415,0.12495732369819512
AZO,0.044654252831453675,0.211315529082587,0.1738741229210982,0.1546586750347248
TSCO,0.6282414617221284,0.7926168442079239,0.7143067832619943,0.8196686545427782
