,mse,rmse,mae,mape
AWK,0.01118335242200441,0.10575137078073461,0.09340134428032412,0.08114929768497153
IBM,0.47491556895764425,0.6891411821663571,0.589604907800925,0.6135793576199152
SEE,0.35645236520261564,0.5970363181604748,0.5408438186151702,0.5219655241476608
UPS,0.10812650653363035,0.32882595173378626,0.3052358800510496,0.3110770153301018
FCX,0.9321892765849009,0.9654994959009046,0.842232225331239,1.0063809601344564
J,0.8911384092275114,0.9440012760730313,0.8106797985582922,1.028426123737292
BLK,0.47999994816547104,0.6928202856192008,0.6224823622029094,0.6021693223957588
WELL,0.290038012997541,0.5385517737391096,0.47313353868180363,0.4482146239190102
MSI,0.12680564853297846,0.3560978075374496,0.3163377224756154,0.3300352956488311
CBOE,0.0308050624815465,0.1755137102381079,0.15379622257473416,0.15239397495359738
LMT,0.24175406184814252,0.4916849213145981,0.428171479803911,0.3586149110073101
ROL,0.16308818594871546,0.4038417833121227,0.36216283863646226,0.3583996030482163
CB,0.07441121565061308,0.2727841924500265,0.25355257575133094,0.2445272655677817
SYK,0.13920766363108514,0.37310543232588445,0.31991393004525365,0.28187567268929337
UHS,0.4049971957632455,0.6363938998476065,0.5353790631857169,0.4380247837088708
LYV,0.295586931367417,0.5436790701943721,0.46256599801869214,0.38681729162629624
DXCM,0.02408383418124733,0.1551896716319979,0.12450922306895561,0.10603002206437664
XEL,0.020833382517242708,0.14433773767536578,0.12525985460456324,0.10990026270350875
K,0.050853631063908875,0.22550749669114967,0.198784450407285,0.19159488162747393
CBRE,0.1384299690842117,0.37206178127323386,0.3249817642810032,0.27973233480981097
CNC,0.05211298465423524,0.2282826858398053,0.17573034781841013,0.13932754047821228
VZ,0.002379134201936392,0.04877636929842556,0.03943005922216375,0.040816918513465666
YUM,0.05154334368423619,0.22703159181980861,0.1922570349791453,0.20169325386517706
CRM,0.23755207073139217,0.4873931377557466,0.4173215611801933,0.4218187986486446
TROW,0.5022841057396756,0.7087200475079534,0.6273844736014836,0.639299596372124
IVZ,0.07608648876965264,0.2758377943097223,0.25434544343337684,0.24104920738031546
WU,0.12517703473272365,0.3538036669294478,0.3231312376436583,0.3615761437026643
LIN,0.14417174347030912,0.37969954367935327,0.33012571203457813,0.32870709684927235
WEC,0.013211762735590906,0.11494243226759605,0.09725782997356383,0.08513663175836352
ESS,0.7421014765270093,0.8614531191695862,0.7681202794340416,0.6546973166908948
VLO,0.21630687279921532,0.4650880269359934,0.3808071029316965,0.37385238686027616
ADSK,0.31114175620509377,0.5578008212660625,0.4896807865513359,0.4479112356528622
COST,0.017995570042979525,0.13414756815902226,0.09196014698227314,0.08750212614977564
VTRS,0.007634717111291006,0.08737686828498151,0.06714908718761395,0.05766845754759606
TSLA,0.07337180794374754,0.2708723092967377,0.20707628776873158,0.17087665141833394
ROP,0.4749813260242199,0.6891888899454343,0.6126473345739418,0.5759961031722473
ADBE,0.09650913293735681,0.3106591909751856,0.265081113960042,0.2315274532801298
ODFL,0.06682586804225044,0.2585069980527615,0.235813023937873,0.18954657625083673
REGN,0.35722889632354743,0.5976862858754143,0.5115535004298573,0.45591275125897895
STT,0.07709033315281859,0.27765145984276507,0.25865009562218644,0.267181806183223
NOV,0.06281133030404537,0.25062188712090844,0.21010656340038303,0.20641523780793095
CMS,0.0009641381761921706,0.031050574490533514,0.02544786287074671,0.0230069854678522
AON,0.0021488149314022333,0.04635531179274101,0.03634340151834783,0.03591551889397693
GE,0.23917542563254612,0.4890556467648095,0.4405642439689442,0.4661819764454802
ECL,0.0018488632782307892,0.04299841018259616,0.03424798177292045,0.0332895164646716
APA,0.01619015955280171,0.12724055781393648,0.09839739875386212,0.10624552908992826
IPG,0.15526841050459306,0.3940411279353883,0.3492265105577565,0.3245955180135476
BA,0.04174385332709457,0.20431312568480414,0.18768329881288554,0.203122124889637
CSCO,0.09317774146770995,0.3052502931492613,0.2678499787297003,0.25035127374650723
NWS,0.043916520450629624,0.20956268859372276,0.18122084472142974,0.20654067112474014
CDNS,0.003044637786679496,0.05517823653107714,0.043429077169888586,0.03818338260921756
TFC,0.37299545063991063,0.6107335348905533,0.5271754319758104,0.5104691221876958
D,0.0015749690849530783,0.039685880171076944,0.031356155749698356,0.029244658691874342
IDXX,0.01604454886925071,0.12666707886917858,0.10098436130918056,0.08729086314564026
KEY,0.1214653189856214,0.34851874983366593,0.302196053402235,0.29855478576263
COF,0.20831768311657933,0.4564183203121664,0.40702174253036066,0.3843781717077335
DPZ,0.035286209442453254,0.18784623882966955,0.13754107368103274,0.11438984426853703
EFX,0.03463492087772433,0.18610459660557643,0.1665026300387439,0.15381138513722098
PCAR,0.19467488946748832,0.44121977456533873,0.37369355048365877,0.3449490831609233
CMCSA,0.2923406688445747,0.5406853695492183,0.475834066154401,0.4546627152558811
HAS,0.3630035001344991,0.6024977179496194,0.5322827775491574,0.5269013193224017
BKR,0.07062331573870131,0.26575047645997046,0.16887379704267322,0.1678492650316135
PLD,0.0075617677731829825,0.08695842554452664,0.08053044678132876,0.07801646664357961
EXR,0.004784514336866771,0.06917018387185891,0.06287472885493724,0.0562572825474985
LNC,0.009635629292311891,0.09816124129365873,0.08730626963384927,0.08855180822641656
XRAY,0.011810788137461415,0.1086774499952102,0.0990327734143357,0.10355639341167205
SBAC,0.0031044407632898033,0.055717508588322605,0.04550694901735667,0.03985251239959331
KMI,1.2117007587911452,1.1007728007137283,0.9861045951273697,0.9313325753631349
KMX,1.696358430763937,1.3024432543354574,1.1106687703428344,1.1298682112266332
AXP,0.5071851334734129,0.712169315172602,0.6215116683285121,0.6190435184497923
PPL,0.007900268223464494,0.08888345303522188,0.08045477226580991,0.07039564989540392
WBA,0.020879896898014876,0.1444987781886576,0.12446720572914018,0.10771733564168919
CDW,0.0703934779809589,0.2653176925517009,0.2377398503405639,0.17821953328438378
CHTR,0.006840039662051602,0.08270453229449763,0.0668766459091779,0.06676558421603364
CAT,0.2704975104348641,0.5200937515822163,0.4307809340862171,0.38301782085748504
ACN,1.100920903251207,1.0492477797218382,0.9224153910315843,0.920693477251808
ABBV,0.04758978900881605,0.21815084003692503,0.16153468397274615,0.14111335707868583
AAP,0.04087862413995987,0.2021846288419569,0.17715073800371683,0.14621913428478336
F,1.1064758716900753,1.0518915684090615,0.9272988894104893,1.0181352497862715
ROK,0.5255594932540252,0.7249548215261591,0.6221568476432758,0.6325678164385885
MMC,0.0014680300756632237,0.03831488060353606,0.031139396356845244,0.029516425394094235
BIO,0.0736613433636222,0.27140623309648254,0.23061962643302006,0.24355279897015936
OMC,0.28961857587079914,0.5381622207762258,0.4750569991738049,0.48482288159434
XYL,0.0033183209534204303,0.05760486918152345,0.04545140810713598,0.04278213541911218
TEL,0.08030644479556191,0.2833839176727605,0.23334580932614366,0.20980427515908587
WAT,0.1035395080008861,0.32177555531905483,0.269631712679247,0.27183722561354057
XRX,0.682608341956696,0.8262011510260052,0.744922098292892,0.7029273435586035
CSX,0.006163096557267817,0.07850539189933273,0.06908702749628214,0.06556442556149555
NOC,0.19036425090987535,0.4363075187409396,0.3854598066763552,0.3404447046207097
JPM,0.08118639407983437,0.2849322622656732,0.2550721623923002,0.24992253435096073
NDAQ,0.038395280191233686,0.19594713621595414,0.18173150092677612,0.1805813023450144
NEM,0.047567623453796656,0.21810003084318136,0.1966127043257091,0.23219167330353424
MMM,0.9781231291962026,0.9890010764383437,0.8810921302966191,0.8321552997741355
CLX,0.09468571086929846,0.30771043347487986,0.24375038123407652,0.23966779455423812
SLG,0.02125554772196197,0.1457928246586984,0.12817266064074598,0.11209435725415214
COP,0.012098600938287725,0.10999364044474447,0.08583815347127262,0.07965207956649656
TJX,0.15551026674452983,0.3943479006467891,0.3603954344487266,0.38617256973788855
TFX,0.20186292742003797,0.44929158396306285,0.3946286714894729,0.3541424634830543
STE,0.31168517152637254,0.5582877139310631,0.5064601648448079,0.4366404428910167
MA,0.42953420155057015,0.6553885882059362,0.5923175063530003,0.6348964654519355
FMC,0.044020696679455344,0.20981109760795624,0.16376237349094083,0.20153062390224197
ADM,0.20883304503690883,0.4569825434706547,0.4183971576867391,0.38266728642296427
AMD,0.2182586271293238,0.4671815783283025,0.37168845301321146,0.48269042372486354
EL,0.04459921419468721,0.21118526036323465,0.19631967910761977,0.2004137075641562
EIX,0.017806787862221216,0.13344207680571077,0.12127721706151112,0.10136175672563705
AIZ,0.05087880735932851,0.22556331119960202,0.20014745396302677,0.19909433261987444
HCA,0.20975046115753435,0.4579852193657939,0.38074917983632856,0.2853090889764684
ROST,0.12798293407355513,0.3577470252476673,0.330530563900977,0.36453692993686476
