,mse,rmse,mae,mape
LVS,0.18427973741394885,0.42927815855683693,0.35259689954405604,0.42795225582237556
PAYX,0.4315688907668644,0.6569390312402396,0.5967344287281464,0.6291321381488705
KMI,1.0685897256272294,1.0337261366663946,0.9256173096348134,0.9100520227157295
WAT,0.017271898452022587,0.1314225949067457,0.11273907725114754,0.11432502357925313
UNP,0.011980140701621489,0.10945382908615618,0.08946738245673928,0.06980993791469481
LRCX,0.15484852729681212,0.39350797615399374,0.3646832686835231,0.2960641771762318
EW,0.07842839922127287,0.2800507083034658,0.20693889752755565,0.15197920781370583
ROL,0.17985352438342592,0.42409141040986187,0.3790657059014231,0.3791302290283025
MSFT,0.23345447370594044,0.48317126746728273,0.4109378750532846,0.3560810081901637
CVX,0.07438015862748695,0.27272726051402885,0.23855473829163618,0.25279299514108133
AJG,0.0026383107863935645,0.05136448954670497,0.04116230885338449,0.042207985477018845
DOV,0.44175911843419374,0.6646496208034679,0.5691422782087603,0.5656860130236478
CDW,0.03152443773594479,0.17755122566725579,0.15598122907175477,0.11717418634889246
DLTR,0.007172406365582912,0.08469006060679678,0.07739371882344165,0.08303692721906135
BKR,0.024894198872589084,0.15777895573424577,0.12416645283907635,0.11916438822851422
PRGO,0.03733570586100078,0.19322449601694083,0.15751591571004542,0.16046539040512667
GD,0.04301085135860714,0.20739057683175274,0.1746490491004439,0.13375389511807223
TXN,0.0024723771807142127,0.0497230045423063,0.0366071876634821,0.03461719729184012
ARE,0.0038235747287887543,0.061835060675871856,0.05681247703691555,0.04924339013564608
A,0.16968304878946672,0.41192602344288315,0.3613957722095345,0.3672599756722718
BDX,0.07227259612158135,0.26883563030517615,0.23780504952340914,0.2170699690116515
DVN,0.017001400350394876,0.13038941809209395,0.09730223247565198,0.09961090044529373
ORLY,0.010174294623540841,0.10086770852726278,0.08179341973183277,0.07151436692249016
FFIV,0.13149369112270515,0.36262058838778743,0.30698442675689325,0.23872208535239475
MSCI,0.03243021236330439,0.18008390367632637,0.14622043081444874,0.14122564700326684
UNH,0.004784277258506885,0.06916847011830524,0.04977850428781054,0.04253198565490789
SCHW,0.029051833022136653,0.17044598271046651,0.1496228011103374,0.14098662959107547
HBAN,0.10473956624464073,0.3236349274176703,0.2905061218420528,0.289066814851339
PNC,0.02138577845813736,0.14623877207545666,0.11718576649414057,0.10685448056091117
GOOG,0.12938632241166273,0.35970310314433307,0.3011551773097875,0.3056325325366958
MET,0.16795746294975955,0.40982613746533975,0.36633621507466424,0.3725174626216355
RJF,0.3708274939190648,0.6089560689565913,0.5377783698029077,0.5287103837429178
IT,0.3593621953413279,0.599468260495356,0.5392620476972407,0.5115713211678604
AAL,0.04403825624678367,0.20985293957146198,0.18416228401574544,0.12548248953707578
HCA,0.10949065060312167,0.3308937149646721,0.2666963377473379,0.19756718636593126
SYY,0.07666860678355183,0.27689096551449965,0.25106333471318115,0.26819243489793676
CTSH,0.23263530303371582,0.48232282035345975,0.42070011557636233,0.43728321455447405
J,0.7140779151799888,0.8450313101773145,0.7219744689706972,0.9172773874903978
AAP,0.07609917837573457,0.2758607952858372,0.23613181726645985,0.1938218779134201
LH,0.3147812034460179,0.5610536546944668,0.49308389976675554,0.5134250851429721
HRL,0.04476423662118105,0.21157560497652145,0.18001028869311897,0.16385123381517122
IPG,0.029234070495014072,0.17097973708897224,0.14961603635449938,0.14270288515686683
APA,0.039913492468893266,0.1997836141151052,0.1538621135977958,0.15788663673458855
AMT,0.002070517141631146,0.04550293552762444,0.039035069204432046,0.03489352360839271
CTAS,0.6313205917521308,0.7945568524354508,0.7093788746045644,0.6366114400890588
ABBV,0.007859648710644445,0.08865465983604272,0.0665037505962754,0.06203081746906106
RMD,0.10335819300274052,0.3214936904555679,0.26799813670853545,0.2970805130034524
LNC,0.0035918845009361338,0.05993233268392057,0.04759514292326203,0.049365307176005783
PG,0.09807251524894488,0.313165316165352,0.2543109573320717,0.25578312361551336
JCI,0.8978851332363704,0.9475680098211264,0.8189039405822516,0.7812061539570857
MKTX,0.03990152563784788,0.1997536623890733,0.184646524948042,0.22642124166137026
CSX,0.011543225113902399,0.10743940205484391,0.09847068820558873,0.09330090013485964
ALGN,0.009877454702339717,0.09938538475218435,0.0878148415948152,0.09828333670860867
SEE,0.3673743285829934,0.6061141217485313,0.5470160744017871,0.5323333995898386
TSCO,0.35063950742568395,0.5921482140694878,0.5381488793981817,0.6263864834116653
WAB,0.5572108345766996,0.7464655615476843,0.6532837535091977,0.6028350654180078
LOW,0.05611051652878591,0.23687658501588102,0.21828311014828763,0.2228419583861746
V,0.6404189172567208,0.8002617804548214,0.7091155180571732,0.7057738645406865
TT,0.7660923502325784,0.8752670165341422,0.7717495056452562,0.7870692709488644
TSN,0.051318902091183366,0.226536756600741,0.21109571713840988,0.1797787359035432
VTRS,0.04845426206664334,0.2201232883332505,0.19720962079216817,0.16953975763411647
MHK,0.17277494639136495,0.41566205791648214,0.3728733673715954,0.3972503817594538
CPRT,0.06897121230446092,0.2626237085726666,0.23021644039779687,0.2451206623480431
FIS,0.12630328650370448,0.3553917366846118,0.31633697019232826,0.2998224290665971
NOV,0.08698404430625555,0.2949305754008145,0.24956721057129463,0.2498480160582976
IBM,0.2315097743891382,0.48115462627843264,0.40574132835213245,0.4306444147141272
APTV,0.005907464249599684,0.0768600302471947,0.05521067631110192,0.049719707685916506
LLY,0.008174308213435334,0.09041188093074568,0.08244112786783793,0.06719948414613029
AWK,0.020091911498564423,0.14174593997206558,0.12398497105968984,0.11003238388441598
GOOGL,0.11118666880265712,0.33344665060944473,0.2773960441429625,0.2781259016789777
EQR,0.17399976704221873,0.41713279305542345,0.3689204377788939,0.3147523670122323
RTX,0.11953295324682335,0.34573538038046286,0.2920212388588672,0.3015939310790351
NTRS,0.326620495991615,0.5715072142953359,0.5027898834973705,0.4755582013844654
PSX,0.20633515222599996,0.4542412929556272,0.3774607760110918,0.3717864424584698
KMB,0.007983283149058051,0.08934922019278092,0.07463966297775415,0.07253168926826503
XOM,0.26097380787139357,0.5108559560887918,0.44753920316970214,0.4715171215039075
CHTR,0.010161939276295252,0.10080644461687582,0.08650879264325478,0.08020582386164476
PNR,1.0752586201040262,1.036946777855077,0.892950189274935,1.0101716195252632
ADM,0.2052206989469786,0.45301291256097614,0.41304883141908555,0.38253089309456356
FLS,0.7023807686169806,0.8380816002138339,0.7183214747874495,0.8180655545520452
ES,0.005012330446258467,0.07079781385225442,0.055086268188788916,0.0521679913338077
HES,0.12576942027187593,0.3546398458603826,0.2857801488212153,0.2901716238899901
HAL,0.03577825739261342,0.18915141393236642,0.14654961855658238,0.15530543847171718
IVZ,0.06718660533866164,0.2592037911348166,0.23915319108539232,0.23044368876556431
TDY,0.07213836202064627,0.2685858559579158,0.23335553562674077,0.2228912151592072
ALB,1.0249181211560132,1.0123823986794778,0.8960914977976753,0.9891005760717739
ICE,0.13134838487539588,0.3624201772465157,0.3349631971450901,0.3769456330293098
LYB,0.0478329414242746,0.21870743339967802,0.12581320242067182,0.11796408716409687
APD,0.09575382015191784,0.309441141660119,0.2750725934092105,0.24125150602596918
IRM,0.06874694698407402,0.26219639010496315,0.25304968075767087,0.23795829361848023
USB,0.04186854609143014,0.20461804928067842,0.17730946162285574,0.1703694015008225
FRT,0.13209218588409902,0.36344488699677563,0.3241019212170614,0.2846976669771509
GLW,0.00806418008222027,0.08980077996443166,0.0737608059165145,0.06536910327098273
REGN,0.2626231269880284,0.5124676838475071,0.4349986058300953,0.3865724786214227
LUMN,0.0030144227769272175,0.0549037592240023,0.045030206347655574,0.04352865977795954
CE,0.08241181725003531,0.28707458482080106,0.24691700214182022,0.23765806712302984
LDOS,1.1297654065086977,1.0629042320494813,0.9411601520884825,1.2038645873482747
VZ,0.0033671312713501275,0.058026987439898405,0.05108917770085386,0.054209632452227
TFC,0.375662404435756,0.6129130480221122,0.5261798546210981,0.518800945380947
AAPL,0.06910836955318204,0.2628847077202895,0.2100343071071149,0.1698608979564192
TER,0.06117128199404174,0.24732828789696043,0.20459612233350064,0.1910427592018346
AMCR,0.8887472574311176,0.9427339271666835,0.8132320081618464,0.8628562678920848
T,0.08557653771174364,0.2925346777934945,0.2605258112596141,0.27445349048353307
SHW,0.05602667215724358,0.2366995398331893,0.1994161812017736,0.17442573843063666
O,0.017904496985633,0.1338076865715606,0.12203553258723138,0.11807310874525771
BKNG,0.022173491040723785,0.14890765944276937,0.13376280416771624,0.13219808404923786
HBI,0.10233639272784514,0.319900598198636,0.2598886772563494,0.18054524010992756
PM,0.00214085868024999,0.04626941409019559,0.03900349427481537,0.04317874199708746
DIS,0.35280344245733797,0.5939725940288305,0.5179681360555267,0.45354880138237214
INTC,0.04967969066031902,0.22288941352230934,0.2063614408007585,0.17641035949616793
CB,0.03629840359100401,0.1905213992994068,0.1807491379015439,0.17847705565971084
XEL,0.06020720546852631,0.24537156613700437,0.21499489418841378,0.1948613910058459
LNT,0.03936715634994819,0.19841158320508454,0.1711988336781576,0.15362475272875623
NKE,0.018801758236723903,0.1371195034877384,0.09545773450688388,0.086886368808758
UDR,0.21237719378026892,0.46084400156698246,0.40637775796300335,0.35583075549817383
MRO,0.13968868347477964,0.37374949294250503,0.321207661588152,0.3388273650325815
EXC,0.27959416169852636,0.5287666420062127,0.47570834567638676,0.4161557855034034
ETR,0.00274780934457355,0.0524195511672272,0.04253074023175173,0.03828640251342023
AMZN,0.19268639205733287,0.43896058143907735,0.39933045810321904,0.5013279051142139
WST,0.028669549684295404,0.16932084834507358,0.15054650396052283,0.17295996322323445
KIM,0.2042763758928134,0.45196944132630623,0.39816487768373354,0.3679146192131229
MCD,0.03900999450139526,0.19750947952287065,0.16683892781493043,0.17359558412560536
DHR,0.06082651824315963,0.2466303270953506,0.22233036119970295,0.22081808304860132
CMS,0.0019514258313457617,0.04417494574242012,0.03449325973513493,0.031104420098670354
WY,0.19624592305650929,0.44299652713820376,0.4046111695120441,0.39361455030330894
YUM,0.011931506829725531,0.10923143700293213,0.08855369103258898,0.09527510280642797
PPL,0.0010468075984636754,0.0323544061676872,0.027058684965199344,0.024937651582829245
META,1.016389498325767,1.0081614445741154,0.8727996908778743,0.7101598005293762
ALK,0.22167541314925993,0.4708241849663842,0.4229325283497114,0.3360175464445837
SJM,0.0036532447082031584,0.06044207729887482,0.0544575859062643,0.06057623813805009
AMGN,0.028652037251246414,0.16926912669251418,0.11868277368920678,0.09618382136182387
DVA,0.08356860449283295,0.2890823489817961,0.245601764150344,0.21334462048082245
TRV,0.06925405721894168,0.26316165605752995,0.24703256956483663,0.24018349761321353
FTI,0.09790963409614283,0.31290515191690726,0.25681938065655896,0.2877171219530392
COST,0.024679366128132593,0.1570966776482959,0.11065931631043811,0.10665873266621542
FCX,0.8224921852713427,0.9069135489512452,0.7901735873854642,0.9714875587249985
OMC,0.24797427894478652,0.4979701586890388,0.4387609070517968,0.45440112493309803
EXPE,0.40603169019721846,0.6372061598864361,0.5561494853611869,0.47641677655392334
LKQ,0.008800270008238274,0.09380975433417504,0.07876602310247297,0.09646819478521171
TEL,0.04279027475293912,0.20685810294242551,0.16457938220705645,0.15041761947333016
ILMN,0.15816109264466102,0.3976947229278521,0.33634230117055314,0.21976373059945845
CHD,0.004112498304489272,0.06412876347232396,0.04481274811286252,0.04139296711995184
IEX,0.17610497949465861,0.4196486381422661,0.36572633073744976,0.3590519576775644
DD,0.7650166245230708,0.8746522877824483,0.7434621531658562,0.6692983727593367
