,mse,rmse,mae,mape
LVS,0.20850021211960773,0.4566182345456735,0.37459891631885445,0.4546851839325196
PAYX,0.6411187608228703,0.800698920208383,0.7214245004619888,0.7596536991673298
KMI,1.2730865188408522,1.128311357224083,1.0069424151939947,0.9889913453775064
WAT,0.07568377883061678,0.27510684984314143,0.2282589316740843,0.23039347932749285
UNP,0.0021790270366345366,0.046680049664011035,0.03394586616513591,0.02749804902075146
LRCX,0.2045766376604593,0.4523014897835948,0.4158330437657525,0.33546945195514954
EW,0.05208176083047289,0.22821428708666092,0.16298583686290669,0.11856835664338881
ROL,0.2643669888095014,0.5141663046228344,0.45601582765192,0.4556719017583881
MSFT,0.20453350835375403,0.45225380966195744,0.3864954728070207,0.3352038409938549
CVX,0.10744471070861067,0.32778759999214535,0.2851599023971457,0.30162996951866394
AJG,0.005433777120455936,0.07371415820896238,0.06594540711276935,0.06882208386520806
DOV,0.53268359124593,0.7298517597744969,0.6246212278570061,0.6203368748800032
CDW,0.017550712781641668,0.13247910318854694,0.1148134888666529,0.08680789763400623
DLTR,0.014495787331324898,0.12039845236266493,0.10936759020866339,0.12017543737520396
BKR,0.03172780692958734,0.1781230106684348,0.13297777952237694,0.12945508861304553
PRGO,0.007193544528343916,0.08481476598059984,0.06858288870221546,0.06977978402239193
GD,0.12647955684269932,0.35563964464426534,0.3032393330054848,0.2314094603202584
TXN,0.010934288745563875,0.10456714945700621,0.08624395528288484,0.08004561528966127
ARE,0.0045431922621751815,0.06740320661641537,0.05083763508830226,0.0439734957337948
A,0.27614558491730484,0.5254955612726951,0.45904413144256234,0.46618736690837564
BDX,0.13828377282273616,0.37186526165095896,0.32682308511070585,0.2972889995818129
DVN,0.03807003947470937,0.19511545165544775,0.12849438257315632,0.1361066955774429
ORLY,0.019010374052821778,0.13787811303039282,0.11493600943098387,0.09880005513830048
FFIV,0.3151356082812376,0.5613694044755535,0.46793101568071355,0.3626976914331235
MSCI,0.015253674836980478,0.12350576843605515,0.10035099818874398,0.09682653629046122
UNH,0.014832396301050524,0.12178832579952203,0.10977635483259719,0.09891529344344432
SCHW,0.08276209033366468,0.28768401125829823,0.25165829539534096,0.23562989343625146
HBAN,0.1672762772329769,0.4089942264054309,0.3643712315647217,0.36205208400901767
PNC,0.06021882147157801,0.24539523522590656,0.20060826649484076,0.18245840004087963
GOOG,0.16978317224242984,0.41204753638679825,0.3453705061283715,0.3500952317993355
MET,0.3820151660778079,0.6180737545615473,0.5473757535879352,0.555517689959193
RJF,0.5365637929568089,0.7325051487578834,0.6445395109796014,0.6330497133532328
IT,0.5200693358436921,0.7211583292479482,0.6445955960640106,0.6103910149188259
AAL,0.03708923862466731,0.19258566567807509,0.15982458997496313,0.11384147373096684
HCA,0.14177177582692368,0.3765259298201436,0.3107284289146931,0.23216178964021636
SYY,0.0504853811103291,0.22468952158551833,0.2037166688348262,0.21770811367586615
CTSH,0.45349622614564844,0.6734212842980599,0.5868150581464864,0.6087359119071519
J,1.0838911601536312,1.041100936582823,0.8916781180434689,1.1319317213612663
AAP,0.1232375047447792,0.3510519972095006,0.29932423624911286,0.24492394081491786
LH,0.23451248283221018,0.48426488911773297,0.42818072539519864,0.44594945645506684
HRL,0.04016658515884386,0.2004160301943032,0.17283951806722592,0.1575372810462468
IPG,0.09717832799040309,0.31173438692323163,0.27391269146211705,0.2583647626300049
APA,0.014858892465041197,0.12189705683502451,0.09991439595185594,0.114495010853204
AMT,0.006113226536769009,0.07818712513431485,0.06688000735029864,0.058657922666642257
CTAS,0.8195252796909813,0.9052763554246743,0.8047483393174367,0.72132430136025
ABBV,0.007911841516359513,0.08894853296350375,0.0806992789846424,0.08051405358050434
RMD,0.08246847391124598,0.28717324720670967,0.24059274770553335,0.26673026503022723
LNC,0.028488463481972696,0.1687852584853686,0.15580135154260785,0.15645515533064855
PG,0.07000933060194145,0.2645927636991258,0.21459142592858582,0.2157202621344114
JCI,1.1153360809674624,1.0560947310575233,0.9117244526838267,0.8695508745663356
MKTX,0.11746870048033303,0.34273707193756126,0.31881242565782925,0.38346561528817097
CSX,0.03225730756744177,0.17960319475845013,0.1680615898644361,0.15499673327960228
ALGN,0.0578458727775065,0.24051168948204266,0.21786133326468243,0.24134337791178273
SEE,0.48321925336721067,0.695139736576187,0.6233728229819259,0.6055829415427595
TSCO,0.48665593029448834,0.6976072894505105,0.629665582827731,0.7317206518738365
WAB,0.7136123268065607,0.8447557793863033,0.7379290791547228,0.6804372125679888
LOW,0.09597446032330975,0.30979745047903434,0.28506456997385876,0.28755940255142953
V,0.8333780724639454,0.9128954334774303,0.8067085823586716,0.8020487122881581
TT,0.9320218210976289,0.9654127723920111,0.849072715426728,0.8656442447958496
TSN,0.05645561244971363,0.23760389822078598,0.2215668967031017,0.1886939962696578
VTRS,0.014522255789419255,0.12050832249027141,0.09952631953762413,0.08476716369400283
MHK,0.28768499716616747,0.5363627477427636,0.4776884355079027,0.508013385911172
CPRT,0.08412928435018513,0.29005048586441834,0.25179357307383765,0.2681528275938287
FIS,0.2385887060583937,0.48845542893737365,0.43159804485116837,0.4083531590405463
NOV,0.025835801265093366,0.16073518987792737,0.13044738983908782,0.1280349944338261
IBM,0.492998771758289,0.702138712619016,0.5980306218098272,0.63309929603197
APTV,0.018369163254336844,0.13553288624661117,0.10194842478162704,0.09067793681891637
LLY,0.003659078673081049,0.060490318837654086,0.04925520832585997,0.04018766144836711
AWK,0.03673054260379268,0.19165213957530627,0.16636036771863774,0.14725619970774356
GOOGL,0.14126821735486086,0.375856644686323,0.31286380092637117,0.3133198614587753
EQR,0.18900304205467544,0.4347448010668735,0.3865741077634672,0.33017931116330135
RTX,0.19376830967444003,0.44019121944268724,0.37182231557373774,0.38378950767497527
NTRS,0.515807476849919,0.7181973801469336,0.6293970117034166,0.594705164357918
PSX,0.2772946322410757,0.5265877251143211,0.43904409070921824,0.4318772341834233
KMB,0.0019392697667712855,0.04403714076516873,0.030064557049628945,0.030435404161094977
XOM,0.46243868624361834,0.6800284451724194,0.5945119792446901,0.6259817130247187
CHTR,0.003992221123313752,0.06318402585554163,0.047990936728059985,0.04825226617513945
PNR,1.5056782685673848,1.2270608251294575,1.0578361983387732,1.1963607527108324
ADM,0.3372766543512575,0.5807552447901417,0.5242238134953165,0.4839088499521887
FLS,0.8265545743465504,0.9091504684850304,0.7788381212292094,0.8868070430046219
ES,0.03170093010039168,0.1780475501106142,0.1508591238274193,0.1406579587417592
HES,0.16084842078171063,0.40105912379811365,0.3253818396726305,0.3287676862844779
HAL,0.07821514201974462,0.27966970164775556,0.16428122662630723,0.1930438216199941
IVZ,0.1066094353772485,0.326511003455088,0.29730821151077946,0.2853736637691206
TDY,0.15556540019689039,0.3944177990366185,0.3422829488783106,0.32619613250799595
ALB,0.9586683444998361,0.9791161036873186,0.8690348267924657,0.9587777175649662
ICE,0.21617065183038559,0.46494155743532495,0.42515930959909565,0.4773723341704043
LYB,0.09516251196039943,0.30848421671197285,0.2065538310362417,0.18808672644026367
APD,0.22253685964645914,0.4717381261319241,0.4162173571040581,0.3635540808515886
IRM,0.19370710471224165,0.44012169307163407,0.41660051854569047,0.38073626422519186
USB,0.1048855356086913,0.3238603643681815,0.2806582960993426,0.26912394923389665
FRT,0.08151460651909427,0.2855076295286945,0.2574198078301414,0.22646786867259433
GLW,0.029296708179313208,0.17116281190525356,0.1192186934480831,0.10573889851285895
REGN,0.22067404139574787,0.46975955700309907,0.39976513024553817,0.35533068677583063
LUMN,0.010273875673091385,0.10136012861619398,0.0866341836859725,0.08126916426008161
CE,0.05453870576588336,0.23353523452764757,0.20174981840055142,0.19385651272250665
LDOS,1.2343639612723547,1.1110193343377759,0.9816229512119974,1.255471622486775
VZ,0.01763375873718725,0.13279216368892877,0.11958914303945142,0.12550591003619
TFC,0.5354471932090386,0.7317425730467229,0.6292051657292438,0.6202695806782681
AAPL,0.06279656931274388,0.2505924366630882,0.20069426383147643,0.16239327099585257
TER,0.13915845080449263,0.3730394762012361,0.30597978353390076,0.2849291890732765
AMCR,0.7756434001691486,0.8807061940108907,0.7605847129421713,0.8070014250077084
T,0.14524738204013063,0.38111334539757413,0.33606621740814946,0.35376050201588854
SHW,0.029045249657406496,0.1704266694429205,0.14281372853660898,0.12481648718229105
O,0.001924413607823056,0.04386813886892235,0.03576370597407468,0.03541369058713731
BKNG,0.006367309213490192,0.07979542100578324,0.06638382744088632,0.06423689049981768
HBI,0.07099927117724443,0.266456884274444,0.21599919807389253,0.15003107782983463
PM,0.005720481268174655,0.0756338632371417,0.06960452111032452,0.07611321720700834
DIS,0.43161609630133324,0.6569749586562134,0.5704368298037862,0.4990622970411105
INTC,0.07791993585238685,0.279141426256274,0.2574729135698039,0.21694726281678392
CB,0.09213480002822157,0.30353714769072593,0.27934669362141884,0.27418350908789096
XEL,0.021270476020094353,0.1458440126302563,0.12790042005588814,0.11581589785296645
LNT,0.009673490738708445,0.09835390555899876,0.08330625888085946,0.07458818368336102
NKE,0.007666066784164004,0.08755607793959254,0.07078960699356622,0.06747090520031493
UDR,0.25130175277778516,0.5013000626149823,0.44432359920676345,0.38947994460671564
MRO,0.08761415163177172,0.2959968777399041,0.2540245380518571,0.2657253603003536
EXC,0.15444800195102532,0.3929987302155381,0.35623002203871906,0.3112728330523643
ETR,0.00576592428211753,0.07593368344889856,0.06397633561144425,0.05839590940195721
AMZN,0.2630147338028132,0.5128496210418929,0.4633320769274566,0.581492258054887
WST,0.05498330457353949,0.23448519052072242,0.21411669230599117,0.2424537799386081
KIM,0.15780261079476407,0.3972437674712645,0.35208901163593964,0.32546884026636735
MCD,0.08485202127826998,0.2912937027782612,0.24735787198774412,0.257036992013658
DHR,0.17024161314745764,0.41260345750788086,0.36745965062051544,0.3636122693781652
CMS,0.0075663344594297495,0.08698467945235959,0.06955937271434917,0.06416657710437078
WY,0.25951315865463703,0.5094243404615028,0.4617360803823478,0.44828120757016177
YUM,0.002129775111858002,0.04614948658282129,0.03748668266098649,0.03925578356046189
PPL,0.0035915432058742157,0.059929485279570156,0.04686397896780189,0.04277295201954203
META,1.1939565581591836,1.0926831920365498,0.9458734519049794,0.7689994784988181
ALK,0.1493270780851839,0.38642861965074987,0.34862864763254264,0.2769012537413448
SJM,0.0012614500334671567,0.03551689785816262,0.029165851425015654,0.03323639488898935
AMGN,0.017114921384355025,0.13082400920456086,0.09389796443769285,0.07721127563511743
DVA,0.20175920088454802,0.44917613570240794,0.38411641308571504,0.33359410147599017
TRV,0.1465958536616659,0.38287837972607686,0.35172725494994567,0.3398096104355382
FTI,0.15994527629768038,0.3999315895221086,0.33427382378789444,0.37217922505176093
COST,0.007151162510754216,0.08456454641724401,0.05882064165271607,0.0569769627198719
FCX,1.2633292193640493,1.1239791899159206,0.9786242322000268,1.2007396353266169
OMC,0.36641736583312273,0.6053241824288228,0.530569402790566,0.5490378625010532
EXPE,0.6389479649560366,0.799342207665801,0.6971151762223922,0.5961559384102971
LKQ,0.010317393151349885,0.10157456941257435,0.07997199650918795,0.0976410662044313
