,mse,rmse,mae,mape
AWK,0.009980785650116694,0.09990388205728891,0.08809433450161097,0.07659013253549217
IBM,0.22062030255114112,0.4697023552752755,0.3962039628516678,0.41366117411729725
SEE,0.33070466972828627,0.5750692738516694,0.5215416471726428,0.5035439033932584
UPS,0.09968919419966414,0.31573595645675856,0.29339531120780876,0.2992385752405399
FCX,0.8434520536640763,0.9183964577806669,0.8003185490379319,0.957288409823446
J,0.922898748113319,0.9606761931646474,0.8246909062371167,1.046398914883607
BLK,0.2928326035846765,0.5411400960792653,0.4897605597070673,0.4744924609556953
WELL,0.33329086126810265,0.5773134861304581,0.5063406776614909,0.47944798676564854
MSI,0.10954620951093477,0.3309776571174175,0.29429271403331103,0.3072440832786688
CBOE,0.010677186041273554,0.10333047005251429,0.08562499527021182,0.08706488178987977
LMT,0.2890854463319166,0.5376666684219105,0.4685943787592961,0.392191340802096
ROL,0.15670400283976657,0.39585856418646115,0.3556251444605157,0.3520484332747985
CB,0.0381915209428795,0.19542651033797717,0.18581455217527407,0.18010515934194493
SYK,0.04759748866282641,0.21816848686926904,0.1860360970115322,0.1643650679003125
UHS,0.2612734547766408,0.5111491512040696,0.42291367950969916,0.3437869685577086
LYV,0.25503710872484076,0.5050119886941703,0.4292066854518425,0.3590729722208645
DXCM,0.022594379482209933,0.150314269057232,0.12815193528168692,0.11515841863662063
XEL,0.027337520464102042,0.16534061952255424,0.14422833839479354,0.12655566196694198
K,0.029006852079935974,0.17031398087043817,0.14962930042456896,0.14386281539151458
CBRE,0.1477839228005243,0.3844267456883357,0.3369687407884455,0.2903263101894674
CNC,0.34812466483617077,0.5900209020332846,0.4939124923748955,0.4017237517745816
VZ,0.0015257707192349156,0.03906111518166008,0.030252262386128496,0.03153697835845791
YUM,0.005560595593742757,0.07456940118938034,0.06106228017849697,0.06462291392227622
CRM,0.09461540951679831,0.3075961792948643,0.2680097810207219,0.2712365783293254
TROW,0.2964408742787978,0.5444638411123348,0.48370453326895224,0.4931034474329054
IVZ,0.052894114514592694,0.2299872051106163,0.2137046824283534,0.20323445246131172
WU,0.04809762592095272,0.21931170949348036,0.2039325464451481,0.2293943225702977
LIN,0.10259004928931026,0.32029681436022783,0.2780088741467544,0.27699404979487785
WEC,0.03910897800215405,0.19775989988406156,0.1726751796829211,0.15188874294246943
ESS,0.6305493862755093,0.794071398726531,0.7080335961474796,0.6033995695651511
VLO,0.18453177292458017,0.42957161559462953,0.3495065275960538,0.3436750896394673
ADSK,0.2442126183624997,0.49417873119196426,0.4332813405286047,0.39643945326761343
COST,0.035409639617025424,0.1881744924718157,0.13582353155228793,0.13024068727908866
VTRS,0.0598754724905278,0.24469465153641548,0.22062743284477712,0.19006473834610182
TSLA,0.24890836987363193,0.49890717560848125,0.39872912942239275,0.32348887484405037
ROP,0.392284285860397,0.6263260220207979,0.5572914497556838,0.524114324600826
ADBE,0.09654286762906834,0.3107134815695456,0.26271438338472836,0.22940316665025723
ODFL,0.019210903894832484,0.13860340506218627,0.12787696546752303,0.10497059617671431
REGN,0.24561430720325395,0.495594902317663,0.42064807120951175,0.37372503182928085
STT,0.047649145360201706,0.2182868419309824,0.20560345120122175,0.21325741014292002
NOV,0.06413731389965019,0.2532534578236795,0.21221065872540004,0.20840850224957913
CMS,0.006726416828302351,0.08201473543395937,0.06829626262657783,0.059519868230120745
AON,0.0015098428002132702,0.03885669569344864,0.030995384251978102,0.030269306131524627
GE,0.19945738154011333,0.44660651757460207,0.4030095144056893,0.42663600767258436
ECL,0.007295963703422735,0.08541641354811577,0.07114803828868003,0.06840078430540988
APA,0.03206511094761061,0.17906733635035343,0.13535903703311974,0.1369658677317758
IPG,0.01642858465738358,0.1281740404972223,0.11125834924913644,0.105655876976661
BA,0.034639135291801404,0.1861159189639656,0.17104739454822318,0.1853249513654643
CSCO,0.027756165340361835,0.16660181673787905,0.1448234935030507,0.13622525479448983
NWS,0.0352453171360086,0.18773736212061945,0.16159297043688117,0.18456349368866956
CDNS,0.004245072836349619,0.06515422347284648,0.05073456951344572,0.04419252376528846
TFC,0.3295599437684244,0.574073117092609,0.49392459310085063,0.4783462769837732
D,0.009083836903612127,0.09530916484584327,0.08756227033513501,0.0812965615646096
IDXX,0.006346436727015824,0.07966452615195689,0.05866856756663385,0.05204906097737126
KEY,0.06976122704276393,0.26412350717564675,0.22755535491893397,0.22515639538531343
COF,0.20485674473586035,0.45261103028523325,0.4038027621307448,0.381541487188288
DPZ,0.018901146407085092,0.1374814402277089,0.09152959262441261,0.07471177932766922
EFX,0.008332537691135759,0.09128273490170942,0.0810420092950676,0.07578487144759108
PCAR,0.14267282057179592,0.3777205588418453,0.31667220021716963,0.29283214674692876
CMCSA,0.27891342540965364,0.5281225477194225,0.46493927998614104,0.4442715650414707
HAS,0.25276977114448007,0.5027621417176119,0.44658659867361195,0.44230432412827236
BKR,0.02151695109253413,0.14668657434316928,0.12396316325367657,0.11551440624632696
PLD,0.002407707765396448,0.049068398846879524,0.04479216584233062,0.043590468232397046
EXR,0.0037072776554739595,0.06088741787491041,0.054846559634656816,0.04914897517906364
LNC,0.0033365177426856623,0.057762598129634565,0.047231755107258425,0.047116542239164345
XRAY,0.004801629649054874,0.06929379228368782,0.06329673023186091,0.0660638443994977
SBAC,0.0021376236572953917,0.04623444232707248,0.036850526425664464,0.032689159865517604
KMI,0.9444804177329824,0.9718438237355745,0.8735628299881095,0.8260273381184177
KMX,1.360762952461421,1.1665174462739172,0.990337548261099,1.0063293375623126
AXP,0.3203615208419748,0.5660048770478703,0.49466528499992946,0.49296726146093245
PPL,0.009994287751710186,0.09997143467866301,0.09018809429576069,0.07876781136287485
WBA,0.01869039935391228,0.13671283536637036,0.1138077050514297,0.09798790956227323
CDW,0.02945825886724233,0.17163408422350826,0.15099612719700983,0.11299459693955621
CHTR,0.00697828390706611,0.08353612336627855,0.07217745145944264,0.06814662081171759
CAT,0.1625269935973253,0.4031463674614039,0.32542077358868854,0.29018387136445567
ACN,1.005945335416142,1.0029682624171825,0.8813270580929661,0.8797289727156961
ABBV,0.020242293879310973,0.1422754155829846,0.10229847187148292,0.08955694606770812
AAP,0.07502411982754778,0.2739053117914068,0.23594172082546122,0.1934945229183226
F,0.9364920479907055,0.9677251923922956,0.8520541354790987,0.9351556468883735
ROK,0.37662589617035774,0.6136985385108537,0.5236619540028874,0.5331683338818629
MMC,0.004103589982870783,0.06405926929704071,0.04957602620970708,0.04445498252359263
BIO,0.08269603876725773,0.2875691895305506,0.24316914042710872,0.25694602681876694
OMC,0.34135678930230756,0.5842574683325046,0.5160751810371667,0.5264299102473513
XYL,0.0032307772744968916,0.056839926763648206,0.044341093015613356,0.0417880378388475
TEL,0.02642548678173289,0.16255917932166394,0.12669938992321136,0.11459807396165357
WAT,0.029237619126962065,0.1709901141205598,0.1461110947055637,0.1477393693504923
XRX,0.15519147888574192,0.39394349707253945,0.36395931682881877,0.34679727683496636
CSX,0.010460111867364924,0.10227468830245792,0.09372198079447219,0.08833728480038378
NOC,0.18221941544532577,0.4268716615627299,0.3774934537011214,0.33336259844951743
JPM,0.05048097487116234,0.22467971619877558,0.20221935787481857,0.1983294141669069
NDAQ,0.03565940708683455,0.1888369854843975,0.17657062054660314,0.1754850291532244
NEM,0.07251938930807454,0.2692942429909606,0.24350544727482423,0.2901566001521704
MMM,0.7252418004222985,0.8516112965562977,0.7604042477056466,0.7186657414154076
CLX,0.04757302176304614,0.21811240625660464,0.16756127715908786,0.16399688534135548
SLG,0.012878463252689357,0.11348331706770541,0.09811410216085187,0.08554082836559668
COP,0.017836891185868828,0.13355482464467103,0.10768962371548992,0.09990334292203679
TJX,0.10374631183043095,0.3220967429677471,0.29714758213842235,0.3191268536626341
TFX,0.18361318460069423,0.4285010905478471,0.3754167936090529,0.33671981878787854
STE,0.17668197009746434,0.42033554465148953,0.38573722236908625,0.33428089868080685
MA,0.5396025213650756,0.7345764230936599,0.6622271349990633,0.7092483069832497
FMC,0.05861333128439118,0.24210190268643322,0.18864661377229575,0.23244329307468015
ADM,0.13231760533895173,0.3637548698491221,0.3352272413315108,0.30764395797638927
