,mse,rmse,mae,mape
FITB,0.3048518404422366,0.5521338972045066,0.4675941446273569,0.4770181645699035
EVRG,0.001990958241892215,0.044620155108338826,0.036791785951042065,0.03181970832332987
C,0.060376062585640634,0.24571540974395692,0.23016519658241646,0.24333523099474752
RSG,0.158096744099687,0.39761381276269436,0.33867764019371055,0.3053992743481623
LDOS,1.2951233798087305,1.1380348763586863,1.0051172117835123,1.254816706664855
MSI,0.21470762181791328,0.4633655380128234,0.4072897822809745,0.42519758743051395
SO,0.001329780739809842,0.0364661588299322,0.028180615383747776,0.025358948204659757
MOS,0.2382828018333528,0.48814219427678324,0.4103322089339069,0.4296365796125621
PSX,0.28972190129442277,0.5382582106149638,0.44944038843257716,0.4347615810735161
GS,0.30986454050510603,0.5566547767738153,0.5065833500957004,0.5053748880170287
HON,0.2987019034154633,0.5465362782244774,0.47529341404441416,0.45221752074462895
ADBE,0.1930156232104337,0.439335433593096,0.3711027331434517,0.32294729080866064
LLY,0.00214593800017492,0.046324270098674195,0.03664330034077735,0.029823677903488013
FLS,0.9018461890774623,0.9496558266432436,0.8142983710950759,0.9223243407969514
HCA,0.1348976211535269,0.36728411503021324,0.3024669399758838,0.22581595612138164
LVS,0.2100227184834894,0.4582823567228935,0.3760890821146712,0.4485982404411083
DUK,0.009783331215040644,0.09891072345828153,0.07534366696620175,0.06833416822811159
EXPD,0.05871805621946106,0.24231808892334278,0.21881270976929976,0.2387136159173072
AEE,0.01423789954132102,0.11932266985498195,0.09826214699935291,0.08739097832588494
ESS,0.5720584651423988,0.7563454667956957,0.6762189257450453,0.5766139145527444
ETN,0.7169529539271576,0.846730744645048,0.7356271660593485,0.8021849524890096
O,0.002398214991525684,0.04897157330049428,0.04200017334879967,0.03979610872028509
MCO,0.43979860419828476,0.6631731328984044,0.5879388995172042,0.5048043882154759
NFLX,0.14399255497725125,0.37946350941460927,0.3061742991392308,0.30774594907812536
COST,0.01042249821525032,0.10209063725557951,0.06880664239559807,0.06547428919624095
TYL,0.06736161590519446,0.259541164182475,0.23895419365810533,0.27969796360050925
TTWO,0.13872797177776033,0.3724620407206086,0.3202929356062409,0.256443120676256
