,mse,rmse,mae,mape
LVS,0.23726839292378307,0.48710203543383296,0.40125445863449416,0.4864400871909908
PAYX,0.46112901840712767,0.6790648116396016,0.6146549156713464,0.647772942869498
KMI,1.120910461598325,1.0587305897150252,0.9460975050419298,0.9296516104642237
WAT,0.025137473625713943,0.1585480167826578,0.13504532808385816,0.1366711150393328
UNP,0.0038457581365356594,0.06201417689960627,0.048555580321686026,0.03801091311178008
LRCX,0.1757963136787985,0.41928070988157623,0.38654998256248535,0.31251902746714366
EW,0.20912709945506244,0.45730416514073263,0.3690081969849296,0.28105113570538226
ROL,0.22397186345325612,0.4732566570617429,0.420717273890284,0.42051485340288586
MSFT,0.19045712247556368,0.4364139347861886,0.37177007813783025,0.32222375645341944
CVX,0.11507116348940497,0.339221407769918,0.2962466368725796,0.31314141230950715
AJG,0.0008465178710388396,0.029094980169074518,0.02411440134181463,0.02532561520237843
DOV,0.4320786756285074,0.6573269168598738,0.560711906131539,0.557309330614471
CDW,0.019564517780463617,0.13987322038354452,0.12184263715009797,0.0919734347968837
DLTR,0.009907637837651742,0.09953711788901536,0.09310025729054826,0.1016560681917686
BKR,0.028367725089059725,0.1684272100613785,0.12799118271435594,0.12404199253262653
PRGO,0.023174422207927998,0.15223147574640403,0.12361953075254689,0.12561644258675353
GD,0.06870981166772067,0.2621255646969991,0.22048500285150135,0.16822739050175003
TXN,0.004031500111560774,0.06349409509206957,0.04767353053579381,0.045084432739931436
ARE,0.0026503786180280126,0.051481828036968665,0.04613727590906756,0.04053605385198317
A,0.1933717128094851,0.43974050621870747,0.38420519798579983,0.390300511958575
BDX,0.06489730063207827,0.25474948602907577,0.22382753721221857,0.20425049922319374
DVN,0.03256538048631641,0.18045880551061066,0.11873436554858993,0.12567221982982707
ORLY,0.007958771310209346,0.08921194600617871,0.07081997664201295,0.062160809916951824
FFIV,0.19061724319259343,0.43659734675395523,0.36668661493799365,0.2846397912680625
MSCI,0.03448617210359019,0.18570452903359733,0.1532441004683722,0.14825980025345778
UNH,0.002941371854979919,0.05423441577983411,0.047230226531043154,0.0428622493491686
SCHW,0.050936144277344324,0.22569037258453079,0.1970791264436526,0.18492803775465239
HBAN,0.14214638052197145,0.377023050385479,0.3356840896626744,0.33363917393668135
PNC,0.035652063553803605,0.1888175403764269,0.15243276870926462,0.1387584306950359
GOOG,0.16728732114590644,0.4090077274892327,0.34265246655232534,0.34741974967866496
MET,0.24417262404849047,0.49413826410073775,0.4388731213747685,0.44574237558687296
RJF,0.3560901294692797,0.5967328794940662,0.5255074696325104,0.5165984753258919
IT,0.3502226810149985,0.5917961481920937,0.5310156185562437,0.5035551070463239
AAL,0.0383305922293874,0.19578200180146133,0.16886026175244598,0.1169534728746788
HCA,0.08616276872558765,0.29353495315820166,0.23522005949253086,0.1739490416974828
SYY,0.07985255145030484,0.2825819375867906,0.2543562002410825,0.2715318134816654
CTSH,0.3000535741852878,0.5477714616382344,0.4765261620761191,0.49487588318808695
J,0.9072451997942672,0.9524941993494066,0.8139020278304709,1.0338803971053414
AAP,0.10484451251779407,0.32379702363949253,0.27641128035305906,0.2263278064382895
LH,0.28791950596788773,0.5365813134725135,0.47353633224521446,0.4932414475678282
HRL,0.029318633819799506,0.1712268490038858,0.14623564583925064,0.13309949242080485
IPG,0.07876312668193278,0.2806476913889241,0.24717164260136307,0.23340299119647048
APA,0.02690941833249586,0.16404090444915215,0.12442674447816195,0.12721199377534395
AMT,0.008789922816394432,0.0937545882418265,0.08176400051619033,0.0714722567847288
CTAS,0.7096094181249648,0.8423831777314673,0.7496842119462551,0.6722356208686754
ABBV,0.007673562259351952,0.08759887133606205,0.06379115156771585,0.05893392311086759
RMD,0.046091012485506615,0.21468817500157436,0.17722723280339464,0.19596492714580685
LNC,0.0042468273079016875,0.0651676860714088,0.0517708389370544,0.053918876243294646
PG,0.0761225246595452,0.27590310737566043,0.22356741953149314,0.22474022876619423
JCI,0.9858102388624623,0.9928797705978616,0.8566302039126955,0.8170311784994798
MKTX,0.04480189494694221,0.2116645812292227,0.19581718442030918,0.2394125578897481
CSX,0.01570914518571554,0.12533612881254766,0.11655891768651509,0.10908141829279078
ALGN,0.009155313333367297,0.09568340155621191,0.08447217043578803,0.0943909163772396
SEE,0.4259474456969893,0.6526464936678885,0.5865919673926652,0.5702006734090811
TSCO,0.4175434478987138,0.6461760192847718,0.5844201992791095,0.6796433185872613
WAB,0.6497156584082043,0.8060494143712309,0.703830773693232,0.6490475823611266
LOW,0.06520838965181464,0.2553593343737695,0.2346128883734385,0.2384015463306232
V,0.7056927154086644,0.8400551859304628,0.7422471223400703,0.7383163195422098
TT,0.7779182994109655,0.8819967683676428,0.776007907491938,0.7912480658900639
TSN,0.052455934346605906,0.22903260542247234,0.21364963414169305,0.18192552279773525
VTRS,0.04013290827225444,0.20033199512872238,0.17978641413251603,0.15451409796663582
MHK,0.20897902994426115,0.4571422425725511,0.407944775479871,0.43426480872277035
CPRT,0.10763155580748572,0.32807248559957863,0.2863596663917182,0.3045521193928466
FIS,0.19897929018761093,0.44607094748213644,0.3945750707305363,0.3734299551531017
NOV,0.06805134128603887,0.2608665200558302,0.22105142655329127,0.2207793490033486
IBM,0.3476576751297888,0.5896250292599431,0.4991249347845583,0.5290563307135313
APTV,0.010859461684695005,0.10420874092270285,0.07794868939988332,0.06961332702640285
LLY,0.0016085257177139963,0.040106429879933174,0.030574018803446065,0.02582951967951395
AWK,0.025774451480988583,0.16054423527797124,0.13911020095634508,0.12314100745035098
GOOGL,0.19770312152669917,0.44463819170950575,0.373681013533828,0.37385536415715004
EQR,0.18557219806391712,0.43078091655030065,0.38262642692972587,0.3267537583075427
RTX,0.14923807077458884,0.38631343592294176,0.32564006411338414,0.3362389009821253
NTRS,0.4104461402366796,0.6406607060189344,0.5617964881358064,0.531017383691784
PSX,0.24568744702889103,0.49566868675446,0.41213553313050205,0.40558896881015755
KMB,0.0035768347707791164,0.05980664487144482,0.04810555853415254,0.04655370429949942
XOM,0.361349662502355,0.6011236665631748,0.5250658536087063,0.5529649231525953
CHTR,0.005655176598147505,0.07520090822687918,0.0645018170510295,0.06122270642184351
PNR,1.1759969715724725,1.0844339406217756,0.932775084398902,1.0553703566362043
ADM,0.2936602515392189,0.5419042826359826,0.4900279231564267,0.45259668620841054
FLS,0.6605976387640017,0.8127715784671617,0.6942586626262703,0.791118700154184
ES,0.009558323013035892,0.09776667639352322,0.07846565549161465,0.07374303142406226
HES,0.16092229550773685,0.4011512127711156,0.3266933642290762,0.32998246511870716
HAL,0.04034417243211056,0.20085858814626414,0.14516472531189456,0.1589455050065239
IVZ,0.08379301229309087,0.289470226954502,0.26469646215508075,0.2544095096513918
TDY,0.11675697418188279,0.34169719662573,0.2961501895631458,0.2823965237825552
ALB,0.8777818901725172,0.9369001495210241,0.8315612352796499,0.9174418728071203
ICE,0.15390860584429747,0.3923118731880256,0.3601257368907389,0.4049834614274545
LYB,0.058890836228582,0.24267434192469134,0.1411206708063422,0.1320380298902447
APD,0.13503212358051744,0.36746717347338315,0.3247130661639246,0.28404815150420265
