,mse,rmse,mae,mape
LVS,0.2558667200627147,0.5058326996771905,0.41761722838680754,0.5059602031931637
PAYX,0.46049050468709096,0.6785945068205983,0.6143019890987105,0.6474109685063045
KMI,1.0945617711129683,1.046213062006477,0.935064264502091,0.9188705702429738
WAT,0.05036337588729352,0.2244178600006994,0.18831743087223388,0.19023081689045881
UNP,0.0052175337136975775,0.07223249762882063,0.05750325137733514,0.04498582413587631
LRCX,0.14832264780763688,0.3851267944555882,0.35619872018571525,0.28875308554119855
EW,0.04124662843156973,0.2030926597185869,0.13958125758175252,0.1003432874435016
ROL,0.21355530919204044,0.46212044879234726,0.4108893991496388,0.4107245253913569
MSFT,0.200014510193322,0.44722981809503937,0.38138110806404063,0.33063011247117585
CVX,0.06063100844209937,0.24623364603989312,0.21347868943347392,0.22650062829153714
AJG,0.0024426259508707566,0.04942292940397965,0.044007791842104085,0.0460875829151617
DOV,0.46782466195358924,0.6839770916877181,0.5843316236299487,0.580556569950622
CDW,0.019787209865369356,0.14066701768847364,0.1227369563050397,0.09267044050629748
DLTR,0.010218069655847923,0.10108446792582886,0.09437517320513507,0.1031309411039337
BKR,0.03124514750977839,0.17676296984883003,0.13095822318127753,0.12777425026578806
PRGO,0.03400333661809636,0.18439993660003345,0.15135412650742308,0.15408769859814286
GD,0.061264672858359015,0.24751701529058365,0.20782332026948067,0.1586006312444542
TXN,0.00547644784755267,0.07400302593511073,0.05783501474839461,0.054358603757678904
ARE,0.00192126882153792,0.0438322805879174,0.035290830505325894,0.03151565044128701
A,0.19385501016003606,0.44028968890951337,0.3846765856086747,0.39078036521880544
BDX,0.0890097729148162,0.29834505679634815,0.26235325239024243,0.23904332463542444
DVN,0.02583020215958185,0.16071777176025634,0.10818563766375626,0.11377974853798939
ORLY,0.008850184731877103,0.09407542044485957,0.07502358660375649,0.06578712720101997
FFIV,0.20905058086100733,0.4572204947954623,0.38359261563358993,0.29769524236584843
MSCI,0.02285860979154478,0.1511906405553756,0.1228995646755147,0.11866078427866651
UNH,0.055049693867063675,0.23462671175095062,0.21402861282109628,0.18920746782678685
SCHW,0.0319279942786405,0.17868406274382867,0.15561026210967221,0.14641430687021834
HBAN,0.13207413201055063,0.36342004899365504,0.3237945652316191,0.3218744453930957
PNC,0.030143058815467094,0.17361756482414759,0.13933281364666358,0.12686770767787361
GOOG,0.18592347097311504,0.4311884402127625,0.362319031645817,0.3672196711978377
MET,0.21915319385046647,0.4681380072697222,0.4160919311381195,0.42269713112760937
RJF,0.4108950316598259,0.6410109450390266,0.5641171160325171,0.554382950459509
IT,0.3874693200827283,0.6224703367090904,0.5578717985262643,0.5288088391932156
AAL,0.03841011355369781,0.1959849829800687,0.1690663059734507,0.11707739305175605
HCA,0.08090435683339735,0.28443691186869074,0.22682302300427126,0.16746454533431937
SYY,0.10968663613393272,0.3311897283037817,0.296936107442036,0.3168144556073239
CTSH,0.26719564370100174,0.5169097055589126,0.44954307282565253,0.46703299428866407
J,0.6679144003808122,0.8172603014834454,0.6956851020857686,0.8847060792509371
AAP,0.11352174060274524,0.3369298749038815,0.28762464353226025,0.2354365095374081
LH,0.330652275820603,0.5750237176157198,0.5070916913780524,0.5282148811988486
HRL,0.022649268388027673,0.150496738795323,0.1278683545568355,0.11629109279163444
IPG,0.024684218135932454,0.15711211963414043,0.1362180880583523,0.12985446165338843
APA,0.020166695107567963,0.14200948949830064,0.10765204501957897,0.11214479743039525
AMT,0.0058252395185728915,0.07632325673458183,0.06562431087414307,0.05763863892998279
CTAS,0.7026945256546192,0.8382687669564095,0.7460300160176841,0.668965441526987
ABBV,0.025429710049837198,0.1594669559809718,0.14927224615725534,0.14645347407579612
RMD,0.08561948484272297,0.2926080737825308,0.24484637541796492,0.2714819179345198
LNC,0.00677122719675926,0.08228746682672435,0.07100767449994551,0.07307848499047837
PG,0.0693290558031926,0.2633041127730302,0.21251572619345718,0.21353706039713413
JCI,0.962132261268828,0.9808834086010569,0.8462639625991574,0.8071590325487215
MKTX,0.05837768932270632,0.2416147539425238,0.22488974451970575,0.2735215449971556
CSX,0.019585710859018224,0.13994895804906238,0.13083674231761563,0.12182316819695324
ALGN,0.027501826127350863,0.16583674540749666,0.15141675216811384,0.16814416736114587
SEE,0.2974957698362443,0.545431727933244,0.49186697181814426,0.4789517909166174
TSCO,0.4090591241797319,0.639577301176122,0.5786074075435221,0.6729590717103592
WAB,0.6304172500103844,0.793988192613961,0.6931802009514707,0.6392420232964686
LOW,0.0784751810790756,0.2801342197573792,0.25774049727392434,0.26099908912007436
V,0.7319922010818807,0.8555654277037383,0.7561262720817515,0.7520565756184711
TT,0.8132885828836155,0.9018251398600593,0.7935246172164366,0.8090775390917807
TSN,0.05336702344935531,0.23101303740125861,0.21551398019395132,0.1835284308440408
VTRS,0.03459662809919906,0.18600168843104373,0.16592312756448413,0.14242015974048214
MHK,0.21169328879153992,0.4601013896865993,0.41059902467426773,0.43707221373162225
CPRT,0.1139846332675107,0.3376161033889093,0.29484477836530226,0.313516907493535
FIS,0.15757707565866938,0.39695979098476636,0.3512956803912041,0.33260438684762905
NOV,0.04947787472742863,0.222436226202992,0.1861515281308064,0.18499095248940534
IBM,0.28221028834952766,0.5312346829316847,0.44781592601017495,0.4750900022336422
APTV,0.015299690704144754,0.12369191850781826,0.093637777741829,0.08335371360132526
LLY,0.0024009416664621643,0.04899940475620254,0.0395533369249437,0.03270031753736777
AWK,0.04090627950608265,0.20225300864531695,0.1757003601154419,0.15543702111241342
GOOGL,0.18505139128000309,0.43017600035334735,0.36092978011509314,0.3611745607416771
EQR,0.18439931864993514,0.4294174177300394,0.38132304947228224,0.3256219615618394
RTX,0.10964094974085763,0.33112074797701463,0.2771132531157086,0.28641743622513377
NTRS,0.44489696919245625,0.6670059738806364,0.5848576068039992,0.552765161759711
PSX,0.24139253274114858,0.4913171406954459,0.40827195457581617,0.401823635577454
KMB,0.004464072342689873,0.06681371373221125,0.054786972775219184,0.05309805055084566
XOM,0.3446000308379204,0.5870264311237786,0.5127754706673399,0.5400518980429996
CHTR,0.004816555433275311,0.06940140800643248,0.05860578299174101,0.056354845089207704
PNR,1.1440308994761665,1.0695938011582558,0.9196532868367712,1.0405997347310014
ADM,0.2663669459761935,0.5161074945940947,0.4672096476787947,0.4317131442947123
FLS,0.6978107074649286,0.8353506494071389,0.7140007398776856,0.8134594409467643
ES,0.007510567545955879,0.0866635306571102,0.06827111897134504,0.06433733025724674
HES,0.1011334360231994,0.31801483616837656,0.250452388819039,0.2555422915386034
HAL,0.04247939188121193,0.20610529319066972,0.14402426884778347,0.15968048288725578
IVZ,0.08725274966712551,0.29538576415786444,0.27001495268463366,0.25947013955677833
TDY,0.09662861580490122,0.31085143687121863,0.26887833066516537,0.25649968940324674
ALB,0.8039178361584987,0.8966146531027132,0.7960626690979098,0.8781004886485685
ICE,0.15587354726398125,0.39480824112976826,0.36237246122240424,0.40748899753056267
LYB,0.05660961410138604,0.237927749750604,0.13722030745343708,0.12858520887742342
APD,0.09636430780740886,0.31042601019793564,0.2744403248672503,0.2403727557954646
IRM,0.06037125717436023,0.24570563114092486,0.23723014159451558,0.22332790950021802
USB,0.05716395789983822,0.23908985319297474,0.20625279182601172,0.19793757144120616
FRT,0.09131373420380857,0.30218162453036185,0.27183547091509486,0.2390994706045175
GLW,0.02526529027662666,0.15895059067718703,0.11084384876808041,0.09838544283040943
REGN,0.21319228661125597,0.46172750255021194,0.3918716264670062,0.34796839615051245
LUMN,0.004972500692638893,0.07051596055247984,0.057681788480655145,0.05545573554654008
CE,0.06750575213443047,0.2598186908873772,0.22471624497384754,0.21624040968684244
LDOS,1.1062644196151121,1.0517910532111938,0.9299419457084204,1.1896358390688202
VZ,0.0013403952129409414,0.03661140823487866,0.029388855142556545,0.031389950988956396
TFC,0.420642512400743,0.6485695894819176,0.5554526684837865,0.5476438261064044
AAPL,0.06062325630237716,0.2462179041060523,0.19688537205412207,0.1593216611768383
TER,0.07815001596085695,0.27955324351696753,0.23063085600104136,0.21507471659028946
AMCR,0.7251165532671817,0.8515377579809258,0.7348877901226578,0.7796781672541166
T,0.0968121328352974,0.3111464813159509,0.2753032966315637,0.28994273518218927
SHW,0.04987132665891687,0.22331889006288042,0.18942286296760105,0.16589433306457763
O,0.007055411795735621,0.08399649871117022,0.07611431227945804,0.07380529140971953
BKNG,0.013518301645179703,0.11626823145287668,0.10383431068081497,0.10190672217885278
HBI,0.08113022576969828,0.2848336808906178,0.23108469275703106,0.1605149115744666
PM,0.004815786757733324,0.06939586988959302,0.06419541678576261,0.07025431137728658
DIS,0.4372080158005001,0.6612170716190713,0.5751006841071269,0.5032426936257212
INTC,0.06039079495520983,0.24574538643728355,0.22708696496518957,0.19251345619218804
CB,0.06223315919005179,0.2494657475286974,0.23225227837611953,0.22840185968242188
XEL,0.04473752960970675,0.21151248097856246,0.18665594124638935,0.1692651511998377
LNT,0.026652200704564002,0.16325501739476186,0.1414583769580668,0.12694409029888415
NKE,0.013120432007433985,0.11454445428493684,0.07945245690286956,0.07266137942792675
UDR,0.1518336399292915,0.38965836309425145,0.3457640382175896,0.30306193238988755
MRO,0.09346238436350987,0.30571618269811934,0.2622296322297127,0.27472460311285085
EXC,0.2478238100794462,0.4978190535520373,0.44956894418420773,0.3933074490706554
ETR,0.0033815089921875544,0.058150743694191515,0.0491354868358461,0.04531018184840448
AMZN,0.2768237060614204,0.5261403862672209,0.4754643958584352,0.5967126431611861
WST,0.034093555436864896,0.1846444026686563,0.16583602025133845,0.18963061095829806
KIM,0.18263847165851063,0.4273622253528155,0.37848501760154196,0.34993295902877036
MCD,0.03418806722211636,0.18490015473794597,0.1540138941455108,0.1603895824825923
DHR,0.07483356576890493,0.27355724404392023,0.244893882411048,0.24288845402629247
CMS,0.0010901978071994475,0.033018143606196995,0.026226945238003216,0.024195555943790973
WY,0.23566244174413767,0.48545076140030685,0.4406020137934673,0.4279293932281186
YUM,0.03884860746144443,0.19710050091626968,0.16467390937484597,0.17587099348790447
PPL,0.0020081779713161337,0.04481269877296093,0.03686263945182307,0.033820865526060125
META,1.059249216354711,1.0291983367430744,0.8893541045637249,0.7231638334046908
