,mse,rmse,mae,mape
FITB,1.0002488443229414,1.0001244144219965,0.8253304420485206,0.8430957202154489
EVRG,0.010094088859822868,0.100469342885394,0.08625049559753076,0.07321085907945685
C,0.3417639384558453,0.5846057974873712,0.5140008788934276,0.5375129511497426
RSG,0.2552575130694734,0.5052301585114188,0.4284411181077658,0.3861138290815326
LDOS,1.5154517730884243,1.2310368691019877,1.069878146332958,1.3368857517370916
MSI,0.08672419113287168,0.29448971311893335,0.266785779164204,0.2782474174329129
SO,0.0016025879211563206,0.040032335944287845,0.030005069092966814,0.027694291237055885
MOS,0.3606064894019288,0.6005051951498245,0.5042691398382493,0.5280219402147353
PSX,0.5370053158070408,0.7328064654511727,0.6061027302054063,0.5854216512252046
GS,0.3300569491943773,0.5745058304267915,0.5218656750266603,0.5203588451016223
HON,0.4413280502648722,0.6643252593909644,0.5685323732688051,0.5406995307956131
ADBE,0.1984019935804159,0.4454233868808596,0.37749243340028876,0.3285696941600672
LLY,0.0119242641974803,0.10919827927893506,0.09709829998019648,0.07688048992934313
FLS,0.35799576018174184,0.598327469018214,0.5236396815225366,0.5918189311556369
HCA,0.23976423734771682,0.48965726518424785,0.4051417480834968,0.30306750609079486
LVS,0.24945937563959278,0.4994590830484443,0.4113152021484442,0.4901379394047343
DUK,0.04467278645935574,0.21135937750512926,0.17047684790136702,0.1559047581860787
EXPD,0.02163841727460815,0.14710002472674213,0.12560033216207217,0.13537957424698985
AEE,0.020709413391759107,0.14390765577883308,0.11678259918832352,0.1035668012957373
ESS,0.8119226915764263,0.9010675288658594,0.8006662851472518,0.6819096034587218
ETN,0.4925588177227894,0.70182534702217,0.6187371976667337,0.6731513778771464
O,0.00930658213337584,0.09647062834550131,0.08672265623505038,0.08036888443771589
MCO,1.320643289387983,1.149192450979375,0.9769770020459415,0.830388973290279
NFLX,0.1608224799901655,0.401026782135764,0.32379034824592634,0.32440262776048484
COST,0.011256343717808245,0.10609591753601194,0.07202179733155277,0.06857938557652263
TYL,0.02504636116850924,0.1582604219901781,0.13131825246208426,0.15950832392224493
TTWO,0.021454132843335447,0.14647229377372176,0.11832240802428934,0.09239438896282912
CSCO,0.07627583411125642,0.27618079967886333,0.24475738796829555,0.22941328680309706
VMC,0.12183071374055737,0.3490425672329342,0.2981917956659165,0.27994080977361807
EOG,0.3155176955715837,0.5617096185499976,0.4387552790305826,0.4172515813415661
WMB,0.1987660072592905,0.4458318149922575,0.3612684519070843,0.27870154537850783
AMD,1.7643078878746723,1.3282725201835173,1.0438530188792863,1.3389447147478868
PCAR,0.3143295996668358,0.56065104982229,0.4723365192800262,0.43613705021636534
AEP,0.07796987405078877,0.27923086156581756,0.2395895111706308,0.20586481762584555
AMP,0.5788499477000043,0.7608218896036077,0.6753790880061628,0.632373737061825
WYNN,0.8299363954231547,0.9110084496990983,0.7320551323572934,0.7585576524151267
NI,0.10502120156791396,0.3240697479986584,0.28199555513686336,0.2316408557980711
CDW,0.036704864995242406,0.1915851377201332,0.16955305781040933,0.12685567016083113
WDC,0.6513872643428639,0.8070856610935817,0.6859860248571138,0.5900761300620833
SLB,0.026152823335897416,0.16171834569985377,0.10588870574179872,0.10575560874871875
HII,6.40460091068355,2.5307312995819116,2.0139112677372526,1.7752544367060437
LRCX,0.15527487114725183,0.3940493257794661,0.366578155031231,0.2922371169383663
SWK,0.2131524251887929,0.4616843350047659,0.3669477143821722,0.3670412558081991
TSCO,0.04593433707477506,0.21432297374470863,0.19439701499348686,0.22686517448489552
BAC,0.6196579245205267,0.7871835392845348,0.6436589085026427,0.6196584278970174
GILD,0.02543549606338283,0.15948509668110944,0.12336590600408708,0.09660292983373835
AZO,0.24985300959842252,0.49985298798589023,0.3984534483636612,0.3530884349446884
TSN,0.12678781062067943,0.3560727602901961,0.28126009190035983,0.24133529518327168
WBA,0.03776648286619736,0.1943360050690488,0.17432903278514164,0.1522321589632865
FANG,0.38933022455446875,0.6239633198790364,0.45594407105473483,0.39047772747304954
RF,0.47936690079845506,0.6923632722772454,0.5550324605687216,0.5439297401233878
XRAY,0.03369974158246883,0.18357489366051347,0.1711893038412705,0.17636004965434368
NVDA,0.10674067087404521,0.32671190806893646,0.2439758663910151,0.2043301586502718
CHRW,0.04868907249723852,0.2206560048973028,0.17500618826637063,0.1556426237984185
STT,0.0720934224010828,0.26850218323336367,0.25169325156299,0.2601712157423022
VTR,0.0039215390611746,0.06262219304028405,0.05139959689590466,0.05112402816257713
ABT,0.14277766934069958,0.3778593248031595,0.33399138800400835,0.3015840068894405
BWA,0.13925514144843607,0.37316905210431917,0.29632997395979527,0.28510176285017125
GWW,0.14799306539938123,0.384698668309862,0.3223768036430327,0.3469335156903601
CCI,0.2557087725362659,0.5056765493240377,0.43242745364437346,0.41868539203259486
DE,0.6713493270926902,0.8193590953255417,0.7004081210021251,0.7253384670766874
MAA,0.2773682380610254,0.5266576098956753,0.47020962446602127,0.43031400800057495
T,0.06636389146029217,0.25761190085144003,0.2290950736789623,0.22933207232443706
EQIX,0.05406548398178457,0.23251985717737006,0.2065199511811893,0.1768310286604249
LEN,0.474296854261976,0.6886921331494763,0.6172965269352203,0.5969937932626684
