,mse,rmse,mae,mape
AWK,0.0009766896314936512,0.03125203403770147,0.02634827688714868,0.023868200461815946
IBM,0.45016825949222766,0.6709457947496412,0.577517196516327,0.6008290950801147
SEE,0.20547877365115008,0.4532976656140533,0.4172097340422635,0.40460891914540825
UPS,0.05574416088688544,0.23610201372899267,0.22502516756226176,0.23036346877154584
FCX,0.7273151846762694,0.8528277579184846,0.7483540356397684,0.8946884226453307
J,0.8885002492345206,0.9426029117473171,0.8133557166660986,1.0305715253794552
BLK,0.2722903154236201,0.5218144453956982,0.47643659883173256,0.46235372679225123
WELL,0.41250060889826523,0.6422621029597381,0.5614406389873459,0.5313281171012763
MSI,0.0660354389914896,0.25697361536058444,0.23322320525136078,0.24337736645576022
CBOE,0.013592927204997697,0.11658870959487327,0.09588542291286448,0.09756299401016336
LMT,0.22928166168430375,0.47883364719316013,0.42165184786927845,0.3538711727508842
ROL,0.1449663736398965,0.38074449915907715,0.3441601007977131,0.34087140556109086
CB,0.013178741564576948,0.11479870018679196,0.11247357435632913,0.11057764345204273
SYK,0.02270702697506305,0.1506885097645572,0.13135402546587302,0.11672061827784651
UHS,0.3242130801463802,0.5693971198964569,0.47062273554874773,0.3826671858838359
LYV,0.21521848296707033,0.46391646119433005,0.3984295070249001,0.33394551562613883
DXCM,0.025629924801298658,0.16009348769171924,0.12729170239158438,0.10686255842068303
XEL,0.05681185203566568,0.23835236947776642,0.20532019372619006,0.18000143372255348
K,0.060648634785433704,0.24626943534558587,0.21374642995906598,0.20592126864652527
CBRE,0.09887327904906444,0.31444121716000345,0.28041965850037504,0.24250309193945008
CNC,0.05381706167630525,0.23198504623424598,0.17709746373097454,0.13994792296707553
VZ,0.0018505160997033536,0.04301762545403167,0.037026731293303645,0.03781347709180323
YUM,0.03701984324881147,0.192405413772096,0.16447198569278906,0.17272077757173662
CRM,0.05376057846492618,0.23186327536918427,0.20672540312030235,0.20994101243754548
TROW,0.20460895193703177,0.4523372104271677,0.4074237173652683,0.41538536649525853
IVZ,0.02737982647719597,0.16546850599795712,0.15636443536587658,0.15032526994069864
WU,0.02538002320853718,0.15931108940854424,0.15092657553122374,0.1709721012497616
LIN,0.10009352259164077,0.3163756036606501,0.27793015929259807,0.2768120188723663
WEC,0.024363073328420567,0.15608674936848602,0.13324396264967936,0.1168345339927943
