,mse,rmse,mae,mape
FITB,0.21088574571444282,0.45922298038582826,0.3899321498238007,0.3977918863583354
EVRG,0.00221453363191129,0.047058831603762646,0.03947651888690568,0.034004847968458214
C,0.0635450690288312,0.2520814729979798,0.2368373860226664,0.2506507240144741
RSG,0.15783667765978107,0.3972866442001053,0.33832616412196415,0.3050701286949759
LDOS,1.831572820577201,1.3533561322051195,1.1975255477204214,1.4935065487314754
MSI,0.18325318536469096,0.4280808163941605,0.3799619722268838,0.3964539125172711
SO,0.002856870830138849,0.05344970374229261,0.04189439096062953,0.037552630300418596
MOS,0.5016040502848107,0.7082401077917084,0.6077116140030716,0.6346539392006882
PSX,0.2913786038016342,0.5397949645945526,0.4519133502527737,0.4371004180412448
GS,0.33181492630816234,0.5760337892069894,0.5237084213546354,0.5223124296185127
HON,0.26597854192398285,0.5157310751971252,0.4485941414958364,0.426846518587555
ADBE,0.20245549019360068,0.44995054194166795,0.38074126990978296,0.3313222034272848
LLY,0.0014357002691578686,0.03789063563940131,0.029242211953194975,0.02411965646048745
FLS,0.7594061168848891,0.8714391068140614,0.7489475626006223,0.8482528111547418
HCA,0.1318801855973727,0.3631531159130714,0.29846618175837275,0.2226648010625347
LVS,0.16676690380027878,0.4083710369263212,0.3345554903558371,0.3993014583697166
DUK,0.012516601306917858,0.1118776175421959,0.0863753370027774,0.07846007306457062
EXPD,0.06651534287983887,0.2579056860168827,0.2352333436302739,0.2563166296399204
AEE,0.01929238656815577,0.13889703585086247,0.11341746768194655,0.10065231629305593
ESS,0.6099185628361253,0.7809728310486386,0.6977865775788443,0.5949382714434714
ETN,0.6746039264032659,0.8213427581730212,0.7135775705539251,0.7781844210666707
O,0.0023118072203434413,0.04808125643474223,0.041418095814360664,0.03914695481811254
MCO,0.46709409316056894,0.6834428236221146,0.6066116395342319,0.5209674160893835
NFLX,0.15412700342368713,0.392590121403592,0.31754356386380206,0.3187043440180005
COST,0.008630078706471233,0.09289821691760954,0.0640202799865043,0.0612700581894728
TYL,0.14837343102993847,0.38519271933661786,0.35923023435860535,0.413674696006512
TTWO,0.09070707016068055,0.3011761447403837,0.2586740001018275,0.20806648559371524
CSCO,0.11407277955074413,0.3377466203394849,0.2925233548026525,0.2733223773284057
VMC,0.3769596989176044,0.6139704381463365,0.5138939213107208,0.48263829547045584
EOG,0.20163692333978503,0.4490400019372272,0.3487453974425264,0.3327113906388737
WMB,0.3369695594406281,0.5804907918654939,0.476213598328782,0.3612418502663406
AMD,0.28499601164452104,0.5338501771513436,0.4279544102302876,0.5535364460943554
PCAR,0.2794734101016078,0.5286524473617877,0.4492380890402528,0.4146593998397114
AEP,0.005285141527194383,0.07269897885936488,0.06088760064369735,0.052364848064267014
AMP,0.36282579587301406,0.6023502269220242,0.5437052471638678,0.5108879050712215
WYNN,0.539621957107967,0.7345896521922747,0.5917383589301032,0.613533089455416
NI,0.1573328784715181,0.3966520874412715,0.34165223655183524,0.2799498861517926
CDW,0.016281007823533592,0.12759705256601186,0.11018224282866625,0.08302193447094075
WDC,0.3004607529815942,0.5481430041344998,0.4782626717514786,0.41346470971819804
SLB,0.0534573537192591,0.23120846377081247,0.16369627020885674,0.16166121512362258
HII,1.0793221217498958,1.0389042890227644,0.8942362790234125,0.7913561111118466
LRCX,0.19999477620027262,0.44720775507617555,0.4145621544247255,0.3291633576403234
SWK,0.017762083352327068,0.1332744662428894,0.10850280589238737,0.10751442206177737
TSCO,0.5277514373413084,0.7264650282988909,0.6572803935379237,0.7480708238433501
