,mse,rmse,mae,mape
AWK,0.038032243052764585,0.1950185710458483,0.16974592633661362,0.14655492835631567
IBM,0.5730557809341816,0.757004478807214,0.645624104367684,0.6718883202506724
SEE,0.4772461068578536,0.6908300129973028,0.6199497279584429,0.5971816991762229
UPS,0.1688436584031398,0.4109058996937618,0.375105096046967,0.3817449254873118
FCX,1.2758260646674973,1.129524707417902,0.9819342493550756,1.1719598693373412
J,1.043796318698198,1.0216635056114112,0.8746158202288751,1.1103894226573887
BLK,0.46934645421195953,0.6850886469734844,0.6131884147035337,0.5928481824610183
WELL,0.23090872511881916,0.4805296298032195,0.4222979526139019,0.3998236278284802
MSI,0.22319226688507188,0.4724322881483355,0.4150189255039053,0.4333628135557224
CBOE,0.05634766524444029,0.2373766316309175,0.20826387394340226,0.20351355444839342
LMT,0.3954546234918273,0.6288518295209352,0.544760080797071,0.4554070306567188
ROL,0.2891274486557755,0.5377057268206984,0.47624443752985557,0.47115776663617853
CB,0.11636663227997053,0.3411255374198339,0.30935140222188184,0.2981518415209366
SYK,0.11926038733386057,0.345340972567491,0.29211217653056165,0.25754087285517757
UHS,0.24695119604415947,0.4969418437243532,0.4135421356934334,0.33678649517744114
LYV,0.2740974630620152,0.5235431816593692,0.4417252510201198,0.3692225689336993
DXCM,0.032579995899707156,0.18049929611970003,0.1535076619866828,0.13975664701343957
XEL,0.0031560854238163985,0.05617904790770665,0.045172767883914146,0.039558819605858594
K,0.009555187641209746,0.09775064010639392,0.08431525932317961,0.08063618547588769
CBRE,0.11907083517549226,0.34506642139665267,0.2981186064004053,0.2566214473200198
CNC,0.020404374643239225,0.14284388206443854,0.10604854980957515,0.0868981014471111
VZ,0.02436795853125671,0.15610239758330655,0.13698256125838804,0.13913833674217135
YUM,0.10393887807578073,0.3223955304835672,0.27097664803827326,0.2846797375605973
CRM,0.186045679388885,0.4313301280792764,0.36980607899446744,0.3736460362587417
TROW,0.5490938258855937,0.7410086543931816,0.6528915431509638,0.6656759512306685
IVZ,0.2380683678310633,0.48792250186998276,0.4395806343333151,0.413781891302486
WU,0.12450062370820156,0.35284645911246093,0.32003351167698246,0.35805889250271994
LIN,0.27962600814877975,0.5287967550475132,0.45700231474933395,0.45534473780689266
