,mse,rmse,mae,mape
LVS,0.15657195992040776,0.3956917486129926,0.32546501098692554,0.394656454528954
PAYX,0.7062640917238442,0.8403951997267977,0.7565771990968088,0.7962218194137396
KMI,1.2786598802426694,1.1307784399442136,1.0090244427144832,0.991026974798324
WAT,0.1563825472239853,0.3954523324295677,0.32734147991804674,0.3299305805601873
UNP,0.02133128260072933,0.1460523282961601,0.11860962164500893,0.09443623162231453
LRCX,0.191685768454826,0.4378193331213527,0.4028877720394032,0.3253345431548462
EW,0.2775984387791327,0.5268761133123542,0.473780367815334,0.38967584291097873
ROL,0.30750669495021987,0.5545328619209324,0.49109286253080064,0.49083841949488444
MSFT,0.15061653216135945,0.3880934580244293,0.3303693392304991,0.2862609929168975
CVX,0.19602353325324678,0.4427454497261906,0.38447842055524106,0.40634811089737205
AJG,0.02973263929177434,0.17243154958352122,0.14793519828616034,0.15391435669154854
DOV,0.5937758878904695,0.7705685484695503,0.6605565464968108,0.6554479714511431
CDW,0.008905419708303828,0.09436853134548523,0.08026287617996934,0.06140620844431949
DLTR,0.018958944213414743,0.13769148199294953,0.12581137808916937,0.1376566734777749
BKR,0.07657196774973075,0.2767164031092677,0.18301669673623477,0.1824246816322893
PRGO,0.0027287192788049783,0.052237144627218846,0.04284294619311231,0.04498895314236129
GD,0.14068416606316644,0.37507887978819393,0.3202268836066314,0.2444839612661044
TXN,0.01629039379184348,0.12763382698894318,0.10690626302740813,0.0988770043479644
ARE,0.00192450859900495,0.0438692215454634,0.03241342964342935,0.02908534084456122
A,0.3583134901659576,0.5985929252555175,0.5230701550146948,0.5310635665365838
BDX,0.1866718175566397,0.4320553408495718,0.37955692165832927,0.3450989787360041
DVN,0.06552142318563867,0.25597152807614887,0.1754160921616686,0.18514436682244217
ORLY,0.10278123893373185,0.3205951324236409,0.2697535345369184,0.22806519687419255
FFIV,0.5155134354562558,0.7179926430376956,0.5970635607103902,0.4623298029378542
MSCI,0.006808150387455645,0.08251151669588704,0.06382357930119398,0.06360519109322377
UNH,0.2574198207288013,0.5073655691203349,0.4512207109428678,0.3946050380880066
SCHW,0.2876467544228391,0.5363270964838893,0.4699919443533,0.43854478110671785
HBAN,0.07474389165302002,0.27339329116315203,0.2444805480052809,0.24345006293514826
PNC,0.11000993393231337,0.3316774546638848,0.2729956317971877,0.24863943228478894
GOOG,0.09907617946349374,0.3147636882861391,0.2651344835691793,0.26930967112936144
MET,0.5555463337877674,0.7453498063243643,0.6570689461118865,0.6670938181730183
RJF,0.508918310242861,0.7133851065468504,0.6273995383450309,0.6164412422918516
IT,0.5690282619011341,0.754339619734463,0.6738465211105849,0.637897435679135
AAL,0.11523748017603316,0.33946646399318026,0.3148969722975351,0.20889855356806936
HCA,0.1521424792895639,0.39005445682566414,0.3228206796569448,0.24145625963820538
SYY,0.008833515761585089,0.09398678503696724,0.08549919320229424,0.09180320800085656
CTSH,0.5886494354990424,0.7672349284925982,0.6687268880371614,0.693741920984662
J,1.0242491367589186,1.0120519437059141,0.8661060110870329,1.099677285648526
AAP,0.017914788786645854,0.13384613848238527,0.11121308725100036,0.09047571283136516
LH,0.21335873711243392,0.4619077149306276,0.4049762643422168,0.42085913430502614
HRL,0.02179554657325108,0.1476331486260829,0.12657348766894974,0.11530827961640719
IPG,0.22419210584797186,0.4734892879970695,0.4136193798097447,0.389685807878481
APA,0.022837271763218456,0.15112005744843554,0.1253555479097447,0.1512157166573227
AMT,0.011663117094094694,0.1079959123953064,0.09338947157781498,0.0813230099152329
