,mse,rmse,mae,mape
AWK,0.028397816842250286,0.16851651801010573,0.14497932319801662,0.12491495698758322
IBM,0.6507542097356297,0.806693380247805,0.6911496124939813,0.718854773415362
SEE,0.41041476752686634,0.6406362208983085,0.5755276893668637,0.5547106854062882
UPS,0.14277689299998844,0.37785829751374844,0.3448471377441715,0.35074763015034305
FCX,1.1706194019120812,1.0819516633898583,0.940688633739457,1.1231692960744468
J,0.9475294294482995,0.9734112334713934,0.8312088023916853,1.0559747784476237
BLK,0.45361383118299853,0.6735085977053289,0.6036835014658332,0.5837991101820897
WELL,0.20528219921371743,0.45308078663050527,0.3970571096049103,0.3756334257156468
MSI,0.2474461179835466,0.49743956214151946,0.4375593649207734,0.456897154803018
CBOE,0.07563395249809476,0.27501627678756535,0.2434525011621418,0.2370419288560916
LMT,0.3414628274908366,0.5843482073993524,0.5042280630209913,0.4213174892787572
ROL,0.3084772614953663,0.5554072933400914,0.4928933953065498,0.487553892894833
CB,0.1658017333292483,0.40718758985171477,0.370528136070787,0.3568335022837694
SYK,0.1360449242202874,0.3688426822105698,0.3142818441571901,0.27721586543581933
UHS,0.23774298696456916,0.48758895287380044,0.4048835816222078,0.32948722515723694
LYV,0.2641607804255929,0.5139657385717388,0.4329301651501599,0.361813275891277
DXCM,0.03135208520397104,0.1770652004318495,0.15077965418686673,0.13705513225724533
XEL,0.004696226288969708,0.06852901786082818,0.05792856369265084,0.05085598496807249
K,0.006103182943304103,0.07812287080813213,0.0652900757558547,0.06236727436242852
CBRE,0.11147248478338857,0.33387495381263416,0.28800116622824534,0.24776613845019363
CNC,0.021053344258353666,0.14509770590313847,0.11824286074595432,0.10651340126386914
VZ,0.04124416751168365,0.20308660101465004,0.1813536237622279,0.1840026411408903
YUM,0.11809171263564283,0.3436447477201461,0.29161654868086273,0.3063073003348893
CRM,0.1939646467435052,0.44041417636527685,0.3772017507139949,0.3810650653723935
TROW,0.5789663753249037,0.7608984001329637,0.6712181304903558,0.684359602810665
