,mse,rmse,mae,mape
LVS,0.19880633343965737,0.44587703847547183,0.3652212724632165,0.4434907876738757
PAYX,0.6375756039449892,0.7984833147567889,0.7195561789224986,0.7577015116873934
KMI,1.3585082675303308,1.1655506284715096,1.0395229820793859,1.0207912709305127
WAT,0.09407752702879149,0.3067206009201069,0.2541901907853078,0.2564358337152041
UNP,0.0016903016952130444,0.04111327881856475,0.0292150969319365,0.023691015539248093
LRCX,0.19607475058821644,0.44280328655986334,0.4073852019904884,0.3288427782822359
EW,0.11181914916815196,0.33439370384047595,0.258301644452283,0.19310687821147063
ROL,0.25243886060183074,0.5024329413979847,0.4457030546885556,0.44540658628355323
MSFT,0.18700277089452524,0.43243817002494733,0.36908224098578857,0.3200036559378229
CVX,0.12132440022647878,0.34831652304546046,0.30337837427668957,0.3206979748686763
AJG,0.006083473063296043,0.07799662212747449,0.06982754389474702,0.07284927574732578
DOV,0.5769357509463517,0.7595628683304311,0.6508018860659821,0.6461047440099523
CDW,0.01697457305006223,0.13028650371416922,0.1127910331601983,0.0853039913486575
DLTR,0.017755155472777975,0.1332484726845977,0.12123397897344927,0.13290509347215398
BKR,0.0744865561097152,0.27292225286648064,0.1751488302084214,0.17530329108043033
PRGO,0.00824720303619635,0.09081411253872577,0.07341815735720493,0.07462283883393812
GD,0.1357282627436163,0.3684131685263385,0.3145164810402384,0.24001393519198777
TXN,0.010696348418197926,0.10342315223487401,0.08518206399984433,0.07908955462247731
ARE,0.004125839020117065,0.06423269432397387,0.048298183710117897,0.041902477080173146
A,0.27200840642401064,0.5215442516450648,0.45548402334295957,0.4625781504715072
BDX,0.15550135871760046,0.394336605855455,0.34661004236943865,0.3151694402166092
DVN,0.037207980623368844,0.1928937029126893,0.12711927943244747,0.13460431033765727
ORLY,0.02952246412925708,0.17182102353686837,0.14501067477714985,0.12381312490681363
FFIV,0.327501327580872,0.5722773170245978,0.47710439297938967,0.36981802228216065
MSCI,0.01792185139548788,0.1338725191945228,0.10933092735580172,0.10555710194756837
UNH,0.07559094485949987,0.2749380745904428,0.24959867147057405,0.21985725066220801
SCHW,0.09165374324947467,0.3027436923363965,0.26492315040539316,0.24795730898645285
HBAN,0.1657758286859687,0.40715577938421643,0.36276497683164227,0.3604644192457166
PNC,0.06289291525161698,0.2507845993110761,0.20533104694058146,0.18674265544531235
GOOG,0.15625714167965302,0.3952937410074349,0.33054537170280524,0.3351691497615281
MET,0.3664884765351581,0.6053829172805903,0.5362031847515869,0.544215171828147
RJF,0.5472734047067709,0.73977929459182,0.6509427505074195,0.6393196677983832
IT,0.5044924835439449,0.7102763430834121,0.635042230046931,0.601403897916284
AAL,0.03490663911471116,0.18683318526083947,0.16037292975424886,0.11311352702645104
HCA,0.12878455883538195,0.3588656556921851,0.29490828752157544,0.22000253873898168
SYY,0.05196192458003668,0.22795158385068676,0.20637777459029005,0.22052333391323112
CTSH,0.4625700958805298,0.6801250590005707,0.59279851803934,0.6149077043365045
J,1.000352147071912,1.0001760580377397,0.855930528970621,1.0868203395063947
AAP,0.14914362413831145,0.3861911756349586,0.3297982736792457,0.26973055056344986
LH,0.24408576123181674,0.4940503630520038,0.43686853652094254,0.4550191073743164
HRL,0.028557685249652447,0.16899019276174712,0.14525701633220708,0.13230615296462872
IPG,0.11706433076076349,0.34214665095652114,0.3008248243727116,0.28348077204756095
APA,0.014885754561736514,0.12200719061488349,0.10000589360965394,0.11335836726422276
AMT,0.00797395702933491,0.089297015791878,0.07718557406995295,0.06748521975632737
CTAS,0.813510274585765,0.9019480442829093,0.8017788081795792,0.7186649774995398
ABBV,0.00979381571159845,0.09896370906346653,0.06826684895931355,0.06202733785750202
RMD,0.09061910450771077,0.30103007243083,0.2526613426717979,0.2802217329915788
LNC,0.029379337479356497,0.17140401827074095,0.15819808379182967,0.15881338674478257
PG,0.06291714828625976,0.2508329090973905,0.20256431688971302,0.20353278017629986
JCI,1.2133440701654514,1.1015189831162473,0.9515366000977652,0.9074855533422765
MKTX,0.13738053771197423,0.3706488064353833,0.34409814266196675,0.4131214157367079
CSX,0.03297552996539724,0.18159165720207865,0.16990325863963357,0.1566411003590552
ALGN,0.04791444446416947,0.21889368301568107,0.19844393784669873,0.21994085028619145
SEE,0.49551962642055775,0.7039315495277632,0.631179290935932,0.6131106675245621
TSCO,0.4499185818538368,0.6707597050016025,0.6059792480297004,0.7044669939700787
WAB,0.7666342858078194,0.8755765448022346,0.765063356610257,0.7054069983706976
LOW,0.09354317855883364,0.3058482933724392,0.2814856897572691,0.2840786960558866
V,0.8486033527160269,0.9211966959971291,0.8139416612085097,0.8091917969128948
TT,0.9902001315835542,0.9950880019292536,0.8750673689536363,0.8920952802696174
TSN,0.052607200873073995,0.22936259693566866,0.2137427709676681,0.18195644145036532
VTRS,0.01600496221791794,0.12651071977472084,0.10559519819332226,0.08997762431597668
MHK,0.26547682178421694,0.5152444291636902,0.4591492614598247,0.4884107859356275
CPRT,0.09422930663654237,0.30696792444250975,0.2667306866894324,0.2839476765333097
FIS,0.23900405974098612,0.48888041456064296,0.43197124847296303,0.40870507394306094
NOV,0.030567708144987427,0.17483623235756204,0.1433935465043553,0.1412293266870947
IBM,0.41654769436185624,0.6454050622375503,0.5478395623578152,0.5803414655119878
APTV,0.014117748353815417,0.11881813141863247,0.08837619822642533,0.07878726408339731
LLY,0.006220815556506839,0.07887214689931318,0.06486655991292385,0.052443253234952705
AWK,0.046669296653060945,0.2160307770968316,0.1878165825815906,0.16620453482319805
GOOGL,0.16040477988284507,0.4005056552445235,0.3346757326614253,0.33500882337805266
EQR,0.1957684236800746,0.44245725633113375,0.393347328790629,0.33595641671261595
RTX,0.19824536482508168,0.4452475320819664,0.37627016721343864,0.38835599874521154
NTRS,0.5156156278182871,0.7180638048379037,0.6293102686658544,0.5946254786911708
PSX,0.30071553100361953,0.5483753559411834,0.45828549936334045,0.4506249224176538
KMB,0.0015635867401380462,0.03954221465899509,0.026662564687233967,0.02702439396071742
XOM,0.469186967682823,0.6849722386219919,0.5988493025270435,0.6305375067827066
CHTR,0.004447774864149392,0.06669164013689716,0.04957315652174485,0.05020612482228333
PNR,1.464460353385652,1.2101488971963954,1.0429925917759977,1.179636847590565
ADM,0.3708983988294351,0.6090142845857025,0.5490958768155392,0.5066502463519944
FLS,0.8171510218192527,0.9039640600263114,0.7741631070424423,0.8815400901959368
ES,0.02512259667354071,0.15850109360361117,0.13316578276979743,0.12430058133094612
HES,0.18315177436319027,0.4279623515721801,0.34982092546724675,0.3526239279911051
HAL,0.08559052990086566,0.2925585922526728,0.1714725842414055,0.2015454838810392
IVZ,0.0944722351433769,0.30736336011856863,0.28032825505317605,0.269238039616787
TDY,0.13407809981772986,0.3661667650370933,0.31747373837248577,0.3026410901993953
ALB,0.9996307644123285,0.9998153651611523,0.8873428021374116,0.9790593300853258
ICE,0.22504429886705313,0.47438834183298934,0.43355016462544893,0.4867188598411842
LYB,0.10250698132215169,0.32016711467943065,0.21813915898209174,0.1979744096087135
APD,0.2126075201705294,0.4610938301154434,0.4068141555637431,0.3553763133415214
IRM,0.15412217438856893,0.392583971130469,0.3735364743106129,0.342911403047929
USB,0.10237712891055802,0.3199642619271065,0.277240644247252,0.265856263216188
FRT,0.07674679264420625,0.2770321148246287,0.2498569619403223,0.21982005812189212
GLW,0.04058963868481951,0.2014687039835704,0.14358946763198582,0.12680928722053286
REGN,0.20135230210179908,0.44872296810147694,0.3809527670899434,0.33828571622997217
LUMN,0.010221266266851313,0.10110027827286784,0.08630782697963686,0.08095076861778146
CE,0.0594211702501569,0.24376457956429376,0.21072787978439905,0.20256838561969961
LDOS,1.2124593963545462,1.1011173399572574,0.9730430041839209,1.244537825106369
VZ,0.012670489683450276,0.1125632696906512,0.10145805472161921,0.10660464242837255
TFC,0.5567669071690784,0.7461681493933378,0.6418494081538342,0.6327174756113644
AAPL,0.07320789434753902,0.27056957395010073,0.2151430324292199,0.17347049240377693
TER,0.09861556190218479,0.3140311479808727,0.257536793046975,0.24004423404949746
AMCR,0.8222151500583614,0.9067608009052671,0.7835922681827742,0.8314768247576743
T,0.14974635364268837,0.386970740034293,0.3412090874604298,0.3591571626646557
SHW,0.026453557426158725,0.16264549617545124,0.1359365702515119,0.11876774597365788
O,0.002317141752634016,0.048136698605471644,0.0354953050516457,0.03523696810391086
BKNG,0.0063350130964581015,0.0795927955059885,0.06611538113040347,0.0639635799052698
HBI,0.054488681551886624,0.2334281078873892,0.18758730504597024,0.1300010615242657
PM,0.007837154819969371,0.08852770651027492,0.08183909962896287,0.0892795090269078
DIS,0.45037121336212005,0.6710970223165351,0.5828266684773076,0.5099020414241942
INTC,0.0903940477919984,0.30065602902985067,0.2771381036908981,0.23288290549643026
CB,0.10010476069524003,0.3163933638609382,0.2906681405724518,0.285196250046895
XEL,0.021075551043939336,0.14517420929331537,0.12727257045107415,0.11524265499091566
LNT,0.02114171447772006,0.14540190671968528,0.1254300743435134,0.1124612999814959
NKE,0.007196761373170411,0.08483372780427847,0.07146246701959837,0.06878371277107458
UDR,0.2752054389889109,0.5246002659062526,0.4647405542375577,0.40736522992196994
MRO,0.08577640912548291,0.29287609859031327,0.2512429436264855,0.2627037868086039
EXC,0.2634166398332845,0.5132413076061635,0.4630319916860302,0.40500646676578583
ETR,0.006136836545908927,0.07833796363136412,0.06606083601662935,0.060230449837946794
AMZN,0.2559577659804991,0.5059226877503114,0.45708670840022614,0.5736945903859816
WST,0.055631120971380815,0.23586250437782774,0.21543922739887514,0.2439069873834056
KIM,0.16083352023375166,0.4010405468699539,0.3554519972837971,0.3285839241169975
MCD,0.0851357826911477,0.29178036721333345,0.24781937162175252,0.2575132789959648
