,mse,rmse,mae,mape
FITB,1.9402713892924435,1.3929362473898235,1.1575023336184218,1.1817198436376346
EVRG,0.009778213171207922,0.09888484803653147,0.08601379028611891,0.07316322871297522
C,1.3673882843216658,1.1693537892022525,1.0002563346195594,1.042971552528979
RSG,0.23704506433579547,0.4868727393639897,0.41456909452715335,0.3738538480243048
LDOS,2.052325240076272,1.4325938852571833,1.2486542648939436,1.5600740463045268
MSI,0.06636648168590424,0.2576169281819505,0.23161156789698026,0.24157954892019173
SO,0.0006898344645158392,0.026264699970032765,0.020395803745567032,0.018698289199695427
MOS,0.22668876018025635,0.47611843083444727,0.39349750146945056,0.41289402932590197
PSX,0.7944860113904844,0.8913394479043797,0.7450109726345806,0.718131172192426
GS,0.30168400418018415,0.5492576846801364,0.500307920143669,0.49924870520512943
HON,0.5207423851075716,0.7216248229568961,0.6211180629242069,0.5908897588040533
ADBE,0.18466224240295528,0.4297234487469299,0.3632220436792003,0.3161759613851863
LLY,0.014929135764555618,0.12218484261378584,0.11117932378370315,0.08837521401927326
FLS,0.27028443574427996,0.5198888686481756,0.4449436467423272,0.5054818585516273
HCA,0.3356455197142223,0.5793492208627041,0.485758862652428,0.36522413153016126
LVS,0.1191979261226944,0.3452505266074107,0.28226747832019766,0.33711146620263377
DUK,0.05568029169412155,0.2359667173440389,0.1946345373650107,0.17861185080126624
EXPD,0.01892655713297666,0.13757382430163326,0.11739876071264028,0.12627320235948375
AEE,0.016758446903975488,0.12945442017936462,0.10595834696457158,0.09411919866917975
ESS,0.7917843325847871,0.8898226410834842,0.7927448179575882,0.6755403390379132
ETN,0.454788652408218,0.6743801987070928,0.5907848043627959,0.6432134329698204
O,0.008860347508040317,0.09412941892968593,0.08525277350106446,0.07916878056017941
MCO,1.5825838245870527,1.2580078793819427,1.077506671260141,0.9172320636664523
NFLX,0.12963846224889672,0.3600534158272863,0.28925458799034615,0.2914460736980728
COST,0.023977384748103285,0.15484632623379635,0.14424636358077572,0.14791428134557494
TYL,0.019403942146333182,0.13929803353361878,0.11602398764957356,0.13924662187265396
TTWO,0.031009459676253983,0.17609503024291737,0.14523435261383416,0.11311425500886595
CSCO,0.0737491456210456,0.2715679392362906,0.23944608634985748,0.22415556764044778
VMC,0.12670471626726945,0.3559560594613743,0.2998368000154308,0.28138901610911404
EOG,0.3161419057060239,0.562264978196245,0.4454329573381796,0.4231294690000175
WMB,0.19557866139852836,0.4422427629690828,0.3516069588248626,0.27153283425380026
AMD,2.1388735835467965,1.4624888319391696,1.189413300030713,1.5048401112484857
PCAR,0.5832022313762846,0.7636767846257241,0.6433875960133277,0.5940153786948557
AEP,0.20182878566459042,0.4492535872584552,0.36446424930371163,0.31440735931859554
AMP,1.0526759854078807,1.0259999928888308,0.8960778443357407,0.8367616602038309
WYNN,0.7907192776774742,0.8892239749790118,0.7142350909735938,0.7398594589667706
NI,0.12391521783489085,0.3520159340639154,0.3034854446124857,0.2487888615893279
CDW,0.03282349941151034,0.181172568043593,0.16049043784135125,0.1202987770492299
WDC,0.7064535505077693,0.8405079122219905,0.7231198576154138,0.6228814753117649
SLB,0.026830519278681807,0.16380024199823945,0.10443072029293732,0.10437732770781812
HII,14.384303159519026,3.7926643879361412,3.03586344191159,2.682425722549614
LRCX,0.19249257242604853,0.43873975478186217,0.40661774616270296,0.3229220905422628
SWK,0.2545139844956512,0.5044937903439954,0.42278028021566216,0.42515378805870213
TSCO,0.03455555051776456,0.18589123303094354,0.1665312594019735,0.1943393655028029
BAC,3.691993899756771,1.9214561925156584,1.5623839321823794,1.5015684680783934
GILD,0.03248809885817306,0.18024455292233676,0.13919769896958223,0.10798607155136727
AZO,0.42080522750960964,0.6486950188722044,0.529262403942896,0.46957611495650914
TSN,0.20671362037522834,0.4546576958275625,0.34673965375242516,0.2989610353535811
WBA,0.060710183121859204,0.24639436503674186,0.22445103669064786,0.1972246806612446
FANG,0.6479608469233472,0.8049601523823072,0.6281404372117249,0.530662106935121
RF,0.6488992644495265,0.8055428383702051,0.660273466616381,0.646475958553987
XRAY,0.03573674189389497,0.18904164063479498,0.17585552279886088,0.18102223552940644
NVDA,0.21910702975945845,0.46808869860258157,0.3667965214450971,0.30750178632337744
CHRW,0.053286306667725436,0.2308382695042688,0.18294793373543788,0.16219518338082498
STT,0.09584736815719569,0.30959226113905963,0.2877825733451024,0.29646289715115154
VTR,0.0016923699085949191,0.04113842374951815,0.03592546550204061,0.03538948200121084
ABT,1.1008589134366293,1.049218239184122,0.8966420915336221,0.8053671437443053
BWA,0.42108998916168766,0.6489144698353456,0.5309896521767321,0.5080015049514333
GWW,0.16416551857953632,0.40517344258914145,0.34642397156592586,0.3727693721794378
CCI,0.2909551294619913,0.5394025671629598,0.4655171531254111,0.4511558611016658
DE,1.5122451043266532,1.2297337534306576,1.042068794343678,1.0806698162188366
MAA,0.3315611654413655,0.5758134814689263,0.5171541216638598,0.4735738592000001
T,0.12244632178901463,0.3499233084391702,0.30721635390436125,0.3070162706664093
EQIX,0.010482643174565752,0.10238477999471285,0.08582388279114068,0.07522899583301593
LEN,0.5740510745984936,0.757661583161304,0.6705831773097208,0.6469597421256962
VRTX,0.12332729229787463,0.35117985747743935,0.31305793289538886,0.2789352476651047
PAYX,0.8060691429885845,0.8978135346432379,0.8044661324723396,0.8270080522217921
DOV,0.46278806602301203,0.6802852828211206,0.585164386625531,0.5746001455781404
DLR,1.4569287082306919,1.2070330186994438,1.018880678976896,0.8915300243887184
MNST,0.34503118016556034,0.5873935479434212,0.5340918464549417,0.4493957123811464
KIM,0.39938346512562695,0.6319679304566229,0.5567140832022736,0.4985311860787357
VLO,0.1506524242982115,0.38813969688529865,0.3121571473127987,0.30739942185145747
EBAY,0.2083404672131608,0.45644327929454803,0.40098874372847004,0.41997288116714
MU,1.0968313720405407,1.0472971746550932,0.9151840133406107,0.6809674816894764
PGR,0.07313740191216246,0.27043927583130833,0.2475780091699679,0.26161133159873773
MSFT,0.32397965259014166,0.5691921051720075,0.4868116908446117,0.4146485933917304
ZION,0.16257536827349509,0.40320635941598826,0.3376087494174786,0.35093930031471776
NEE,0.004104148009292735,0.06406362469680228,0.05929310256123385,0.052746430269926384
GE,0.4900198021757598,0.7000141442683567,0.6194186526678678,0.6556274243372091
NUE,0.009756903838877146,0.09877704105143637,0.08321580091145456,0.08717241453844697
ILMN,0.11170695380079908,0.3342259023486945,0.2959137865409741,0.1933381133717282
