,mse,rmse,mae,mape
AWK,0.017617412264865608,0.13273060033340317,0.11690535301919441,0.1013511801979938
IBM,0.2369131820791304,0.4867372824010201,0.41102309504683615,0.4290099499378301
SEE,0.2514239864927005,0.5014219645096338,0.4559291827181981,0.440850052868771
UPS,0.10133596563452081,0.3183331048359891,0.2953662445130466,0.30115612597840885
FCX,0.7989172020225532,0.8938216835714791,0.7781807839784838,0.931233372979164
J,0.8210771438779073,0.9061330718376343,0.7763658994024129,0.9856308133684802
BLK,0.25973458465989263,0.5096416237513304,0.46161334503221957,0.44737102970415005
WELL,0.3291716837504685,0.5737348549203443,0.5036397500958507,0.47699577462242954
MSI,0.10373519982506306,0.3220794930216189,0.2861649772945832,0.2987601381613992
CBOE,0.01249350930140633,0.11177436781930968,0.09321882587845891,0.09454397849880822
LMT,0.25952317622089205,0.5094341726080928,0.44360816076819554,0.37130598856805147
ROL,0.15838601958506904,0.3979774108979918,0.35722360779742507,0.3535731097613692
CB,0.03619952038183079,0.1902617154916637,0.18099682865256456,0.17545406976022315
SYK,0.040168152884909124,0.20041994133545973,0.17066543146994972,0.15085555621278635
UHS,0.2729531847952594,0.5224492174319523,0.4334644095883144,0.352715815587013
LYV,0.22642630147967321,0.4758427276734123,0.40306967314009473,0.33720040845291477
DXCM,0.021523277167230046,0.1467081359953498,0.12444937208967881,0.1106602915714636
XEL,0.027606900935822944,0.1661532453364151,0.14526922072802068,0.1275194758513924
K,0.030710822824956935,0.17524503652017348,0.15420374890931673,0.1483101936489805
CBRE,0.13405861881916345,0.36614016280539813,0.32027675089350993,0.27593220467170065
CNC,0.24123162402627468,0.49115336100476265,0.40683841315112845,0.3294832463893648
VZ,0.0010415206102294004,0.03227259844247749,0.02671851243888954,0.02744940044624713
YUM,0.008602018944051711,0.09274706973296629,0.07499850570795409,0.07944293778113637
CRM,0.09184345995774418,0.3030568592817925,0.2643772511780016,0.26758662030278996
TROW,0.2813022985893775,0.5303793911808579,0.4710527341536364,0.4802098344112657
IVZ,0.04869466931628831,0.22066868675978546,0.20487431392993916,0.1949224615831569
WU,0.03342488297505117,0.18282473294128224,0.17050855960130884,0.19225187833011978
LIN,0.10224197373873817,0.3197529886314406,0.277021705254571,0.27600163133511946
WEC,0.016181614548176175,0.12720697523397126,0.1091914706351259,0.09571052785094988
ESS,0.6622785744463409,0.8138049978012797,0.7257009295310068,0.6184898097473016
VLO,0.16552722730552177,0.40685037459184153,0.3290948668721056,0.3238239241702696
ADSK,0.24085354185323216,0.4907683178988148,0.42999770924277075,0.3934196853304205
COST,0.06972906372393094,0.26406261326422364,0.20196268319349733,0.19562734679245833
VTRS,0.04828044540293255,0.219728117005841,0.19767710690999968,0.17009665736042137
TSLA,0.29417030794562055,0.5423746933123084,0.4349462222603603,0.3525985750124801
ROP,0.3538084023480099,0.5948179573180435,0.5294801369178496,0.49801497372682535
ADBE,0.0817757870567529,0.28596466050327424,0.2413125066476363,0.21083598662268274
ODFL,0.012891599753503642,0.11354118087065873,0.10401211375451609,0.0861341692433267
REGN,0.2544320722195531,0.5044126011704635,0.4287560801899573,0.3810998229475609
STT,0.04117800229533505,0.2029236366107582,0.19118653915213507,0.19859203012599508
NOV,0.0956296359612795,0.30924041773558564,0.2625664786710277,0.2592637377242189
CMS,0.008995578403157359,0.09484502308058847,0.08014732318994412,0.06992491984906622
AON,0.001911563576386378,0.043721431545483254,0.03411559547124639,0.03365731460833538
GE,0.16509290824773995,0.406316266284947,0.3672286018776849,0.3887888360881647
ECL,0.004061831716000196,0.06373250125328674,0.051391432761484675,0.04935259374365037
APA,0.02597414368452638,0.16116495799188602,0.12208083933968962,0.12458456251555909
IPG,0.017792632594494116,0.13338902726421734,0.11611120783612522,0.11005503075564714
BA,0.02658379988488731,0.16304539209952335,0.150500331369925,0.16312075200095363
CSCO,0.03678216174922682,0.19178676114170867,0.16699421452015964,0.15675450896707166
NWS,0.026794262521983907,0.16368953088693214,0.13962177718192303,0.15975992814323087
CDNS,0.009256623387721846,0.09621134749977181,0.07729274489925254,0.06644687149629377
TFC,0.33696862249546483,0.580489984836487,0.4990867347912025,0.4833345008308509
D,0.013517261327839453,0.11626375758524,0.10693654019117106,0.09931143222039109
IDXX,0.006602027314270444,0.08125286034516227,0.05987950817416857,0.05307524767070359
KEY,0.06436806164823577,0.2537086156365916,0.2180963333315438,0.21582512105510396
COF,0.1754878860932957,0.4189127428156079,0.3737751697015514,0.3532467160526961
DPZ,0.020395751640626313,0.142813695563928,0.0965772679139995,0.07905982453026997
EFX,0.016575812921473986,0.12874708898252413,0.11552175715011825,0.10728871234030682
PCAR,0.14942275962586116,0.3865524021731868,0.3241212608468291,0.2996308522726937
CMCSA,0.2837916315114694,0.5327209696562257,0.46816663887990545,0.4472921563087498
HAS,0.2900292265766092,0.5385436162249156,0.4778198630871071,0.4731308534845606
BKR,0.022094132366359483,0.1486409511755071,0.12336027378361676,0.11571676504702372
PLD,0.0052226377208559075,0.07226781940017221,0.06581654984455441,0.0636480748097807
EXR,0.009950800318169603,0.0997536982681324,0.09208319758025837,0.08168739145828838
LNC,0.003249537967310166,0.05700471881616614,0.045792169842232444,0.04701230471226731
XRAY,0.004719248634631455,0.0686967876587505,0.06272718479941564,0.0654563569788276
SBAC,0.004286847105911729,0.06547401855630773,0.054073959523833176,0.046790670213116205
KMI,0.9861221336720386,0.9930368239254971,0.891797174849464,0.843058794555572
KMX,1.4320024193233565,1.1966630349949632,1.0172936409317368,1.0340561987975103
AXP,0.27481933104376904,0.5242321346920361,0.4576280255401706,0.45610195285083743
PPL,0.009626118128013818,0.09811278269427393,0.08871491372987463,0.07751535594333421
WBA,0.022254496138500755,0.14917940923096845,0.127983914214741,0.11065026980104736
CDW,0.03571046397018479,0.1889721248496317,0.16726997848202296,0.12520029129571686
CHTR,0.012012047632256679,0.1095994873722349,0.09378448545988849,0.08629257691075438
CAT,0.16451928445612987,0.40560976868922904,0.3271176091565182,0.2916297541877187
ACN,1.1275640219567493,1.0618681754138548,0.9325939236020622,0.930797342138113
ABBV,0.020356833836164594,0.1426773767496606,0.10207053083048756,0.08922073721604794
AAP,0.05765951593247446,0.2401239595135697,0.20752427678980184,0.17047280539038626
F,0.9979844591775482,0.9989917212757813,0.879902635534185,0.9658665636360352
ROK,0.4038543584868139,0.6354953646462057,0.5423855143082686,0.5521342935975017
MMC,0.0034897480527467033,0.05907408952109802,0.0457502821814872,0.04109976300309724
BIO,0.06809118521175865,0.26094287729646626,0.22035505960540203,0.23289878032032466
OMC,0.3662744177676679,0.6052060952829771,0.5340389937284301,0.5446877895414448
XYL,0.006266435137624209,0.07916081819703615,0.07008530409099158,0.06428011906152697
TEL,0.02073258266749702,0.14398813377322806,0.10985714472670334,0.09953024330127772
WAT,0.01799653725661024,0.13415117314660444,0.11629416136854698,0.11773045014874234
XRX,0.16583444578589432,0.40722775664963495,0.37552261825543637,0.3575411318572662
CSX,0.008859506873993835,0.0941249535139,0.0852639202962184,0.08068853743086211
NOC,0.23110498742103439,0.48073380099701163,0.4246241842248274,0.3747346962617938
JPM,0.053274805108658105,0.23081335556821253,0.20728509884720692,0.20326351314112398
NDAQ,0.04779280876595587,0.2186156645026972,0.204374228040116,0.20200113228364713
NEM,0.08687828737821741,0.29475122964665884,0.2671818222956181,0.3193753054396256
MMM,0.7593714990904914,0.8714192441589131,0.7774758347296544,0.73465706338397
CLX,0.054525056191472264,0.23350600889799875,0.18062502755923512,0.17696305345402857
SLG,0.013376250325877486,0.1156557405660328,0.10051827338194068,0.08771598201206127
COP,0.02006391035452749,0.1416471332379427,0.1150003768847183,0.10667568429489219
TJX,0.08412580958028884,0.29004449586277076,0.2677443987279949,0.2880766316775863
TFX,0.21580386122484463,0.46454694189591283,0.4074616718317911,0.36555717133168186
STE,0.15527867011460866,0.39405414617106704,0.36217536034364833,0.314140909128235
MA,0.5560991098752452,0.7457205306783804,0.67163399692462,0.7192341019764615
