,mse,rmse,mae,mape
FITB,0.7265876002413313,0.8524010794463668,0.7134352379144334,0.7282178523644902
EVRG,0.0037625529101931996,0.0613396520221072,0.051885885130111366,0.044238508098411886
C,0.2763112003039756,0.5256531178486203,0.4674666744041464,0.48938118221263605
RSG,0.18758246932174627,0.43310791879362615,0.36872298211313553,0.3325002241161558
LDOS,1.679695073773642,1.2960305064980693,1.1364878755708607,1.4187731368878278
MSI,0.11698432750167835,0.342029717278599,0.30464067495895214,0.31775106701841804
SO,0.0010497075469017598,0.03239919052849561,0.024031560389574023,0.022086021490368993
MOS,0.32351676385429884,0.5687853407519385,0.4770490059644925,0.4997945158241865
PSX,0.4233650515854046,0.650665084037406,0.5424480916794124,0.5243544204752327
GS,0.3131185979757975,0.5595700116837905,0.5092990680673123,0.5081188587360942
HON,0.43545566387195794,0.6598906453890356,0.5672507433589549,0.5397003001370327
ADBE,0.15508616417610419,0.3938098071101127,0.3332571893094405,0.2902981445814242
LLY,0.001570989955210838,0.03963571565155394,0.02921746253907485,0.024292004236497675
FLS,0.435042492409508,0.659577510539518,0.5677107581827322,0.6429764481003014
HCA,0.22477216421327634,0.47410142819155937,0.39445187007803406,0.2956796903254677
LVS,0.2180965423463799,0.46700807524750565,0.38604041145932133,0.45957031208238874
DUK,0.03209356086510877,0.1791467578972859,0.14442717132184302,0.13203687542772807
EXPD,0.004962680324466619,0.07044629390157171,0.05998541357994713,0.06526068526774768
AEE,0.016759216835415376,0.12945739390013758,0.10569804212375887,0.09388586275101327
ESS,0.6551158187386362,0.8093922527048527,0.7225817044318409,0.6160059226957479
ETN,0.49304700460605694,0.7021730588722818,0.6157487530114283,0.6697988219307682
O,0.012274498875990322,0.1107903374667228,0.10072493457747995,0.09350955279132264
MCO,1.0048780555973524,1.0024360606030454,0.8649413856594546,0.7378083263593501
NFLX,0.12121547446917322,0.34816012762689125,0.27943230094014326,0.28208902757054494
COST,0.00392641959323113,0.06266114899386326,0.04894471890728301,0.0486102805141526
TYL,0.033582842280368445,0.18325622030471012,0.15595929024862337,0.1884288590589057
TTWO,0.010496793939499231,0.10245386249185158,0.08442460358459523,0.06910628042453806
CSCO,0.1333914975753684,0.36522800765462715,0.31912132778970675,0.29802914175198364
VMC,0.16653252631069315,0.40808396968111005,0.34530518756589224,0.32396478742594315
EOG,0.24512928193647998,0.49510532408415886,0.38368720017219665,0.3659501477232504
WMB,0.3619473598289889,0.6016206112069208,0.5002239377659325,0.380643383624162
AMD,1.3011966871706873,1.1407000864253,0.924554982729578,1.180169028550296
PCAR,0.26260554188419255,0.5124505262795547,0.428458744030092,0.39604881123546115
AEP,0.02419039429353168,0.1555326148868194,0.13624284942408102,0.11733103036449412
AMP,0.683266541740706,0.826599384067461,0.7288870541556582,0.6819951384870848
WYNN,0.8040690710200903,0.8966989857360664,0.7237712367321725,0.7494543212713337
NI,0.13091988886285466,0.3618285351694289,0.31317136036478893,0.25692692273096396
CDW,0.035452481914360304,0.18828829468227787,0.1675864927488129,0.12568080420096747
WDC,0.444304674591915,0.6665618310343873,0.5774411822429549,0.4983507378117021
SLB,0.05469568654208566,0.2338710895816019,0.16504500859737495,0.16285557353829
HII,2.918799702957326,1.7084495026067719,1.4219614204386906,1.256043237279041
LRCX,0.1811117966697142,0.42557231661577116,0.3949291632135312,0.31394782674347993
SWK,0.035763467673685816,0.18911231497098704,0.15663489039970255,0.15884637698948342
TSCO,0.1183683755904093,0.344047054326017,0.3162604337177885,0.36411342389826656
BAC,0.32393708433301815,0.5691547103670654,0.4752941196927466,0.4581629773630116
GILD,0.011679164255701348,0.10807018208415006,0.0868164653907294,0.07123217892455021
AZO,0.17361521201398278,0.41667158772105256,0.33728083902528844,0.2992635575722722
TSN,0.04099082721982587,0.20246191547998818,0.16746343844425113,0.1430463760736228
WBA,0.009230446791892319,0.09607521424328087,0.08038229587977586,0.07026696669565738
FANG,0.5007996435653447,0.7076719886821469,0.5360826033688765,0.45477119382883224
RF,0.3869547456818621,0.6220568669196267,0.5020808028198064,0.49211410173956255
XRAY,0.0361778581305023,0.19020477946282605,0.1771260004378393,0.18231003530841386
NVDA,0.13323483376704576,0.3650134706651876,0.27544954136286526,0.23130283364694362
CHRW,0.016332330590008635,0.1277980069876234,0.10604439707715338,0.09681360972046339
STT,0.10928327668397964,0.3305802121784963,0.305854611797169,0.3146027191597787
VTR,0.002899600754064593,0.053847941038303336,0.04522103773853479,0.0452444364935066
ABT,0.16983809109330017,0.41211417240044074,0.3630092851271411,0.32758800580703057
BWA,0.17531755688131656,0.41870939430745585,0.3339046160814944,0.3209837510300848
GWW,0.05709284850526364,0.23894109840139188,0.201175002176542,0.2163381518903601
CCI,0.2147737620886029,0.46343690194955656,0.3998615051037847,0.38743187840063337
DE,0.5235078219098752,0.7235384038942752,0.6261475822270349,0.6481971919705629
MAA,0.17671269306265622,0.4203720888244797,0.3818025428861735,0.3500267733326717
T,0.07195857340891093,0.2682509522982368,0.23631828379857706,0.23639781001594903
EQIX,0.04201305012561917,0.20497085189270003,0.17899317296464706,0.15299875097952473
LEN,0.8503767645062246,0.9221587523340136,0.8123152525136634,0.7838106115974101
VRTX,0.155643404718935,0.394516672295272,0.3523049617559703,0.3093229824222391
PAYX,0.5825488940562271,0.7632489070127956,0.6894770297924415,0.709740828165864
DOV,0.5134065207170707,0.7165239149652095,0.6163280366763405,0.6046150217594353
DLR,0.6025869564659504,0.7762647463758421,0.6434205303240936,0.562065010356525
MNST,0.32426895094838004,0.569446179149865,0.5173104974176229,0.4366943015086259
KIM,0.2754240701873246,0.524808603385391,0.4637613148481628,0.41538160616333103
VLO,0.15225891812174822,0.3902036879909622,0.31368721582172937,0.308917524677869
EBAY,0.2125137902580313,0.4609921802569229,0.4048041876477886,0.4241002849612788
MU,1.3721132897069181,1.1713723958276114,1.0240422267546176,0.7624177003933188
PGR,0.13602089236180262,0.36881010338899695,0.3273716531179226,0.34495956742870004
MSFT,0.26829325846115204,0.5179703258499969,0.44292254194021674,0.37723156045178946
ZION,0.15880871680622807,0.3985081138524385,0.33149513361602256,0.3446433196751331
NEE,0.001566159200873799,0.039574729321548104,0.03357438549084826,0.030463233960173385
GE,0.2535044349143726,0.5034922391798831,0.45329747791925873,0.47963666207144195
NUE,0.14807289492981693,0.3848024102442927,0.34801474210584293,0.35885688951372247
ILMN,0.03829858576024387,0.19570024466066432,0.14004448556258584,0.09528991083037923
CBRE,0.01696133903848239,0.1302357056973332,0.11313599550426323,0.09891656324032874
KEY,0.2088673916553575,0.45702012171824286,0.39391067001266983,0.3891505880286731
GIS,0.13295456214113713,0.3646293489848796,0.32088177477141383,0.30908994363996223
NCLH,0.30874026356746137,0.55564400794705,0.505872615307626,0.51050544509467
PNC,0.049650298037131294,0.22282346832668073,0.18226940750521278,0.16278054382654428
WY,0.15037197295360874,0.38777825229583046,0.3580379202921636,0.3419786610307718
HAL,0.127476811904928,0.35703895012299147,0.22059669297041284,0.25125220510534185
FCX,0.6865182973936402,0.8285639971623436,0.7263574296230025,0.8684533785043921
UDR,0.5409206977595462,0.7354731115136339,0.6490237931245113,0.552568820290438
TDY,0.10085040497543513,0.31756952778161057,0.27632802768768044,0.2636356219368126
AXP,0.2253153896055072,0.47467398244006087,0.41805939095203587,0.4161171744092712
WAB,1.12535275881881,1.0608264508480216,0.9161037010405455,0.8424240374939773
SBAC,0.03907148315915956,0.19766507824893997,0.1615513757590443,0.13702261716145553
TROW,0.761240237743144,0.8724908238733196,0.759687294770913,0.774809836558505
TDG,0.007985835410196615,0.08936350155514619,0.0743700498151077,0.05954542362108033
ROK,0.7726039748310983,0.8789789387869873,0.7501868882322931,0.7637180311435683
MET,2.7377988980014156,1.654629534971927,1.359317553932192,1.3530063634099672
FTNT,0.23542547952333073,0.4852066359019946,0.39975360169837626,0.3442206176854245
LUV,0.3233675874404582,0.56865418967986,0.46798389075146857,0.2757484386244161
CAT,0.46333653745368214,0.6806882821480639,0.560594217004335,0.49865448266552403
K,0.01937913911628001,0.1392089764213501,0.12293517156334577,0.11806216245277415
BEN,0.2945055269228236,0.5426836342868869,0.4881905908265515,0.5064989946066442
KO,0.0793019394715399,0.28160600041820827,0.25808656561178495,0.25332959796408866
KMI,0.9893655897304712,0.9946685828608799,0.8952393880176389,0.8469836380478563
VZ,0.0015050452145341797,0.038794912224854684,0.03208346111927699,0.03261647016698777
GRMN,0.18701660318515018,0.43245416310303936,0.39239073752541787,0.3388743924451129
AMAT,0.16325890886544112,0.40405310154166757,0.33719210350532786,0.2765692679630667
HD,0.06114880498854923,0.2472828441047806,0.23108013730810315,0.21890072189396778
ROL,0.2394020632393832,0.4892873013265143,0.434720380117785,0.4299820081819507
ALGN,0.29588445211082204,0.5439526193620379,0.4602140518932557,0.5013111819965923
MTD,0.036854400337176435,0.19197499925036185,0.14804453800709566,0.13938069939753478
TAP,0.004188334711114501,0.0647173447470962,0.053137391908663005,0.044115871814414585
MO,0.09881992278617403,0.31435636272576706,0.29637124264744696,0.2584280922646797
KMB,0.04019607394230129,0.2004895856205536,0.1707116128984446,0.16280204821873195
LH,0.1644124315641863,0.40547802846046577,0.35942299373573,0.3742046798144988
WM,0.03677053350291367,0.19175644318487364,0.1840407465803303,0.18174809978052472
HUM,0.01465844000737816,0.12107204469809767,0.09675428731570909,0.08248633738862196
CVX,0.08108676225525976,0.2847573743650193,0.24835895959397317,0.25692025043723854
GM,0.06823720969644438,0.26122252907520127,0.24492044593498452,0.29597294351145564
