,mse,rmse,mae,mape
AWK,0.017216062162350183,0.13120999261622637,0.11504562220877414,0.09964188928203503
IBM,0.282103516616095,0.5311341794839558,0.4496109176980673,0.4687842644229391
SEE,0.3381232006426767,0.5814836202703192,0.5261858484712437,0.5079185464441178
UPS,0.12684989857785955,0.3561599339873304,0.32854518946560196,0.334717777073487
FCX,0.8730714231235913,0.9343829103336551,0.8139122824185503,0.9728922000012601
J,0.7546414392085281,0.868701006796083,0.7428703365156513,0.9435226499584891
BLK,0.3522527260183348,0.5935088255606101,0.535079929032287,0.5180793721758342
WELL,0.2808084807344005,0.5299136540365803,0.46537982326897204,0.44077453701323777
MSI,0.11325700781131931,0.33653678522758745,0.2984232631194925,0.3115729574476937
CBOE,0.020938341540966274,0.14470086917833727,0.12488602445257038,0.12484629149163724
LMT,0.2878599242504517,0.5365257908530137,0.4662925556292746,0.3901759630563945
ROL,0.1971173587352225,0.4439790070884236,0.39711616232058217,0.3929178744368606
CB,0.0452057848367305,0.2126165206110064,0.200632287168562,0.19416376357286813
SYK,0.04472203545284839,0.21147585075570305,0.18002499406616196,0.1591232570247646
UHS,0.25911602746686047,0.5090344069577817,0.4219810037053398,0.34326465717528115
LYV,0.26882192510379155,0.5184803999224962,0.439889228771858,0.3679143872339183
DXCM,0.02543560195671756,0.15948542866581122,0.13648419137463452,0.12357371330166227
XEL,0.017476991623466,0.13220057346118436,0.11507172513949568,0.10095461043025732
K,0.029334327428037897,0.17127266982223957,0.15091733933310314,0.14515045250887465
CBRE,0.15631309700358426,0.3953645115631703,0.3458359330649404,0.29767129849318696
CNC,0.35796321242297374,0.5983002694491903,0.5019689050709077,0.40867174510451015
VZ,0.0038824383815138004,0.06230921586341623,0.05453986646529845,0.0560865706862877
YUM,0.012961975675147713,0.11385067270397532,0.09183300720856824,0.09723905816046499
CRM,0.1419138887152077,0.376714598489636,0.325870559753212,0.32959286544332617
TROW,0.3368909324973083,0.5804230633747322,0.5144017865343758,0.5243459477072587
IVZ,0.060259687062423836,0.2454784859461697,0.2271856943757407,0.21564555170052532
WU,0.05643624665728778,0.23756314246382534,0.21970583924773535,0.24681616911601506
LIN,0.11964947414223434,0.3459038510081007,0.2997251617635617,0.2985563033813276
WEC,0.022848269867096493,0.15115644169897785,0.13061198038614133,0.11461451537772996
ESS,0.6203381759108758,0.7876155000448352,0.7029971401715225,0.5992705078560281
VLO,0.18823969408363053,0.43386598631793033,0.35283760879080767,0.34687047374195923
ADSK,0.29744815646003975,0.5453880787659735,0.47770663499769056,0.43675649145189877
COST,0.028000114428148662,0.16733234722595827,0.11729831108504826,0.11192665792511057
VTRS,0.04428326402277704,0.210435890529104,0.18863934050800402,0.1621611397760133
TSLA,0.29437585262486443,0.542564146092298,0.43648829510052334,0.3535898007271447
ROP,0.3921680084031446,0.6262331901162255,0.5566446170253604,0.5234346936029606
ADBE,0.11090434543805837,0.3330230404011986,0.2819936501275935,0.24597145179586927
ODFL,0.045554119215313583,0.21343410977468805,0.19539418946627635,0.15778202997391427
REGN,0.2378479232713308,0.48769654834879733,0.4140072091577036,0.3677346212064402
STT,0.04144725430523078,0.20358598749725085,0.19165741359241734,0.19912109998626124
NOV,0.07076324715171733,0.2660136221168332,0.22435103782278065,0.22082252504091618
CMS,0.004005939692257897,0.06329249317460876,0.05025705671949027,0.04371906095401945
AON,0.0016987266710443488,0.04121561198192196,0.03265810390645938,0.0320803438940106
GE,0.2429168652750283,0.49286597090388407,0.4429257475044513,0.46877226531794247
ECL,0.012728243384827934,0.11281951686134777,0.09584439736059676,0.09226425067839229
APA,0.023896504383881977,0.15458494229349112,0.11693379838966454,0.11966760111563125
IPG,0.01722681437423508,0.13125095951738822,0.11418631826659169,0.1081286774157992
BA,0.04202611874893721,0.20500272863778476,0.1875552132269804,0.203098833577864
CSCO,0.08702146408145738,0.2949940068568468,0.2574450907155536,0.2407124166792016
NWS,0.0391571049977751,0.19788154284261858,0.17048691660276893,0.19453944495234557
CDNS,0.00953740737754912,0.09765965071383943,0.07965994701868866,0.06844620673270718
TFC,0.38442763818226955,0.6200222884560438,0.5332150473760718,0.5163661514323469
D,0.003181174874112582,0.05640190488017743,0.04969162044255761,0.04617172042821458
IDXX,0.006738263339058664,0.08208692550618926,0.06046634402883632,0.05372747125355757
