,mse,rmse,mae,mape
AWK,0.04233249906813002,0.20574863078069322,0.17898198276945365,0.1546246168015133
IBM,0.5659892056298697,0.7523225409555861,0.6419381591745061,0.6679755409985185
SEE,0.3953378148258599,0.628758948107985,0.565217378425529,0.5449391245803622
UPS,0.17535096162218747,0.41874928253334054,0.3818648735852941,0.388675288148694
FCX,1.103342646331525,1.0504011835158626,0.9126371757246158,1.0901125315920752
J,0.9108580206892658,0.9543888204967962,0.8157514057317435,1.0361721107823583
BLK,0.4245196335926068,0.6515517121400317,0.583767925932542,0.5645682657511023
WELL,0.2256984817530094,0.47507734291692905,0.41809279308641195,0.39608136077468514
MSI,0.21455304672258962,0.46319871191810286,0.40712572952566206,0.4250269045929602
CBOE,0.03262211943925695,0.1806159445875611,0.15773091727522243,0.15572973117144603
LMT,0.42517196452220457,0.6520521179493282,0.5656644977227543,0.4728281262149887
ROL,0.2494701066240351,0.4994698255390761,0.4432605049838045,0.43840783192513827
CB,0.07825102449584655,0.2797338458174959,0.25807058826137524,0.2487558621693858
SYK,0.10268295000592535,0.3204418043981237,0.27157200475871285,0.23935031648938593
UHS,0.25834998715558644,0.5082814054788808,0.4234593321859107,0.3450033789832595
LYV,0.3207899048486958,0.5663831784655118,0.4791781563019713,0.4004931701105323
DXCM,0.02531313590287234,0.1591010242043474,0.136902506307757,0.12358771444061593
XEL,0.0023126060731313387,0.048089563037434,0.03793292308204222,0.03328734215899172
K,0.01445021454068234,0.12020904516999684,0.1054763426338046,0.10110036329328952
CBRE,0.15494933610433678,0.39363604523002815,0.3409854589088716,0.293367041627666
CNC,0.2892998308954018,0.5378659971548693,0.4500381230498364,0.3659312460208094
VZ,0.009106051820447457,0.0954256350277401,0.0849046324458872,0.08660389866325835
YUM,0.037233455715276434,0.1929597256301854,0.15931374779937638,0.1677486047065359
CRM,0.23434695854686682,0.48409395632136004,0.4127021985216324,0.4167537506968078
TROW,0.4941313927300282,0.7029448006280636,0.6198449145620921,0.6318539876296103
IVZ,0.0848702315913711,0.2913249587511703,0.2664521274203273,0.2520257133908101
WU,0.08559418157172276,0.2925648331083604,0.2673577070421977,0.2995583874594496
LIN,0.2439570253064507,0.493920059631567,0.42690547214493757,0.4252207964500924
WEC,0.0032356762775364676,0.05688300517321907,0.04585457477029519,0.04058214220785569
ESS,0.5712224707517172,0.7557926109401422,0.6757087622029708,0.5761749172707593
VLO,0.21357889887681622,0.46214597139520347,0.37415297007867093,0.3681653035568262
ADSK,0.44012612795583606,0.6634200237826984,0.5789398078975347,0.5283566838926915
COST,0.008325938864235972,0.09124658275374466,0.06264995762609278,0.05994384419426512
VTRS,0.013197059876592258,0.11487845697341281,0.09414440070720778,0.08020696676318331
TSLA,0.3418111788887556,0.5846461997556776,0.46839826020766534,0.37825821049710123
ROP,0.5909810872054354,0.7687529428922113,0.6793081040934426,0.6381054076870557
ADBE,0.20399741570492266,0.4516607307536517,0.38198194898643506,0.33237244414523676
ODFL,0.09168492693796586,0.302795189753678,0.2730451580674789,0.21833922998370675
REGN,0.22617615097825303,0.4755798050572091,0.4048317786631687,0.35989199093731317
STT,0.11851775899354527,0.3442640832174412,0.3176291879837096,0.32636576916649096
