,mse,rmse,mae,mape
LVS,0.20957953208661942,0.4577985715209468,0.3755867979671351,0.45587625060930403
PAYX,0.6294283927983796,0.7933652329150677,0.7149884710084052,0.7529063333709785
KMI,1.1878487909235513,1.0898847603868729,0.9732230126692966,0.9560632756142026
WAT,0.09456198417693594,0.3075093237235839,0.2547941521200307,0.2570463082335446
UNP,0.0032886002286563513,0.057346318353110964,0.04254239235802944,0.034365159250197834
LRCX,0.21475534718000483,0.4634170337611737,0.4257029165948684,0.3432089678629263
EW,0.11393890059939377,0.3375483677925191,0.26132394072392595,0.19555132807691036
ROL,0.2572100917569907,0.5071588427277895,0.4498631439739338,0.4495479257619874
MSFT,0.18765405779046404,0.43319055598023376,0.36971145193634625,0.32054558010100415
CVX,0.11735554460161388,0.34257195536356133,0.29830774202052485,0.3153905401100434
AJG,0.004252517483613025,0.0652113294114836,0.05819369312024096,0.060781931480079515
DOV,0.6876124849945987,0.8292240258184749,0.7120388429410465,0.7063763680517802
CDW,0.018600406090770245,0.13638330576272978,0.11844747874839426,0.08951972801334385
DLTR,0.01659787872889469,0.1288327548758261,0.11684676646715408,0.12828484627828785
BKR,0.024131918028624317,0.15534451399590626,0.12729336306830824,0.12066416088802152
PRGO,0.012565420787578031,0.11209558772573536,0.09071200214390594,0.09207254379188308
GD,0.13270390620372438,0.3642854735008306,0.31087080958855673,0.23723222883509226
TXN,0.013027980715548455,0.11414018011002285,0.09534816362273764,0.08828760006414516
ARE,0.0032998822498843785,0.0574446015730319,0.042773483795894414,0.037420061007004735
A,0.2647190485654759,0.5145085505270791,0.44944698179591724,0.4564590143439013
BDX,0.14269609673994463,0.377751368945163,0.3319863539173283,0.30195171307106633
DVN,0.040322488530546055,0.20080460286195148,0.13186472873284613,0.13977715824925244
ORLY,0.025587912339160853,0.15996222159985418,0.13461128585597815,0.11516180087153635
FFIV,0.32315743191828716,0.5684693764120343,0.47381978973499356,0.3672611086198831
MSCI,0.01585933715433114,0.12593386023755143,0.10240499853716974,0.0988200106121211
UNH,0.015975423202115376,0.12639392074825187,0.1141646179482886,0.1026928626333747
SCHW,0.08665378398540904,0.29437014791824434,0.2575543798969373,0.24110998122815488
HBAN,0.16429181511105773,0.40532926752340215,0.36112509945663035,0.35883712981575927
PNC,0.06217412717316251,0.24934740257953864,0.2040944255810916,0.18562231765665238
GOOG,0.18882368708676733,0.43453847595669515,0.3650916676507608,0.3699573889500564
MET,0.3530313203344804,0.5941643883088925,0.5264235028571622,0.5343240104030891
RJF,0.5179344150903009,0.7196766045178216,0.6332719575388324,0.6220185950155155
IT,0.5141061577334585,0.7170119648467929,0.64094991637136,0.6069595500210749
AAL,0.03489505691965123,0.1868021866029711,0.160420427893166,0.11308706790925306
HCA,0.12280731134977389,0.3504387412227334,0.2873002952475288,0.2141415204377916
SYY,0.06696004353619806,0.2587663879567786,0.23366681145172835,0.24956452392306622
