,mse,rmse,mae,mape
LVS,0.24882308233882175,0.49882169393363573,0.4111572249768613,0.4983692810081247
PAYX,0.4886466190299394,0.69903263087637,0.6321659602566965,0.6661052902946285
KMI,1.1261177851774464,1.0611869699433019,0.9482613098216384,0.9317459662891481
WAT,0.03634908901284768,0.19065437055794887,0.16038882272648047,0.1621912280286712
UNP,0.0024033670260793986,0.04902414737738331,0.03712872209501646,0.029179773069195537
LRCX,0.22669269338621478,0.47612256130771075,0.43673224591891446,0.3517604966697252
EW,0.014860859795249785,0.1219051262057908,0.10364303623140035,0.09377581584978822
ROL,0.21933994172340834,0.46833742293714725,0.4162078600502018,0.4160477897238837
MSFT,0.16157724601751886,0.40196672252503546,0.3418744326070256,0.296188540671857
CVX,0.10101175083146834,0.3178234585921378,0.27700031258636026,0.2930306179797617
AJG,0.0007536162394463136,0.02745207167858764,0.022648596736950185,0.023760399806040132
DOV,0.45832175098160644,0.6769946461986287,0.5781345925025685,0.5745040926657097
CDW,0.018271993368648733,0.13517393746077214,0.11744186572293089,0.08874604499609326
DLTR,0.011854520785008265,0.10887846795858337,0.10053160566869948,0.11016862277915827
BKR,0.025286943577709373,0.15901868939753394,0.12656207740665093,0.12114200752040828
PRGO,0.023662259018106525,0.15382541733441363,0.12510556632076658,0.1271422328621838
GD,0.0870174577940411,0.29498721632308256,0.24915652096604263,0.1900576720446351
TXN,0.012317245268675635,0.11098308550709714,0.09326747565601864,0.08644178925851707
ARE,0.0022500601062616287,0.04743479847392238,0.03577103351858293,0.03185330794728399
A,0.21822595283123455,0.4671466074277266,0.4078689428456689,0.41429957839062503
BDX,0.10017274553722309,0.31650078283824684,0.2783147479705428,0.2534800157454479
DVN,0.046165385719116894,0.2148613174098979,0.1413080463493813,0.14987302494853671
ORLY,0.008222611442717158,0.09067861623733105,0.07152665698066697,0.06272426490096797
FFIV,0.2373956307831535,0.48723262491663416,0.40759339171439923,0.3161693829463001
MSCI,0.014425858960586544,0.12010769734112191,0.09655556603593754,0.09309184455944187
UNH,0.005608135518913807,0.07488748572968522,0.06343193704983521,0.05867043606440285
SCHW,0.05165331964255359,0.22727366684803937,0.19853826712585737,0.1863068663285602
HBAN,0.13769446796382415,0.3710720522537694,0.3303486071288867,0.32835084132815784
PNC,0.03938546591159057,0.19845771819606958,0.16022005806502249,0.1458367100206988
GOOG,0.1548606630039021,0.3935233957516403,0.32882855900371677,0.33347725092455055
MET,0.22372913046054813,0.47300013790753603,0.4201910952082677,0.42685666256121024
RJF,0.42049191235566563,0.648453477402709,0.5706351167809304,0.5607307548933661
IT,0.4184865783420567,0.6469053859275379,0.5792934788466028,0.5489463185214951
AAL,0.03618787877309285,0.19023111936035295,0.16399021288825072,0.11454907062457591
HCA,0.07092138221357672,0.2663106873814431,0.21103818682879147,0.1554919382829098
SYY,0.1333816915962774,0.36521458294580383,0.32660712338446685,0.34837475439885296
