,mse,rmse,mae,mape
LVS,0.12113801922225848,0.3480488747607992,0.2839062059164832,0.3451741009112577
PAYX,0.648777530141333,0.8054672744074293,0.724969646291289,0.7631682633221949
KMI,1.080598791625433,1.0395185383750658,0.9300323814124163,0.9143225891692821
WAT,0.2578367689364214,0.5077762981239095,0.42288030099049356,0.42543574960416713
UNP,0.04097260777495936,0.20241691573324438,0.16727552110175598,0.1322910179347159
LRCX,0.2173593958971206,0.4662181848631825,0.4282048237355259,0.3451729093312816
EW,0.42731605825986446,0.6536941626325452,0.576068155421373,0.46656049583800513
ROL,0.3809467355205159,0.6172088265089182,0.5445696521674074,0.54401994793476
MSFT,0.2102420171592815,0.4585215558283836,0.3915418031350951,0.33953220622427727
CVX,0.2089977502854387,0.45716271751471454,0.39665798009989595,0.41883518216529514
AJG,0.027287794906220107,0.16519017799560634,0.1441817538271242,0.14995579357943023
DOV,0.4941020904848622,0.7029239578253555,0.6020195051471907,0.5977658222108586
CDW,0.01143930576181183,0.10695469022820751,0.09158088682163627,0.06968208664616259
DLTR,0.032960972721542026,0.18155157041882625,0.169990227072278,0.18333539217516956
BKR,0.019121504601733383,0.13828052864280416,0.1259013832097357,0.11455097172587045
PRGO,0.015964646992121675,0.12635128409367938,0.10537645785068746,0.1113477782371197
GD,0.17409314534885048,0.41724470679548525,0.35677228179224346,0.27218708479413833
TXN,0.011073479422159194,0.1052306011679074,0.08737834780751332,0.08105685180809404
ARE,0.009512529391909937,0.09753219669375819,0.08918395423768709,0.07669379738118247
A,0.4330692627066945,0.6580799819981569,0.5736977904527288,0.5823728981846007
BDX,0.20000632802283977,0.44722067038861224,0.39180808860526556,0.3559952040072185
DVN,0.12310201124454136,0.3508589620410762,0.2570763791840163,0.2671351393757377
ORLY,0.17457261251259473,0.41781887524691214,0.35013784458325736,0.29485699731327414
FFIV,0.7935703609826539,0.8908256625079084,0.7440494961046775,0.5758777398731973
MSCI,0.022763453407489663,0.1508756223101985,0.1273738624428791,0.12544222270116853
UNH,0.4083071929877021,0.638989196299673,0.5604667586329878,0.48771783641234595
SCHW,0.408116484995895,0.638839952567069,0.5557050829846923,0.5178425569444266
HBAN,0.0591861282165797,0.2432819932024968,0.21900461450151645,0.2183178215009853
PNC,0.12062563419799589,0.3473120127464581,0.28654036724511384,0.260651622368434
GOOG,0.015115105963599447,0.12294350720391642,0.1042401015686535,0.10613625378016239
MET,1.0389523311225979,1.0192901113630985,0.8908067236233183,0.9034215596101572
RJF,0.4013401921632692,0.6335141609808491,0.5582102286087212,0.5488089287141282
IT,0.5879845338578328,0.7668014957326523,0.6838903836981403,0.6472069763854911
AAL,0.09365447971348463,0.30603019412058774,0.27960380028286447,0.1850350733210595
HCA,0.18452015263758584,0.4295580899454529,0.3566046984410758,0.2670535759107839
SYY,0.012017040301154887,0.10962226188669383,0.10170877334169166,0.10921331515068379
CTSH,0.7207717538285379,0.8489827759316074,0.7379519518333806,0.7652035409609478
J,0.8767583159098361,0.9363537343919958,0.8011849543878873,1.0173226774379103
AAP,0.04959297999977985,0.22269481358976426,0.1837797152221233,0.14824598497103567
LH,0.15173415646224575,0.38953068744611863,0.3443043956600803,0.35797661216752996
HRL,0.019727933446417403,0.14045616200942343,0.1208382650618391,0.11007348290722184
IPG,0.2954967937439561,0.5435961678893222,0.47352841559331366,0.4450602671066572
APA,0.07197662960665739,0.2682846056087777,0.18671467454502524,0.2372076811206847
AMT,0.0015202980003909796,0.038990998966312466,0.028796375301696576,0.025072992725097422
CTAS,0.7105527306127132,0.8429428987853882,0.7503818306856949,0.6729184670055316
ABBV,0.07810417822492445,0.2794712475817941,0.2071332110147424,0.18641013626227268
RMD,0.43307482891205384,0.658084211109835,0.5644222726902568,0.6379905508564193
LNC,0.08039391871313038,0.283538213849792,0.2564285637582813,0.2552021749135183
PG,0.024059755165041205,0.1551120729183941,0.12456219724452869,0.12498678042693612
JCI,1.177150708723111,1.0849657638483856,0.9358998474725857,0.8926887114008295
MKTX,0.5186192019783634,0.7201522075078042,0.6504840584052082,0.7683229836978884
CSX,0.034150143071162306,0.18479757322855273,0.17287046519370394,0.15928829690517682
ALGN,0.6484270954125138,0.805249709973567,0.6772231709154227,0.7408647081527862
SEE,0.2672119597121319,0.5169254875822356,0.4677630355806063,0.4557957553785453
TSCO,0.12452551439645827,0.3528817286237108,0.3228866548757553,0.37860990274644973
WAB,1.0885793583512227,1.0433500651033778,0.9100471961548136,0.8386688450354892
LOW,0.04438877442235757,0.21068643625624686,0.19142600544209906,0.19681053439608368
V,0.6426163693931264,0.8016335630405743,0.7102068291962086,0.7068477365052266
TT,0.6267930742787929,0.7917026425867183,0.6987502355575438,0.7124046306349057
TSN,0.013267677291419129,0.1151854039860048,0.09105113726683657,0.07720344242761192
VTRS,0.028400666812076196,0.16852497385276818,0.1274056066359874,0.11275910348880867
MHK,0.16020082491662052,0.4002509524243765,0.3587788536578227,0.382378132693368
CPRT,0.07158567153392105,0.26755498786963594,0.23275103062012123,0.24783617985548745
FIS,0.13358689073997185,0.3654954045401554,0.3248356241712388,0.30775680253029464
NOV,0.008615736550524377,0.09282099197123664,0.07801664503065706,0.07804852433794116
IBM,0.6951037197245523,0.8337288046628546,0.711229745623195,0.7524291730012787
APTV,0.11366045491967962,0.33713566248571153,0.2720409617642782,0.2405312446363365
LLY,0.002969497173160125,0.054493092894055156,0.04371840912373145,0.03585581162535616
AWK,0.005541167782458823,0.07443902056353793,0.0646194036782871,0.057633028652940316
GOOGL,0.009358952728028821,0.09674168040730335,0.07708703074537855,0.0776462489620799
EQR,0.26806443619104614,0.5177493951624146,0.4588831182738102,0.3918438323788508
RTX,0.30492495145444737,0.5522001009185414,0.46714201656190274,0.48237778136377196
NTRS,0.518563808476106,0.7201137469012142,0.6309717504461683,0.5961596981254079
PSX,0.30387829396661714,0.5512515704890256,0.4612425920770575,0.4534464688068442
KMB,0.031001975973873837,0.17607377991590298,0.15058302292356984,0.14756063921555984
XOM,0.4377970689932462,0.6616623527096326,0.578682730896339,0.6092870632724288
CHTR,0.07290872159008453,0.270016150609708,0.23518049046147563,0.2209042373596874
