,mse,rmse,mae,mape
AWK,0.060011890671533064,0.2449732448075362,0.2134733333642733,0.1843468924868174
IBM,0.5800700539549176,0.7616233018723348,0.6501328987380531,0.6764515831293348
SEE,0.4714189947092641,0.6865995883404418,0.6162013260991149,0.5935988748507873
UPS,0.18119968893625157,0.425675567699453,0.38799152281711846,0.3948670220544937
FCX,1.2173252213675494,1.103324621934791,0.959128057539008,1.1450209287531945
J,1.2347309999129954,1.1111845030925311,0.9531878572932697,1.2094626234313282
BLK,0.5923932816650088,0.7696708917875281,0.687435273305273,0.6642965878510272
WELL,0.23307793556793996,0.48278145735719796,0.42482287946543706,0.4024534378397797
MSI,0.22570104125850476,0.4750800366869826,0.41752010227279757,0.435849760800099
CBOE,0.05339163042658202,0.23106629011299337,0.20304584422175273,0.19886350531191416
LMT,0.4206452388792054,0.6485716913951807,0.5625852008674453,0.4702504458502307
ROL,0.26109008389729077,0.5109697485148126,0.4533585478128085,0.4483509847271596
CB,0.10988467590770831,0.3314885758328759,0.30374553246564434,0.29232819062414755
SYK,0.1986156576644229,0.4456631661517731,0.38120362240289735,0.335673351970558
UHS,0.2840124625147569,0.53292819639681,0.4454006184400001,0.3633371006395659
LYV,0.3617233283161806,0.6014343923622764,0.5099976666153249,0.42618083460677186
DXCM,0.030721960062270737,0.1752768098245479,0.1493579392922607,0.13587134775372905
XEL,0.002235246372557377,0.04727839223744159,0.037218737991427955,0.032668764048592064
K,0.015923106261291935,0.12618679115221187,0.11088792240995693,0.10632349787765775
CBRE,0.17644454646549557,0.4200530281589404,0.36418944329199643,0.31318801128980983
CNC,0.1751279419539971,0.41848290521118914,0.34394137233918926,0.2777117514072264
VZ,0.026685236963510637,0.16335616597946537,0.14580039339496875,0.14801399988370226
YUM,0.08246588998304773,0.28716874827015515,0.243301852774239,0.25505292725347556
CRM,0.20615076271445765,0.45403828331370655,0.3876641854514794,0.3915477793746195
TROW,0.5878909903541505,0.7667404974006202,0.6757534025088402,0.6887495355740553
IVZ,0.08544806930692744,0.29231501724497055,0.2673634422707118,0.25288235423999744
WU,0.13142650866497704,0.3625279419092783,0.32921711781907437,0.3681892249612169
LIN,0.2487934181805573,0.4987919588170576,0.43121488978791006,0.4295086897496866
WEC,0.0028873945680550337,0.05373448211395578,0.04315310777777556,0.03844038741906611
ESS,0.5525854639132767,0.743360924392234,0.6646818830356104,0.566779041774709
VLO,0.22653726675712108,0.4759593120815277,0.38625930554516064,0.3799372941379558
ADSK,0.43885648406381955,0.6624624397381481,0.5780875038918963,0.527582493767871
COST,0.007825632623287579,0.08846260579073838,0.061116912943213815,0.05859066550939527
VTRS,0.007194392821013308,0.08481976668803863,0.0629638802867764,0.05597290351140626
TSLA,0.24205697960164096,0.49199286539709186,0.39215847578110624,0.31731051773527447
ROP,0.5552474360946363,0.7451492710153023,0.658679688468541,0.6187801228965883
ADBE,0.210156666964025,0.4584284752979738,0.3880125321483252,0.3376026092876512
ODFL,0.07837476783684105,0.27995493893989626,0.2528301546113676,0.20247132762022949
