,mse,rmse,mae,mape
STE,0.2635099311285261,0.51333218399836,0.4647002446543347,0.40082887502073533
REG,0.13624884374289223,0.36911901027025446,0.3230489881479957,0.29273527472286676
WFC,0.14069135213147388,0.3750884590752878,0.32316333900265026,0.27985283344569456
JBHT,0.036012781783114935,0.1897703395768552,0.17404190155646168,0.17555520388660564
SJM,0.001356703311612534,0.03683345370193425,0.031876070432526576,0.03533614829213762
PFE,0.007305660206853464,0.08547315489002066,0.07200649997616529,0.07407050480344443
EQR,0.12030328545727899,0.3468476401206717,0.309602882150026,0.2567025608084194
TSN,0.06346361602920399,0.2519198603310267,0.23494904889144877,0.19935182273799096
TDY,0.1412822157187289,0.3758752661704796,0.3259549255820687,0.3106900853081148
GOOG,0.20494192957794355,0.4527051243115584,0.38123854311219263,0.3862106539916293
CMCSA,0.43468701854888947,0.6593079845936112,0.5767364701501498,0.5505482855956328
MRK,0.03323082914251435,0.18229325040306443,0.1401836460571852,0.1177613624384049
TXN,0.011752008124090873,0.10840667933338274,0.0895237391408258,0.08158441123856228
XRX,0.3076428919032501,0.5546556516463617,0.5036270414201534,0.4768615082535679
HRL,0.03292648459015687,0.18145656392138826,0.15628581419651413,0.1406575260777157
BSX,0.28356765690500974,0.5325107106012139,0.4442323201854373,0.43184184774372975
EMN,0.4282199043702123,0.6543851345883495,0.5478297910736107,0.5450316624733698
LVS,0.23266404131502588,0.4823526109756491,0.3970695462804605,0.47323555303003617
ADI,0.2259878339899398,0.47538177709072926,0.41055548588049584,0.4024015735168917
NTAP,0.009991093390118217,0.09995545703021029,0.08270369163694789,0.086198818587001
NWSA,0.045815310742388884,0.21404511380171443,0.18019119261083258,0.1992453003162907
CAH,0.09836962481999854,0.3136393228216107,0.27801610310512787,0.2506570936680602
MGM,1.9396479144189684,1.3927124306255647,1.1754633896363471,1.1872672923498317
ADM,0.32498415232522676,0.5700738130498776,0.5149226937079462,0.4691402145545492
MSFT,0.22124826918780988,0.47037035321947096,0.40181363858131547,0.3421039094506222
V,0.8093387063497622,0.8996325396236856,0.7951443430916676,0.7868426897511888
FMC,0.09798684012648433,0.31302849730732873,0.24611218178872238,0.30244353666709856
CDW,0.018603958997596457,0.13639633058699363,0.11828849043403979,0.08903287157598498
GS,0.3131381917599496,0.5595875193032361,0.5092103132307819,0.5079776689618422
TPR,0.08061036045753461,0.28391963732284287,0.2598431012569997,0.38898435391033986
MA,0.6227768710937609,0.7891621323237455,0.7074581851327115,0.7575125077334572
SNA,0.13244812392913594,0.36393423022455024,0.32579715474429277,0.28672307411146736
IPG,0.10659036878611498,0.32648180467847665,0.2872269849725574,0.2674991010095142
COP,0.00970349766125446,0.09850633310226535,0.0822134680076201,0.08194315035908178
EBAY,0.29718282594682216,0.5451447752173932,0.47650831274549316,0.498673898069393
SWKS,0.4466420961519001,0.6683128729509107,0.5626566650317687,0.29918740031312585
COST,0.007361906913918189,0.08580155542831487,0.059708548571611744,0.057367686510891046
EXPD,0.0757378545173017,0.2752051135377061,0.24823249416362073,0.2703828076590949
GL,0.10258157715292694,0.3202835886412648,0.2796299780327491,0.27310456545790607
TRV,0.13165955994468392,0.3628492248092642,0.33455556097790545,0.31762515801314123
DPZ,0.00892625013057956,0.09447883429943216,0.06407633344555708,0.05290428066522157
DLTR,0.016084340895358113,0.12682405487666018,0.11490728476124389,0.12622431846067367
WBA,0.009657401698813305,0.09827207995566851,0.08903542390671626,0.07992034298874433
F,0.9438826310532518,0.9715362222033987,0.85625928591641,0.9399023891774885
J,1.1768315321501568,1.0848186632567476,0.9299421106877315,1.18019400169596
WMB,0.4490277124581029,0.6700953010267293,0.5566061455023247,0.4207477002867667
DUK,0.010197023399928657,0.10098031194212394,0.0772446399268637,0.07009346591648903
OMC,0.4270255666211352,0.6534719325427338,0.5730751859417972,0.5844139510463194
GM,0.18898211190395645,0.43472072863386263,0.39666089650347536,0.48074965631142597
EFX,0.06523284542325289,0.2554072149005444,0.22646032951290207,0.2083564047295118
IP,0.2506211607917689,0.5006207754296348,0.45162484011771226,0.4390556720099802
FITB,0.29778403254919433,0.545695915826016,0.4619268548411033,0.47126062541463465
STZ,0.10770875547743114,0.3281901209321072,0.3031509431394872,0.24667174904944833
SWK,0.009484686556935075,0.097389355460107,0.0785930863033915,0.07785804678029364
HSY,0.012657466754506443,0.11250540766783809,0.09627443425069679,0.09950928115615132
AME,0.7703642344772723,0.8777039560565238,0.7656743325789145,0.7795316919883395
MSCI,0.016605832063072454,0.12886361807380878,0.10465506404336178,0.10082056695208197
ROK,0.7258227078850681,0.8519522920240711,0.7288525978986788,0.7416682766698193
ETR,0.002122996554335784,0.046075986742942186,0.038556174379564996,0.03354527190809684
IFF,0.009231306201266016,0.09607968672547812,0.06733669682681381,0.06050187139940226
USB,0.13969883883598502,0.37376307848152285,0.32434701913835384,0.3054861415033028
DFS,0.04973427851300509,0.22301183491690546,0.19395769197634072,0.17258583478038844
ES,0.046680188203017316,0.21605598395558803,0.185221791620842,0.16745106569924356
CHRW,0.0060315975318203435,0.07766336029184125,0.06466891052039131,0.06274442560685901
PKG,0.15953730944329064,0.39942121806845793,0.33327676100504694,0.30182084837495693
ORLY,0.02461865346468253,0.15690332521869169,0.13190415414906037,0.11290643562333931
MCK,0.00720179215902316,0.08486337348363639,0.0766545607503796,0.0660138114864842
CPRT,0.106624801941828,0.32653453407232136,0.2839777163274272,0.3021855727802136
PNW,0.0166276769786777,0.128948350042479,0.09818880448060315,0.09223236137527284
VRSK,0.01867498341537261,0.13665644300717258,0.1279688794228314,0.1427279914381137
MSI,0.21199678210118286,0.4604310829007777,0.4046929987112523,0.4224934432289472
CVX,0.10569997766692915,0.32511532979379665,0.2827099978861429,0.29219979897784204
FTI,0.06570254831156665,0.25632508326647757,0.20429204230009856,0.23030277927327145
KMI,1.3488972267911337,1.1614203488793942,1.0364441222087022,0.9776911713289946
GIS,0.0740826678053208,0.2721813142104373,0.2401144666890307,0.23094841396858826
NFLX,0.12512954871242254,0.35373655269483045,0.2837362135209505,0.28610317812433744
IT,0.5184562402094179,0.7200390546417729,0.643631925858362,0.6094864759658495
RF,0.10141687096861492,0.3184601560142413,0.2602541680264216,0.2550456778736196
TSCO,0.5011898521051854,0.7079476337309034,0.639177031373324,0.7277227454359799
JNJ,0.021227385469646514,0.14569620952394924,0.12724424027922723,0.11530064895296424
TFX,0.12285428335869368,0.3505057536741639,0.308929852107015,0.2771940839423224
WAB,0.8005684648830788,0.8947449160979227,0.7819472826388646,0.71981832382092
HD,0.09197215883005468,0.3032691194798024,0.28197823320784826,0.26480980832903894
SYY,0.03746333826678357,0.19355448397488387,0.17581822485018378,0.18360731424341128
AVB,0.12104457823490658,0.347914613425344,0.30669023687438834,0.26961170760883757
K,0.015604358463045998,0.1249174065654823,0.10973628644772362,0.10521161118197302
NEE,0.017993783262775512,0.13414090823747807,0.10104130755704167,0.08896817730088588
TGT,0.031129576048451676,0.17643575615065013,0.1270033786424609,0.12686499137908863
FANG,0.9104294249358771,0.9541642546940632,0.7522524312115917,0.6309638753526171
POOL,0.18237885448744656,0.42705837362993665,0.37450848018958965,0.3747252054530619
LKQ,0.008532319399906297,0.09237055483164695,0.07498553586853222,0.09182372561750297
