,mse,rmse,mae,mape
STE,0.10929323654897379,0.33059527605362693,0.3017683206887912,0.26199286428502766
REG,0.26913515116101694,0.5187823736028595,0.4548908994112984,0.41250714249698733
WFC,0.0028191587702365573,0.05309575096216793,0.04066946336707514,0.03545543863280547
JBHT,0.015479543215067719,0.1244168124293004,0.11517106523756285,0.11683077242694716
SJM,0.011793859261443383,0.10859953619350031,0.08928831468057084,0.09636967265150072
PFE,0.11826364717846857,0.343894819935498,0.30338478986809103,0.3159706433328281
EQR,0.03873124356165251,0.19680254968280392,0.17609764431899044,0.1461243921846242
TSN,0.015944319975917384,0.12627081997008407,0.10617675067599833,0.08900412690705516
TDY,0.016274873826726637,0.1275730137087254,0.10968512058474197,0.10313098971654804
GOOG,0.1265186276088398,0.3556945706766408,0.29608133930518366,0.3004046180243592
CMCSA,0.08966780575507663,0.29944583108648654,0.2620530676109138,0.25063296334732604
MRK,0.018964099469578204,0.13771020103673584,0.13160990704808143,0.11182527236317522
TXN,0.016137167315263257,0.1270321507149401,0.10747415684629812,0.09759220551152877
XRX,0.3671670038365686,0.6059430697982844,0.5477316274034421,0.5179105634218166
HRL,0.0977835617454058,0.31270363244677185,0.27183846607705303,0.24520161772323784
BSX,0.3319776973875169,0.5761750579359687,0.48192474302593896,0.4683824807663815
EMN,0.3927554356922753,0.6267020310261291,0.5231864995270534,0.5206459181648075
LVS,0.36484927216695706,0.6040275425565932,0.5043911625722766,0.5989233516648884
ADI,0.29163349814336803,0.5400310159086865,0.4683263731565477,0.4586579958885515
NTAP,0.008993121922853033,0.09483207222692665,0.07974149926331474,0.08346053361250363
NWSA,0.01348028290578012,0.11610462051865171,0.09052352214876469,0.10137435211594381
CAH,0.1730280898409874,0.415966452783139,0.3687917585290778,0.33192460414511443
MGM,1.5169777318415074,1.2316564991268903,1.032714496660396,1.0443587010274247
ADM,0.15157439542815213,0.38932556482737185,0.3553732976824481,0.32528847115149023
MSFT,0.1521752957516588,0.3900965210709509,0.3312027615754347,0.28156002683997056
V,0.26195726082677356,0.5118176050379408,0.45189988118281726,0.44915251289647595
FMC,0.06785508852380921,0.26049009294752307,0.20037758689778995,0.24764076913702598
CDW,0.010061080980077124,0.10030493995849418,0.08567551644983785,0.06509299323988797
GS,0.11147185288277892,0.3338740074980065,0.30900462651521726,0.30993834679157617
TPR,0.08118320894484382,0.28492667292628787,0.26046047214470236,0.39002456278283026
MA,0.3964845392799668,0.6296701829370411,0.5660677254761588,0.6068249727458341
SNA,0.06985811598222351,0.2643068595065658,0.23771571045974182,0.20978011824037082
IPG,0.14874445712850407,0.3856740296267096,0.339874319849382,0.3160559442036519
COP,0.04138315664634011,0.20342850499952092,0.17258573475845349,0.16148847074434314
EBAY,0.5136394787854792,0.7166864577941174,0.6278070003080084,0.6563915050202253
SWKS,0.23698998131312535,0.48681616788385873,0.40122906653142404,0.2115806202368757
COST,0.003792022470460045,0.06157939972474598,0.05415226974400611,0.05530081459474143
EXPD,0.020195660677797513,0.142111437533358,0.11635486430852628,0.12313026783273762
GL,0.03525294057144946,0.18775766448123885,0.1624030516339213,0.15884518368469952
TRV,0.024394768314522655,0.15618824640325102,0.14819311512531494,0.1430576019216943
DPZ,0.014428239559511266,0.12011760720024049,0.07652468423807915,0.06204849628297809
DLTR,0.006149038290500302,0.07841580383124502,0.06799611675058277,0.07165013039917856
WBA,0.08892777168720592,0.2982075983056198,0.2721806775982225,0.23902601511635885
F,1.4111618536819799,1.187923336618142,1.047524232296207,1.1508337630535685
J,0.8334281247733655,0.9129228471088702,0.7786269657761353,0.9895580210350763
WMB,0.05651860830141133,0.23773642611390314,0.16703080355525016,0.13010007357449954
DUK,0.013963756502287207,0.11816833967813548,0.09285641655233394,0.08454642518624848
OMC,0.14593211383123178,0.3820106200503224,0.33423410687436206,0.34148961562473523
GM,0.20313118611536865,0.4507007722595654,0.4110917794261041,0.4981781244852677
EFX,0.001511780656551938,0.03888162363574775,0.030161214247324736,0.02876591779353803
IP,0.09186555692691191,0.3030933138934475,0.2756265871310034,0.26910669108406843
FITB,0.06808015763658211,0.2609217461933407,0.2122075644266277,0.2174378816726903
STZ,0.08338173819741668,0.28875896210752783,0.2679735485853179,0.21820404876513286
SWK,0.0022643612006907846,0.04758530446146987,0.03635161705424892,0.0386360021264644
HSY,0.00328343636607957,0.05730127717668752,0.043641558222288095,0.04294859693528963
AME,0.48967256330119424,0.6997660775582039,0.6089605100527083,0.6201282203127253
MSCI,0.16801761051188532,0.4098995127002292,0.35203957469757735,0.3420838553153259
ROK,0.36972964372727946,0.6080539809320218,0.5133426497451239,0.5232390005368734
ETR,0.002140248147285783,0.04626281603281174,0.038876799208291776,0.03378203298280061
IFF,0.03267441699780695,0.1807606621967483,0.16531636317650544,0.14707274500908266
USB,0.02571978098367376,0.16037387874486844,0.13646106027128033,0.12889444526552843
DFS,0.02324981251510196,0.1524788920313299,0.13105522017615448,0.1167963156808026
ES,0.013747296800784395,0.1172488669488298,0.09489755120632272,0.0863139435710149
CHRW,0.01877130421415478,0.13700840928262317,0.11232065349047253,0.1018244653221917
PKG,0.011579036192579568,0.10760593009950506,0.08592031847708012,0.07909503364911524
ORLY,0.0076104553027322745,0.08723792353519354,0.0673970722323869,0.05900428147888594
MCK,0.1180028498069555,0.3435154287757036,0.3065732932885091,0.2626965175889899
CPRT,0.01389913720351634,0.11789460209660296,0.09700394640031723,0.1044670747175864
PNW,0.04310520927696066,0.20761794064328992,0.1694753954829748,0.1610052213445352
VRSK,0.0016407624761103278,0.04050632637144879,0.03377557768024981,0.03782261976365598
MSI,0.0456959478434677,0.21376610545984062,0.18674742301691805,0.19556014311130454
CVX,0.017381170102067686,0.13183766571836625,0.1065708998488978,0.11208258650095085
FTI,0.16960067865818843,0.41182602960253545,0.34468440698698055,0.3836013110283329
KMI,0.46754462058832497,0.6837723455861059,0.6152732325293948,0.582552750858601
GIS,0.1116227426093196,0.3340998991459285,0.29444198984117287,0.28338262957784804
NFLX,0.025471851118114883,0.15959903232198772,0.12492590543694876,0.1279198652842201
IT,0.15512506753331637,0.3938591975989851,0.3551809352966416,0.33792611095954633
RF,0.028071742985863728,0.16754624133612706,0.13581241948472403,0.13328673111688055
TSCO,0.08912436304674577,0.29853703798146347,0.27282720786028186,0.3150399856721225
JNJ,0.08277307262257158,0.2877030980413169,0.25121858645474326,0.22775138910944276
TFX,0.19272148985013338,0.43900055791551496,0.3866853802492212,0.34707042881102995
WAB,0.4403086912223113,0.6635576020379175,0.5772730129869613,0.5315819134016617
HD,0.0119575077502667,0.10935038980390833,0.09758050691669362,0.09584694751130982
SYY,0.13457026386965057,0.366838198487631,0.3287482185301774,0.34244474609559883
AVB,0.029094659065057978,0.17057156581639854,0.14946196607827192,0.13123568152542772
K,0.01386805077691821,0.11776268839033105,0.10341374976265282,0.0991388096790529
NEE,0.002897473080028809,0.053828181095303684,0.047423803303686,0.04251751498897465
TGT,0.036116217235766405,0.19004267214435394,0.13936353767932663,0.13962404511577284
FANG,0.6672912019508517,0.8168789395931637,0.6251027107383276,0.5274224858727664
POOL,0.061487138001321585,0.24796600170451108,0.21523733422946778,0.21598409598434637
LKQ,0.22245960561801928,0.4716562367000136,0.38414764386768496,0.46954889521979365
LNC,0.0026601769679186833,0.051576903434761213,0.04181991388529934,0.04209998446156709
NKE,0.025608474629906907,0.1600264810270691,0.10963092535918248,0.09779297416586526
HBI,0.20617498892565025,0.45406496112962763,0.37983920293489115,0.26423856785443073
CAT,0.332368219000052,0.5765138497903168,0.4756184085122134,0.423002946639716
TJX,0.01981892299726838,0.14077969667984222,0.12615866202157244,0.13826544744223976
TER,0.09061690849521324,0.30102642491185594,0.24710468817354087,0.22915058538408334
ABT,0.009639195614294471,0.0981794052451657,0.08871814711413108,0.08105956422081395
HAL,0.06137935508469724,0.24774857231616337,0.15178843024098942,0.1741330071618342
PWR,0.657150029972425,0.8106479075236209,0.6744797431961052,0.6454981870926404
STT,0.08776009619866264,0.2962433057448938,0.2750180254852096,0.2831626746742389
HAS,0.003016703748761299,0.054924527751827774,0.042850062217755,0.0436045686033293
OXY,0.1001167538719545,0.3164123162456773,0.2594353980898307,0.2739255304960982
NWL,0.03969198211259736,0.1992284671240467,0.18641092692336442,0.18455410544638987
RHI,0.3000289282098445,0.5477489645903901,0.49444864808774736,0.4185244085031801
VTR,0.001956704707037365,0.044234655045985886,0.03586578870873308,0.03627234050326928
NOC,0.022614814141249526,0.15038222681304306,0.12973339989870625,0.11545935093581983
CE,0.04605165241157059,0.21459648741666437,0.1853604537789103,0.1756273575445786
EQIX,0.04613871237788976,0.21479923737734677,0.1823958860289214,0.15509848579023977
TFC,0.16426181897014994,0.4052922636445827,0.3425302252608212,0.33200293551466203
MTD,0.13654395863134555,0.3695185497797716,0.3100050071792197,0.2961534316779921
DE,0.27794352596723954,0.5272034957843503,0.4599894329931885,0.4757846774218458
ROP,0.2767928945973266,0.5261111048032788,0.46548843507558585,0.4375837519879898
AZO,0.029985562409886885,0.17316339800860597,0.14228644763175294,0.126759479509033
ADBE,0.10346922877391918,0.32166633142733353,0.2681922220004421,0.2337118589699529
TYL,0.028087023684195654,0.16759183656788196,0.1237014748617377,0.13254467504163162
DHI,0.4847203586350959,0.6962186141113264,0.58894612636753,0.5726210949884117
LYB,0.029643040658745932,0.17217154427705506,0.11500917732381055,0.10150666208860966
AFL,0.011299610974305775,0.1062996282886529,0.09684599918138956,0.10600591781091613
EOG,0.05118626549176801,0.22624381868189905,0.14838594378473308,0.1444243831408012
ROL,0.16651550668004275,0.40806311604951845,0.36246918784034027,0.3588274432751526
DOV,0.35804824728798135,0.5983713289321116,0.5080300845784831,0.49967806954438815
GOOGL,0.11905473606014437,0.34504309304801967,0.28610271263208914,0.28665633496925125
GRMN,0.6303062729920578,0.7939183037265596,0.7140202319482962,0.6197241070529982
SLB,0.04877274965258364,0.22084553346758823,0.15163758609594005,0.15003944817530224
FRT,0.11439591747741795,0.33822465533638724,0.304260330814494,0.2618204473125839
IEX,0.0807927508803197,0.28424065662800546,0.24357129961039958,0.2368773295442467
RMD,0.15370226191587955,0.39204880042652795,0.33249530224606627,0.36262651093219517
ULTA,3.761398208855909,1.939432445035379,1.6724845727936575,2.0684652225425597
CCI,0.12001362722567077,0.34642983016142065,0.2986314358816521,0.2892491663751604
CSCO,0.5924131117018187,0.7696837738330065,0.6727411957632186,0.6272194077249383
PNC,0.008825967741174699,0.09394662176563189,0.08656788791786608,0.07728789997185809
KR,0.4717272087923488,0.6868240013222812,0.5828119168040159,0.4754076333832039
DXC,0.1329183275455204,0.36457965871057646,0.2950649735657412,0.26903366570098686
PNR,1.1174487025839992,1.0570944624696503,0.9077061721634327,1.0160674060198067
BIIB,1.0713274366514425,1.0350494851220604,0.9268269747359558,0.8467420761595578
DG,0.007235257279860735,0.08506031554056648,0.07268819716780046,0.07717242165056358
DVA,0.13920210258846383,0.3730979798772218,0.31684443293237513,0.27505234952682295
RSG,0.17581308267113485,0.41930070673817715,0.3573015910901554,0.3222357570820426
ZBH,0.040686479236201355,0.2017088972658404,0.17530967194221625,0.15821130085589633
PAYX,0.17677643813152907,0.42044790180417013,0.38560349092496027,0.39839919097501164
LHX,0.4259306066786876,0.6526335929744098,0.5550787527155586,0.5446173827793312
JKHY,0.042446217331290795,0.20602479785523586,0.18580569399134242,0.18736837488326477
ALK,0.6092500575261256,0.7805447184666139,0.6999852232810672,0.5537398389178726
AXP,0.09032614075186718,0.3005430763665455,0.25663029379199687,0.25626383074528025
