,mse,rmse,mae,mape
STE,0.005027724751524264,0.07090645070460277,0.06029622971310946,0.05532836278154813
REG,0.07411881020078286,0.2722477000835505,0.23292577333236023,0.2102611881280897
WFC,0.007143003621683027,0.08451629204882942,0.06558827150782703,0.056973798063878825
JBHT,0.015119657744119294,0.12296201748556053,0.11286015416544065,0.11444232307347388
SJM,0.002980821275157488,0.054596898036037615,0.04539721826767705,0.050430227430987545
PFE,0.029965711846745405,0.17310607108575193,0.14998492453878626,0.15804888725968247
EQR,0.10576077913270081,0.3252088238850551,0.2910443240843045,0.2415046644743792
TSN,0.04835257221888656,0.21989218316913078,0.1824093689560327,0.1573656913447937
TDY,0.003255778401049968,0.057059428677914116,0.045226943200160165,0.04393851404624312
GOOG,0.2402375157341005,0.49014030209124865,0.41769478833071455,0.42286342391030324
CMCSA,0.07180714716464426,0.26796855629839156,0.23541354424939265,0.22548117089851327
MRK,0.013094989878606411,0.11443334251260168,0.10903628739219214,0.0933376929021011
TXN,0.0065398744870913605,0.08086949045895714,0.0627556786877833,0.05777825792752891
XRX,0.05477943002266454,0.2340500587965415,0.2134346303966607,0.20418819537647506
HRL,0.0014984854911519894,0.038710276299091295,0.03005255062308605,0.02794933631680417
BSX,0.004084348236824821,0.06390890577082994,0.052049233201365314,0.04981635385945193
EMN,0.005128823181588678,0.07161580259683388,0.05932936360086661,0.05847946474223986
LVS,0.21606928591397528,0.46483253534361735,0.3801498615212545,0.45374715888210293
ADI,0.03901583490072925,0.1975242640809712,0.16352953415751859,0.16226093272717457
NTAP,0.01497735622770494,0.12238200941194315,0.09738321678767474,0.10007906138901199
NWSA,0.07807874925266825,0.27942574908670864,0.240522446184499,0.2649194747347701
CAH,0.1864853693992937,0.43183951810747206,0.3836710343309625,0.34543281252329866
MGM,0.05484719759446671,0.23419478558342566,0.1795826450565324,0.18377972240247387
ADM,0.09980786503559663,0.31592382790096196,0.2918845849311726,0.26882610808292484
MSFT,0.002485685091686891,0.04985664541148843,0.04085336129729128,0.037969039218399205
V,0.06475314010369398,0.2544663830522491,0.22208992031447625,0.22332011493167156
FMC,0.05730767366356873,0.23939021212983777,0.1845403704998487,0.22800681830691794
CDW,0.08943325999047973,0.2990539416066602,0.26737144578947225,0.20042646091312932
GS,0.04134339028223415,0.20333074111465327,0.1909647495703661,0.1928739348978434
TPR,0.09141496916874042,0.3023490849477478,0.26938595932287324,0.40575874859218686
MA,0.22383152053866057,0.4731083602502291,0.4282648540926601,0.4601031312629232
SNA,0.004176802428371644,0.06462818602105155,0.055958344466608384,0.05119991244887514
IPG,0.004786650757367539,0.0691856253666001,0.05849442790292042,0.05393083201127456
COP,0.010693096225384422,0.10340742828919218,0.08274863954687019,0.07865014936173285
EBAY,0.02480149775385399,0.157484912781682,0.13957060678435707,0.14343085444725293
SWKS,0.2561206603257563,0.5060836495341026,0.42180246953560524,0.22381988471193542
