,mse,rmse,mae,mape
STE,0.11159435644443617,0.33405741489216517,0.3048039507174002,0.26456073113484535
REG,0.266061566660608,0.5158115611932405,0.4522722013270358,0.41012772245219575
WFC,0.0019424314448738009,0.044073024004188784,0.0341781286718066,0.029926283363870456
JBHT,0.011816825270986929,0.1087052219122289,0.10048413566739998,0.10217427765054547
SJM,0.01596847340296749,0.12636642514120391,0.10382145599118288,0.11203660345226622
PFE,0.11368641049651008,0.33717415455000416,0.2974341565358014,0.30974917049192424
EQR,0.03364933507994712,0.18343755089933772,0.1641356193097535,0.13622197507133438
TSN,0.015081051717862162,0.12280493360554437,0.10189586595285414,0.08534928019780982
TDY,0.015556989739831393,0.12472766228800808,0.10709060651601901,0.10067003809276266
GOOG,0.12730549377526662,0.35679895427995106,0.29705359536832765,0.3013835449328992
CMCSA,0.0749947532417893,0.2738516993589583,0.23991276527175168,0.22953628328041192
MRK,0.018221015501239383,0.13498524179049864,0.12898238466194065,0.10960944789821399
TXN,0.014464526017474152,0.12026855789221949,0.10108570151700409,0.09191593852856024
XRX,0.36418458661223846,0.6034770804365635,0.5455502066321689,0.5158679713063715
HRL,0.09595371718791715,0.3097639701255089,0.26924423995667957,0.24285232855726555
BSX,0.32382844105390024,0.5690592597031527,0.47577296652096934,0.4624199243742261
EMN,0.3935693832919342,0.6273510845546807,0.5237973464426839,0.5212522396332582
LVS,0.34568364870666385,0.5879486786333173,0.4902496553053278,0.5823585803687985
ADI,0.28511236435719783,0.5339591410933966,0.46295120239458004,0.4534253344382834
NTAP,0.008291602264856791,0.09105823556854586,0.07753438032969227,0.08144709818672334
NWSA,0.013676786606595062,0.11694779436395995,0.09130000340212133,0.1022229918247361
CAH,0.13636689334272487,0.369278882882199,0.32742076065168546,0.2948947454282593
MGM,1.5134623176490527,1.2302285631739545,1.0314546868098036,1.0430977497621041
ADM,0.1531210045991829,0.39130679089326176,0.357153968418151,0.326899012881066
MSFT,0.15217708062900948,0.3900988088023462,0.3312058293443725,0.28156287321472634
V,0.2668909494406934,0.5166148947143253,0.45613674290264805,0.45331911438274036
FMC,0.06682296924374788,0.2585013911833897,0.19868004428632377,0.24559673734168244
CDW,0.011732055332897683,0.10831461273945305,0.09246924831760535,0.07004602801419132
GS,0.10692163916726545,0.3269887447103729,0.3028678808331542,0.3038678712873923
TPR,0.06914196584646926,0.2629485992479695,0.24054970153557434,0.36009879502401354
MA,0.38943320255842656,0.6240458337000789,0.5611112013067945,0.6015426522806133
SNA,0.06752777839208919,0.25986107517688983,0.23375363354188483,0.20631587397806944
IPG,0.14607223543893025,0.38219397619393514,0.33678143505500113,0.31319886145648107
COP,0.0428306107252998,0.20695557669533768,0.1757975845974586,0.16457301949541256
EBAY,0.5126716030312767,0.7160108958886566,0.6270301255958978,0.655580803306863
SWKS,0.23679286108083536,0.48661366717431537,0.4010502185839503,0.21148435871914265
COST,0.0037957291668768676,0.06160948925999036,0.05594582230888601,0.05763291079313775
EXPD,0.03452487723675463,0.18580871141244867,0.15212375761557417,0.16117999919410184
GL,0.029216186878893803,0.17092743161615048,0.14747494270578096,0.14429620307405017
TRV,0.01260267097906048,0.11226161845911754,0.10605502142378638,0.10359293697240093
